"ID"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"fpt12"	0.3	0.09	0.19	0.06	0	0.01	0.03	0	0.06	0.32	0.12	0.03	0.04	0	0	0	0.07	0	0.19	0.07	0.16	0.1	0.01	0.04	0	0.03	0	0.12	0.01	0.16	0.06	0.14	0.03	0.09	0.16	0	0.06	0.01	0.03	0.06	0.01	0.1	0.04	0.12	0.35	0.04	0.15	0.1	0.06	0.03	0.01	0	0.03	0.45	0.01	0.33	0	0.18	0	0.77	0.13	0	0	0.04	0	0.01	0.01	0	0	0.62	0.23
"fpt13"	0.1	0.03	0.09	0.03	0	0.01	0.03	0	0	0.06	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0.12	0.01	0.12	0.04	0.13	0.01	0.09	0.07	0	0.04	0.01	0.03	0.07	0.01	0.07	0.01	0.1	0.35	0.04	0.16	0.1	0.06	0.03	0.01	0	0.03	0.45	0.01	0.33	0.03	0	0	0.92	1.38	0	0	0.04	0	0	0	0	0	0	0.22
"fpt14"	0.01	0.03	1.68	0.73	0	0.03	0	0	0	0.24	0.3	0.01	0.03	0.01	0.01	0	0.06	0	0	0.04	0	0.14	0	0	0	7.11	0.01	0	0.15	0.63	0.04	0.46	0.12	0.42	0.38	0.04	0.04	0.04	0.32	0.46	0.46	0.07	0.58	7.71	1.24	0.45	5.63	1.66	1.88	0.06	0.35	0.03	0.16	0.07	0	0.16	0.72	0	0.03	4.68	13.77	0.04	0.45	0.27	0	0.09	0	0	0.17	3.92	6.78
"fpt15"	0.36	0.11	0.2	0.06	0	0.01	0.01	0	0	0	0.07	0	0.09	0.01	0.03	0	0.16	0.01	0.09	0.11	0.03	0.04	0	0.04	0	0.03	0.01	0.06	0	0.38	0.03	0.17	0	0	2.02	0.19	0.03	0	0.01	0.03	0.03	0.1	0.52	2.59	0.17	0.03	0.36	0.31	0.01	0.07	0.01	0	0.01	0.13	0	0	0.01	0.74	0	0.61	0.09	0	0	0.62	0	0.01	0.03	0	0	0.65	0.61
"fpt16"	0.52	0.22	3.54	1.48	0.03	0.16	0.09	0	0.06	0.86	0.73	0.11	0.17	0.03	0.06	0.03	0.32	0.03	0.29	0.22	0.17	0.32	0.01	0.09	0	7.15	0.09	0.19	0.22	1.28	0.17	1.43	0.23	0.98	2.68	0.24	0.13	0.12	0.67	0.96	0.65	0.26	1.59	15.42	2.87	0.8	11.36	3.62	3.33	0.19	0.79	0.04	0.27	0.69	0.01	0.61	0.84	0.95	0.04	10.94	28.24	0.04	0.5	0.96	0	0.1	0.06	0	0.48	9.18	14.65
"fpt17"	1.95	1.28	5.4	1.35	0.44	3.15	2.52	3.56	2.94	2.27	1.99	2.4	2.1	1.88	1.28	1.75	3.18	1.17	2.74	3.37	0.66	1.52	1.28	0.99	0.83	1.8	1.9	6.15	0.32	4.53	3.63	3.66	2.02	4.72	5.86	0.93	0.56	0.95	3.32	1.84	3.04	1.05	7.16	18.44	2.65	1.55	12.78	4.01	3.84	1.33	1.23	0.83	1.74	2	0.11	3.12	4.46	11.05	1.84	8.18	18.78	1.16	0.5	0.47	2.99	0.09	0.29	0.1	0.62	8.34	10.46
"fpt18"	2.32	1.42	7.28	2.14	0.44	3.19	2.53	3.56	3	2.77	2.45	2.44	2.25	1.91	1.33	1.75	3.47	1.18	3	3.59	0.84	1.8	1.29	1.03	0.83	8.95	1.93	6.21	0.46	5.55	3.7	4.29	2.15	5.14	8.25	1.17	0.64	0.99	3.65	2.34	3.51	1.22	8.26	28.75	4.07	2.02	18.79	5.97	5.73	1.46	1.59	0.86	1.91	2.2	0.11	3.28	5.22	11.24	1.87	13.61	33.89	1.2	0.95	1.36	2.99	0.19	0.32	0.1	0.79	12.91	17.85
"fpt19"	1.95	1.28	5.4	1.35	0.44	3.15	2.52	3.56	2.94	2.27	1.99	2.4	2.1	1.88	1.28	1.75	3.18	1.17	2.74	3.37	0.66	1.52	1.28	0.99	0.83	1.8	1.9	6.15	0.32	4.53	3.63	3.66	2.02	4.72	5.86	0.93	0.56	0.95	3.32	1.84	3.04	1.05	7.16	18.44	2.65	1.55	12.78	4.01	3.84	1.33	1.23	0.83	1.74	2	0.11	3.12	4.46	11.05	1.84	8.18	18.78	1.16	0.5	0.47	2.99	0.09	0.29	0.1	0.62	8.34	10.46
"fpt20"	30.56	21.68	34.98	27.83	18.19	24.52	27.32	31.65	22.74	13.6	31.66	22.78	41.73	36.13	30.13	37.21	32.47	24.26	27.22	21.89	13.81	29.27	20.93	40.21	23.02	33.68	24.14	25.5	41.66	35.72	26.1	29.16	26.38	35.22	31.99	22.28	20.19	30.16	39.53	26.32	31.16	24.48	44.89	46.96	29.57	32.1	43.21	38.82	27.96	20.77	48.04	37.44	23.01	22.14	16.43	19.77	18.67	23.59	26.19	33.85	49.42	22.94	8.62	36	31.15	30.16	24.02	32.33	32.74	57.23	42.25
"fpt21"	0.39	0.07	0.26	0.23	0.09	0.34	0	0	0	0.07	0.04	0	0.19	0.1	0.06	0.09	0.74	0.12	0.09	0.01	0.01	0.2	0	0.01	0	13.12	0.07	0.19	0.01	0.34	0.03	0.32	0.06	0.26	0.23	0	0.2	0.01	0.01	0.22	0.03	0.12	0.48	2.04	0.04	0.09	0.61	0.04	1.18	0.13	0	0	0.03	0.03	0.06	0.22	0.06	0.02	0.01	1	1.44	0	0	0	0	0	0.07	0	0	0.42	2.12
"fpt22"	0.58	0.13	2.38	1	0.1	0.42	0.09	0	0	0.42	0.33	0.03	0.23	0.38	0.22	0.22	1.23	0.12	0.12	0.01	0.03	0.24	0	0.01	0	14.96	0.1	0.42	0.17	0.94	0.14	1.58	0.17	0.75	1.93	0.04	0.63	0.04	0.38	0.82	0.2	0.46	4.16	8.18	1.59	0.43	6.95	2.12	2.42	0.27	0.35	0.01	0.13	0.75	0.07	2.29	0.09	0.02	0.04	8.01	16.14	0	0.01	0.06	0.03	0.01	0.09	0	0.17	4.34	11.57
"fpt23"	0.39	0.07	0.26	0.23	0.09	0.34	0	0	0	0.07	0.04	0	0.19	0.1	0.06	0.09	0.74	0.12	0.09	0.01	0.01	0.2	0	0.01	0	13.12	0.07	0.19	0.01	0.34	0.03	0.32	0.06	0.26	0.23	0	0.2	0.01	0.01	0.22	0.03	0.12	0.48	2.04	0.04	0.09	0.61	0.04	1.18	0.13	0	0	0.03	0.03	0.06	0.22	0.06	0.02	0.01	1	1.44	0	0	0	0	0	0.07	0	0	0.42	2.12
"fpt24"	0.22	0.07	0.13	0.06	0.04	0.03	0.04	0	0.07	0.68	0.26	0.1	0.03	0.1	0.03	0.06	0.23	0.13	0.27	0.19	0.25	0.33	0.04	0.11	0.13	7.17	0.01	0.09	0	0.74	0.07	0.06	0.1	0.25	0.48	0.22	0.01	0.04	0.03	0.03	0.42	0.12	0.09	2.48	0.2	0.19	0.26	0.03	1.07	0.14	0.01	0.01	0.09	0.04	0.04	0.04	0.84	0.17	0	0.04	0.03	0.04	0.49	0.36	0.07	0.1	0.01	0.04	0.01	0.62	0.09
"fpt25"	0.07	0.03	0.03	0.03	0.06	0.04	0.04	0.03	0.09	0.03	0.03	0.07	0.06	0.04	0.07	0.01	0.03	0.04	0.06	0.01	0.1	0.03	0.06	0.03	0.01	0.06	0.09	0.03	0.01	0.01	0.09	0.06	0.04	0.03	0.1	0.04	0.09	0.04	0.04	0.04	0.12	0.09	0.1	0.09	0.1	0.04	0.04	0.03	0.06	0.07	0	0.03	0.06	0.01	0.01	0.03	0.12	0.05	0.03	0.15	0.04	0.01	0.01	0.03	0.04	0.01	0	0	0	0	0.13
"fpt26"	17.66	11.21	17.89	8.26	11.76	18.46	21.8	17.96	12.01	20.14	16.28	18.06	18.01	20.91	22.25	21.12	23.56	20.28	17.3	11.19	11.81	14.29	15.74	10.74	6.95	34.72	18.48	11.99	8.17	23.43	20.22	22.36	15.13	23.26	27.09	14.49	27.47	12.3	18.2	13.9	22.82	17.57	29.87	56.09	22.75	12.85	40.51	18.9	31.12	16.91	8.33	10.47	15.91	19.85	4.47	21.91	24.21	36.62	18.07	32.22	52.28	12.96	8.03	8.9	19.73	3.77	2.76	2.44	3.58	16.22	40.09
"fpt27"	16.79	10.77	16.67	7.72	11.48	17.44	21.33	17.2	11.44	18.63	15.4	17.45	17.42	20.34	21.96	20.35	22.6	19.81	16.39	10.86	11.19	13.72	15.26	10.41	6.66	34.16	17.01	11.39	7.88	21.62	19.66	20.94	14.61	21.95	25.83	14.11	25.22	11.93	17.64	13.29	22.2	17.08	26.27	51.91	22.07	12.28	39.32	18.05	30.58	16.16	8.11	10.2	15.52	18.93	4.29	19.4	23.24	30.3	17.86	28.16	48.67	12.54	7.97	8.41	19	3.55	2.5	2.06	3.05	15.61	38.1
