"Taxa"	"ophelia19"	"ophelia37"	"ophelia43"	"ophelia45"	"ophelia48"	"ophelia49"	"ophelia55"	"ophelia57"	"ophelia59"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.58541815582559	0.165474828375286	0.481068724103443	0.493913790634398	0.357265446224256	0.334477334477334	0.37778730703259	0.31879290617849	0.24942726231386
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.263045032165833	0.1154176201373	0.131590227175311	0.167263353859373	0.414902745995423	0.426998426998427	0.15494568324757	0.471967963386728	0.295389461626575
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.00986418870621873	0.641304347826087	0.141020145735105	0.136187884863239	0.0559210526315789	0.0699270699270699	0.288593481989708	0.0321796338672769	0.34192439862543
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.102215868477484	0.0662185354691076	0.217316759537077	0.167263353859373	0.133581235697941	0.143715143715144	0.14379645511721	0.132151029748284	0.0864833906071019
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0250178699070765	0.0040045766590389	0.0174310615802257	0.0226263783474152	0.0140160183066362	0.0193050193050193	0.0124356775300172	0.0230263157894737	0.0150343642611684
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.0100071479628306	0.00243135011441648	0.00114302043149021	0.00343691822998711	0.0154462242562929	0.00429000429000429	0.0157232704402516	0.016304347826087	0.00973654066437572
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0	0.0034324942791762	0.00685812258894128	0.0050121724187312	0.00657894736842105	0.000715000715000715	0.00586049170954831	0.00185926773455378	0.000143184421534937
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.00243030736240172	0.00143020594965675	0.00342906129447064	0.00300730345123872	0.00185926773455378	0.000429000429000429	0.00028587764436821	0.0028604118993135	0.00143184421534937
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00185847033595425	0	0.000142877553936277	0.00100243448374624	0.000429061784897025	0.000143000143000143	0.00028587764436821	0.000715102974828375	0.000429553264604811
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0.00028604118993135	0	0.000143204926249463	0	0	0.00028587764436821	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000142959256611866	0	0	0.000143204926249463	0	0	0	0.000143020594965675	0
