"","marshmallow24","marshmallow37","marshmallow41","marshmallow44","marshmallow49","marshmallow53","marshmallow60","marshmallow70"
"marshmallow24",0,0.281263581697718,0.316016473423797,0.220124517568305,0.230622868967454,0.101348840972235,0.27466164147728,0.34095888013441
"marshmallow37",0.281263581697718,0,0.110797137465297,0.188723999247596,0.225902369174208,0.256269013822966,0.275039504446801,0.236589790842717
"marshmallow41",0.316016473423797,0.110797137465297,0,0.238741071574231,0.257246035737574,0.292859332141278,0.287873409160844,0.229947565964496
"marshmallow44",0.220124517568305,0.188723999247596,0.238741071574231,0,0.120199221582638,0.177306493780633,0.224347024902324,0.301835726811162
"marshmallow49",0.230622868967454,0.225902369174208,0.257246035737574,0.120199221582638,0,0.194897148160288,0.214765645893032,0.328817857315974
"marshmallow53",0.101348840972235,0.256269013822966,0.292859332141278,0.177306493780633,0.194897148160288,0,0.237270810449681,0.330697657211603
"marshmallow60",0.27466164147728,0.275039504446801,0.287873409160844,0.224347024902324,0.214765645893032,0.237270810449681,0,0.344112636148859
"marshmallow70",0.34095888013441,0.236589790842717,0.229947565964496,0.301835726811162,0.328817857315974,0.330697657211603,0.344112636148859,0
