Genus,Species,Common,Location,Location Code,Location ZIMS,Name,ID,Sex,Age,Mate,Mother,Father,Born,Birth Location
Nycticebus,pygmaeus,Pygmy Loris,Omaha's Henry Doorly Zoo,HDZ,OMAHA,Warble,2677,F,8,2652,2502,2496,2017,DUKE PRIM
Nycticebus,pygmaeus,Pygmy Loris,Omaha's Henry Doorly Zoo,HDZ,OMAHA,Culi,2652,M,12,2677,2418,2408,2013,AKRON
