"identifier"	"nutrient"	"fed"	"fed_unit"	"relative_fed"	"relative_unit"
"HDZ-013-S8"	"Beta-Carotene"	0.3	"mg"	10	"mg/kg"
"HDZ-013-S8"	"Lycopene"	0.0192825	"mg"	1	"ug/kg"
"HDZ-013-S8"	"Choline"	37.545567	"mg"	1168.98	"mg/kg"
"HDZ-013-S8"	"Folic Acid (Vitamin B9)"	0.24385	"mg"	8	"mg/kg"
"HDZ-013-S8"	"Vitamin B1 (Thiamin)"	0.196003	"mg"	7	"mg/kg"
"HDZ-013-S8"	"Vitamin B2 (Riboflavin)"	0.29455	"mg"	10	"mg/kg"
"HDZ-013-S8"	"Vitamin B3 (Niacin)"	1.957192	"mg"	67	"mg/kg"
"HDZ-013-S8"	"Vitamin B5 (Pantothenic Acid)"	1.195088	"mg"	41	"mg/kg"
"HDZ-013-S8"	"Vitamin B6 (Pyridoxine)"	0.26034	"mg"	9	"mg/kg"
"HDZ-013-S8"	"Vitamin B7 (Biotin)"	0.008388	"mg"	0.29	"mg/kg"
"HDZ-013-S8"	"Vitamin B12 (Cobalamin)"	0.0563012	"mg"	1.92	"ug/kg"
"HDZ-013-S8"	"Vitamin C (Ascorbic Acid)"	11.7	"mg"	400	"mg/kg"
"HDZ-013-S8"	"Vitamin A"	641	"mg"	22	"IU/g"
"HDZ-013-S8"	"Vitamin D3 (Cholecalciferol)"	131	"mg"	4	"IU/g"
"HDZ-013-S8"	"Vitamin E"	6	"mg"	190	"mg/kg"
"HDZ-013-S8"	"Vitamin K"	0.048859	"mg"	1.7	"mg/kg"
"HDZ-095-S300"	"Beta-Carotene"	0.3	"mg"	10	"mg/kg"
"HDZ-095-S300"	"Lycopene"	0.0192825	"mg"	1	"ug/kg"
"HDZ-095-S300"	"Choline"	37.545567	"mg"	1168.98	"mg/kg"
"HDZ-095-S300"	"Folic Acid (Vitamin B9)"	0.24385	"mg"	8	"mg/kg"
"HDZ-095-S300"	"Vitamin B1 (Thiamin)"	0.196003	"mg"	7	"mg/kg"
"HDZ-095-S300"	"Vitamin B2 (Riboflavin)"	0.29455	"mg"	10	"mg/kg"
"HDZ-095-S300"	"Vitamin B3 (Niacin)"	1.957192	"mg"	67	"mg/kg"
"HDZ-095-S300"	"Vitamin B5 (Pantothenic Acid)"	1.195088	"mg"	41	"mg/kg"
"HDZ-095-S300"	"Vitamin B6 (Pyridoxine)"	0.26034	"mg"	9	"mg/kg"
"HDZ-095-S300"	"Vitamin B7 (Biotin)"	0.008388	"mg"	0.29	"mg/kg"
"HDZ-095-S300"	"Vitamin B12 (Cobalamin)"	0.0563012	"mg"	1.92	"ug/kg"
"HDZ-095-S300"	"Vitamin C (Ascorbic Acid)"	11.7	"mg"	400	"mg/kg"
"HDZ-095-S300"	"Vitamin A"	641	"mg"	22	"IU/g"
"HDZ-095-S300"	"Vitamin D3 (Cholecalciferol)"	131	"mg"	4	"IU/g"
"HDZ-095-S300"	"Vitamin E"	6	"mg"	190	"mg/kg"
