"identifier"	"subject"	"rel_biscuit"	"rel_HDZ_oatgel"	"rel_invertebrates"	"rel_protein_rotate"	"rel_gum_arabic"	"rel_seasonal_veggies"	"biscuit"	"gum_arabic"	"invertebrates"	"protein_rotate"	"seasonal_veggies"	"HDZ_oatgel"
"HDZ-063-S1"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-068-S26"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-057-S233"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-073-S194"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-077-S38"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-067-S9"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-056-E1"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-072-S34"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-066-S5"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-061-E1"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-076-S24"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-075-E1"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-071-S79"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-070-S29"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-065-S4"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-188-S62"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-187-S71"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-186-S73"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-184-S248"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-183-S84"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-182-S52"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-176-S51"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-185"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-195-S201"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-181-S74"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-179-S98"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-180-S99"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-175-S61"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-177-S47"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-167-S198"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-157-S241"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-173-S246"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-060-S80"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-156-S68"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-155-S67"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-174-S247"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-161-S77"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
