"identifier"	"subject"	"rel_omega3"	"rel_omega6"	"rel_fats_total"	"omega3"	"omega6"	"fats_total"
"HDZ-306-S115"	"warble"	635	3370	2000	635	3370	2000
"HDZ-336-S159"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-331-S324"	"warble"	635	3370	2000	635	3370	2000
"HDZ-317-S155"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-303-S112"	"warble"	635	3370	2000	635	3370	2000
"HDZ-312-S121"	"warble"	635	3370	2000	635	3370	2000
"HDZ-308-S117"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-304-S113"	"warble"	635	3370	2000	635	3370	2000
"HDZ-314-S126"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-313-S125"	"warble"	635	3370	2000	635	3370	2000
"HDZ-319-S157"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-324-S135"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-329-S315"	"warble"	635	3370	2000	635	3370	2000
"HDZ-305-S114"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-333-S169"	"warble"	635	3370	2000	635	3370	2000
"HDZ-310-S119"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-335-S257"	"warble"	635	3370	2000	635	3370	2000
"HDZ-320-S131"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-332-S168"	"warble"	635	3370	2000	635	3370	2000
"HDZ-301-S110"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-325-S136"	"warble"	635	3370	2000	635	3370	2000
"HDZ-241-S141"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-242-S142"	"warble"	635	3370	2000	635	3370	2000
"HDZ-328-S158"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-334-S325"	"warble"	635	3370	2000	635	3370	2000
"HDZ-327-S138"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-302-S111"	"warble"	635	3370	2000	635	3370	2000
"HDZ-243-S143"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-410-E1-S349"	"warble"	635	3370	2000	635	3370	2000
"HDZ-236-S283"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-244-S144"	"warble"	635	3370	2000	635	3370	2000
"HDZ-233-S280"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-232-S279"	"warble"	635	3370	2000	635	3370	2000
"HDZ-231-S278"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-309-S118"	"warble"	635	3370	2000	635	3370	2000
"HDZ-230-S277"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-222-S109"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-322-S133"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-389-S266"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-395-S272"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-400-S331"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-399-S330"	"warble"	635	3370	2000	635	3370	2000
"HDZ-398-S329"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-339-S252"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-373-S219"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-337-S160"	"warble"	635	3370	2000	635	3370	2000
"HDZ-342-S171"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-383-S260"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-344-S316"	"warble"	635	3370	2000	635	3370	2000
"HDZ-382-S328"	"warble"	635	3370	2000	635	3370	2000
"HDZ-321-S132"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-338-S161"	"warble"	635	3370	2000	635	3370	2000
"HDZ-347-S318"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-384-S261"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-343-S172"	"warble"	635	3370	2000	635	3370	2000
"HDZ-396-S273"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-409-S339"	"warble"	635	3370	2000	635	3370	2000
"HDZ-345-S258"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-346-S317"	"warble"	635	3370	2000	635	3370	2000
"HDZ-221-S90"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-210-S105"	"warble"	635	3370	2000	635	3370	2000
"HDZ-385-S262"	"warble"	635	3370	2000	635	3370	2000
"HDZ-408-S338"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-407-S337"	"warble"	635	3370	2000	635	3370	2000
"HDZ-219-S81"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-220-S85"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-393-S270"	"warble"	635	3370	2000	635	3370	2000
"HDZ-348-S259"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-340-S326"	"warble"	635	3370	2000	635	3370	2000
"HDZ-392-S269"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-341-S170"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-349-S173"	"warble"	635	3370	2000	635	3370	2000
"HDZ-229-S130"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-218-S204"	"warble"	635	3370	2000	635	3370	2000
"HDZ-211-S106"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-406-S336"	"warble"	635	3370	2000	635	3370	2000
"HDZ-405-S335"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-391-S268"	"warble"	635	3370	2000	635	3370	2000
"HDZ-350-S174"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-316-S256"	"warble"	635	3370	2000	635	3370	2000
"HDZ-224-S123"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-223-S122"	"warble"	635	3370	2000	635	3370	2000
"HDZ-390-S267"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-217-S89"	"warble"	635	3370	2000	635	3370	2000
"HDZ-215-S108"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-212-S250"	"warble"	635	3370	2000	635	3370	2000
"HDZ-228-S129"	"warble"	635	3370	2000	635	3370	2000
"HDZ-404"	"warble"	635	3370	2000	635	3370	2000
"HDZ-227-S128"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-216"	"warble"	635	3370	2000	635	3370	2000
"HDZ-226-S124"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-403-S334"	"warble"	635	3370	2000	635	3370	2000
"HDZ-402-S333"	"warble"	635	3370	2000	635	3370	2000
"HDZ-388-S265"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-387-S264"	"warble"	635	3370	2000	635	3370	2000
"HDZ-401-S332"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-377-S287"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
"HDZ-376-S286"	"warble"	635	3370	2000	635	3370	2000
"HDZ-370-S216"	"culi"	634.49	3369.2	1618.96429	634.49	3369.2	1618.96429
