"identifier"	"subject"	"rel_omega3"	"rel_omega6"	"rel_fats_total"	"omega3"	"omega6"	"fats_total"
"HDZ-470-E1-S368"	"warble"	635	3370	2000	635	3370	2000
"HDZ-469-E1-S367"	"warble"	635	3370	2000	635	3370	2000
"HDZ-468-E1-S366"	"warble"	635	3370	2000	635	3370	2000
"HDZ-473-S375"	"warble"	635	3370	2000	635	3370	2000
"HDZ-465-S373"	"warble"	635	3370	2000	635	3370	2000
"HDZ-472"	"warble"	635	3370	2000	635	3370	2000
"HDZ-463-S371"	"warble"	635	3370	2000	635	3370	2000
"HDZ-462-S370"	"warble"	635	3370	2000	635	3370	2000
"HDZ-467-E1-S365"	"warble"	635	3370	2000	635	3370	2000
"HDZ-158-S301"	"warble"	635	3370	2000	635	3370	2000
"HDZ-459-E1-S363"	"warble"	635	3370	2000	635	3370	2000
"HDZ-458-E1-S362"	"warble"	635	3370	2000	635	3370	2000
"HDZ-461-S369"	"warble"	635	3370	2000	635	3370	2000
"HDZ-457-E1-S361"	"warble"	635	3370	2000	635	3370	2000
"HDZ-456-E1-S360"	"warble"	635	3370	2000	635	3370	2000
"HDZ-466-S374"	"warble"	635	3370	2000	635	3370	2000
"HDZ-455-E1-S359"	"warble"	635	3370	2000	635	3370	2000
"HDZ-460-E1-S364"	"warble"	635	3370	2000	635	3370	2000
"HDZ-454-E1-S358"	"warble"	635	3370	2000	635	3370	2000
"HDZ-482-S384"	"warble"	635	3370	2000	635	3370	2000
"HDZ-488-S390"	"warble"	635	3370	2000	635	3370	2000
"HDZ-483-S385"	"warble"	635	3370	2000	635	3370	2000
"HDZ-489-S391"	"warble"	635	3370	2000	635	3370	2000
"HDZ-495-S397"	"warble"	635	3370	2000	635	3370	2000
"HDZ-494-S396"	"warble"	635	3370	2000	635	3370	2000
"HDZ-477-S379"	"warble"	635	3370	2000	635	3370	2000
"HDZ-476-S378"	"warble"	635	3370	2000	635	3370	2000
"HDZ-500-S402"	"warble"	635	3370	2000	635	3370	2000
"HDZ-478-S380"	"warble"	635	3370	2000	635	3370	2000
"HDZ-484-S386"	"warble"	635	3370	2000	635	3370	2000
"HDZ-490-S392"	"warble"	635	3370	2000	635	3370	2000
"HDZ-501-S403"	"warble"	635	3370	2000	635	3370	2000
"HDZ-507-S408"	"warble"	635	3370	2000	635	3370	2000
