"identifier"	"subject"	"rel_calcium"	"rel_magnesium"	"rel_phosphorus"	"rel_potassium"	"rel_copper"	"rel_iodine"	"rel_iron"	"rel_manganese"	"rel_zinc"	"rel_Ash_total"	"calcium"	"magnesium"	"phosphorus"	"potassium"	"copper"	"iodine"	"iron"	"manganese"	"zinc"	"Ash_total"
"HDZ-013-S8"	"culi"	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000
"HDZ-095-S300"	"warble"	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000
"HDZ-014-S18"	"culi"	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000
"HDZ-005-S11"	"warble"	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000
"HDZ-021-S7"	"culi"	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000
"HDZ-004-S3"	"warble"	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000
"HDZ-011-S10"	"culi"	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000
"HDZ-019-S13"	"warble"	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000
"HDZ-018-S30"	"culi"	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000
"HDZ-015-S28"	"warble"	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000	321.7701592	157.3827213	167.1484216	322.688967	0.5	0	5.5	1.5	2.5	2000
