"identifier"	"nutrient"	"fed"	"fed_unit"	"relative_fed"	"relative_unit"
"HDZ-013-S8"	"Acid Detergent Fiber"	2000	"mg"	8.1	"%"
"HDZ-013-S8"	"Neutral Detergent Fiber"	9000	"mg"	32.1	"%"
"HDZ-013-S8"	"Total Dietary Fiber"	1000	"mg"	1.8	"%"
"HDZ-013-S8"	"Water-Soluble Carbohydrates"	0	"mg"	0	"%"
"HDZ-013-S8"	"Crude Fiber"	12000	"mg"	42.2	"%"
"HDZ-013-S8"	"Starch"	3000	"mg"	9.3	"%"
"HDZ-095-S300"	"Acid Detergent Fiber"	2000	"mg"	8.1	"%"
"HDZ-095-S300"	"Neutral Detergent Fiber"	9000	"mg"	32.1	"%"
"HDZ-095-S300"	"Total Dietary Fiber"	1000	"mg"	1.8	"%"
"HDZ-095-S300"	"Water-Soluble Carbohydrates"	0	"mg"	0	"%"
"HDZ-095-S300"	"Crude Fiber"	12000	"mg"	42.2	"%"
"HDZ-095-S300"	"Starch"	3000	"mg"	9.3	"%"
"HDZ-014-S18"	"Acid Detergent Fiber"	2000	"mg"	8.1	"%"
"HDZ-014-S18"	"Neutral Detergent Fiber"	9000	"mg"	32.1	"%"
"HDZ-014-S18"	"Total Dietary Fiber"	1000	"mg"	1.8	"%"
"HDZ-014-S18"	"Water-Soluble Carbohydrates"	0	"mg"	0	"%"
"HDZ-014-S18"	"Crude Fiber"	12000	"mg"	42.2	"%"
"HDZ-014-S18"	"Starch"	3000	"mg"	9.3	"%"
"HDZ-005-S11"	"Acid Detergent Fiber"	2000	"mg"	8.1	"%"
"HDZ-005-S11"	"Neutral Detergent Fiber"	9000	"mg"	32.1	"%"
"HDZ-005-S11"	"Total Dietary Fiber"	1000	"mg"	1.8	"%"
"HDZ-005-S11"	"Water-Soluble Carbohydrates"	0	"mg"	0	"%"
"HDZ-005-S11"	"Crude Fiber"	12000	"mg"	42.2	"%"
"HDZ-005-S11"	"Starch"	3000	"mg"	9.3	"%"
"HDZ-021-S7"	"Acid Detergent Fiber"	2000	"mg"	8.1	"%"
"HDZ-021-S7"	"Neutral Detergent Fiber"	9000	"mg"	32.1	"%"
"HDZ-021-S7"	"Total Dietary Fiber"	1000	"mg"	1.8	"%"
"HDZ-021-S7"	"Water-Soluble Carbohydrates"	0	"mg"	0	"%"
"HDZ-021-S7"	"Crude Fiber"	12000	"mg"	42.2	"%"
"HDZ-021-S7"	"Starch"	3000	"mg"	9.3	"%"
"HDZ-004-S3"	"Acid Detergent Fiber"	2000	"mg"	8.1	"%"
"HDZ-004-S3"	"Neutral Detergent Fiber"	9000	"mg"	32.1	"%"
"HDZ-004-S3"	"Total Dietary Fiber"	1000	"mg"	1.8	"%"
"HDZ-004-S3"	"Water-Soluble Carbohydrates"	0	"mg"	0	"%"
"HDZ-004-S3"	"Crude Fiber"	12000	"mg"	42.2	"%"
"HDZ-004-S3"	"Starch"	3000	"mg"	9.3	"%"
"HDZ-011-S10"	"Acid Detergent Fiber"	2000	"mg"	8.1	"%"
"HDZ-011-S10"	"Neutral Detergent Fiber"	9000	"mg"	32.1	"%"
"HDZ-011-S10"	"Total Dietary Fiber"	1000	"mg"	1.8	"%"
"HDZ-011-S10"	"Water-Soluble Carbohydrates"	0	"mg"	0	"%"
"HDZ-011-S10"	"Crude Fiber"	12000	"mg"	42.2	"%"
"HDZ-011-S10"	"Starch"	3000	"mg"	9.3	"%"
"HDZ-019-S13"	"Acid Detergent Fiber"	2000	"mg"	8.1	"%"
"HDZ-019-S13"	"Neutral Detergent Fiber"	9000	"mg"	32.1	"%"
"HDZ-019-S13"	"Total Dietary Fiber"	1000	"mg"	1.8	"%"
"HDZ-019-S13"	"Water-Soluble Carbohydrates"	0	"mg"	0	"%"
"HDZ-019-S13"	"Crude Fiber"	12000	"mg"	42.2	"%"
"HDZ-019-S13"	"Starch"	3000	"mg"	9.3	"%"
"HDZ-018-S30"	"Acid Detergent Fiber"	2000	"mg"	8.1	"%"
"HDZ-018-S30"	"Neutral Detergent Fiber"	9000	"mg"	32.1	"%"
"HDZ-018-S30"	"Total Dietary Fiber"	1000	"mg"	1.8	"%"
"HDZ-018-S30"	"Water-Soluble Carbohydrates"	0	"mg"	0	"%"
"HDZ-018-S30"	"Crude Fiber"	12000	"mg"	42.2	"%"
"HDZ-018-S30"	"Starch"	3000	"mg"	9.3	"%"
"HDZ-015-S28"	"Acid Detergent Fiber"	2000	"mg"	8.1	"%"
"HDZ-015-S28"	"Neutral Detergent Fiber"	9000	"mg"	32.1	"%"
"HDZ-015-S28"	"Total Dietary Fiber"	1000	"mg"	1.8	"%"
