"subj_day"	"identifier"	"SampleID"	"ExtractID"	"SequenceID"
"warble_161"	"hdz-376-s286"	"hdz-376"	"hdz-376-e1"	"hdz-376-s286"
"culi_162"	"hdz-370-s216"	"hdz-370"	"hdz-370-e1"	"hdz-370-s216"
"warble_162"	"hdz-371-s217"	"hdz-371"	"hdz-371-e1"	"hdz-371-s217"
"culi_163"	"hdz-375-s285"	"hdz-375"	"hdz-375-e1"	"hdz-375-s285"
"warble_163"	"hdz-369-s215"	"hdz-369"	"hdz-369-e1"	"hdz-369-s215"
"culi_164"	"hdz-372-s218"	"hdz-372"	"hdz-372-e1"	"hdz-372-s218"
"warble_164"	"hdz-378-s288"	"hdz-378"	"hdz-378-e1"	"hdz-378-s288"
"culi_165"	"hdz-381-s327"	"hdz-381"	"hdz-381-e1"	"hdz-381-s327"
"culi_168"	"hdz-363-s209"	"hdz-363"	"hdz-363-e1"	"hdz-363-s209"
"culi_170"	"hdz-364-s210"	"hdz-364"	"hdz-364-e1"	"hdz-364-s210"
"warble_170"	"hdz-379-s289"	"hdz-379"	"hdz-379-e1"	"hdz-379-s289"
"culi_171"	"hdz-365-s211"	"hdz-365"	"hdz-365-e1"	"hdz-365-s211"
"warble_171"	"hdz-366-s212"	"hdz-366"	"hdz-366-e1"	"hdz-366-s212"
"culi_172"	"hdz-357-s180"	"hdz-357"	"hdz-357-e1"	"hdz-357-s180"
"culi_173"	"hdz-358-s181"	"hdz-358"	"hdz-358-e1"	"hdz-358-s181"
"warble_173"	"hdz-359-s182"	"hdz-359"	"hdz-359-e1"	"hdz-359-s182"
"culi_174"	"hdz-352-s176"	"hdz-352"	"hdz-352-e1"	"hdz-352-s176"
"warble_174"	"hdz-351-s175"	"hdz-351"	"hdz-351-e1"	"hdz-351-s175"
"culi_175"	"hdz-353-e1"	"hdz-353"	"hdz-353-e1"	NA
"culi_177"	"hdz-354-s177"	"hdz-354"	"hdz-354-e1"	"hdz-354-s177"
"warble_177"	"hdz-367-s213"	"hdz-367"	"hdz-367-e1"	"hdz-367-s213"
"culi_178"	"hdz-361-s184"	"hdz-361"	"hdz-361-e1"	"hdz-361-s184"
"warble_178"	"hdz-355-s178"	"hdz-355"	"hdz-355-e1"	"hdz-355-s178"
"culi_180"	"hdz-386-s263"	"hdz-386"	"hdz-386-e1"	"hdz-386-s263"
"warble_180"	"hdz-360-s183"	"hdz-360"	"hdz-360-e1"	"hdz-360-s183"
"warble_180"	"hdz-374-s284"	"hdz-374"	"hdz-374-e1"	"hdz-374-s284"
"warble_181"	"hdz-380-s290"	"hdz-380"	"hdz-380-e1"	"hdz-380-s290"
"culi_182"	"hdz-368-s214"	"hdz-368"	"hdz-368-e1"	"hdz-368-s214"
"culi_183"	"hdz-362-s208"	"hdz-362"	"hdz-362-e1"	"hdz-362-s208"
"warble_184"	"hdz-356-s179"	"hdz-356"	"hdz-356-e1"	"hdz-356-s179"
"culi_185"	"hdz-450-s322"	"hdz-450"	"hdz-450-e1"	"hdz-450-s322"
"warble_185"	"hdz-451-s343"	"hdz-451"	"hdz-451-e1"	"hdz-451-s343"
"culi_187"	"hdz-452-s344"	"hdz-452"	"hdz-452-e1"	"hdz-452-s344"
"warble_187"	"hdz-453-s345"	"hdz-453"	"hdz-453-e1"	"hdz-453-s345"
"warble_188"	"hdz-449-s299"	"hdz-449"	"hdz-449-e1"	"hdz-449-s299"
"warble_189"	"hdz-448-s298"	"hdz-448"	"hdz-448-e1"	"hdz-448-s298"
"culi_191"	"hdz-438-s275"	"hdz-438"	"hdz-438-e1"	"hdz-438-s275"
"warble_191"	"hdz-439-s276"	"hdz-439"	"hdz-439-e1"	"hdz-439-s276"
"culi_192"	"hdz-437-s253"	"hdz-437"	"hdz-437-e1"	"hdz-437-s253"
"warble_192"	"hdz-432-s228"	"hdz-432"	"hdz-432-e1"	"hdz-432-s228"
"culi_195"	"hdz-433-s229"	"hdz-433"	"hdz-433-e1"	"hdz-433-s229"
"warble_195"	"hdz-431-s227"	"hdz-431"	"hdz-431-e1"	"hdz-431-s227"
"culi_196"	"hdz-426-s226"	"hdz-426"	"hdz-426-e1"	"hdz-426-s226"
"warble_196"	"hdz-425-s225"	"hdz-425"	"hdz-425-e1"	"hdz-425-s225"
"culi_197"	"hdz-434-s230"	"hdz-434"	"hdz-434-e1"	"hdz-434-s230"
"warble_197"	"hdz-440-s293"	"hdz-440"	"hdz-440-e1"	"hdz-440-s293"
"culi_198"	"hdz-444-s296"	"hdz-444"	"hdz-444-e1"	"hdz-444-s296"
"culi_199"	"hdz-430-s292"	"hdz-430"	"hdz-430-e1"	"hdz-430-s292"
"culi_200"	"hdz-442-s294"	"hdz-442"	"hdz-442-e1"	"hdz-442-s294"
"warble_200"	"hdz-443-s295"	"hdz-443"	"hdz-443-e1"	"hdz-443-s295"
"culi_201"	"hdz-445-s297"	"hdz-445"	"hdz-445-e1"	"hdz-445-s297"
"warble_201"	"hdz-424-s224"	"hdz-424"	"hdz-424-e1"	"hdz-424-s224"
"culi_202"	"hdz-166-s197"	"hdz-166"	"hdz-166-e1"	"hdz-166-s197"
"warble_202"	"hdz-165-s196"	"hdz-165"	"hdz-165-e1"	"hdz-165-s196"
"warble_221"	"hdz-214-s251"	"hdz-214"	"hdz-214-e1"	"hdz-214-s251"
"warble_222"	"hdz-446-s341"	"hdz-446"	"hdz-446-e1"	"hdz-446-s341"
"warble_223"	"hdz-436-e1-s357"	"hdz-436"	"hdz-436-e1"	"hdz-436-e1-s357"
"warble_224"	"hdz-447-s342"	"hdz-447"	"hdz-447-e1"	"hdz-447-s342"
"warble_225"	"hdz-189-s200"	"hdz-189"	"hdz-189-e1"	"hdz-189-s200"
"warble_226"	"hdz-427-e1-s353"	"hdz-427"	"hdz-427-e1"	"hdz-427-e1-s353"
"warble_227"	"hdz-475-s377"	"hdz-475"	"hdz-475-e1"	"hdz-475-s377"
"warble_228"	"hdz-441-s340"	"hdz-441"	"hdz-441-e1"	"hdz-441-s340"
"warble_229"	"hdz-160-s242"	"hdz-160"	"hdz-160-e1"	"hdz-160-s242"
"warble_230"	"hdz-435-e1-s356"	"hdz-435"	"hdz-435-e1"	"hdz-435-e1-s356"
"warble_230"	"hdz-464-s372"	"hdz-464"	"hdz-464-e1"	"hdz-464-s372"
"warble_231"	"hdz-428-e1-s354"	"hdz-428"	"hdz-428-e1"	"hdz-428-e1-s354"
"warble_232"	"hdz-164-s195"	"hdz-164"	"hdz-164-e1"	"hdz-164-s195"
"warble_234"	"hdz-474-s376"	"hdz-474"	"hdz-474-e1"	"hdz-474-s376"
"culi_235"	"hdz-429-e1-s355"	"hdz-429"	"hdz-429-e1"	"hdz-429-e1-s355"
"warble_235"	"hdz-422-s291"	"hdz-422"	"hdz-422-e1"	"hdz-422-s291"
"warble_236"	"hdz-423-s223"	"hdz-423"	"hdz-423-e1"	"hdz-423-s223"
"unknown_NA"	"hdz-421-s222"	"hdz-421"	"hdz-421-e1"	"hdz-421-s222"
"warble_238"	"hdz-420-s207"	"hdz-420"	"hdz-420-e1"	"hdz-420-s207"
"warble_239"	"hdz-178-s199"	"hdz-178"	"hdz-178-e1"	"hdz-178-s199"
"warble_240"	"hdz-416-s220"	"hdz-416"	"hdz-416-e1"	"hdz-416-s220"
"warble_242"	"hdz-417-s221"	"hdz-417"	"hdz-417-e1"	"hdz-417-s221"
"warble_243"	"hdz-415-s206"	"hdz-415"	"hdz-415-e1"	"hdz-415-s206"
"warble_244"	"hdz-419-e1-s352"	"hdz-419"	"hdz-419-e1"	"hdz-419-e1-s352"
"warble_245"	"hdz-414-s321"	"hdz-414"	"hdz-414-e1"	"hdz-414-s321"
"warble_246"	"hdz-418-e1-s351"	"hdz-418"	"hdz-418-e1"	"hdz-418-e1-s351"
"warble_247"	"hdz-171-s303"	"hdz-171"	"hdz-171-e1"	"hdz-171-s303"
"warble_248"	"hdz-172-s304"	"hdz-172"	"hdz-172-e1"	"hdz-172-s304"
"warble_249"	"hdz-413-s320"	"hdz-413"	"hdz-413-e1"	"hdz-413-s320"
"warble_250"	"hdz-412-s319"	"hdz-412"	"hdz-412-e1"	"hdz-412-s319"
"warble_251"	"hdz-159-s302"	"hdz-159"	"hdz-159-e1"	"hdz-159-s302"
"warble_252"	"hdz-471"	"hdz-471"	NA	NA
"warble_254"	"hdz-470-e1-s368"	"hdz-470"	"hdz-470-e1"	"hdz-470-e1-s368"
"warble_255"	"hdz-469-e1-s367"	"hdz-469"	"hdz-469-e1"	"hdz-469-e1-s367"
"warble_256"	"hdz-468-e1-s366"	"hdz-468"	"hdz-468-e1"	"hdz-468-e1-s366"
"warble_257"	"hdz-473-s375"	"hdz-473"	"hdz-473-e1"	"hdz-473-s375"
"warble_258"	"hdz-465-s373"	"hdz-465"	"hdz-465-e1"	"hdz-465-s373"
"warble_259"	"hdz-472"	"hdz-472"	NA	NA
"warble_262"	"hdz-463-s371"	"hdz-463"	"hdz-463-e1"	"hdz-463-s371"
"warble_263"	"hdz-462-s370"	"hdz-462"	"hdz-462-e1"	"hdz-462-s370"
"warble_264"	"hdz-467-e1-s365"	"hdz-467"	"hdz-467-e1"	"hdz-467-e1-s365"
"warble_265"	"hdz-158-s301"	"hdz-158"	"hdz-158-e1"	"hdz-158-s301"
"warble_267"	"hdz-459-e1-s363"	"hdz-459"	"hdz-459-e1"	"hdz-459-e1-s363"
"warble_268"	"hdz-458-e1-s362"	"hdz-458"	"hdz-458-e1"	"hdz-458-e1-s362"
"warble_269"	"hdz-461-s369"	"hdz-461"	"hdz-461-e1"	"hdz-461-s369"
"warble_270"	"hdz-457-e1-s361"	"hdz-457"	"hdz-457-e1"	"hdz-457-e1-s361"
"warble_271"	"hdz-456-e1-s360"	"hdz-456"	"hdz-456-e1"	"hdz-456-e1-s360"
"warble_272"	"hdz-466-s374"	"hdz-466"	"hdz-466-e1"	"hdz-466-s374"
"warble_273"	"hdz-455-e1-s359"	"hdz-455"	"hdz-455-e1"	"hdz-455-e1-s359"
"warble_274"	"hdz-460-e1-s364"	"hdz-460"	"hdz-460-e1"	"hdz-460-e1-s364"
"warble_276"	"hdz-454-e1-s358"	"hdz-454"	"hdz-454-e1"	"hdz-454-e1-s358"
"warble_279"	"hdz-482-s384"	"hdz-482"	"hdz-482-e1"	"hdz-482-s384"
"warble_280"	"hdz-488-s390"	"hdz-488"	"hdz-488-e1"	"hdz-488-s390"
"warble_282"	"hdz-483-s385"	"hdz-483"	"hdz-483-e1"	"hdz-483-s385"
"warble_283"	"hdz-489-s391"	"hdz-489"	"hdz-489-e1"	"hdz-489-s391"
"warble_284"	"hdz-495-s397"	"hdz-495"	"hdz-495-e1"	"hdz-495-s397"
"warble_285"	"hdz-494-s396"	"hdz-494"	"hdz-494-e1"	"hdz-494-s396"
"warble_286"	"hdz-477-s379"	"hdz-477"	"hdz-477-e1"	"hdz-477-s379"
"warble_288"	"hdz-476-s378"	"hdz-476"	"hdz-476-e1"	"hdz-476-s378"
"warble_289"	"hdz-500-s402"	"hdz-500"	"hdz-500-e1"	"hdz-500-s402"
"warble_291"	"hdz-478-s380"	"hdz-478"	"hdz-478-e1"	"hdz-478-s380"
"warble_292"	"hdz-484-s386"	"hdz-484"	"hdz-484-e1"	"hdz-484-s386"
"warble_293"	"hdz-490-s392"	"hdz-490"	"hdz-490-e1"	"hdz-490-s392"
"warble_294"	"hdz-501-s403"	"hdz-501"	"hdz-501-e1"	"hdz-501-s403"
"warble_296"	"hdz-507-s408"	"hdz-507"	"hdz-507-e1"	"hdz-507-s408"
"warble_297"	"hdz-502-s404"	"hdz-502"	"hdz-502-e1"	"hdz-502-s404"
"warble_299"	"hdz-497-s399"	"hdz-497"	"hdz-497-e1"	"hdz-497-s399"
"warble_302"	"hdz-508-s409"	"hdz-508"	"hdz-508-e1"	"hdz-508-s409"
"warble_304"	"hdz-503-s405"	"hdz-503"	"hdz-503-e1"	"hdz-503-s405"
"warble_305"	"hdz-491-s393"	"hdz-491"	"hdz-491-e1"	"hdz-491-s393"
"warble_305"	"hdz-506-s407"	"hdz-506"	"hdz-506-e1"	"hdz-506-s407"
"warble_306"	"hdz-485-s387"	"hdz-485"	"hdz-485-e1"	"hdz-485-s387"
"warble_307"	"hdz-509-s410"	"hdz-509"	"hdz-509-e1"	"hdz-509-s410"
"warble_308"	"hdz-479-s381"	"hdz-479"	"hdz-479-e1"	"hdz-479-s381"
"warble_309"	"hdz-510-s411"	"hdz-510"	"hdz-510-e1"	"hdz-510-s411"
"warble_310"	"hdz-504-s406"	"hdz-504"	"hdz-504-e1"	"hdz-504-s406"
"warble_311"	"hdz-498-s400"	"hdz-498"	"hdz-498-e1"	"hdz-498-s400"
"warble_312"	"hdz-492-s394"	"hdz-492"	"hdz-492-e1"	"hdz-492-s394"
"warble_313"	"hdz-505-e1"	"hdz-505"	"hdz-505-e1"	NA
"warble_315"	"hdz-480-s382"	"hdz-480"	"hdz-480-e1"	"hdz-480-s382"
"warble_315"	"hdz-517-s412"	"hdz-517"	"hdz-517-e1"	"hdz-517-s412"
"warble_316"	"hdz-499-s401"	"hdz-499"	"hdz-499-e1"	"hdz-499-s401"
"warble_317"	"hdz-493-s395"	"hdz-493"	"hdz-493-e1"	"hdz-493-s395"
"warble_318"	"hdz-487-s389"	"hdz-487"	"hdz-487-e1"	"hdz-487-s389"
"warble_319"	"hdz-481-s383"	"hdz-481"	"hdz-481-e1"	"hdz-481-s383"
"warble_324"	"hdz-486-s388"	"hdz-486"	"hdz-486-e1"	"hdz-486-s388"
"warble_325"	"hdz-525-s414"	"hdz-525"	"hdz-525-e1"	"hdz-525-s414"
"warble_326"	"hdz-522-s413"	"hdz-522"	"hdz-522-e1"	"hdz-522-s413"
"warble_327"	"hdz-526-e1"	"hdz-526"	"hdz-526-e1"	NA
"warble_328"	"hdz-530"	"hdz-530"	NA	NA
"warble_331"	"hdz-518-e1"	"hdz-518"	"hdz-518-e1"	NA
"warble_332"	"hdz-511-e1"	"hdz-511"	"hdz-511-e1"	NA
"warble_333"	"hdz-514-e1"	"hdz-514"	"hdz-514-e1"	NA
"warble_334"	"hdz-513-e1"	"hdz-513"	"hdz-513-e1"	NA
"warble_336"	"hdz-521-e1"	"hdz-521"	"hdz-521-e1"	NA
"warble_337"	"hdz-551"	"hdz-551"	NA	NA
"warble_338"	"hdz-550"	"hdz-550"	NA	NA
"warble_339"	"hdz-552"	"hdz-552"	NA	NA
"warble_340"	"hdz-547"	"hdz-547"	NA	NA
"warble_341"	"hdz-546"	"hdz-546"	NA	NA
"warble_343"	"hdz-556"	"hdz-556"	NA	NA
"warble_345"	"hdz-549"	"hdz-549"	NA	NA
"warble_346"	"hdz-548"	"hdz-548"	NA	NA
"warble_347"	"hdz-553"	"hdz-553"	NA	NA
"warble_348"	"hdz-555"	"hdz-555"	NA	NA
"warble_349"	"hdz-554"	"hdz-554"	NA	NA
"culi_416"	"hdz-311-s120"	"hdz-311"	"hdz-311-e1"	"hdz-311-s120"
