"subj_day"	"identifier"	"SampleID"	"ExtractID"	"SequenceID"
"culi_35"	"hdz-056-e1"	"hdz-056"	"hdz-056-e1"	NA
"warble_35"	"hdz-072-s34"	"hdz-072"	"hdz-072-e1"	"hdz-072-s34"
"culi_36"	"hdz-066-s5"	"hdz-066"	"hdz-066-e1"	"hdz-066-s5"
"warble_36"	"hdz-061-e1"	"hdz-061"	"hdz-061-e1"	NA
"culi_37"	"hdz-076-s24"	"hdz-076"	"hdz-076-e1"	"hdz-076-s24"
"warble_37"	"hdz-075-e1"	"hdz-075"	"hdz-075-e1"	NA
"culi_38"	"hdz-071-s79"	"hdz-071"	"hdz-071-e1"	"hdz-071-s79"
"warble_38"	"hdz-070-s29"	"hdz-070"	"hdz-070-e1"	"hdz-070-s29"
"culi_39"	"hdz-065-s4"	"hdz-065"	"hdz-065-e1"	"hdz-065-s4"
"warble_41"	"hdz-188-s62"	"hdz-188"	"hdz-188-e1"	"hdz-188-s62"
"culi_42"	"hdz-187-s71"	"hdz-187"	"hdz-187-e1"	"hdz-187-s71"
"warble_42"	"hdz-186-s73"	"hdz-186"	"hdz-186-e1"	"hdz-186-s73"
"culi_43"	"hdz-184-s248"	"hdz-184"	"hdz-184-e1"	"hdz-184-s248"
"warble_43"	"hdz-183-s84"	"hdz-183"	"hdz-183-e1"	"hdz-183-s84"
"culi_44"	"hdz-182-s52"	"hdz-182"	"hdz-182-e1"	"hdz-182-s52"
"culi_45"	"hdz-176-s51"	"hdz-176"	"hdz-176-e1"	"hdz-176-s51"
"warble_45"	"hdz-195-s201"	"hdz-195"	"hdz-195-e1"	"hdz-195-s201"
"warble_45"	"hdz-185"	"hdz-185"	NA	NA
"culi_46"	"hdz-181-s74"	"hdz-181"	"hdz-181-e1"	"hdz-181-s74"
"culi_47"	"hdz-179-s98"	"hdz-179"	"hdz-179-e1"	"hdz-179-s98"
"culi_48"	"hdz-180-s99"	"hdz-180"	"hdz-180-e1"	"hdz-180-s99"
"culi_49"	"hdz-175-s61"	"hdz-175"	"hdz-175-e1"	"hdz-175-s61"
"warble_49"	"hdz-177-s47"	"hdz-177"	"hdz-177-e1"	"hdz-177-s47"
"culi_50"	"hdz-167-s198"	"hdz-167"	"hdz-167-e1"	"hdz-167-s198"
"warble_50"	"hdz-157-s241"	"hdz-157"	"hdz-157-e1"	"hdz-157-s241"
