sampleID	alias	collection	subject	seqrun	barcode	tech_replicates	kit	flow_cell	flow_cell_id	protocol_group_id	ster_mgpml	ster_dose_ml	ster_npday	ster_mgpday	diet_trial	location	med_type	med_name	mgpml	dose_ml	dose_npday	mg_p_day	warble_cycle	access	culi_trial	bristol_min	bristol_max	bristol_mean	note_type	note_detail
hdz-024	hdz-024-s19	2023-11-02	culi	hdz1	barcode19	1	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	6	4.5	none	none
hdz-026	hdz-026-s15	2023-11-02	culi	hdz1	barcode15	1	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	6	4.5	none	none
hdz-022	hdz-022-s31	2023-11-03	culi	hdz2	barcode08	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-023	hdz-023-s20	2023-11-03	warble	hdz1	barcode20	1	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-020	hdz-020-s12	2023-11-04	culi	hdz1	barcode12	1	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-001	hdz-001-s231	2023-11-04	warble	hdz11	barcode01	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-028	hdz-028-s16	2023-11-05	culi	hdz1	barcode16	2	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-028	hdz-028-s36	2023-11-05	culi	hdz2	barcode13	2	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-027	hdz-027-s32	2023-11-05	warble	hdz2	barcode09	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-035	hdz-035-s185	2023-11-06	culi	hdz9	barcode01	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	5	4	none	none
hdz-030	hdz-030-s6	2023-11-06	warble	hdz1	barcode06	2	SQK-16S114-24	FLO-MIN114	FAX08980	hdz1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-030	hdz-030-s37	2023-11-06	warble	hdz2	barcode14	2	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-045	hdz-045-s49	2023-11-07	warble	hdz3	barcode03	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-050	hdz-050-s232	2023-11-08	warble	hdz11	barcode02	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-040	hdz-040-s187	2023-11-09	culi	hdz9	barcode03	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-036	hdz-036-s94	2023-11-09	warble	hdz5	barcode02	1	SQK-16S114-24	FLO-FLG114	AVI712	HDZ-PL-005	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-037	hdz-037-s186	2023-11-10	culi	hdz9	barcode02	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-032	hdz-032-s46	2023-11-11	culi	hdz2	barcode24	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-033	hdz-033-s43	2023-11-11	warble	hdz2	barcode21	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-038	hdz-038-s45	2023-11-12	culi	hdz2	barcode23	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-034	hdz-034-s44	2023-11-12	warble	hdz2	barcode22	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-042	hdz-042-s188	2023-11-13	culi	hdz9	barcode04	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-041	hdz-041-s53	2023-11-13	warble	hdz3	barcode07	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-052	hdz-052-s50	2023-11-13	warble	hdz3	barcode04	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-039	hdz-039-s33	2023-11-14	culi	hdz2	barcode10	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-046	hdz-046-s48	2023-11-14	culi	hdz3	barcode02	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-051	hdz-051-s54	2023-11-14	warble	hdz3	barcode08	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-047	hdz-047-s190	2023-11-15	culi	hdz9	barcode06	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-053	hdz-053-s191	2023-11-18	culi	hdz9	barcode07	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-054	hdz-054-s192	2023-11-19	culi	hdz9	barcode08	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
hdz-044	hdz-044-s189	2023-11-19	warble	hdz9	barcode05	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	NA	NA	NA	none	none
hdz-094	hdz-094-s66	2023-11-20	culi	hdz3	barcode20	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic	3	3	3	none	none
