"diet_name"	"nutrient_class"	"nutrient"	"fed"	"fed_unit"	"relative_fed"	"relative_unit"
"oatgel"	"CHOs"	"ADF"	2435.20325	"mg"	0.08143	"proportion"
"oatgel"	"CHOs"	"NDF"	9629.23644	"mg"	0.322	"proportion"
"oatgel"	"CHOs"	"TDF"	606.16274	"mg"	0.02027	"proportion"
"oatgel"	"CHOs"	"WSC"	0	"mg"	0	"proportion"
"oatgel"	"CHOs"	"crude_fiber"	12395	"mg"	0.41448	"proportion"
"oatgel"	"CHOs"	"starch"	3102.91905	"mg"	0.10376	"proportion"
"oatgel"	"CHOs"	"total"	2005.1413	"mg"	0.06705	"proportion"
"oatgel"	"Ash"	"calcium"	319.66248	"mg"	0.01069	"proportion"
"oatgel"	"Ash"	"magnesium"	190.93112	"mg"	0.00638	"proportion"
"oatgel"	"Ash"	"phosphorus"	157.15731	"mg"	0.00526	"proportion"
"oatgel"	"Ash"	"potassium"	322.43378	"mg"	0.01078	"proportion"
"oatgel"	"Ash"	"copper"	0.45601	"mg"	15.24881	"mg_kg"
"oatgel"	"Ash"	"iodine"	0.02172	"mg"	0.72642	"mg_kg"
"oatgel"	"Ash"	"iron"	5.31891	"mg"	177.86267	"mg_kg"
"oatgel"	"Ash"	"manganese"	1.46863	"mg"	49.11047	"mg_kg"
"oatgel"	"Ash"	"zinc"	2.43729	"mg"	81.50225	"mg_kg"
"oatgel"	"Ash"	"total"	1816.25337	"mg"	0.06073	"proportion"
"oatgel"	"vitamins"	"beta_carotene"	0.33946	"mg"	11.35145	"mg_kg"
"oatgel"	"vitamins"	"lycopene"	0.02571	"mg"	0.85973	"ug_kg"
"oatgel"	"vitamins"	"choline"	35.42382	"mg"	1184.56164	"mg_kg"
"oatgel"	"vitamins"	"folic_acid"	0.2426	"mg"	8.11247	"mg_kg"
"oatgel"	"vitamins"	"vit_B1_thiamin"	0.19693	"mg"	6.58529	"mg_kg"
"oatgel"	"vitamins"	"vit_B2_riboflavin"	0.27704	"mg"	9.26405	"mg_kg"
"oatgel"	"vitamins"	"vit_B3_niacin"	1.92509	"mg"	64.37443	"mg_kg"
"oatgel"	"vitamins"	"vit_B5_pantothenic_acid"	1.17367	"mg"	39.24709	"mg_kg"
"oatgel"	"vitamins"	"vit_B6_pyridoxine"	0.26179	"mg"	8.75416	"mg_kg"
"oatgel"	"vitamins"	"vit_B7_biotin"	0.00822	"mg"	0.27481	"mg_kg"
"oatgel"	"vitamins"	"vit_B12"	0.0452	"mg"	1.51152	"ug_kg"
"oatgel"	"vitamins"	"vit_C"	12.60268	"mg"	421.42964	"mg_kg"
"oatgel"	"vitamins"	"vit_A"	760.41222	"mg"	25.42795	"IU_g"
"oatgel"	"vitamins"	"vit_D3"	130.858	"mg"	4.37585	"IU_g"
"oatgel"	"vitamins"	"vit_E"	6.97048	"mg"	233.09054	"mg_kg"
"oatgel"	"vitamins"	"vit_K"	0.04953	"mg"	1.65643	"mg_kg"
"oatgel"	"vitamins"	"total"	0	"mg"	0	"mg_kg"
"oatgel"	"total"	"total"	90	"kcal"	1	"proportion"
"oatgel"	"total"	"total"	60342.85714	"mg"	1	"proportion"
"oatgel"	"total"	"total"	29904.58333	"mg_dry"	1	"proportion"
"biscuit_elim"	"proteins"	"methionine"	63.79	"mg"	0.002258657	"proportion"
"biscuit_elim"	"proteins"	"taurine"	0	"mg"	0	"proportion"
"biscuit_elim"	"proteins"	"total"	4444	"mg"	0.2	"proportion"
"biscuit_elim"	"fats"	"omega3"	1513	"mg"	0.0054	"mg_g"
"biscuit_elim"	"fats"	"omega6"	5440	"mg"	0.0193	"mg_g"
"biscuit_elim"	"fats"	"total"	1861	"mg"	0.065905076	"proportion"
"biscuit_elim"	"CHOs"	"ADF"	763.86	"mg"	0.027046144	"proportion"
"biscuit_elim"	"CHOs"	"NDF"	9243.2	"mg"	0.32727783	"proportion"
"biscuit_elim"	"CHOs"	"TDF"	1073.62	"mg"	0.038014127	"proportion"
"biscuit_elim"	"CHOs"	"WSC"	0	"mg"	0	"proportion"
"biscuit_elim"	"CHOs"	"crude_fiber"	15300	"mg"	0.541733548	"proportion"
"biscuit_elim"	"CHOs"	"starch"	1175.7	"mg"	0.041628505	"proportion"
"biscuit_elim"	"CHOs"	"total"	3306	"mg"	0.117051162	"proportion"
"biscuit_elim"	"Ash"	"calcium"	257.32	"mg"	0.009110887	"proportion"
"biscuit_elim"	"Ash"	"magnesium"	257.78	"mg"	0.009127275	"proportion"
"biscuit_elim"	"Ash"	"phosphorus"	157.91	"mg"	0.005591296	"proportion"
"biscuit_elim"	"Ash"	"potassium"	334.71	"mg"	0.011851272	"proportion"
"biscuit_elim"	"Ash"	"copper"	0.1	"mg"	5.0155	"mg_kg"
"biscuit_elim"	"Ash"	"iodine"	0	"mg"	0	"mg_kg"
"biscuit_elim"	"Ash"	"iron"	4.3	"mg"	153.4236	"mg_kg"
"biscuit_elim"	"Ash"	"manganese"	0.4	"mg"	12.4065	"mg_kg"
"biscuit_elim"	"Ash"	"zinc"	1.2	"mg"	41.8857	"mg_kg"
"biscuit_elim"	"Ash"	"total"	1431	"mg"	0.050675903	"proportion"
"biscuit_elim"	"vitamins"	"beta_carotene"	0.365	"mg"	12.9073	"mg_kg"
"biscuit_elim"	"vitamins"	"lycopene"	0.039	"mg"	1.3655	"ug_kg"
"biscuit_elim"	"vitamins"	"choline"	33.015	"mg"	1168.976	"mg_kg"
"biscuit_elim"	"vitamins"	"folic_acid"	0.011	"mg"	0.3983	"mg_kg"
"biscuit_elim"	"vitamins"	"vit_B1_thiamin"	0.055	"mg"	1.94	"mg_kg"
"biscuit_elim"	"vitamins"	"vit_B2_riboflavin"	0.213	"mg"	7.5462	"mg_kg"
"biscuit_elim"	"vitamins"	"vit_B3_niacin"	0.962	"mg"	34.0582	"mg_kg"
