"ID"	"culi_1"	"culi_2"	"culi_3"	"culi_4"	"culi_6"	"culi_7"	"culi_8"	"culi_10"	"culi_11"	"culi_12"	"culi_15"	"culi_21"	"culi_25"	"culi_27"	"culi_28"	"culi_29"	"culi_30"	"culi_32"	"culi_36"	"culi_38"	"culi_39"	"culi_42"	"culi_43"	"culi_46"	"culi_48"	"culi_50"	"culi_51"	"culi_52"	"culi_54"	"culi_55"	"culi_58"	"culi_59"	"culi_61"	"culi_62"	"culi_64"	"culi_65"	"culi_68"	"culi_74"	"culi_75"	"culi_77"	"culi_81"	"culi_82"	"culi_83"	"culi_84"	"culi_85"	"culi_86"	"culi_87"	"culi_88"	"culi_89"	"culi_90"	"culi_91"	"culi_92"	"culi_93"	"culi_95"	"culi_96"	"culi_99"	"culi_100"	"culi_103"	"culi_105"	"culi_106"	"culi_107"	"culi_108"	"culi_109"	"culi_111"	"culi_113"	"culi_114"	"culi_115"	"culi_116"	"culi_117"	"culi_118"	"culi_119"	"culi_120"	"culi_121"	"culi_122"	"culi_123"	"culi_125"	"culi_126"	"culi_127"	"culi_128"	"culi_129"	"culi_133"	"culi_134"	"culi_135"	"culi_136"	"culi_137"	"culi_138"	"culi_139"	"culi_140"	"culi_141"	"culi_142"	"culi_143"	"culi_144"	"culi_145"	"culi_146"	"culi_147"	"culi_148"	"culi_150"	"culi_151"	"culi_152"	"culi_153"	"culi_154"	"culi_156"	"culi_157"	"culi_159"	"culi_161"	"culi_172"	"culi_174"	"culi_177"	"culi_178"	"culi_183"	"culi_187"	"culi_192"	"culi_196"	"culi_199"	"culi_200"	"culi_201"	"culi_202"	"culi_416"
"fpt1"	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0
"fpt2"	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0
"fpt3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0.02	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0	0	0	0	0	0.02	0	0	0.02	0.02	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0.02	0	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0	0	0	0	0	0.02	0	0	0.02	0.02	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
"fpt6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
"fpt7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.04	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02
"fpt8"	0.04	0.2	2.63	0.18	0	0	0.2	0.02	0	0	0.53	0	0	0.09	0	0.02	0	0.02	0	0.02	0	0.09	0.07	0	0	0.02	0	0.04	0	0.02	0	0.04	0	0.16	0.04	0	0.13	0	0	0.58	0.16	0.2	0.02	0	0.02	0	0	0.43	0.71	0.62	0.69	0.16	0.11	2.43	0.04	0	0.18	0	0	0.04	0.27	0.18	1.05	0.02	5.58	7.06	0.02	0.02	0.02	5.27	0.96	0.11	0.02	0.02	0.02	0	0	0.13	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0	0.02	3.1	0.07	0	0	0	0	0	0	0	0	0	0.09	0	0.23	0	1.45	0.04	2.31	0.16	1.65
"fpt9"	0.42	0.07	0.31	0.24	0.09	0.33	0	0	0.02	0.04	0	0.04	0	0	0.02	0	0.09	0	0	0.04	0	0.2	0.11	0.07	0.09	0.16	0.49	0.09	0	0.09	0	0.02	0	0.09	0.07	0.2	0	0.02	0	12.94	2.21	0.07	0.04	0.04	0.04	0.2	0.02	0.39	0.02	0.33	0.04	0.29	0.04	0.27	0	0	0.2	0.2	0.02	0.02	0.24	0.02	0.11	0.13	0.49	2.05	0.07	0.04	0.09	0.62	0.04	1.18	0.18	0	0	0	0.02	0.07	0.04	0.04	0	0.02	0.02	0.07	0.04	0.3	0.33	0	0.22	0.04	0	0	0.09	0	0.02	0.13	0	0.98	1.41	0.29	0	0	0	0	0	0.02	0	0.07	0	0.04	0.04	0	0.25	0.71	0	0.42	0.51	2.12
"fpt10"	0.42	0.07	0.33	0.24	0.09	0.33	0	0	0.02	0.04	0	0.04	0	0	0.02	0	0.09	0	0	0.04	0	0.2	0.11	0.07	0.09	0.16	0.49	0.09	0	0.09	0	0.02	0	0.09	0.07	0.2	0	0.02	0	12.94	2.21	0.07	0.07	0.04	0.04	0.2	0.02	0.4	0.02	0.33	0.04	0.29	0.04	0.27	0.02	0	0.2	0.2	0.02	0.04	0.24	0.02	0.13	0.13	0.49	2.07	0.07	0.04	0.09	0.67	0.07	1.2	0.18	0	0	0	0.02	0.07	0.04	0.04	0	0.02	0.02	0.07	0.04	0.3	0.33	0	0.22	0.04	0	0	0.11	0	0.02	0.13	0	1.02	1.52	0.45	0	0	0	0	0	0.02	0	0.07	0	0.04	0.11	0	0.25	0.74	0	0.49	0.51	2.19
