"","joans14","joans21","joans29","joans41","joans44","joans49","joans51","joans56","joans57"
"joans14",0,0.924477369016588,0.945698404488736,0.940955747826047,0.965270149487946,0.960894525388728,0.955430258231437,0.969937255689654,0.953493238094664
"joans21",0.924477369016588,0,0.814611946101583,0.763174541754687,0.697556685516749,0.768979894020935,0.773654808600525,0.768538493687234,0.822155562282469
"joans29",0.945698404488736,0.814611946101583,0,0.782907914603735,0.715059778375758,0.706662193905694,0.721766651774728,0.597392794687612,0.608931078159945
"joans41",0.940955747826047,0.763174541754687,0.782907914603735,0,0.711421873853257,0.751434450334752,0.773358285823916,0.77962290651015,0.788905238453505
"joans44",0.965270149487946,0.697556685516749,0.715059778375758,0.711421873853257,0,0.576976573949666,0.510591647634445,0.658555239546576,0.72296050804789
"joans49",0.960894525388728,0.768979894020935,0.706662193905694,0.751434450334752,0.576976573949666,0,0.53727580563909,0.544895463374595,0.687999875901464
"joans51",0.955430258231437,0.773654808600525,0.721766651774728,0.773358285823916,0.510591647634445,0.53727580563909,0,0.689763052556085,0.754769300283043
"joans56",0.969937255689654,0.768538493687234,0.597392794687612,0.77962290651015,0.658555239546576,0.544895463374595,0.689763052556085,0,0.609950073358463
"joans57",0.953493238094664,0.822155562282469,0.608931078159945,0.788905238453505,0.72296050804789,0.687999875901464,0.754769300283043,0.609950073358463,0
