task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	88/309dec	2765650	fastcat (8)	COMPLETED	0	2024-11-04 21:29:46.380	625ms	143ms	83.2%	4.7 MB	36 MB	5.8 MB	3.9 MB
19	21/ca1342	2765771	fastcat (15)	COMPLETED	0	2024-11-04 21:29:46.403	615ms	149ms	92.4%	4.9 MB	36 MB	7.3 MB	5 MB
27	11/4b93ea	2765622	fastcat (23)	COMPLETED	0	2024-11-04 21:29:46.373	649ms	160ms	115.2%	4.6 MB	36 MB	10 MB	6.9 MB
28	26/0a5224	2765605	fastcat (24)	COMPLETED	0	2024-11-04 21:29:46.359	666ms	168ms	132.6%	4.7 MB	36 MB	12.6 MB	8.8 MB
24	29/35b0b8	2765697	fastcat (20)	COMPLETED	0	2024-11-04 21:29:46.391	637ms	157ms	135.4%	4.8 MB	36 MB	12.9 MB	8.8 MB
3	55/70c306	2765808	minimap_pipeline:run_common:getParams	COMPLETED	0	2024-11-04 21:29:46.409	641ms	4ms	54.9%	0	0	81 KB	3.4 KB
7	de/4acb11	2765612	fastcat (3)	COMPLETED	0	2024-11-04 21:29:46.367	682ms	147ms	118.7%	4.6 MB	36 MB	9.9 MB	6.8 MB
8	67/bf733e	2765668	fastcat (4)	COMPLETED	0	2024-11-04 21:29:46.386	663ms	159ms	108.2%	4.7 MB	36 MB	9.2 MB	6.3 MB
11	2c/fe719b	2767581	fastcat (7)	COMPLETED	0	2024-11-04 21:29:47.013	375ms	107ms	133.4%	87.9 MB	511.4 MB	8.1 MB	5.5 MB
34	86/7b7c47	2767852	minimap_pipeline:output_results (1)	COMPLETED	0	2024-11-04 21:29:47.071	321ms	4ms	53.6%	0	0	77.8 KB	263 B
16	b0/c618f2	2767609	fastcat (12)	COMPLETED	0	2024-11-04 21:29:47.024	377ms	103ms	172.6%	89.6 MB	512.3 MB	9.7 MB	6.7 MB
6	a6/17b5aa	2767682	fastcat (2)	COMPLETED	0	2024-11-04 21:29:47.045	367ms	101ms	157.7%	88.3 MB	512.3 MB	9.5 MB	6.5 MB
13	e5/b791ed	2767721	fastcat (9)	COMPLETED	0	2024-11-04 21:29:47.051	363ms	99ms	142.6%	89.6 MB	512.3 MB	8.3 MB	5.6 MB
26	89/ee73ac	2767766	fastcat (22)	COMPLETED	0	2024-11-04 21:29:47.058	369ms	99ms	159.7%	89.5 MB	511.4 MB	9 MB	6.2 MB
