"ID"	"hdz.013"	"hdz.014"	"hdz.021"	"hdz.011"	"hdz.010"	"hdz.016"	"hdz.026"	"hdz.024"	"hdz.020"	"hdz.035"	"hdz.040"	"hdz.047"	"hdz.054"	"hdz.069"	"hdz.064"	"hdz.063"	"hdz.057"	"hdz.071"	"hdz.065"	"hdz.187"	"hdz.184"	"hdz.181"	"hdz.180"	"hdz.167"	"hdz.060"	"hdz.174"	"hdz.163"	"hdz.098"	"hdz.102"	"hdz.097"	"hdz.087"	"hdz.085"	"hdz.192"	"hdz.264"	"hdz.258"	"hdz.274"	"hdz.252"	"hdz.249"	"hdz.240"	"hdz.272"	"hdz.250"	"hdz.270"	"hdz.273"	"hdz.262"	"hdz.271"	"hdz.203"	"hdz.266"	"hdz.394"	"hdz.196"	"hdz.235"	"hdz.198"	"hdz.326"	"hdz.330"	"hdz.318"	"hdz.317"	"hdz.308"	"hdz.314"	"hdz.319"	"hdz.324"	"hdz.305"	"hdz.310"	"hdz.320"	"hdz.301"	"hdz.241"	"hdz.327"	"hdz.236"	"hdz.230"	"hdz.222"	"hdz.398"	"hdz.339"	"hdz.321"	"hdz.221"	"hdz.408"	"hdz.219"	"hdz.220"	"hdz.392"	"hdz.229"	"hdz.405"	"hdz.350"	"hdz.224"	"hdz.215"	"hdz.227"	"hdz.226"	"hdz.388"	"hdz.352"	"hdz.354"	"hdz.361"	"hdz.452"	"hdz.426"	"hdz.442"	"hdz.445"	"hdz.311"
"txid185008"	22	29	16	16	17	25	21	79	19	19	61	28	27	14	13	42	31	39	52	34	32	53	26	21	23	51	15	10	5	44	11	29	15	13	20	26	24	6	18	24	6	27	24	10	21	36	45	80	95	42	46	30	93	24	40	26	28	25	34	24	24	25	24	27	30	18	47	67	40	31	27	50	76	57	104	68	97	27	56	36	31	29	14	38	29	14	6	0	34	0	1	45
"txid1432052"	16	19	17	17	24	52	28	69	26	40	36	70	20	43	17	35	27	37	53	38	41	30	71	30	50	29	42	62	8	66	54	91	50	18	33	29	9	13	8	66	31	40	52	29	47	62	91	42	62	64	99	53	74	25	30	7	20	45	41	29	23	20	81	39	45	18	41	51	81	15	11	47	132	5	162	16	50	73	56	40	20	7	17	28	1	5	11	0	19	0	0	22
"txid358742"	1	1	0	1	1	0	2	0	0	0	0	3	1	1	0	3	0	1	2	2	0	1	0	0	2	0	0	0	0	0	1	2	1	0	0	1	0	0	0	1	1	2	2	3	1	2	0	0	3	1	3	2	1	2	3	0	1	1	2	1	2	1	1	0	1	1	0	1	0	4	1	1	0	0	2	0	0	3	1	0	0	0	0	0	0	0	1	0	1	0	0	1
"txid208479"	11	3	5	6	3	6	16	4	11	19	26	28	31	21	13	23	25	10	15	26	12	11	10	4	11	10	32	12	8	25	29	41	12	7	15	33	4	3	11	8	5	15	14	22	19	23	20	9	35	18	29	26	17	19	32	15	58	24	36	21	17	15	14	24	15	9	13	17	10	7	1	18	36	25	20	3	17	13	9	14	31	9	8	10	0	2	1	0	19	0	0	19
"txid358743"	2	1	1	0	1	3	3	8	2	2	2	8	3	2	3	2	3	2	6	2	2	3	6	4	5	3	4	0	2	7	4	9	7	1	1	2	4	1	0	3	2	2	3	3	4	6	5	2	3	6	7	3	4	1	3	0	2	3	1	5	3	1	10	3	3	2	2	6	2	2	0	10	13	3	15	0	3	7	3	2	2	1	0	3	0	0	2	0	6	0	0	1
"txid1531"	0	0	0	0	0	0	0	0	0	1	0	1	2	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1	3	1	1	0	2	1	1	1	0	1	0	2	0	1	1	0	1	0	2	1	0	1	0	3	1	0	0	6	0	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1
"txid39482"	3	2	0	1	2	4	3	2	2	3	2	7	2	6	4	2	3	2	3	3	8	7	1	6	5	6	9	1	2	2	3	3	3	2	2	6	5	2	5	2	1	6	9	5	6	10	5	4	2	5	3	5	7	2	8	3	9	5	3	1	3	4	2	8	1	2	5	7	7	2	1	3	8	25	3	1	2	2	2	5	3	3	1	1	0	0	0	0	14	0	0	5
"txid1912090"	3	1	1	1	1	1	2	2	2	1	1	2	2	1	0	2	0	0	1	1	1	1	1	1	2	1	1	0	0	0	1	1	1	2	2	0	1	0	1	1	0	1	4	0	1	0	1	0	3	2	2	1	3	4	0	2	3	1	3	0	2	1	0	1	0	2	1	1	1	0	0	2	3	1	4	0	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	4
"txid2885351"	1	1	0	0	0	1	0	1	1	0	0	2	1	0	1	1	1	0	0	1	1	1	2	2	1	2	2	0	1	1	2	2	2	0	2	1	1	0	1	4	1	1	1	0	1	2	1	1	1	1	2	1	2	1	0	1	3	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	2	1	0	0	1	1	1	1	2	1	0	1	0	0	0	0	1	0	0	2
"txid1469948"	9	5	5	3	3	4	6	6	4	3	5	7	3	3	1	2	8	2	5	4	2	3	2	3	2	4	1	2	2	1	4	3	2	1	1	2	1	2	4	1	3	3	2	3	3	1	4	5	15	3	3	1	6	3	4	8	5	2	9	4	4	2	4	3	2	0	1	10	4	1	0	5	6	8	5	1	3	3	7	6	4	3	2	4	0	0	1	0	2	0	0	6
