"ID"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"fpt114"	0.09	0	0	0.01	0	0	0	0	0
"fpt115"	4.72	40.93	24.39	10.93	15	13.39	8.59	33.66	12.3
"fpt116"	0.13	4.41	0.33	0.31	0.64	0.21	0.4	0.37	0.14
"fpt117"	0.17	0.03	0	0	0	0	0	0.01	0
"fpt118"	1.01	0.31	0.01	0.1	0.04	0.04	0	0.01	0
"fpt119"	0.01	0.1	0.01	0.31	0.06	0.03	0.04	0.04	0
"fpt120"	0.09	0	0	0.01	0	0	0	0	0
"fpt121"	0.01	0	0.01	0	0.01	0.01	0.03	0.03	0
"fpt122"	0.26	0.3	0.01	0.3	0.2	0.1	0.27	0.11	0.03
"fpt123"	0	0.1	0	0.31	0.04	0.01	0.01	0.01	0
"fpt124"	4.86	41.17	24.82	11.55	15.07	13.56	8.72	33.73	12.31
"fpt125"	0	0	0	0.03	0	0	0	0	0
"fpt126"	0.1	0	0.01	0.01	0.01	0.01	0.03	0.03	0
"fpt127"	0.35	0.29	0	0.23	0.01	0.01	0.01	0.03	0
"fpt128"	0.17	0.03	0	0	0	0	0	0.01	0
"fpt129"	0	0.01	0	0	0	0	0.01	0	0
"fpt130"	5.55	47.9	29.95	16.71	29.59	32.43	36.46	45.3	14.54
"fpt131"	0.09	0	0	0.01	0	0	0	0	0
"fpt132"	0	0	0.03	0.19	0.01	0.01	0.03	0	0.01
"fpt133"	1.02	2.47	5.26	4.84	6.66	5.12	5.25	7.09	3.04
"fpt134"	0	0.01	0	0.04	0.01	0	0	0	0
"fpt135"	31.47	41.8	25.24	14.54	23.82	29.42	33.87	38.84	12.66
"fpt136"	7.06	47.94	30	16.6	29.58	32.42	36.45	45.3	14.54
"fpt137"	0.09	0	0	0.01	0	0	0	0	0
"fpt138"	0	0.01	0	0.11	0.01	0	0.01	0	0
"fpt139"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt140"	0.09	0.23	0	0.19	0.01	0	0.01	0	0
"fpt141"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt142"	0.09	0.21	0	0.07	0	0	0	0	0
"fpt143"	0.26	0.03	0	0.01	0	0	0	0.01	0
"fpt144"	0.09	0	0	0.01	0	0	0	0	0
"fpt145"	0.09	0	0	0.01	0	0	0	0	0
"fpt146"	12.64	41.06	24.79	11.72	15.82	14.99	10.39	34.28	12.89
"fpt147"	0.09	0.01	0	0.03	0	0.01	0	0	0
"fpt148"	0.01	0	0.01	0	0.01	0.01	0.03	0.03	0
"fpt149"	1.05	0.3	0.01	0.07	0.04	0.01	0.01	0.01	0
"fpt150"	0	0	0.33	0.04	0.74	1.53	1.74	0.56	0.57
"fpt151"	0	0.1	0	0.31	0.04	0.01	0.01	0.01	0
"fpt152"	0	0	0	0.03	0	0	0	0	0
"fpt153"	0.01	0.1	0.29	0.34	0.07	0.03	0.04	0.04	0
