"ID"	"seqrun"	"subject"	"collection"	"study_day"	"study_week"	"diet"	"location"	"estrus"	"pregnant"	"together"	"steroid_dose"	"bristol_min"	"bristol_max"	"bristol_mean"	"diet_steroid"	"diet_week"	"diet.num"	"subj.num"	"loc.num"	"est.num"	"pre.num"	"acc.num"
"C1"	"hdz1"	"C"	2023-10-26	1	1	"Base"	"old"	"Y"	NA	"Y"	0	3	5	4	"Base.0"	"Base.1"	1	2	1	1	NA	1
"C2"	"hdz1"	"C"	2023-10-27	2	1	"Base"	"old"	"Y"	NA	"Y"	0	3	6	4.5	"Base.0"	"Base.1"	1	2	1	1	NA	1
"C3"	"hdz1"	"C"	2023-10-28	3	1	"Base"	"old"	"Y"	NA	"Y"	0	3	3	3	"Base.0"	"Base.1"	1	2	1	1	NA	1
"C4"	"hdz1"	"C"	2023-10-29	4	1	"Base"	"old"	"Y"	NA	"Y"	0	3	3	3	"Base.0"	"Base.1"	1	2	1	1	NA	1
"C6"	"hdz1"	"C"	2023-10-31	6	1	"Base"	"old"	NA	"N"	"N"	0	3	3	3	"Base.0"	"Base.1"	1	2	1	NA	2	2
"C7"	"hdz1"	"C"	2023-11-01	7	1	"Base"	"old"	NA	"N"	"N"	0	3	3	3	"Base.0"	"Base.1"	1	2	1	NA	2	2
"C8"	"hdz1"	"C"	2023-11-02	8	2	"PB"	"old"	NA	"N"	"N"	0	3	6	4.5	"PB.0"	"PB.2"	2	2	1	NA	2	2
"C10"	"hdz1"	"C"	2023-11-04	10	2	"PB"	"old"	NA	"N"	"N"	0	3	3	3	"PB.0"	"PB.2"	2	2	1	NA	2	2
"C29"	"hdz1"	"C"	2023-11-23	29	5	"PB+O"	"old"	NA	"N"	"N"	0	3	3	3	"PB+O.0"	"PB+O.5"	3	2	1	NA	2	2
"C30"	"hdz1"	"C"	2023-11-24	30	5	"PB+O"	"old"	NA	"N"	"N"	0	3	3	3	"PB+O.0"	"PB+O.5"	3	2	1	NA	2	2
"C38"	"hdz4"	"C"	2023-12-02	38	6	"PB+O"	"old"	NA	"N"	"N"	0	3	3	3	"PB+O.0"	"PB+O.6"	3	2	1	NA	2	2
"C39"	"hdz1"	"C"	2023-12-03	39	6	"PB+O"	"old"	NA	"N"	"N"	0	3	6	4.5	"PB+O.0"	"PB+O.6"	3	2	1	NA	2	2
