"ID"	"seqrun"	"subject"	"collection"	"study_day"	"study_week"	"diet"	"location"	"estrus"	"pregnant"	"together"	"steroid_dose"	"bristol_min"	"bristol_max"	"bristol_mean"	"diet_steroid"	"diet_week"	"diet.num"	"subj.num"	"loc.num"	"est.num"	"pre.num"	"acc.num"
"C42"	"hdz4"	"C"	2023-12-06	42	6	"PB+O"	"old"	NA	"N"	"N"	0	3	3	3	"PB+O.0"	"PB+O.6"	3	2	1	NA	2	2
"C43"	"hdz11"	"C"	2023-12-07	43	7	"PB+O"	"old"	NA	"N"	"N"	0	3	3	3	"PB+O.0"	"PB+O.7"	3	2	1	NA	2	2
"C46"	"hdz4"	"C"	2023-12-10	46	7	"PB+O"	"old"	NA	"N"	"N"	0	3	3	3	"PB+O.0"	"PB+O.7"	3	2	1	NA	2	2
"C48"	"hdz5"	"C"	2023-12-12	48	7	"PB+O"	"old"	NA	"N"	"N"	0	3	3	3	"PB+O.0"	"PB+O.7"	3	2	1	NA	2	2
"C51"	"hdz4"	"C"	2023-12-15	51	8	"S"	"old"	NA	"N"	"N"	0.1	5	6	5.5	"S.0.1"	"S.8"	4	2	1	NA	2	2
"C52"	"hdz11"	"C"	2023-12-16	52	8	"S"	"old"	NA	"N"	"N"	0.1	3	3	3	"S.0.1"	"S.8"	4	2	1	NA	2	2
"C55"	"hdz4"	"C"	2023-12-19	55	8	"S"	"old"	NA	"N"	"N"	0.1	3	3	3	"S.0.1"	"S.8"	4	2	1	NA	2	2
"C59"	"hdz5"	"C"	2023-12-23	59	9	"S"	"old"	NA	"N"	"N"	0.1	3	3	3	"S.0.1"	"S.9"	4	2	1	NA	2	2
"C61"	"hdz4"	"C"	2023-12-25	61	9	"S"	"old"	NA	"N"	"N"	0.1	3	3	3	"S.0.1"	"S.9"	4	2	1	NA	2	2
"C65"	"hdz4"	"C"	2023-12-29	65	10	"S"	"old"	NA	"N"	"N"	0.1	3	3	3	"S.0.1"	"S.10"	4	2	1	NA	2	2
"C68"	"hdz4"	"C"	2024-01-01	68	10	"S"	"old"	NA	"N"	"N"	0.1	3	3	3	"S.0.1"	"S.10"	4	2	1	NA	2	2
"C74"	"hdz4"	"C"	2024-01-07	74	11	"S"	"old"	NA	"N"	"N"	0.2	3	3	3	"S.0.2"	"S.11"	4	2	1	NA	2	2
"C75"	"hdz8"	"C"	2024-01-08	75	11	"S"	"old"	NA	"N"	"N"	0.2	3	3	3	"S.0.2"	"S.11"	4	2	1	NA	2	2
"C77"	"hdz8"	"C"	2024-01-10	77	11	"S"	"old"	NA	"N"	"N"	0.2	3	3	3	"S.0.2"	"S.11"	4	2	1	NA	2	2
"C82"	"hdz14"	"C"	2024-01-15	82	12	"S"	"old"	NA	"N"	"N"	0.2	3	3	3	"S.0.2"	"S.12"	4	2	1	NA	2	2
"C86"	"hdz7"	"C"	2024-01-19	86	13	"S"	"old"	NA	"N"	"N"	0.2	1	1	1	"S.0.2"	"S.13"	4	2	1	NA	2	2
"C87"	"hdz7"	"C"	2024-01-20	87	13	"S"	"old"	NA	"N"	"N"	0.2	2	2	2	"S.0.2"	"S.13"	4	2	1	NA	2	2
"C88"	"hdz7"	"C"	2024-01-21	88	13	"S"	"old"	NA	"N"	"N"	0.2	6	6	6	"S.0.2"	"S.13"	4	2	1	NA	2	2
"C89"	"hdz14"	"C"	2024-01-22	89	13	"S"	"old"	NA	"N"	"N"	0.2	6	6	6	"S.0.2"	"S.13"	4	2	1	NA	2	2
"C90"	"hdz14"	"C"	2024-01-23	90	13	"S"	"old"	NA	"N"	"N"	0.2	2	2	2	"S.0.2"	"S.13"	4	2	1	NA	2	2
"C91"	"hdz8"	"C"	2024-01-24	91	13	"S"	"old"	NA	"N"	"N"	0.2	2	2	2	"S.0.2"	"S.13"	4	2	1	NA	2	2
"C92"	"hdz14"	"C"	2024-01-25	92	14	"S+PB+O"	"old"	NA	"N"	"N"	0.2	5	6	5.5	"S+PB+O.0.2"	"S+PB+O.14"	6	2	1	NA	2	2
"C95"	"hdz12"	"C"	2024-01-28	95	14	"S+PB+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.14"	6	2	1	NA	2	2
"C99"	"hdz12"	"C"	2024-02-01	99	15	"S+PB+O"	"old"	NA	"N"	"N"	0.2	3	3	3	"S+PB+O.0.2"	"S+PB+O.15"	6	2	1	NA	2	2
"C103"	"hdz4"	"C"	2024-02-05	103	15	"S+PB+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.15"	6	2	1	NA	2	2
"C105"	"hdz13"	"C"	2024-02-07	105	15	"S+PB+O"	"old"	NA	"N"	"N"	0.2	3	3	3	"S+PB+O.0.2"	"S+PB+O.15"	6	2	1	NA	2	2
"C106"	"hdz4"	"C"	2024-02-08	106	16	"S+PB+O"	"old"	NA	"N"	"N"	0.2	3	6	4.5	"S+PB+O.0.2"	"S+PB+O.16"	6	2	1	NA	2	2
"C107"	"hdz6"	"C"	2024-02-09	107	16	"S+PB+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.16"	6	2	1	NA	2	2
"C108"	"hdz15"	"C"	2024-02-10	108	16	"S+PB+O"	"old"	NA	"N"	"N"	0.2	6	6	6	"S+PB+O.0.2"	"S+PB+O.16"	6	2	1	NA	2	2
"C111"	"hdz7"	"C"	2024-02-13	111	16	"S+PB+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.16"	6	2	1	NA	2	2
"C113"	"hdz6"	"C"	2024-02-15	113	17	"S+PB+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.17"	6	2	1	NA	2	2
"C114"	"hdz6"	"C"	2024-02-16	114	17	"S+PB+O"	"old"	NA	"N"	"N"	0.2	3	3	3	"S+PB+O.0.2"	"S+PB+O.17"	6	2	1	NA	2	2
"C116"	"hdz6"	"C"	2024-02-18	116	17	"S+PB+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.17"	6	2	1	NA	2	2
"C117"	"hdz5"	"C"	2024-02-19	117	17	"S+PB+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.17"	6	2	1	NA	2	2
"C118"	"hdz6"	"C"	2024-02-20	118	17	"S+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+O.0.2"	"S+O.17"	5	2	1	NA	2	2
"C119"	"hdz6"	"C"	2024-02-21	119	17	"S+O"	"old"	NA	"N"	"N"	0.2	3	3	3	"S+O.0.2"	"S+O.17"	5	2	1	NA	2	2
"C120"	"hdz5"	"C"	2024-02-22	120	18	"S+O"	"old"	NA	"N"	"N"	0.2	3	3	3	"S+O.0.2"	"S+O.18"	5	2	1	NA	2	2
"C121"	"hdz7"	"C"	2024-02-23	121	18	"S+PB+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.18"	6	2	1	NA	2	2
"C123"	"hdz6"	"C"	2024-02-25	123	18	"S+PB+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.18"	6	2	1	NA	2	2
"C125"	"hdz13"	"C"	2024-02-27	125	18	"S+PB+O"	"old"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.18"	6	2	1	NA	2	2
"C128"	"hdz13"	"C"	2024-03-01	128	19	"S+PB+O"	"new"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.19"	6	2	2	NA	2	2
"C129"	"hdz5"	"C"	2024-03-02	129	19	"S+PB+O"	"new"	NA	"N"	"N"	0.2	2	2	2	"S+PB+O.0.2"	"S+PB+O.19"	6	2	2	NA	2	2
"C137"	"hdz6"	"C"	2024-03-10	137	20	"S+PB+O"	"new"	NA	"N"	"N"	0.2	3	6	4.5	"S+PB+O.0.2"	"S+PB+O.20"	6	2	2	NA	2	2
"C141"	"hdz4"	"C"	2024-03-14	141	21	"S+PB+O"	"new"	NA	"N"	"N"	0.2	3	3	3	"S+PB+O.0.2"	"S+PB+O.21"	6	2	2	NA	2	2
"C142"	"hdz15"	"C"	2024-03-15	142	21	"S+PB+O"	"new"	NA	"N"	"N"	0.2	3	6	4.5	"S+PB+O.0.2"	"S+PB+O.21"	6	2	2	NA	2	2
"C143"	"hdz4"	"C"	2024-03-16	143	21	"S+PB+O"	"new"	NA	"N"	"N"	0.2	5	6	5.5	"S+PB+O.0.2"	"S+PB+O.21"	6	2	2	NA	2	2
"C144"	"hdz4"	"C"	2024-03-17	144	21	"S+PB+O"	"new"	NA	"N"	"N"	0.2	3	3	3	"S+PB+O.0.2"	"S+PB+O.21"	6	2	2	NA	2	2
"C151"	"hdz8"	"C"	2024-03-24	151	22	"S+PB+O"	"new"	NA	"N"	"N"	0.2	3	6	4.5	"S+PB+O.0.2"	"S+PB+O.22"	6	2	2	NA	2	2
"C152"	"hdz6"	"C"	2024-03-25	152	22	"S+PB+O"	"new"	NA	"N"	"N"	0.2	5	5	5	"S+PB+O.0.2"	"S+PB+O.22"	6	2	2	NA	2	2
"C154"	"hdz5"	"C"	2024-03-27	154	22	"S+PB+O"	"new"	NA	"N"	"N"	0.2	3	6	4.5	"S+PB+O.0.2"	"S+PB+O.22"	6	2	2	NA	2	2
"C156"	"hdz6"	"C"	2024-03-29	156	23	"S+PB+O"	"new"	NA	"N"	"N"	0.2	3	3	3	"S+PB+O.0.2"	"S+PB+O.23"	6	2	2	NA	2	2
"C157"	"hdz6"	"C"	2024-03-30	157	23	"S+PB+O"	"new"	NA	"N"	"N"	0.2	3	3	3	"S+PB+O.0.2"	"S+PB+O.23"	6	2	2	NA	2	2
"C159"	"hdz12"	"C"	2024-04-01	159	23	"S+PB+O"	"new"	NA	"N"	"N"	0.2	3	6	4.5	"S+PB+O.0.2"	"S+PB+O.23"	6	2	2	NA	2	2
"C174"	"hdz8"	"C"	2024-04-16	174	25	"S+PB+O"	"new"	NA	"Y"	NA	0.2	3	4	3.5	"S+PB+O.0.2"	"S+PB+O.25"	6	2	2	NA	1	NA
"C177"	"hdz8"	"C"	2024-04-19	177	26	"S+PB+O"	"new"	NA	"Y"	NA	0.2	3	6	4.5	"S+PB+O.0.2"	"S+PB+O.26"	6	2	2	NA	1	NA
"C178"	"hdz8"	"C"	2024-04-20	178	26	"S+PB+O"	"new"	NA	"Y"	NA	0.2	3	6	4.5	"S+PB+O.0.2"	"S+PB+O.26"	6	2	2	NA	1	NA
"C200"	"hdz13"	"C"	2024-05-12	200	29	"S+PB+O"	"new"	NA	"Y"	NA	0.2	6	6	6	"S+PB+O.0.2"	"S+PB+O.29"	6	2	2	NA	1	NA
"C201"	"hdz13"	"C"	2024-05-13	201	29	"S+PB+O"	"new"	NA	"Y"	NA	0.2	3	5	4	"S+PB+O.0.2"	"S+PB+O.29"	6	2	2	NA	1	NA
"C416"	"hdz6"	"C"	2024-12-14	416	60	NA	NA	"N"	NA	NA	0	NA	NA	NA	NA	NA	NA	2	NA	2	NA	NA
