"ID"	"SampleID"
"culi:1"	"culi:1"
"culi:2"	"culi:2"
"culi:3"	"culi:3"
"culi:4"	"culi:4"
"culi:6"	"culi:6"
"culi:7"	"culi:7"
"culi:8"	"culi:8"
"culi:10"	"culi:10"
"culi:11"	"culi:11"
"culi:12"	"culi:12"
"culi:15"	"culi:15"
"culi:21"	"culi:21"
"culi:25"	"culi:25"
"culi:27"	"culi:27"
"culi:28"	"culi:28"
"culi:29"	"culi:29"
"culi:30"	"culi:30"
"culi:32"	"culi:32"
"culi:36"	"culi:36"
"culi:38"	"culi:38"
"culi:39"	"culi:39"
"culi:42"	"culi:42"
"culi:43"	"culi:43"
"culi:46"	"culi:46"
"culi:48"	"culi:48"
"culi:50"	"culi:50"
"culi:51"	"culi:51"
"culi:52"	"culi:52"
"culi:54"	"culi:54"
"culi:55"	"culi:55"
"culi:58"	"culi:58"
"culi:59"	"culi:59"
"culi:61"	"culi:61"
"culi:62"	"culi:62"
"culi:64"	"culi:64"
"culi:65"	"culi:65"
"culi:68"	"culi:68"
"culi:74"	"culi:74"
"culi:75"	"culi:75"
"culi:77"	"culi:77"
"culi:81"	"culi:81"
"culi:82"	"culi:82"
"culi:83"	"culi:83"
"culi:84"	"culi:84"
"culi:85"	"culi:85"
"culi:86"	"culi:86"
"culi:87"	"culi:87"
"culi:88"	"culi:88"
"culi:89"	"culi:89"
"culi:90"	"culi:90"
"culi:91"	"culi:91"
"culi:92"	"culi:92"
"culi:93"	"culi:93"
"culi:95"	"culi:95"
"culi:96"	"culi:96"
"culi:99"	"culi:99"
"culi:100"	"culi:100"
"culi:103"	"culi:103"
"culi:105"	"culi:105"
"culi:106"	"culi:106"
"culi:107"	"culi:107"
"culi:108"	"culi:108"
"culi:109"	"culi:109"
"culi:111"	"culi:111"
"culi:113"	"culi:113"
"culi:114"	"culi:114"
"culi:115"	"culi:115"
"culi:116"	"culi:116"
"culi:117"	"culi:117"
"culi:118"	"culi:118"
"culi:119"	"culi:119"
"culi:120"	"culi:120"
"culi:121"	"culi:121"
"culi:122"	"culi:122"
"culi:123"	"culi:123"
"culi:125"	"culi:125"
"culi:126"	"culi:126"
"culi:127"	"culi:127"
"culi:128"	"culi:128"
"culi:129"	"culi:129"
"culi:133"	"culi:133"
"culi:134"	"culi:134"
"culi:135"	"culi:135"
"culi:136"	"culi:136"
"culi:137"	"culi:137"
"culi:138"	"culi:138"
"culi:139"	"culi:139"
"culi:140"	"culi:140"
"culi:141"	"culi:141"
"culi:142"	"culi:142"
"culi:143"	"culi:143"
"culi:144"	"culi:144"
"culi:145"	"culi:145"
"culi:146"	"culi:146"
"culi:147"	"culi:147"
"culi:148"	"culi:148"
"culi:150"	"culi:150"
"culi:151"	"culi:151"
"culi:152"	"culi:152"
"culi:153"	"culi:153"
"culi:154"	"culi:154"
"culi:156"	"culi:156"
"culi:157"	"culi:157"
"culi:159"	"culi:159"
"culi:161"	"culi:161"
"culi:172"	"culi:172"
"culi:174"	"culi:174"
"culi:177"	"culi:177"
"culi:178"	"culi:178"
"culi:183"	"culi:183"
"culi:187"	"culi:187"
"culi:192"	"culi:192"
"culi:196"	"culi:196"
"culi:199"	"culi:199"
"culi:200"	"culi:200"
"culi:201"	"culi:201"
"culi:202"	"culi:202"
"culi:416"	"culi:416"
