"SequenceID"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"ExtractID"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"SampleID"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"CollectionDate"	"Subject"	"Subj_Certainty"
"HDZ-005-S11"	"hdz1"	11	11	"HDZ-005-E1"	2	30	18	1.78	25576	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-03	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-005"	"HDZ Loris DNA Extracts Box 1"	""	24	"HDZ Keepers"	"Suspected date of conception"	2023-10-27	"Warble"	"yes"
"HDZ-020-S12"	"hdz1"	12	12	"HDZ-020-E1"	2	30	18	2.27	23963	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-020"	"HDZ Loris DNA Extracts Box 1"	""	15	"HDZ Keepers"	""	2023-11-04	"Culi"	"yes"
"HDZ-019-S13"	"hdz1"	13	13	"HDZ-019-E1"	2	30	18	2.67	19320	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-15	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-019"	"HDZ Loris DNA Extracts Box 1"	""	22	"HDZ Keepers"	"Complete vaginal closure"	2023-10-29	"Warble"	"yes"
"HDZ-029-S14"	"hdz1"	14	14	"HDZ-029-E1"	1	30	18	3.69	12471	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-029"	"HDZ Loris DNA Extracts Box 1"	""	12	"HDZ Keepers"	""	2023-11-02	"Unknown"	"no"
"HDZ-026-S15"	"hdz1"	15	15	"HDZ-026-E1"	1	30	18	3.05	15448	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-026"	"HDZ Loris DNA Extracts Box 1"	""	28	"HDZ Keepers"	""	2023-11-02	"Culi"	"yes"
"HDZ-028-S16"	"hdz1"	16	16	"HDZ-028-E1"	1	30	18	7	8057	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-028"	"HDZ Loris DNA Extracts Box 1"	""	20	"HDZ Keepers"	""	2023-11-05	"Culi"	"yes"
"HDZ-025-S17"	"hdz1"	17	17	"HDZ-025-E1"	2	30	18	2.39	20610	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-025"	"HDZ Loris DNA Extracts Box 1"	""	24	"HDZ Keepers"	""	2023-10-31	"Warble"	"yes"
"HDZ-014-S18"	"hdz1"	18	18	"HDZ-014-E1"	2	30	18	1.89	26708	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2023-11-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-014"	"HDZ Loris DNA Extracts Box 1"	""	22	"HDZ Keepers"	""	2023-10-27	"Culi"	"yes"
"HDZ-024-S19"	"hdz1"	19	19	"HDZ-024-E1"	0	30	18	8.7	9525	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-024"	"HDZ Loris DNA Extracts Box 1"	""	23	"HDZ Keepers"	""	2023-11-02	"Culi"	"yes"
"HDZ-023-S20"	"hdz1"	20	20	"HDZ-023-E1"	1	30	18	5.6	8841	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-023"	"HDZ Loris DNA Extracts Box 1"	""	29	"HDZ Keepers"	""	2023-11-03	"Warble"	"yes"
"HDZ-016-S21"	"hdz1"	21	21	"HDZ-016-E1"	1	30	18	2.83	16345	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-17	"SA/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-016"	"HDZ Loris DNA Extracts Box 1"	""	22	"HDZ Keepers"	""	2023-11-01	"Culi"	"yes"
"HDZ-055-S22"	"hdz1"	22	22	"HDZ-055-E1"	2	30	18	2.77	15957	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-055"	"HDZ Loris DNA Extracts Box 1"	""	49	"HDZ Keepers"	"No date or name on tube, gathered from zoo on 12/13 (AMR)"	NA	"Unknown"	"no"
"HDZ-010-S23"	"hdz1"	23	23	"HDZ-010-E1"	1	30	18	3.91	16068	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-10	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-010"	"HDZ Loris DNA Extracts Box 1"	""	11	"HDZ Keepers"	""	2023-10-31	"Culi"	"yes"
"PL-NTC-001-CTRL"	"hdz1"	24	24	"PL-NTC-001-E1"	2	30	18	2.3	29	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HDZ-362-S208"	"hdz10"	1	1	"HDZ-362-E1"	NA	NA	NA	NA	4843	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-07	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-362"	"HDZ Loris DNA Extracts Box 5"	""	28	"HDZ Keepers"	""	2024-04-25	"Culi"	"yes"
"HDZ-363-S209"	"hdz10"	2	2	"HDZ-363-E1"	NA	NA	NA	NA	3609	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-07	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-363"	"HDZ Loris DNA Extracts Box 5"	""	39	"HDZ Keepers"	""	2024-04-10	"Culi"	"yes"
