"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"Metabolism|Global and overview maps"	0.359704109798435	0.392072963003294	0.392025057392899	0.373781650295841	0.39039240431345	0.39573279566888	0.393958610448063	0.392216271856618	0.373274885127363
"Metabolism|Carbohydrate metabolism"	0.123367122655084	0.108766310217637	0.108657990087188	0.107975865502671	0.103937571256276	0.103078572690164	0.103853199369888	0.108270848988012	0.116159655172231
"Environmental Information Processing|Membrane transport"	0.0867432373396353	0.0641764665640863	0.0712551915913743	0.0802303870022151	0.0614418267770331	0.0567073240337613	0.049280673368827	0.067026301391426	0.0781969159274428
"Metabolism|Amino acid metabolism"	0.0555802201604744	0.0631038499124628	0.0658031264675147	0.0616591196240829	0.0638978560447644	0.0654634460372518	0.0628131775484578	0.0646415545407985	0.0612316419074025
"Environmental Information Processing|Signal transduction"	0.045457883553479	0.0398674469329772	0.0394858129313408	0.0480098101488198	0.0393694912482106	0.035930445003781	0.0358554441513173	0.0381247485243334	0.0442397217607765
"Cellular Processes|Cellular community - prokaryotes"	0.0436492518924678	0.0421397522579364	0.0401938312030112	0.0467542004356466	0.0394931464749286	0.0361861979696618	0.0335555462426996	0.0399571071239752	0.0429710478217273
"Metabolism|Energy metabolism"	0.0381705120675571	0.0374929794802795	0.0372294230855121	0.0377239555587766	0.038722537833635	0.0391951346103359	0.0398684100392287	0.0376048020314999	0.0373964880247769
"Metabolism|Metabolism of cofactors and vitamins"	0.0347875195487577	0.0393440158436168	0.0368335650903197	0.0330653981356155	0.0371595859398929	0.0378169759219843	0.0386461108208395	0.0380562254733756	0.0355663952941587
"Metabolism|Nucleotide metabolism"	0.0252668806687273	0.0287359533721249	0.0281852575812597	0.0257080000587632	0.0296681914211142	0.0306905914384411	0.0320832490604691	0.0289101287139462	0.0262963385194766
"Genetic Information Processing|Translation"	0.0128844819118603	0.022376107127622	0.0216813901087385	0.0183645450867675	0.0231459071355981	0.0242329382034127	0.0252871493640111	0.022276766898244	0.0165177646426532
"Genetic Information Processing|Replication and repair"	0.0148048890382642	0.0200728187258834	0.0195921198738012	0.0181439099785332	0.0216813742869555	0.0227279516569228	0.024138903029264	0.020310943988919	0.0169303244306761
"Metabolism|Lipid metabolism"	0.0218557741682852	0.0185649463494401	0.0182335921500582	0.0195488794283297	0.0195701694901003	0.0196151166785845	0.0215799538347664	0.0186418128727119	0.0204494330604872
"Metabolism|Glycan biosynthesis and metabolism"	0.0104132559310372	0.0147427333269163	0.0142857348596785	0.0121879644620499	0.0164255828521495	0.0171716001662673	0.0205552009261073	0.0149129035962297	0.01214730672683
"Metabolism|Metabolism of other amino acids"	0.015210036061744	0.01252831345769	0.0127429883877481	0.0128839122695572	0.0126940221397838	0.0128957630663467	0.012556446849584	0.012728570173383	0.0141370946567272
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0172981961674134	0.0102341871948369	0.0118147345225971	0.014217779758562	0.0112428635372445	0.0114394248398952	0.00962336340534045	0.0111973494158234	0.0154172718679024
"Human Diseases|Drug resistance: Antimicrobial"	0.0166682116926496	0.0112502894207747	0.010845776426438	0.011159351108729	0.0113608473729314	0.0114269006411005	0.0123525454259598	0.0111678138431989	0.0140328848596879
"Metabolism|Biosynthesis of other secondary metabolites"	0.0101901126175219	0.0120215410635272	0.0121269913079008	0.0121923747753419	0.0127620953350207	0.0130196223580158	0.0134519141299098	0.0122536541644648	0.0111539424370233
"Genetic Information Processing|Folding, sorting and degradation"	0.00918056693857773	0.0124779155523175	0.0116564569848905	0.0111825483181629	0.0125922240424874	0.0128090443361364	0.0132293956271764	0.0121375297469334	0.0103045078054791
"Metabolism|Metabolism of terpenoids and polyketides"	0.0111509445610471	0.00903061483610518	0.00915275448672434	0.0100873428030611	0.00967466429797318	0.0098918312379822	0.00984284634417608	0.00930108713495933	0.00970706010833636
"Cellular Processes|Cell growth and death"	0.00409469809136366	0.00803068488344471	0.00725932911194972	0.00800116317829226	0.00855202434504416	0.00837976796160698	0.00918908755086254	0.00775092316043508	0.00589539809770258
"Cellular Processes|Cell motility"	0.0126999814150418	0.00495140969880019	0.00442677078010882	0.00916424787685433	0.00560174943805752	0.00448986485761429	0.00390995781905186	0.00475195740994241	0.00900162889000737
"Human Diseases|Infectious diseases: Bacterial"	0.00764637457803389	0.00448097305484192	0.0047049075795918	0.00501272519828505	0.00495931675324507	0.00499095235530804	0.00503071401876003	0.00456397079785054	0.00598920268562493
"Organismal Systems|Endocrine system"	0.00321198395087152	0.00418646794629388	0.00390837025465731	0.00380391530601187	0.00441811715734818	0.00456309090986134	0.00508623844668774	0.00416408128154212	0.00358823706631528
"Human Diseases|Cancers: Overview"	0.00383246336485434	0.0025622566775504	0.00241057187417815	0.00250798719385556	0.00262959572649672	0.00269625114131528	0.00289452184875742	0.0025023584427258	0.00320489674633512
"Human Diseases|Drug resistance: Antineoplastic"	0.00166670287580957	0.00253015450525911	0.00237116739087357	0.00225458367136737	0.00256554152577097	0.00258041471463296	0.00259679185183043	0.00244740122204222	0.0019751721960717
"Organismal Systems|Aging"	0.00250297257517355	0.00166138090006088	0.00151467454746711	0.00173443021725433	0.00184293178397911	0.00190685727162659	0.00212379386764605	0.00164938929161769	0.00205444679380658
"Cellular Processes|Transport and catabolism"	0.00145278571172955	0.00143355368727865	0.00150736225544613	0.00137640937815504	0.00202953135371854	0.00214131517068849	0.0030602174462431	0.00155512357934463	0.00146742090798268
"Human Diseases|Endocrine and metabolic diseases"	0.00143127441408459	0.00173931971992545	0.00162827350486884	0.00158322359630128	0.00181452524262408	0.00190622955894877	0.00194106658873799	0.00172240268305925	0.00159317398796563
"Organismal Systems|Immune system"	0.0010102866415651	0.00162910122563185	0.00144881343186184	0.00145328940495716	0.00176332664181639	0.0018325169426751	0.00222200198458119	0.00161694010659867	0.00130534475141824
"Genetic Information Processing|Transcription"	0.000762863750673115	0.00145398223347733	0.00141956499638925	0.00113770284275964	0.00136325227988533	0.00138778421939932	0.00135778236066447	0.00141470791491721	0.00102282494083139
"Organismal Systems|Environmental adaptation"	0.00119202160010759	0.00109589755888312	0.0010205389323159	0.00133339438524438	0.0013002996593783	0.00127355788496894	0.00146122129911869	0.0010904697115526	0.00110221489824978
"Human Diseases|Cardiovascular diseases"	0.00105123600351971	0.00109787086081518	0.00101004143242129	0.0010310971111244	0.00127183556367028	0.00130738557753464	0.00159230631406506	0.00109078557345196	0.00107856062040252
"Organismal Systems|Nervous system"	0.00113546990689781	0.000817851031302523	0.0008646325652607	0.000843685164569675	0.00100010569422858	0.000996155574756901	0.00125639498575734	0.000837276011613833	0.00105518730749259
"Human Diseases|Neurodegenerative diseases"	0.0012336391470622	0.000885019203512398	0.00062246634617937	0.00105641287667172	0.00083101654642611	0.000737565206570704	0.000641232743990663	0.000728981615893824	0.00100896292225035
"Human Diseases|Cancers: Specific types"	0.00112900518277476	0.000578863247664515	0.000558473468426622	0.000771907334194074	0.000689559441502798	0.000722925249311845	0.000704111978117566	0.000606175514363575	0.000924416465731212
"Organismal Systems|Digestive system"	0.000406253058440109	0.000472548044924596	0.000411196247624127	0.000518139312189259	0.000657649850874619	0.000684312035408629	0.000950342724747201	0.000518258105361826	0.000448981280220867
"Human Diseases|Infectious diseases: Viral"	0.000296659679174543	0.0005085375835098	0.000398348400770246	0.000536220355159996	0.000498385927133564	0.000473846702848054	0.000439948432150773	0.000452814542083289	0.000367680752450207
"Human Diseases|Immune diseases"	0.000275463975133377	0.000239686055041736	0.000181167659045412	0.000172509535789927	0.000215469596521323	0.000207861329304242	0.000275112405047885	0.000204601155926647	0.000233910192376358
"Organismal Systems|Excretory system"	0.00026132233849372	0.000123704529443133	0.000201128979978379	0.000176038170032685	0.000225395452826238	0.000228443346027444	0.00028125382769529	0.000164717525049946	0.000199018352549709
"Human Diseases|Infectious diseases: Parasitic"	0.000301659165336679	0.000175912146172762	0.000114171066239544	0.000210667265825511	0.000206189214740498	0.000202139742987264	0.000231706716042488	0.000156542733093587	0.0002031096446093
"Human Diseases|Substance dependence"	6.35696134546211e-06	0.000130213433415329	8.73306559878821e-05	0.000185590894730824	0.000131327267947667	0.000103662566357542	7.95830855348903e-05	0.000108859119960667	5.86861290972082e-05
"Organismal Systems|Circulatory system"	8.86924656129676e-06	0.000123764818834761	6.6157528845189e-05	0.000138687036104293	0.000106005164894835	8.48622669079364e-05	5.71894761030414e-05	8.94950666514078e-05	4.56845273256722e-05
"Environmental Information Processing|Signaling molecules and interaction"	2.7399350666564e-06	4.7327287737515e-05	3.51462487459322e-05	6.98798224435625e-05	5.10575423672072e-05	3.76998371702316e-05	4.46081009468952e-05	4.07882073698274e-05	2.59475391929797e-05
"Metabolism|Chemical structure transformation maps"	3.07442548301105e-06	4.09969668654008e-05	2.18508326493952e-05	4.61158641032107e-05	3.46853610507943e-05	2.77050025718138e-05	1.79538069940683e-05	2.98316888838026e-05	1.50293745248948e-05
"Organismal Systems|Development"	1.43919836977111e-07	3.3180597843263e-06	5.71764607891075e-06	2.98225619594896e-06	8.7436689023003e-06	5.15601467206618e-06	2.27203337800905e-05	4.72705981504081e-06	4.18277830692839e-06
"Cellular Processes|Cellular community - eukaryotes"	4.91312546921862e-07	0	3.1723043916079e-08	0	0	0	0	0	0
