task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	63/d147a8	981035	minimap_pipeline:run_common:getParams	COMPLETED	0	2024-10-11 23:39:59.762	1.3s	17ms	44.4%	0	0	74.4 KB	3.4 KB
24	47/b31cdc	980985	fastcat (20)	COMPLETED	0	2024-10-11 23:39:59.692	1.6s	332ms	41.6%	84.8 MB	382 MB	473 KB	241.6 KB
18	de/f809df	980939	fastcat (14)	COMPLETED	0	2024-10-11 23:39:59.635	1.8s	537ms	187.4%	86.9 MB	510.9 MB	22 MB	15.2 MB
25	cb/42ec8b	980950	fastcat (21)	COMPLETED	0	2024-10-11 23:39:59.656	1.9s	637ms	227.3%	87.4 MB	511.7 MB	31.1 MB	21.6 MB
20	fd/e813fd	981125	fastcat (16)	COMPLETED	0	2024-10-11 23:39:59.822	1.8s	684ms	208.9%	84.8 MB	382 MB	31.3 MB	21.7 MB
14	5a/6f5ea7	981006	fastcat (10)	COMPLETED	0	2024-10-11 23:39:59.739	1.9s	759ms	108.8%	86.9 MB	510.9 MB	17.4 MB	11.9 MB
8	7e/1e368a	980931	fastcat (4)	COMPLETED	0	2024-10-11 23:39:59.591	2.1s	827ms	212.3%	86.9 MB	510.9 MB	40.9 MB	28.3 MB
5	7f/7fbd4e	981094	fastcat (1)	COMPLETED	0	2024-10-11 23:39:59.798	2s	902ms	246.5%	86.2 MB	510 MB	52.6 MB	36.7 MB
29	68/b83bdc	982811	minimap_pipeline:output_results (1)	COMPLETED	0	2024-10-11 23:40:01.314	522ms	7ms	85.0%	0	0	71.2 KB	254 B
12	a6/eaabd1	982790	fastcat (8)	COMPLETED	0	2024-10-11 23:40:01.284	1.3s	714ms	140.4%	86.9 MB	510.9 MB	24.4 MB	16.8 MB
17	61/3ea748	983053	fastcat (13)	COMPLETED	0	2024-10-11 23:40:01.568	1.2s	639ms	198.9%	49.5 MB	382 MB	34.6 MB	24.1 MB
11	fc/5efefd	982967	fastcat (7)	COMPLETED	0	2024-10-11 23:40:01.465	1.3s	749ms	247.2%	64.6 MB	382 MB	47.3 MB	32.9 MB
15	45/eef159	983199	fastcat (11)	COMPLETED	0	2024-10-11 23:40:01.683	1.1s	637ms	155.2%	59.1 MB	382 MB	25.1 MB	17.5 MB
22	aa/665ee5	983167	fastcat (18)	COMPLETED	0	2024-10-11 23:40:01.661	1.2s	694ms	260.9%	79.2 MB	382 MB	50.7 MB	35.5 MB
9	bf/38341e	983422	fastcat (5)	COMPLETED	0	2024-10-11 23:40:01.764	1.2s	650ms	219.0%	80.6 MB	189.1 MB	44 MB	30.4 MB
16	d7/7203e7	983537	fastcat (12)	COMPLETED	0	2024-10-11 23:40:01.808	1.1s	525ms	120.7%	2.8 MB	3.8 MB	13.8 MB	9.5 MB
27	f2/1e0467	984591	fastcat (23)	COMPLETED	0	2024-10-11 23:40:02.569	1.2s	590ms	243.0%	82.7 MB	510.9 MB	34.6 MB	23.9 MB
7	c3/3ad314	984756	fastcat (3)	COMPLETED	0	2024-10-11 23:40:02.755	964ms	434ms	193.6%	86.2 MB	510.9 MB	21.3 MB	14.7 MB
23	8c/b7ea70	984782	fastcat (19)	COMPLETED	0	2024-10-11 23:40:02.783	1s	542ms	244.2%	86.6 MB	510.9 MB	32.6 MB	22.5 MB
13	0f/1cec4d	984914	fastcat (9)	COMPLETED	0	2024-10-11 23:40:02.890	1.1s	584ms	235.8%	85.3 MB	510 MB	31.6 MB	21.9 MB
6	60/987acd	984874	fastcat (2)	COMPLETED	0	2024-10-11 23:40:02.861	1.1s	617ms	231.7%	59.3 MB	189.1 MB	36.4 MB	25.3 MB
28	28/16c6d4	985015	fastcat (24)	COMPLETED	0	2024-10-11 23:40:02.944	1.1s	552ms	235.3%	81.2 MB	510 MB	30.4 MB	21.1 MB
21	a0/c32c42	985023	fastcat (17)	COMPLETED	0	2024-10-11 23:40:02.952	1.1s	603ms	288.6%	86.9 MB	511.7 MB	43.7 MB	30.3 MB
19	5f/bdb2dd	986393	fastcat (15)	COMPLETED	0	2024-10-11 23:40:03.741	1.1s	545ms	277.3%	88.9 MB	511.2 MB	36.2 MB	25 MB
26	5f/890c38	986460	fastcat (22)	COMPLETED	0	2024-10-11 23:40:03.836	1.1s	599ms	266.8%	76.8 MB	510.9 MB	39.2 MB	27.3 MB
10	a0/4ba9f9	986405	fastcat (6)	COMPLETED	0	2024-10-11 23:40:03.767	1.3s	759ms	319.0%	86 MB	510.9 MB	55.3 MB	38.3 MB
1	c7/318d09	981153	minimap_pipeline:run_common:getVersions	COMPLETED	0	2024-10-11 23:39:59.852	10.5s	9.4s	74.6%	66 MB	4.1 GB	12.3 MB	3.1 KB
30	1e/16a40c	987677	minimap_pipeline:minimap (pl-ntc-012-ctrl)	COMPLETED	0	2024-10-11 23:40:10.405	12.4s	11.4s	260.2%	745.5 MB	6.7 GB	446.9 MB	4.9 MB
31	dd/c29445	989147	minimap_pipeline:minimap (hdz-383-s260)	COMPLETED	0	2024-10-11 23:40:22.834	17.3s	16.5s	1448.8%	833.3 MB	6.8 GB	498.5 MB	52.3 MB
32	0c/54fc9a	990547	minimap_pipeline:minimap (hdz-345-s258)	COMPLETED	0	2024-10-11 23:40:40.224	19s	18.3s	1716.3%	882 MB	6.8 GB	520.2 MB	72.2 MB
33	6e/2d3548	991888	minimap_pipeline:minimap (hdz-384-s261)	COMPLETED	0	2024-10-11 23:40:59.223	19.3s	18.6s	1778.0%	921 MB	6.8 GB	521.1 MB	73.1 MB
34	99/a6e0ff	993335	minimap_pipeline:minimap (hdz-395-s272)	COMPLETED	0	2024-10-11 23:41:18.547	15.2s	14.5s	1395.5%	891.7 MB	6.8 GB	487.3 MB	42.1 MB
35	f0/b90962	994672	minimap_pipeline:minimap (hdz-387-s264)	COMPLETED	0	2024-10-11 23:41:33.768	21.9s	21.2s	1930.4%	961 MB	30.4 GB	543.2 MB	93.3 MB
