"Taxa"	"ginger14"	"ginger27"	"ginger43"	"ginger46"	"ginger49"	"ginger50"	"ginger52"	"ginger55"	"ginger66"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.732704402515723	0.745	0.126591331712201	0.623785020011435	0.856244641326093	0.813	0.701671667381054	0.710507505360972	0.101215153681201
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.0819039451114923	0.121	0.40280360463453	0.206975414522584	0.065304372677908	0.0882857142857143	0.147878268324046	0.135382416011437	0.658327376697641
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.114493996569468	0.0968571428571429	0.0293234158203404	0.108061749571184	0.066018862532152	0.0794285714285714	0.117445349335619	0.116654753395282	0.0313080771979986
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0283018867924528	0.0228571428571429	0.0964096695751681	0.0553173241852487	0.00557302086310374	0.0131428571428571	0.02686098014002	0.0161543959971408	0.114796283059328
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0.293091117150622	0	0	0	0	0	0.0613295210864903
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.00200114351057747	0.00157142857142857	0.0504934916320984	0.00328759291023442	0.00557302086310374	0.00371428571428571	0.00285755107872553	0.012723373838456	0.0107219442458899
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.0305889079473985	0.003	0	0.000142938822184105	0	0	0	0	0.0184417441029307
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.00971983990851915	0.00957142857142857	0.00114432842225719	0.00214408233276158	0.000857387825092884	0.00214285714285714	0.00314330618659809	0.00614724803431022	0.00385989992852037
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00028587764436821	0.000142857142857143	0	0.00028587764436821	0.000428693912546442	0.000285714285714286	0.000142877553936277	0.00243030736240172	0
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0	0	0.000143041052782148	0	0	0	0	0	0
