"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.280383185587647	0.154418072633686	0.184285714285714	0.118285714285714	0.158398856325947	0.43720463983961	0.16959816959817	0.182754182754183
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.284815556191021	0.339862739490992	0.0875714285714286	0.132857142857143	0.146533238027162	0.034942002004869	0.293150293150293	0.136994136994137
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.212181870174435	0.143408635973692	0.168285714285714	0.163142857142857	0.163259471050751	0.0325075182586281	0.173173173173173	0.151294151294151
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.144695453245639	0.262367743780383	0.126142857142857	0.262428571428571	0.114081486776269	0.0283545753973937	0.0932360932360932	0.165451165451165
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0308836145267372	0.0397483557334858	0.319857142857143	0.108142857142857	0.146819156540386	0.00959473005871402	0.168740168740169	0.148863148863149
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.013583071203889	0.0231627108950529	0.0237142857142857	0.07	0.15096497498213	0.268509236717743	0.0407550407550408	0.0531960531960532
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.006720045753503	0.00814984272233343	0.0768571428571429	0.125857142857143	0.0890636168691923	0.00329371330373765	0.0361790361790362	0.0679250679250679
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00857878181298256	0.00729196454103517	0.013	0.0164285714285714	0.0240171551107934	0.0693111843047401	0.023023023023023	0.0286000286000286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0	0.0837748818559358	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.0128681727194738	0.00943665999428081	0.000285714285714286	0.00271428571428571	0.00643316654753395	0.0210511241586711	0.00171600171600172	0.0171600171600172
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0	0	0	0	0	0	0.0337480337480337
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.00328853302830998	0.006720045753503	0	0	0	0.00229127881999141	0.000286000286000286	0.0135850135850136
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.00057191878753217	0.00343151272519302	0	0	0	0.00902191035371617	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000857878181298256	0.00114383757506434	0	0.000142857142857143	0.000285918513223731	0	0	0.000429000429000429
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000285959393766085	0.00057191878753217	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales"	0.000285959393766085	0	0	0	0	0.000143204926249463	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0	0	0	0.000143000143000143	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0.000142979696883043	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0.000142979696883043	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0	0.000142959256611866	0	0	0
