"","jarjarbinks14","jarjarbinks15","jarjarbinks21","jarjarbinks29","jarjarbinks32","jarjarbinks44","jarjarbinks49","jarjarbinks68"
"jarjarbinks14",0,0.28877253303344,0.519132707747362,0.552397882170868,0.592438892549874,0.694267886005175,0.51586492374967,0.600896429016659
"jarjarbinks15",0.28877253303344,0,0.48089675883409,0.509714088345923,0.63478812882189,0.72317801608351,0.486010974857648,0.560454407630271
"jarjarbinks21",0.519132707747362,0.48089675883409,0,0.267692606439154,0.64062081377653,0.697027879104101,0.328223279241642,0.543575995139389
"jarjarbinks29",0.552397882170868,0.509714088345923,0.267692606439154,0,0.546698213840883,0.693283645469377,0.27748633444039,0.478170707227388
"jarjarbinks32",0.592438892549874,0.63478812882189,0.64062081377653,0.546698213840883,0,0.476758252515687,0.501307385100067,0.343758616251203
"jarjarbinks44",0.694267886005175,0.72317801608351,0.697027879104101,0.693283645469377,0.476758252515687,0,0.650293971996459,0.491462265060476
"jarjarbinks49",0.51586492374967,0.486010974857648,0.328223279241642,0.27748633444039,0.501307385100067,0.650293971996459,0,0.408972082384481
"jarjarbinks68",0.600896429016659,0.560454407630271,0.543575995139389,0.478170707227388,0.343758616251203,0.491462265060476,0.408972082384481,0
