"","hera11","hera14","hera17","hera24","hera44","hera45","hera58","hera67"
"hera11",0,0.11936696692956,0.597949084875046,0.302315128273296,0.575357877090883,0.429235822854423,0.595706154833221,0.242262070797072
"hera14",0.11936696692956,0,0.543499292581544,0.238831955556199,0.522364691700128,0.362562888524044,0.543038227419004,0.21474377144249
"hera17",0.597949084875046,0.543499292581544,0,0.39726449595998,0.10023555307078,0.273167500459258,0.0892349603884776,0.676161693711656
"hera24",0.302315128273296,0.238831955556199,0.39726449595998,0,0.381018791644475,0.189395343356369,0.413338658210012,0.341293214946301
"hera44",0.575357877090883,0.522364691700128,0.10023555307078,0.381018791644475,0,0.230961203029187,0.0633562927670334,0.658624316120321
"hera45",0.429235822854423,0.362562888524044,0.273167500459258,0.189395343356369,0.230961203029187,0,0.272761255140085,0.487003837398243
"hera58",0.595706154833221,0.543038227419004,0.0892349603884776,0.413338658210012,0.0633562927670334,0.272761255140085,0,0.689813456440681
"hera67",0.242262070797072,0.21474377144249,0.676161693711656,0.341293214946301,0.658624316120321,0.487003837398243,0.689813456440681,0
