"ID"	"DateBirth"	"LocBirth"	"DateLast"	"LocLast"	"TypeEvent"	"DateEvent"	"DateEst"	"LocEvent"	"Sex"	"Sire"	"Dam"	"Status"	"OffspringID"	"IconBirth"	"ColorBirth"	"IconLocEvent"	"ColorLocEvent"	"IconLocLast"	"ColorLocLast"	"LocLastName"
1014	1987-01-01	"VIE"	1993-01-14	"CRY"	"Transfer"	1987-05-01	"N"	"CRY"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1014	1987-01-01	"VIE"	1993-01-14	"CRY"	"Breed"	1988-04-10	"N"	"CRY"	"F"	NA	NA	"D"	1053	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1014	1987-01-01	"VIE"	1993-01-14	"CRY"	"Breed"	1991-11-09	"N"	"CRY"	"F"	NA	NA	"D"	1076	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1014	1987-01-01	"VIE"	1993-01-14	"CRY"	"Breed"	1991-11-09	"N"	"CRY"	"F"	NA	NA	"D"	1077	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1014	1987-01-01	"VIE"	1993-01-14	"CRY"	"Breed"	1992-11-14	"N"	"CRY"	"F"	NA	NA	"D"	1090	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1014	1987-01-01	"VIE"	1993-01-14	"CRY"	"Breed"	1992-11-14	"N"	"CRY"	"F"	NA	NA	"D"	1091	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1015	1987-01-01	"VIE"	1993-01-14	"CRY"	"Transfer"	1987-03-01	"Y"	"SKA"	"M"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1015	1987-01-01	"VIE"	1993-01-14	"CRY"	"Transfer"	1987-05-01	"N"	"CRY"	"M"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1015	1987-01-01	"VIE"	1993-01-14	"CRY"	"Breed"	1988-04-10	"N"	"CRY"	"M"	NA	NA	"D"	1053	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1015	1987-01-01	"VIE"	1993-01-14	"CRY"	"Breed"	1991-11-09	"N"	"CRY"	"M"	NA	NA	"D"	1076	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1015	1987-01-01	"VIE"	1993-01-14	"CRY"	"Breed"	1991-11-09	"N"	"CRY"	"M"	NA	NA	"D"	1077	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1015	1987-01-01	"VIE"	1993-01-14	"CRY"	"Breed"	1992-11-14	"N"	"CRY"	"M"	NA	NA	"D"	1090	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1015	1987-01-01	"VIE"	1993-01-14	"CRY"	"Breed"	1992-11-14	"N"	"CRY"	"M"	NA	NA	"D"	1091	"🇻🇳"	"#341C30"	"🇨🇦"	"#B84850"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1986-03-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇸🇪"	"#445448"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1986-03-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇸🇪"	"#445448"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1986-03-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇸🇪"	"#445448"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1986-03-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇸🇪"	"#445448"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1987-04-05	"N"	"SAN"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1987-04-05	"N"	"SAN"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1987-04-05	"N"	"SAN"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1987-04-05	"N"	"SAN"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1987-04-05	"N"	"SAN"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1987-04-05	"N"	"SAN"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1987-04-05	"N"	"SAN"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Transfer"	1987-04-05	"N"	"SAN"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1988-01-12	"N"	"SAN"	"M"	NA	NA	"D"	1050	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1988-01-12	"N"	"SAN"	"M"	NA	NA	"D"	1050	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1988-01-12	"N"	"SAN"	"M"	NA	NA	"D"	1050	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1988-01-12	"N"	"SAN"	"M"	NA	NA	"D"	1050	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1988-01-12	"N"	"SAN"	"M"	NA	NA	"D"	1050	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1988-01-12	"N"	"SAN"	"M"	NA	NA	"D"	1050	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1988-01-12	"N"	"SAN"	"M"	NA	NA	"D"	1050	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1988-01-12	"N"	"SAN"	"M"	NA	NA	"D"	1050	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1989-02-26	"N"	"SAN"	"M"	NA	NA	"D"	1059	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1989-02-26	"N"	"SAN"	"M"	NA	NA	"D"	1059	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1989-02-26	"N"	"SAN"	"M"	NA	NA	"D"	1059	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1989-02-26	"N"	"SAN"	"M"	NA	NA	"D"	1059	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1989-02-26	"N"	"SAN"	"M"	NA	NA	"D"	1059	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1989-02-26	"N"	"SAN"	"M"	NA	NA	"D"	1059	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1989-02-26	"N"	"SAN"	"M"	NA	NA	"D"	1059	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1989-02-26	"N"	"SAN"	"M"	NA	NA	"D"	1059	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1990-03-24	"N"	"SAN"	"M"	NA	NA	"D"	1065	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1990-03-24	"N"	"SAN"	"M"	NA	NA	"D"	1065	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1990-03-24	"N"	"SAN"	"M"	NA	NA	"D"	1065	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1990-03-24	"N"	"SAN"	"M"	NA	NA	"D"	1065	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1990-03-24	"N"	"SAN"	"M"	NA	NA	"D"	1065	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1990-03-24	"N"	"SAN"	"M"	NA	NA	"D"	1065	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1990-03-24	"N"	"SAN"	"M"	NA	NA	"D"	1065	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1016	1985-01-01	"UND"	1990-05-24	"SAN"	"Breed"	1990-03-24	"N"	"SAN"	"M"	NA	NA	"D"	1065	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1017	1985-03-01	"UND"	1997-04-20	"SAN"	"Transfer"	1986-03-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇸🇪"	"#445448"	"🇺🇸"	"#948064"	"San Diego Zoo"
1017	1985-03-01	"UND"	1997-04-20	"SAN"	"Transfer"	1986-03-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇸🇪"	"#445448"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1017	1985-03-01	"UND"	1997-04-20	"SAN"	"Transfer"	1986-03-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇸🇪"	"#445448"	"🇺🇸"	"#948064"	"San Diego Zoo"
1017	1985-03-01	"UND"	1997-04-20	"SAN"	"Transfer"	1986-03-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇸🇪"	"#445448"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
1017	1985-03-01	"UND"	1997-04-20	"SAN"	"Transfer"	1987-04-05	"N"	"SAN"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Diego Zoo"
1017	1985-03-01	"UND"	1997-04-20	"SAN"	"Transfer"	1987-04-05	"N"	"SAN"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#948064"	"🇺🇸"	"#948064"	"San Francisco Zoological Gardens"
