"ID"	"DateBirth"	"LocBirth"	"DateLast"	"LocLast"	"TypeEvent"	"DateEvent"	"DateEst"	"LocEvent"	"Sex"	"Sire"	"Dam"	"Status"	"OffspringID"	"IconBirth"	"ColorBirth"	"IconLocEvent"	"ColorLocEvent"	"IconLocLast"	"ColorLocLast"	"LocLastName"
1000	1985-11-01	"VIE"	1987-02-01	"SKA"	"Transfer"	1986-01-01	"N"	"SKA"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇸🇪"	"#445448"	"Skansen Akvariet"
1000	1985-11-01	"VIE"	1987-02-01	"SKA"	"Breed"	1986-12-01	"N"	"SKA"	"F"	NA	NA	"D"	1041	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇸🇪"	"#445448"	"Skansen Akvariet"
1001	1984-11-01	"VIE"	1986-03-01	"SKA"	"Transfer"	1985-01-01	"N"	"SKA"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇸🇪"	"#445448"	"Skansen Akvariet"
1001	1984-11-01	"VIE"	1986-03-01	"SKA"	"Breed"	1986-01-01	"N"	"SKA"	"F"	NA	NA	"D"	1040	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇸🇪"	"#445448"	"Skansen Akvariet"
1002	1968-02-10	"VIE"	1968-08-10	"HON"	"Transfer"	1968-04-10	"Y"	"USD"	"M"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#A0A49C"	"🇺🇸"	"#809470"	"Honolulu Zoo"
1002	1968-02-10	"VIE"	1968-08-10	"HON"	"Transfer"	1968-06-10	"N"	"HON"	"M"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#809470"	"🇺🇸"	"#809470"	"Honolulu Zoo"
1003	1969-11-05	"VIE"	1970-03-05	"HON"	"Transfer"	1970-01-05	"N"	"HON"	"U"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#809470"	"🇺🇸"	"#809470"	"Honolulu Zoo"
1004	1972-08-18	"VIE"	1972-12-18	"UND"	"Transfer"	1972-10-18	"N"	"HON"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#809470"	"🚩"	"#300818"	"Undetermined Location"
1004	1972-08-18	"VIE"	1972-12-18	"UND"	"Transfer"	1972-10-18	"N"	"HON"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#809470"	"🚩"	"#300818"	"Wild"
1005	1972-08-18	"VIE"	1972-12-18	"UND"	"Transfer"	1972-10-18	"N"	"HON"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#809470"	"🚩"	"#300818"	"Undetermined Location"
1005	1972-08-18	"VIE"	1972-12-18	"UND"	"Transfer"	1972-10-18	"N"	"HON"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#809470"	"🚩"	"#300818"	"Wild"
1006	1989-01-01	"UND"	1991-08-02	"FIT"	"Transfer"	1989-01-01	"N"	"PUB"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🚩"	"#78806C"	"🇺🇸"	"#884044"	"Helena Fitch-Snyder (extinct)"
1006	1989-01-01	"UND"	1991-08-02	"FIT"	"Transfer"	1989-01-01	"N"	"PUB"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🚩"	"#78806C"	"🇺🇸"	"#884044"	"Helena Fitch-Snyder (extinct)"
1006	1989-01-01	"UND"	1991-08-02	"FIT"	"Transfer"	1991-06-02	"N"	"FIT"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#884044"	"🇺🇸"	"#884044"	"Helena Fitch-Snyder (extinct)"
1006	1989-01-01	"UND"	1991-08-02	"FIT"	"Transfer"	1991-06-02	"N"	"FIT"	"M"	NA	NA	"D"	NA	"🚩"	"#300818"	"🇺🇸"	"#884044"	"🇺🇸"	"#884044"	"Helena Fitch-Snyder (extinct)"
1007	1983-03-01	"VIE"	1987-06-05	"DUK"	"Transfer"	1986-03-01	"N"	"SKA"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1007	1983-03-01	"VIE"	1987-06-05	"DUK"	"Transfer"	1987-04-05	"N"	"DUK"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1008	1983-03-01	"VIE"	1994-05-15	"DUK"	"Transfer"	1984-06-01	"N"	"BAN"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇹🇭"	"#443838"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1008	1983-03-01	"VIE"	1994-05-15	"DUK"	"Transfer"	1986-12-19	"N"	"SKA"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1008	1983-03-01	"VIE"	1994-05-15	"DUK"	"Breed"	1987-02-17	"N"	"SKA"	"F"	NA	NA	"D"	1047	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1008	1983-03-01	"VIE"	1994-05-15	"DUK"	"Transfer"	1987-04-05	"N"	"DUK"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1008	1983-03-01	"VIE"	1994-05-15	"DUK"	"Breed"	1988-01-01	"N"	"DUK"	"F"	NA	NA	"D"	1048	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1008	1983-03-01	"VIE"	1994-05-15	"DUK"	"Breed"	1988-01-01	"N"	"DUK"	"F"	NA	NA	"D"	1049	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1008	1983-03-01	"VIE"	1994-05-15	"DUK"	"Breed"	1988-11-17	"N"	"DUK"	"F"	NA	NA	"D"	1055	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1008	1983-03-01	"VIE"	1994-05-15	"DUK"	"Breed"	1988-11-17	"N"	"DUK"	"F"	NA	NA	"D"	1056	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1008	1983-03-01	"VIE"	1994-05-15	"DUK"	"Breed"	1990-08-17	"N"	"DUK"	"F"	NA	NA	"D"	1071	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1008	1983-03-01	"VIE"	1994-05-15	"DUK"	"Breed"	1994-03-15	"N"	"DUK"	"F"	NA	NA	"D"	1097	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1009	1984-01-01	"VIE"	1987-06-05	"DUK"	"Transfer"	1986-04-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1009	1984-01-01	"VIE"	1987-06-05	"DUK"	"Transfer"	1987-04-05	"N"	"DUK"	"M"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1010	1984-01-01	"VIE"	1991-05-09	"DUK"	"Transfer"	1986-04-01	"N"	"SKA"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1010	1984-01-01	"VIE"	1991-05-09	"DUK"	"Transfer"	1987-04-05	"N"	"DUK"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1010	1984-01-01	"VIE"	1991-05-09	"DUK"	"Breed"	1990-06-30	"N"	"DUK"	"F"	NA	NA	"D"	1070	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1010	1984-01-01	"VIE"	1991-05-09	"DUK"	"Breed"	1991-03-09	"N"	"DUK"	"F"	NA	NA	"D"	1072	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1010	1984-01-01	"VIE"	1991-05-09	"DUK"	"Breed"	1991-03-09	"N"	"DUK"	"F"	NA	NA	"D"	1073	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1011	1984-01-01	"VIE"	1987-06-05	"DUK"	"Transfer"	1985-10-24	"N"	"SKA"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1011	1984-01-01	"VIE"	1987-06-05	"DUK"	"Transfer"	1987-04-05	"N"	"DUK"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Transfer"	1986-04-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Transfer"	1987-04-05	"N"	"DUK"	"M"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Breed"	1988-01-01	"N"	"DUK"	"M"	NA	NA	"D"	1048	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Breed"	1988-01-01	"N"	"DUK"	"M"	NA	NA	"D"	1049	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Breed"	1988-11-17	"N"	"DUK"	"M"	NA	NA	"D"	1055	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Breed"	1988-11-17	"N"	"DUK"	"M"	NA	NA	"D"	1056	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Breed"	1994-04-11	"N"	"DUK"	"M"	NA	NA	"D"	1100	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Breed"	1994-04-11	"N"	"DUK"	"M"	NA	NA	"D"	1101	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Breed"	1995-02-15	"N"	"DUK"	"M"	NA	NA	"D"	1103	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Breed"	1995-02-15	"N"	"DUK"	"M"	NA	NA	"D"	1104	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Breed"	1996-04-25	"N"	"DUK"	"M"	NA	NA	"D"	1123	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1012	1984-01-01	"VIE"	1996-06-25	"DUK"	"Breed"	1996-04-25	"N"	"DUK"	"M"	NA	NA	"D"	2432	"🇻🇳"	"#341C30"	"🇺🇸"	"#3C3044"	"🇺🇸"	"#3C3044"	"Duke Lemur Center"
1013	1984-11-01	"VIE"	1986-03-01	"SKA"	"Transfer"	1985-01-01	"N"	"SKA"	"M"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇸🇪"	"#445448"	"Skansen Akvariet"
1013	1984-11-01	"VIE"	1986-03-01	"SKA"	"Breed"	1986-01-01	"N"	"SKA"	"M"	NA	NA	"D"	1040	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇸🇪"	"#445448"	"Skansen Akvariet"
1014	1987-01-01	"VIE"	1993-01-14	"CRY"	"Transfer"	1987-03-01	"Y"	"SKA"	"F"	NA	NA	"D"	NA	"🇻🇳"	"#341C30"	"🇸🇪"	"#445448"	"🇨🇦"	"#B84850"	"Crystal Garden Conservation Center (extinct 2004)"
