Studbook ID,Current Location,Current Local ID,Sex Type,Current Status,Sire,Dam,Birth Type,Event Type,Date,Location
2502,EVANSVLLE,119021,Female,Alive,1138,2413,Captive Birth/Hatch,Birth/hatch,7-Jan-07,CLEVELAND
,,,,,,,,Transfer,5-May-09,DUKE PRIM
,,,,,,,,Transfer,10-Sep-19,EVANSVLLE
2641,EVANSVLLE,118015,Male,Alive,2420,2608,Captive Birth/Hatch,Birth/hatch,9-Apr-12,DUKE PRIM
,,,,,,,,Transfer,11-Jun-14,SANDIEGOZ
,,,,,,,,Transfer,23-May-18,EVANSVLLE
2666,GARDENCTY,117017,Female,Alive,2639,2642,"Captive
Birth/Hatch",Birth/hatch,25-Mar-16,COLUMBUS
,,,,,,,,Transfer,30-Aug-17,GARDENCTY
2671,GARDENCTY,117022,Male,Alive,2449,2632,Captive Birth/Hatch,Birth/hatch,28-Sep-16,EL PASO
,,,,,,,,Transfer,25-Oct-17,GARDENCTY
2634,LITTLEROC,7403,Male,Alive,1131,2414,Captive Birth/Hatch,Birth/hatch,12-Aug-10,ABQBIOPK
,,,,,,,,Transfer,24-Apr-14,LITTLEROC
2654,LITTLEROC,7508,Female,Alive,2449,2632,"Captive
Birth/Hatch",Birth/hatch,22-Aug-14,EL PASO
,,,,,,,,Transfer,23-Sep-15,LITTLEROC
2729,LITTLEROC,7997,Male,Alive,2634,2654,"Captive
Birth/Hatch",Birth/hatch,18-Nov-23,LITTLEROC
2730,LITTLEROC,7998,Male,Alive,2634,2654,Captive Birth/Hatch,Birth/hatch,18-Nov-23,LITTLEROC
2673,MEMPHIS,19M042,Male,Alive,2649,2638,"Captive
Birth/Hatch",Birth/hatch,16-Dec-16,MOODY
,,,,,,,,Transfer,30-Jan-18,PUEBLO
,,,,,,,,Transfer,4-Nov-19,MEMPHIS
2718,MEMPHIS,24M011,Female,Alive,2685,2679,"Captive
Birth/Hatch",Birth/hatch,28-Feb-22,DULUTH
,,,,,,,,Transfer,15-Mar-24,MEMPHIS
2732,MEMPHIS,23M072,Male,Alive,2673,2683,Captive Birth/Hatch,Birth/hatch,13-Dec-23,MEMPHIS
2626,MILWAUKEE,"UNDETE
RMINED",Female,Alive,2402,2451,"Captive
Birth/Hatch",Birth/hatch,6-Dec-10,GARDENCTY
,,,,,,,,Transfer,22-Apr-14,CHICAGOBR
,,,,,,,,Transfer,2-Nov-22,MILWAUKEE
2631,MILWAUKEE,UNDETERMINED,Male,Alive,1121,1145,Captive Birth/Hatch,Birth/hatch,22-Mar-10,MOODY
,,,,,,,,Transfer,20-Feb-14,CHICAGOBR
,,,,,,,,Transfer,2-Nov-22,MILWAUKEE
2649,MOODY,7832,Male,Alive,2498,2502,Captive Birth/Hatch,Birth/hatch,20-Jun-12,DUKE PRIM
,,,,,,,,Transfer,10-Sep-15,MOODY
2659,MOODY,UNDETERMINED,Female,Alive,2450,2414,Captive Birth/Hatch,Birth/hatch,18-May-15,CLEVELAND
,,,,,,,,Transfer,3-Jun-16,COLUMBUS
,,,,,,,,Transfer,16-Nov-23,MOODY
2723,MOODY,9885,Male,Alive,2649,2638,Captive Birth/Hatch,Birth/hatch,24-Dec-22,MOODY
2623,NY BRONX,M14052,Male,Alive,2498,2502,Captive Birth/Hatch,Birth/hatch,17-Sep-10,DUKE PRIM
,,,,,,,,Transfer,1-Dec-11,SANDIEGOZ
,,,,,,,,Transfer,14-May-14,NY BRONX
2640,NY BRONX,M14053,Female,Alive,2420,2608,Captive Birth/Hatch,Birth/hatch,9-Apr-12,DUKE PRIM
,,,,,,,,Transfer,14-May-14,NY BRONX
2708,NZP-WASH,116283,Female,Alive,2631,2626,"Captive
Birth/Hatch",Birth/hatch,26-Aug-20,CHICAGOBR
,,,,,,,,Transfer,25-Aug-22,NZP-WASH
2715,NZP-WASH,"UNDETE
RMINED",Male,Alive,2634,2654,"Captive
Birth/Hatch",Birth/hatch,18-Jun-21,LITTLEROC
,,,,,,,,Transfer,23-Aug-22,NZP-WASH
2735,NZP-WASH,116461,Undeter mined,Alive,2715,2708,Captive Birth/Hatch,Birth/hatch,21-Mar-24,NZP-WASH
2736,NZP-WASH,116462,"Undeter
mined",Alive,2715,2708,"Captive
Birth/Hatch",Birth/hatch,21-Mar-24,NZP-WASH
2652,OMAHA,24485,Male,Alive,2408,2418,Captive Birth/Hatch,Birth/hatch,21-Aug-13,AKRON
,,,,,,,,Transfer,8-Jun-17,OMAHA
2677,OMAHA,24709,Female,Alive,2496,2502,Captive Birth/Hatch,Birth/hatch,18-Jan-17,DUKE PRIM
,,,,,,,,Transfer,14-Sep-17,OMAHA
2617,PHILADELP,104733,Female,Alive,1130,2436,Captive Birth/Hatch,Birth/hatch,5-Feb-10,PHILADELP
2676,PHILADELP,105322,Male,Alive,2631,2626,Captive Birth/Hatch,Birth/hatch,3-Nov-16,CHICAGOBR
,,,,,,,,Transfer,26-Oct-17,PHILADELP
2614,PUEBLO,M39021,Female,Alive,1131,2403,Captive Birth/Hatch,Birth/hatch,18-Jul-09,ABQBIOPK
,,,,,,,,Transfer,18-Dec-18,SANDIEGOZ
,,,,,,,,Transfer,5-Nov-19,PUEBLO
2653,PUEBLO,M39022,Male,Alive,2449,2632,Captive Birth/Hatch,Birth/hatch,22-Aug-14,EL PASO
,,,,,,,,Transfer,21-Sep-15,ABQBIOPK
,,,,,,,,Transfer,18-Dec-18,SANDIEGOZ
,,,,,,,,Transfer,5-Nov-19,PUEBLO
2713,W ORANGE,2815,Female,Alive,2623,2640,Captive Birth/Hatch,Birth/hatch,11-Mar-21,NY BRONX
,,,,,,,,Transfer,28-Mar-24,W ORANGE
2717,W ORANGE,2691,Male,Alive,UND,UND,"Captive
Birth/Hatch",Birth/hatch,Undetermined,GREENWICH
,,,,,,,,Transfer,12-Jun-21,VA SAFARI
,,,,,,,,Transfer,13-Jan-22,W ORANGE
