seqrun	barcode	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start
hdz11	barcode14	12686	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz11	barcode15	14987	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz11	barcode16	10826	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz11	barcode17	19760	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz11	barcode18	19730	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz11	barcode19	10800	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz11	barcode20	3675	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz11	barcode21	16165	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz11	barcode22	16651	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz11	barcode23	12083	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz11	barcode24	55	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014
hdz12	barcode01	8933	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode02	5802	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode03	6669	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode04	5519	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode05	5214	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode06	5918	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode07	3631	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode08	5254	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode09	4230	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode10	2291	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode11	6919	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode12	8012	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode13	3559	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode14	5136	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode15	7376	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode16	6103	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode17	9422	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode18	7441	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode19	2870	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode20	5265	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode21	8654	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode22	3965	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
hdz12	barcode23	6164	AVN769	PL12-13	PL012	2024-08-30	2024-08-30 17:37:27.777913
