"ID"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"ko00010"	0.0120063979766564	0.0118360394702211	0.0122137045550072	0.0113728711488327	0.0115274137657432	0.0123908013784151	0.012290723903453	0.0115814892143948	0.0112956660654704
"ko00020"	0.00596404065376304	0.00650244055833969	0.00611638452692506	0.00614052075039946	0.00613056470505666	0.00567609047363507	0.00611263190795946	0.00632298128658511	0.00605697691711469
"ko00030"	0.00655126246106666	0.00628923207147458	0.00637098703391326	0.00606934974928885	0.00616345960926348	0.0064288797244289	0.0063245060285897	0.00592145107805139	0.00618577530413835
"ko00040"	0.00448113112037516	0.00372865576285861	0.00382236728285936	0.00346632487210701	0.003739779866485	0.00495387146521401	0.00417437949655594	0.00312978151261655	0.00347422642917398
"ko00051"	0.0102753459277892	0.0111126126749322	0.0104948487046926	0.00939371097807592	0.00952569031701231	0.0127225611685766	0.0122411562935389	0.00955793561254989	0.00855148462845608
"ko00052"	0.00796075087063534	0.00782531284283692	0.00724826152209275	0.00697849794215327	0.00656877248589033	0.00742335729780242	0.00738600601079183	0.00632024941065225	0.00751662531016687
"ko00053"	0.00140439284279513	0.00126136736398962	0.00138259519719827	0.00145063266179845	0.00148413272466716	0.00249962470642458	0.00188371532706989	0.00130202024563618	0.00120905808526049
"ko00061"	0.00486104991818446	0.00514440407395907	0.00476748221702597	0.00503324682037092	0.00495465517809157	0.0042306324135359	0.00446617906898434	0.00497644714994611	0.00534378098901469
"ko00071"	0.00336867132534343	0.00302768173873779	0.0035017053320341	0.00341258763446649	0.00374038615766619	0.00400563103610433	0.00350893826318015	0.0035517149072411	0.00322448667796513
"ko00072"	0.000527793777727465	0.000559621689110696	0.000583418408872149	0.000582113956729666	0.000644490152908149	0.000738781110689228	0.000653841771725718	0.000620493523799332	0.000503300351102931
"ko00100"	4.84507805888137e-06	8.17218065797121e-06	1.03477948146999e-05	5.2586177680592e-05	4.35600886914198e-05	9.37052437400584e-06	7.5224131825586e-06	5.20967594632116e-05	5.3001461643739e-05
"ko00120"	0.00021475592197864	0.000141583029899351	0.000144130976887554	0.000121776707252456	0.000135450654212365	7.51321386434164e-05	8.13799359664223e-05	9.02075143129412e-05	0.000174211402768447
"ko00121"	0.000205220779519012	0.000150589048633386	0.000141494166360793	0.000136912632048743	0.000141648144540116	0.00013837265934746	0.000109494217341599	9.6598401949267e-05	0.000174150393029356
"ko00130"	0.00127984701633344	0.0018192482135634	0.00142934362323334	0.00216436733151783	0.00187598715772635	0.00257059635995353	0.00216366080527028	0.0021048254071837	0.00183694048046629
"ko00140"	0.000541077937525623	0.000409343826523197	0.00028242951931244	0.000403297592542646	0.000386308481910515	0.000400608537797509	0.000275163419421645	0.000277264962341294	0.000562440769513748
"ko00190"	0.00606747423814661	0.00553598790718491	0.00594444841399276	0.00730897571528962	0.00715608346372008	0.00636112769394739	0.0058254374825917	0.00706918272094024	0.00737848600851981
"ko00195"	0.00174744027859961	0.00181469108782149	0.00183681743220453	0.00183020087434902	0.00178787476815193	0.00149706415566804	0.00167299445145389	0.00184213664620059	0.00187839848418792
"ko00220"	0.00394923514466773	0.00404405366650791	0.00396953719622539	0.00393954859639106	0.00380936466957206	0.00374170912753903	0.00389822836257829	0.00388312444771448	0.00398035519777814
