"identifier"	"food"	"mg_fed"
"HDZ-102-S96"	"Biscuit"	13200
"HDZ-102-S96"	"Gum Arabic"	12000
"HDZ-102-S96"	"Invertebrates"	10000
"HDZ-102-S96"	"Protein Rotation"	2100
"HDZ-102-S96"	"Seasonal Veggie Rotation"	15000
"HDZ-093-S65"	"Biscuit"	13200
"HDZ-093-S65"	"Gum Arabic"	12000
"HDZ-093-S65"	"Invertebrates"	10000
"HDZ-093-S65"	"Protein Rotation"	2100
"HDZ-093-S65"	"Seasonal Veggie Rotation"	15000
"HDZ-089-S64"	"Biscuit"	13200
"HDZ-089-S64"	"Gum Arabic"	12000
"HDZ-089-S64"	"Invertebrates"	10000
"HDZ-089-S64"	"Protein Rotation"	2100
"HDZ-089-S64"	"Seasonal Veggie Rotation"	15000
"HDZ-101-S57"	"Biscuit"	13200
"HDZ-101-S57"	"Gum Arabic"	12000
"HDZ-101-S57"	"Invertebrates"	10000
"HDZ-101-S57"	"Protein Rotation"	2100
"HDZ-101-S57"	"Seasonal Veggie Rotation"	15000
"HDZ-097-S91"	"Biscuit"	13200
"HDZ-097-S91"	"Gum Arabic"	12000
"HDZ-097-S91"	"Invertebrates"	10000
"HDZ-097-S91"	"Protein Rotation"	2100
"HDZ-097-S91"	"Seasonal Veggie Rotation"	15000
"HDZ-092-S237"	"Biscuit"	13200
"HDZ-092-S237"	"Gum Arabic"	12000
"HDZ-092-S237"	"Invertebrates"	10000
"HDZ-092-S237"	"Protein Rotation"	2100
"HDZ-092-S237"	"Seasonal Veggie Rotation"	15000
"HDZ-088-S234"	"Biscuit"	13200
"HDZ-088-S234"	"Gum Arabic"	12000
"HDZ-088-S234"	"Invertebrates"	10000
"HDZ-088-S234"	"Protein Rotation"	2100
"HDZ-088-S234"	"Seasonal Veggie Rotation"	15000
"HDZ-083-S39"	"Biscuit"	13200
"HDZ-083-S39"	"Gum Arabic"	12000
"HDZ-083-S39"	"Invertebrates"	10000
"HDZ-083-S39"	"Protein Rotation"	2100
"HDZ-083-S39"	"Seasonal Veggie Rotation"	15000
"HDZ-108-S60"	"Biscuit"	13200
"HDZ-108-S60"	"Gum Arabic"	12000
"HDZ-108-S60"	"Invertebrates"	10000
"HDZ-108-S60"	"Protein Rotation"	2100
"HDZ-108-S60"	"Seasonal Veggie Rotation"	15000
"HDZ-096-S95"	"Biscuit"	13200
"HDZ-096-S95"	"Gum Arabic"	12000
"HDZ-096-S95"	"Invertebrates"	10000
"HDZ-096-S95"	"Protein Rotation"	2100
"HDZ-096-S95"	"Seasonal Veggie Rotation"	15000
"HDZ-091-S236"	"Biscuit"	13200
"HDZ-091-S236"	"Gum Arabic"	12000
"HDZ-091-S236"	"Invertebrates"	10000
"HDZ-091-S236"	"Protein Rotation"	2100
"HDZ-091-S236"	"Seasonal Veggie Rotation"	15000
"HDZ-105-S97"	"Biscuit"	13200
"HDZ-105-S97"	"Gum Arabic"	12000
"HDZ-105-S97"	"Invertebrates"	10000
"HDZ-105-S97"	"Protein Rotation"	2100
"HDZ-105-S97"	"Seasonal Veggie Rotation"	15000
"HDZ-087-S78"	"Biscuit"	13200
"HDZ-087-S78"	"Gum Arabic"	12000
"HDZ-087-S78"	"Invertebrates"	10000
"HDZ-087-S78"	"Protein Rotation"	2100
"HDZ-087-S78"	"Seasonal Veggie Rotation"	15000
"HDZ-082-S41"	"Biscuit"	13200
"HDZ-082-S41"	"Gum Arabic"	12000
"HDZ-082-S41"	"Invertebrates"	10000
"HDZ-082-S41"	"Protein Rotation"	2100
"HDZ-082-S41"	"Seasonal Veggie Rotation"	15000
"HDZ-086-S42"	"Biscuit"	13200
"HDZ-086-S42"	"Gum Arabic"	12000
"HDZ-086-S42"	"Invertebrates"	10000
"HDZ-086-S42"	"Protein Rotation"	2100
"HDZ-086-S42"	"Seasonal Veggie Rotation"	15000
"HDZ-090-S235"	"Biscuit"	13200
"HDZ-090-S235"	"Gum Arabic"	12000
"HDZ-090-S235"	"Invertebrates"	10000
"HDZ-090-S235"	"Protein Rotation"	2100
"HDZ-090-S235"	"Seasonal Veggie Rotation"	15000
"HDZ-081-S40"	"Biscuit"	13200
"HDZ-081-S40"	"Gum Arabic"	12000
"HDZ-081-S40"	"Invertebrates"	10000
"HDZ-081-S40"	"Protein Rotation"	2100
"HDZ-081-S40"	"Seasonal Veggie Rotation"	15000
"HDZ-109-S240"	"Biscuit"	13200
"HDZ-109-S240"	"Gum Arabic"	12000
"HDZ-109-S240"	"Invertebrates"	10000
"HDZ-109-S240"	"Protein Rotation"	2100
"HDZ-109-S240"	"Seasonal Veggie Rotation"	15000
"HDZ-085-S92"	"Biscuit"	13200
"HDZ-085-S92"	"Gum Arabic"	12000
"HDZ-085-S92"	"Invertebrates"	10000
"HDZ-085-S92"	"Protein Rotation"	2100
"HDZ-085-S92"	"Seasonal Veggie Rotation"	15000
"HDZ-106-S83"	"Biscuit"	13200
"HDZ-106-S83"	"Gum Arabic"	12000
"HDZ-106-S83"	"Invertebrates"	10000
"HDZ-106-S83"	"Protein Rotation"	2100
"HDZ-106-S83"	"Seasonal Veggie Rotation"	15000
"HDZ-080-E1"	"Biscuit"	13200
"HDZ-080-E1"	"Gum Arabic"	12000
"HDZ-080-E1"	"Invertebrates"	10000
"HDZ-080-E1"	"Protein Rotation"	2100
"HDZ-080-E1"	"Seasonal Veggie Rotation"	15000
"HDZ-107-S55"	"Biscuit"	13200
"HDZ-107-S55"	"Gum Arabic"	12000
"HDZ-107-S55"	"Invertebrates"	10000
"HDZ-107-S55"	"Protein Rotation"	2100
"HDZ-107-S55"	"Seasonal Veggie Rotation"	15000
"HDZ-190-S59"	"Biscuit"	13200
"HDZ-190-S59"	"Gum Arabic"	12000
"HDZ-190-S59"	"Invertebrates"	10000
"HDZ-190-S59"	"Protein Rotation"	2100
"HDZ-190-S59"	"Seasonal Veggie Rotation"	15000
"HDZ-193-S70"	"Biscuit"	13200
"HDZ-193-S70"	"Gum Arabic"	12000
"HDZ-193-S70"	"Invertebrates"	10000
"HDZ-193-S70"	"Protein Rotation"	2100
"HDZ-193-S70"	"Seasonal Veggie Rotation"	15000
"HDZ-192-S75"	"Biscuit"	13200
"HDZ-192-S75"	"Gum Arabic"	12000
"HDZ-192-S75"	"Invertebrates"	10000
"HDZ-192-S75"	"Protein Rotation"	2100
"HDZ-192-S75"	"Seasonal Veggie Rotation"	15000
"HDZ-191-S56"	"Biscuit"	13200
"HDZ-191-S56"	"Gum Arabic"	12000
"HDZ-191-S56"	"Invertebrates"	10000
"HDZ-191-S56"	"Protein Rotation"	2100
"HDZ-191-S56"	"Seasonal Veggie Rotation"	15000
"HDZ-264-S167"	"Biscuit"	13200
"HDZ-264-S167"	"Gum Arabic"	12000
"HDZ-264-S167"	"Invertebrates"	10000
"HDZ-264-S167"	"Protein Rotation"	2100
"HDZ-264-S167"	"Seasonal Veggie Rotation"	15000
"HDZ-268-S308"	"Biscuit"	13200
"HDZ-268-S308"	"Gum Arabic"	12000
"HDZ-268-S308"	"Invertebrates"	10000
"HDZ-268-S308"	"Protein Rotation"	2100
"HDZ-268-S308"	"Seasonal Veggie Rotation"	15000
"HDZ-263-S166"	"Biscuit"	13200
"HDZ-263-S166"	"Gum Arabic"	12000
"HDZ-263-S166"	"Invertebrates"	10000
"HDZ-263-S166"	"Protein Rotation"	2100
"HDZ-263-S166"	"Seasonal Veggie Rotation"	15000
"HDZ-257-E1"	"Biscuit"	13200
"HDZ-257-E1"	"Gum Arabic"	12000
"HDZ-257-E1"	"Invertebrates"	10000
"HDZ-257-E1"	"Protein Rotation"	2100
"HDZ-257-E1"	"Seasonal Veggie Rotation"	15000
"HDZ-258-S162"	"Biscuit"	13200
"HDZ-258-S162"	"Gum Arabic"	12000
"HDZ-258-S162"	"Invertebrates"	10000
"HDZ-258-S162"	"Protein Rotation"	2100
"HDZ-258-S162"	"Seasonal Veggie Rotation"	15000
"HDZ-256-E1"	"Biscuit"	13200
"HDZ-256-E1"	"Gum Arabic"	12000
"HDZ-256-E1"	"Invertebrates"	10000
"HDZ-256-E1"	"Protein Rotation"	2100
"HDZ-256-E1"	"Seasonal Veggie Rotation"	15000
"HDZ-259-S163"	"Biscuit"	13200
"HDZ-259-S163"	"Gum Arabic"	12000
"HDZ-259-S163"	"Invertebrates"	10000
"HDZ-259-S163"	"Protein Rotation"	2100
"HDZ-259-S163"	"Seasonal Veggie Rotation"	15000
"HDZ-269-S309"	"Biscuit"	13200
"HDZ-269-S309"	"Gum Arabic"	12000
"HDZ-269-S309"	"Invertebrates"	10000
"HDZ-269-S309"	"Protein Rotation"	2100
"HDZ-269-S309"	"Seasonal Veggie Rotation"	15000
"HDZ-274-S314"	"Biscuit"	13200
"HDZ-274-S314"	"Gum Arabic"	12000
"HDZ-274-S314"	"Invertebrates"	10000
"HDZ-274-S314"	"Protein Rotation"	2100
"HDZ-274-S314"	"Seasonal Veggie Rotation"	15000
"HDZ-255-E1"	"Biscuit"	13200
"HDZ-255-E1"	"Gum Arabic"	12000
"HDZ-255-E1"	"Invertebrates"	10000
"HDZ-255-E1"	"Protein Rotation"	2100
"HDZ-255-E1"	"Seasonal Veggie Rotation"	15000
"HDZ-245-S145"	"Biscuit"	13200
"HDZ-245-S145"	"Gum Arabic"	12000
"HDZ-245-S145"	"Invertebrates"	10000
"HDZ-245-S145"	"Protein Rotation"	2100
"HDZ-245-S145"	"Seasonal Veggie Rotation"	15000
"HDZ-251-S151"	"Biscuit"	13200
"HDZ-251-S151"	"Gum Arabic"	12000
"HDZ-251-S151"	"Invertebrates"	10000
"HDZ-251-S151"	"Protein Rotation"	2100
"HDZ-251-S151"	"Seasonal Veggie Rotation"	15000
"HDZ-253-S153"	"Biscuit"	13200
"HDZ-253-S153"	"Gum Arabic"	12000
"HDZ-253-S153"	"Invertebrates"	10000
"HDZ-253-S153"	"Protein Rotation"	2100
"HDZ-253-S153"	"Seasonal Veggie Rotation"	15000
"HDZ-323-S134"	"Biscuit"	13200
"HDZ-323-S134"	"Gum Arabic"	12000
"HDZ-323-S134"	"Invertebrates"	10000
"HDZ-323-S134"	"Protein Rotation"	2100
"HDZ-323-S134"	"Seasonal Veggie Rotation"	15000
"HDZ-252-S152"	"Biscuit"	13200
"HDZ-252-S152"	"Gum Arabic"	12000
"HDZ-252-S152"	"Invertebrates"	10000
"HDZ-252-S152"	"Protein Rotation"	2100
"HDZ-252-S152"	"Seasonal Veggie Rotation"	15000
"HDZ-246-S146"	"Biscuit"	13200
"HDZ-246-S146"	"Gum Arabic"	12000
"HDZ-246-S146"	"Invertebrates"	10000
"HDZ-246-S146"	"Protein Rotation"	2100
"HDZ-246-S146"	"Seasonal Veggie Rotation"	15000
"HDZ-249-S149"	"Biscuit"	13200
"HDZ-249-S149"	"Gum Arabic"	12000
"HDZ-249-S149"	"Invertebrates"	10000
"HDZ-249-S149"	"Protein Rotation"	2100
"HDZ-249-S149"	"Seasonal Veggie Rotation"	15000
"HDZ-240-S140"	"Biscuit"	13200
"HDZ-240-S140"	"Gum Arabic"	12000
"HDZ-240-S140"	"Invertebrates"	10000
"HDZ-240-S140"	"Protein Rotation"	2100
"HDZ-240-S140"	"Seasonal Veggie Rotation"	15000
"HDZ-247-S147"	"Biscuit"	13200
"HDZ-247-S147"	"Gum Arabic"	12000
"HDZ-247-S147"	"Invertebrates"	10000
"HDZ-247-S147"	"Protein Rotation"	2100
"HDZ-247-S147"	"Seasonal Veggie Rotation"	15000
"HDZ-250-S150"	"Biscuit"	13200
"HDZ-250-S150"	"Gum Arabic"	12000
"HDZ-250-S150"	"Invertebrates"	10000
"HDZ-250-S150"	"Protein Rotation"	2100
"HDZ-250-S150"	"Seasonal Veggie Rotation"	15000
"HDZ-272-S312"	"Biscuit"	13200
"HDZ-272-S312"	"Gum Arabic"	12000
"HDZ-272-S312"	"Invertebrates"	10000
"HDZ-272-S312"	"Protein Rotation"	2100
"HDZ-272-S312"	"Seasonal Veggie Rotation"	15000
"HDZ-248-S148"	"Biscuit"	13200
"HDZ-248-S148"	"Gum Arabic"	12000
"HDZ-248-S148"	"Invertebrates"	10000
"HDZ-248-S148"	"Protein Rotation"	2100
"HDZ-248-S148"	"Seasonal Veggie Rotation"	15000
"HDZ-270-S310"	"Biscuit"	13200
"HDZ-270-S310"	"Gum Arabic"	12000
"HDZ-270-S310"	"Invertebrates"	10000
"HDZ-270-S310"	"Protein Rotation"	2100
"HDZ-270-S310"	"Seasonal Veggie Rotation"	15000
"HDZ-267-S255"	"Biscuit"	13200
"HDZ-267-S255"	"Gum Arabic"	12000
"HDZ-267-S255"	"Invertebrates"	10000
"HDZ-267-S255"	"Protein Rotation"	2100
"HDZ-267-S255"	"Seasonal Veggie Rotation"	15000
"HDZ-273-S313"	"Biscuit"	13200
"HDZ-273-S313"	"Gum Arabic"	12000
"HDZ-273-S313"	"Invertebrates"	10000
"HDZ-273-S313"	"Protein Rotation"	2100
"HDZ-273-S313"	"Seasonal Veggie Rotation"	15000
"HDZ-265-S205"	"Biscuit"	13200
"HDZ-265-S205"	"Gum Arabic"	12000
"HDZ-265-S205"	"Invertebrates"	10000
"HDZ-265-S205"	"Protein Rotation"	2100
"HDZ-265-S205"	"Seasonal Veggie Rotation"	15000
"HDZ-262-S165"	"Biscuit"	13200
"HDZ-262-S165"	"Gum Arabic"	12000
"HDZ-262-S165"	"Invertebrates"	10000
"HDZ-262-S165"	"Protein Rotation"	2100
"HDZ-262-S165"	"Seasonal Veggie Rotation"	15000
"HDZ-271-S311"	"Oat Gel"	5000
"HDZ-271-S311"	"Biscuit"	13200
"HDZ-271-S311"	"Gum Arabic"	12000
"HDZ-271-S311"	"Invertebrates"	8000
"HDZ-271-S311"	"Protein Rotation"	2100
"HDZ-271-S311"	"Seasonal Veggie Rotation"	20000
"HDZ-203-S203"	"Oat Gel"	5000
"HDZ-203-S203"	"Biscuit"	13200
"HDZ-203-S203"	"Gum Arabic"	12000
"HDZ-203-S203"	"Invertebrates"	8000
"HDZ-203-S203"	"Protein Rotation"	2100
"HDZ-203-S203"	"Seasonal Veggie Rotation"	20000
"HDZ-209-S104"	"Biscuit"	13200
"HDZ-209-S104"	"Gum Arabic"	12000
"HDZ-209-S104"	"Invertebrates"	10000
"HDZ-209-S104"	"Protein Rotation"	2100
"HDZ-209-S104"	"Seasonal Veggie Rotation"	15000
"HDZ-202-E1-S348"	"Oat Gel"	5000
"HDZ-202-E1-S348"	"Biscuit"	13200
"HDZ-202-E1-S348"	"Gum Arabic"	12000
"HDZ-202-E1-S348"	"Invertebrates"	8000
"HDZ-202-E1-S348"	"Protein Rotation"	2100
"HDZ-202-E1-S348"	"Seasonal Veggie Rotation"	20000
"HDZ-207-S102"	"Biscuit"	13200
"HDZ-207-S102"	"Gum Arabic"	12000
"HDZ-207-S102"	"Invertebrates"	10000
"HDZ-207-S102"	"Protein Rotation"	2100
"HDZ-207-S102"	"Seasonal Veggie Rotation"	15000
"HDZ-266-S254"	"Oat Gel"	5000
"HDZ-266-S254"	"Biscuit"	13200
"HDZ-266-S254"	"Gum Arabic"	12000
"HDZ-266-S254"	"Invertebrates"	8000
"HDZ-266-S254"	"Protein Rotation"	2100
"HDZ-266-S254"	"Seasonal Veggie Rotation"	20000
"HDZ-260-S164"	"Biscuit"	13200
"HDZ-260-S164"	"Gum Arabic"	12000
"HDZ-260-S164"	"Invertebrates"	10000
"HDZ-260-S164"	"Protein Rotation"	2100
"HDZ-260-S164"	"Seasonal Veggie Rotation"	15000
"HDZ-204-S249"	"Oat Gel"	5000
"HDZ-204-S249"	"Biscuit"	13200
"HDZ-204-S249"	"Gum Arabic"	12000
"HDZ-204-S249"	"Invertebrates"	8000
"HDZ-204-S249"	"Protein Rotation"	2100
"HDZ-204-S249"	"Seasonal Veggie Rotation"	20000
"HDZ-205-S101"	"Biscuit"	13200
"HDZ-205-S101"	"Gum Arabic"	12000
"HDZ-205-S101"	"Invertebrates"	10000
"HDZ-205-S101"	"Protein Rotation"	2100
"HDZ-205-S101"	"Seasonal Veggie Rotation"	15000
"HDZ-208-S103"	"Biscuit"	13200
"HDZ-208-S103"	"Gum Arabic"	12000
"HDZ-208-S103"	"Invertebrates"	10000
"HDZ-208-S103"	"Protein Rotation"	2100
"HDZ-208-S103"	"Seasonal Veggie Rotation"	15000
"HDZ-394-S271"	"Oat Gel"	5000
"HDZ-394-S271"	"Biscuit"	13200
"HDZ-394-S271"	"Gum Arabic"	12000
"HDZ-394-S271"	"Invertebrates"	8000
"HDZ-394-S271"	"Protein Rotation"	2100
"HDZ-394-S271"	"Seasonal Veggie Rotation"	20000
"HDZ-411-E1-S350"	"Biscuit"	13200
"HDZ-411-E1-S350"	"Gum Arabic"	12000
"HDZ-411-E1-S350"	"Invertebrates"	10000
"HDZ-411-E1-S350"	"Protein Rotation"	2100
"HDZ-411-E1-S350"	"Seasonal Veggie Rotation"	15000
"HDZ-254-S154"	"Oat Gel"	5000
"HDZ-254-S154"	"Biscuit"	13200
"HDZ-254-S154"	"Gum Arabic"	12000
"HDZ-254-S154"	"Invertebrates"	8000
"HDZ-254-S154"	"Protein Rotation"	2100
"HDZ-254-S154"	"Seasonal Veggie Rotation"	20000
"HDZ-194-S87"	"Biscuit"	13200
"HDZ-194-S87"	"Gum Arabic"	12000
"HDZ-194-S87"	"Invertebrates"	10000
"HDZ-194-S87"	"Protein Rotation"	2100
"HDZ-194-S87"	"Seasonal Veggie Rotation"	15000
"HDZ-201-E1-S347"	"Oat Gel"	5000
"HDZ-201-E1-S347"	"Biscuit"	13200
"HDZ-201-E1-S347"	"Gum Arabic"	12000
"HDZ-201-E1-S347"	"Invertebrates"	8000
"HDZ-201-E1-S347"	"Protein Rotation"	2100
"HDZ-201-E1-S347"	"Seasonal Veggie Rotation"	20000
"HDZ-200-S100"	"Biscuit"	13200
"HDZ-200-S100"	"Gum Arabic"	12000
"HDZ-200-S100"	"Invertebrates"	10000
"HDZ-200-S100"	"Protein Rotation"	2100
"HDZ-200-S100"	"Seasonal Veggie Rotation"	15000
"HDZ-197-S202"	"Oat Gel"	5000
"HDZ-197-S202"	"Biscuit"	13200
"HDZ-197-S202"	"Gum Arabic"	12000
"HDZ-197-S202"	"Invertebrates"	8000
"HDZ-197-S202"	"Protein Rotation"	2100
"HDZ-197-S202"	"Seasonal Veggie Rotation"	20000
"HDZ-196-S76"	"Oat Gel"	5000
"HDZ-196-S76"	"Biscuit"	13200
"HDZ-196-S76"	"Gum Arabic"	12000
"HDZ-196-S76"	"Invertebrates"	8000
"HDZ-196-S76"	"Protein Rotation"	2100
"HDZ-196-S76"	"Seasonal Veggie Rotation"	20000
"HDZ-239-S307"	"Biscuit"	13200
"HDZ-239-S307"	"Gum Arabic"	12000
"HDZ-239-S307"	"Invertebrates"	10000
"HDZ-239-S307"	"Protein Rotation"	2100
"HDZ-239-S307"	"Seasonal Veggie Rotation"	15000
"HDZ-238-S306"	"Oat Gel"	5000
"HDZ-238-S306"	"Biscuit"	13200
"HDZ-238-S306"	"Gum Arabic"	12000
"HDZ-238-S306"	"Invertebrates"	8000
"HDZ-238-S306"	"Protein Rotation"	2100
"HDZ-238-S306"	"Seasonal Veggie Rotation"	20000
"HDZ-199-S86"	"Biscuit"	13200
"HDZ-199-S86"	"Gum Arabic"	12000
"HDZ-199-S86"	"Invertebrates"	10000
"HDZ-199-S86"	"Protein Rotation"	2100
"HDZ-199-S86"	"Seasonal Veggie Rotation"	15000
"HDZ-235-S282"	"Oat Gel"	5000
"HDZ-235-S282"	"Biscuit"	13200
"HDZ-235-S282"	"Gum Arabic"	12000
"HDZ-235-S282"	"Invertebrates"	8000
"HDZ-235-S282"	"Protein Rotation"	2100
"HDZ-235-S282"	"Seasonal Veggie Rotation"	20000
"HDZ-234-S281"	"Biscuit"	13200
"HDZ-234-S281"	"Gum Arabic"	12000
"HDZ-234-S281"	"Invertebrates"	10000
"HDZ-234-S281"	"Protein Rotation"	2100
"HDZ-234-S281"	"Seasonal Veggie Rotation"	15000
"HDZ-198-S88"	"Oat Gel"	5000
"HDZ-198-S88"	"Biscuit"	13200
"HDZ-198-S88"	"Gum Arabic"	12000
"HDZ-198-S88"	"Invertebrates"	8000
"HDZ-198-S88"	"Protein Rotation"	2100
"HDZ-198-S88"	"Seasonal Veggie Rotation"	20000
"HDZ-237-S305"	"Biscuit"	13200
"HDZ-237-S305"	"Gum Arabic"	12000
"HDZ-237-S305"	"Invertebrates"	10000
"HDZ-237-S305"	"Protein Rotation"	2100
"HDZ-237-S305"	"Seasonal Veggie Rotation"	15000
"HDZ-326-S137"	"Oat Gel"	5000
"HDZ-326-S137"	"Biscuit"	13200
"HDZ-326-S137"	"Gum Arabic"	12000
"HDZ-326-S137"	"Invertebrates"	8000
"HDZ-326-S137"	"Protein Rotation"	2100
"HDZ-326-S137"	"Seasonal Veggie Rotation"	20000
"HDZ-307-S116"	"Biscuit"	13200
"HDZ-307-S116"	"Gum Arabic"	12000
"HDZ-307-S116"	"Invertebrates"	10000
"HDZ-307-S116"	"Protein Rotation"	2100
"HDZ-307-S116"	"Seasonal Veggie Rotation"	15000
"HDZ-330-S323"	"Oat Gel"	5000
"HDZ-330-S323"	"Biscuit"	13200
"HDZ-330-S323"	"Gum Arabic"	12000
"HDZ-330-S323"	"Invertebrates"	8000
"HDZ-330-S323"	"Protein Rotation"	2100
"HDZ-330-S323"	"Seasonal Veggie Rotation"	20000
"HDZ-315-S127"	"Biscuit"	13200
"HDZ-315-S127"	"Gum Arabic"	12000
"HDZ-315-S127"	"Invertebrates"	10000
"HDZ-315-S127"	"Protein Rotation"	2100
"HDZ-315-S127"	"Seasonal Veggie Rotation"	15000
"HDZ-318-S156"	"Oat Gel"	5000
"HDZ-318-S156"	"Biscuit"	13200
"HDZ-318-S156"	"Gum Arabic"	12000
"HDZ-318-S156"	"Invertebrates"	8000
"HDZ-318-S156"	"Protein Rotation"	2100
"HDZ-318-S156"	"Seasonal Veggie Rotation"	20000
"HDZ-306-S115"	"Biscuit"	13200
"HDZ-306-S115"	"Gum Arabic"	12000
"HDZ-306-S115"	"Invertebrates"	10000
"HDZ-306-S115"	"Protein Rotation"	2100
"HDZ-306-S115"	"Seasonal Veggie Rotation"	15000
"HDZ-336-S159"	"Oat Gel"	5000
"HDZ-336-S159"	"Biscuit"	13200
"HDZ-336-S159"	"Gum Arabic"	12000
"HDZ-336-S159"	"Invertebrates"	8000
"HDZ-336-S159"	"Protein Rotation"	2100
"HDZ-336-S159"	"Seasonal Veggie Rotation"	20000
"HDZ-331-S324"	"Biscuit"	13200
"HDZ-331-S324"	"Gum Arabic"	12000
"HDZ-331-S324"	"Invertebrates"	10000
"HDZ-331-S324"	"Protein Rotation"	2100
"HDZ-331-S324"	"Seasonal Veggie Rotation"	15000
"HDZ-317-S155"	"Oat Gel"	5000
"HDZ-317-S155"	"Biscuit"	13200
"HDZ-317-S155"	"Gum Arabic"	12000
"HDZ-317-S155"	"Invertebrates"	8000
"HDZ-317-S155"	"Protein Rotation"	2100
"HDZ-317-S155"	"Seasonal Veggie Rotation"	20000
"HDZ-303-S112"	"Biscuit"	13200
"HDZ-303-S112"	"Gum Arabic"	12000
"HDZ-303-S112"	"Invertebrates"	10000
"HDZ-303-S112"	"Protein Rotation"	2100
"HDZ-303-S112"	"Seasonal Veggie Rotation"	15000
"HDZ-312-S121"	"Biscuit"	13200
"HDZ-312-S121"	"Gum Arabic"	12000
"HDZ-312-S121"	"Invertebrates"	10000
"HDZ-312-S121"	"Protein Rotation"	2100
"HDZ-312-S121"	"Seasonal Veggie Rotation"	15000
"HDZ-308-S117"	"Oat Gel"	5000
"HDZ-308-S117"	"Biscuit"	13200
"HDZ-308-S117"	"Gum Arabic"	12000
"HDZ-308-S117"	"Invertebrates"	8000
"HDZ-308-S117"	"Protein Rotation"	2100
"HDZ-308-S117"	"Seasonal Veggie Rotation"	20000
"HDZ-304-S113"	"Biscuit"	13200
"HDZ-304-S113"	"Gum Arabic"	12000
"HDZ-304-S113"	"Invertebrates"	10000
"HDZ-304-S113"	"Protein Rotation"	2100
"HDZ-304-S113"	"Seasonal Veggie Rotation"	15000
"HDZ-314-S126"	"Oat Gel"	5000
"HDZ-314-S126"	"Biscuit"	13200
"HDZ-314-S126"	"Gum Arabic"	12000
"HDZ-314-S126"	"Invertebrates"	8000
"HDZ-314-S126"	"Protein Rotation"	2100
"HDZ-314-S126"	"Seasonal Veggie Rotation"	20000
"HDZ-313-S125"	"Biscuit"	13200
"HDZ-313-S125"	"Gum Arabic"	12000
"HDZ-313-S125"	"Invertebrates"	10000
"HDZ-313-S125"	"Protein Rotation"	2100
"HDZ-313-S125"	"Seasonal Veggie Rotation"	15000
"HDZ-319-S157"	"Oat Gel"	5000
"HDZ-319-S157"	"Biscuit"	13200
"HDZ-319-S157"	"Gum Arabic"	12000
"HDZ-319-S157"	"Invertebrates"	8000
"HDZ-319-S157"	"Protein Rotation"	2100
"HDZ-319-S157"	"Seasonal Veggie Rotation"	20000
"HDZ-324-S135"	"Oat Gel"	5000
"HDZ-324-S135"	"Biscuit"	13200
"HDZ-324-S135"	"Gum Arabic"	12000
"HDZ-324-S135"	"Invertebrates"	8000
"HDZ-324-S135"	"Protein Rotation"	2100
"HDZ-324-S135"	"Seasonal Veggie Rotation"	20000
"HDZ-329-S315"	"Biscuit"	13200
"HDZ-329-S315"	"Gum Arabic"	12000
"HDZ-329-S315"	"Invertebrates"	10000
"HDZ-329-S315"	"Protein Rotation"	2100
"HDZ-329-S315"	"Seasonal Veggie Rotation"	15000
"HDZ-305-S114"	"Oat Gel"	5000
"HDZ-305-S114"	"Biscuit"	13200
"HDZ-305-S114"	"Gum Arabic"	12000
"HDZ-305-S114"	"Invertebrates"	8000
"HDZ-305-S114"	"Protein Rotation"	2100
"HDZ-305-S114"	"Seasonal Veggie Rotation"	20000
"HDZ-333-S169"	"Biscuit"	13200
"HDZ-333-S169"	"Gum Arabic"	12000
"HDZ-333-S169"	"Invertebrates"	10000
"HDZ-333-S169"	"Protein Rotation"	2100
"HDZ-333-S169"	"Seasonal Veggie Rotation"	15000
"HDZ-310-S119"	"Oat Gel"	5000
"HDZ-310-S119"	"Biscuit"	13200
"HDZ-310-S119"	"Gum Arabic"	12000
"HDZ-310-S119"	"Invertebrates"	8000
"HDZ-310-S119"	"Protein Rotation"	2100
"HDZ-310-S119"	"Seasonal Veggie Rotation"	20000
"HDZ-335-S257"	"Biscuit"	13200
"HDZ-335-S257"	"Gum Arabic"	12000
"HDZ-335-S257"	"Invertebrates"	10000
"HDZ-335-S257"	"Protein Rotation"	2100
"HDZ-335-S257"	"Seasonal Veggie Rotation"	15000
"HDZ-320-S131"	"Oat Gel"	5000
"HDZ-320-S131"	"Biscuit"	13200
"HDZ-320-S131"	"Gum Arabic"	12000
"HDZ-320-S131"	"Invertebrates"	8000
"HDZ-320-S131"	"Protein Rotation"	2100
"HDZ-320-S131"	"Seasonal Veggie Rotation"	20000
"HDZ-332-S168"	"Biscuit"	13200
"HDZ-332-S168"	"Gum Arabic"	12000
"HDZ-332-S168"	"Invertebrates"	10000
"HDZ-332-S168"	"Protein Rotation"	2100
"HDZ-332-S168"	"Seasonal Veggie Rotation"	15000
"HDZ-301-S110"	"Oat Gel"	5000
"HDZ-301-S110"	"Biscuit"	13200
"HDZ-301-S110"	"Gum Arabic"	12000
"HDZ-301-S110"	"Invertebrates"	8000
"HDZ-301-S110"	"Protein Rotation"	2100
"HDZ-301-S110"	"Seasonal Veggie Rotation"	20000
"HDZ-325-S136"	"Biscuit"	13200
"HDZ-325-S136"	"Gum Arabic"	12000
"HDZ-325-S136"	"Invertebrates"	10000
"HDZ-325-S136"	"Protein Rotation"	2100
