"identifier"	"food"	"mg_fed"
"HDZ-018-S30"	"Biscuit"	13200
"HDZ-018-S30"	"Gum Arabic"	12000
"HDZ-018-S30"	"Invertebrates"	10000
"HDZ-018-S30"	"Protein Rotation"	2100
"HDZ-018-S30"	"Seasonal Veggie Rotation"	15000
"HDZ-015-S28"	"Biscuit"	13200
"HDZ-015-S28"	"Gum Arabic"	12000
"HDZ-015-S28"	"Invertebrates"	10000
"HDZ-015-S28"	"Protein Rotation"	2100
"HDZ-015-S28"	"Seasonal Veggie Rotation"	15000
"HDZ-010-S23"	"Biscuit"	13200
"HDZ-010-S23"	"Gum Arabic"	12000
"HDZ-010-S23"	"Invertebrates"	10000
"HDZ-010-S23"	"Protein Rotation"	2100
"HDZ-010-S23"	"Seasonal Veggie Rotation"	15000
"HDZ-025-S17"	"Biscuit"	13200
"HDZ-025-S17"	"Gum Arabic"	12000
"HDZ-025-S17"	"Invertebrates"	10000
"HDZ-025-S17"	"Protein Rotation"	2100
"HDZ-025-S17"	"Seasonal Veggie Rotation"	15000
"HDZ-016-S21"	"Biscuit"	13200
"HDZ-016-S21"	"Gum Arabic"	12000
"HDZ-016-S21"	"Invertebrates"	10000
"HDZ-016-S21"	"Protein Rotation"	2100
"HDZ-016-S21"	"Seasonal Veggie Rotation"	15000
"HDZ-002-S93"	"Biscuit"	13200
"HDZ-002-S93"	"Gum Arabic"	12000
"HDZ-002-S93"	"Invertebrates"	10000
"HDZ-002-S93"	"Protein Rotation"	2100
"HDZ-002-S93"	"Seasonal Veggie Rotation"	15000
"HDZ-024-S19"	"Biscuit"	13200
"HDZ-024-S19"	"Gum Arabic"	12000
"HDZ-024-S19"	"Invertebrates"	10000
"HDZ-024-S19"	"Protein Rotation"	2100
"HDZ-024-S19"	"Seasonal Veggie Rotation"	15000
"HDZ-026-S15"	"Biscuit"	13200
"HDZ-026-S15"	"Gum Arabic"	12000
"HDZ-026-S15"	"Invertebrates"	10000
"HDZ-026-S15"	"Protein Rotation"	2100
"HDZ-026-S15"	"Seasonal Veggie Rotation"	15000
"HDZ-022-S31"	"Biscuit"	13200
"HDZ-022-S31"	"Gum Arabic"	12000
"HDZ-022-S31"	"Invertebrates"	10000
"HDZ-022-S31"	"Protein Rotation"	2100
"HDZ-022-S31"	"Seasonal Veggie Rotation"	15000
"HDZ-023-S20"	"Biscuit"	13200
"HDZ-023-S20"	"Gum Arabic"	12000
"HDZ-023-S20"	"Invertebrates"	10000
"HDZ-023-S20"	"Protein Rotation"	2100
"HDZ-023-S20"	"Seasonal Veggie Rotation"	15000
"HDZ-020-S12"	"Biscuit"	13200
"HDZ-020-S12"	"Gum Arabic"	12000
"HDZ-020-S12"	"Invertebrates"	10000
"HDZ-020-S12"	"Protein Rotation"	2100
"HDZ-020-S12"	"Seasonal Veggie Rotation"	15000
"HDZ-001-S231"	"Biscuit"	13200
"HDZ-001-S231"	"Gum Arabic"	12000
"HDZ-001-S231"	"Invertebrates"	10000
"HDZ-001-S231"	"Protein Rotation"	2100
"HDZ-001-S231"	"Seasonal Veggie Rotation"	15000
"HDZ-028-S16"	"Biscuit"	13200
"HDZ-028-S16"	"Gum Arabic"	12000
"HDZ-028-S16"	"Invertebrates"	10000
"HDZ-028-S16"	"Protein Rotation"	2100
"HDZ-028-S16"	"Seasonal Veggie Rotation"	15000
"HDZ-028-S36"	"Biscuit"	13200
"HDZ-028-S36"	"Gum Arabic"	12000
"HDZ-028-S36"	"Invertebrates"	10000
"HDZ-028-S36"	"Protein Rotation"	2100
"HDZ-028-S36"	"Seasonal Veggie Rotation"	15000
"HDZ-027-S32"	"Biscuit"	13200
"HDZ-027-S32"	"Gum Arabic"	12000
"HDZ-027-S32"	"Invertebrates"	10000
"HDZ-027-S32"	"Protein Rotation"	2100
"HDZ-027-S32"	"Seasonal Veggie Rotation"	15000
"HDZ-035-S185"	"Biscuit"	13200
"HDZ-035-S185"	"Gum Arabic"	12000
"HDZ-035-S185"	"Invertebrates"	10000
"HDZ-035-S185"	"Protein Rotation"	2100
"HDZ-035-S185"	"Seasonal Veggie Rotation"	15000
"HDZ-030-S37"	"Biscuit"	13200
"HDZ-030-S37"	"Gum Arabic"	12000
"HDZ-030-S37"	"Invertebrates"	10000
"HDZ-030-S37"	"Protein Rotation"	2100
"HDZ-030-S37"	"Seasonal Veggie Rotation"	15000
"HDZ-030-S6"	"Biscuit"	13200
"HDZ-030-S6"	"Gum Arabic"	12000
"HDZ-030-S6"	"Invertebrates"	10000
"HDZ-030-S6"	"Protein Rotation"	2100
"HDZ-030-S6"	"Seasonal Veggie Rotation"	15000
"HDZ-045-S49"	"Biscuit"	13200
"HDZ-045-S49"	"Gum Arabic"	12000
"HDZ-045-S49"	"Invertebrates"	10000
"HDZ-045-S49"	"Protein Rotation"	2100
"HDZ-045-S49"	"Seasonal Veggie Rotation"	15000
"HDZ-012-E1"	"Biscuit"	13200
"HDZ-012-E1"	"Gum Arabic"	12000
"HDZ-012-E1"	"Invertebrates"	10000
"HDZ-012-E1"	"Protein Rotation"	2100
"HDZ-012-E1"	"Seasonal Veggie Rotation"	15000
"HDZ-050-S232"	"Biscuit"	13200
"HDZ-050-S232"	"Gum Arabic"	12000
"HDZ-050-S232"	"Invertebrates"	10000
"HDZ-050-S232"	"Protein Rotation"	2100
"HDZ-050-S232"	"Seasonal Veggie Rotation"	15000
"HDZ-040-S187"	"Biscuit"	13200
"HDZ-040-S187"	"Gum Arabic"	12000
