alias	seqrun	collection	sampleID	subject	barcode	kit	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start	tech_replicates	ster_mgpml	ster_dose_ml	ster_npday	ster_mgpday	diet_trial	location	med_type	med_name	mgpml	dose_ml	dose_npday	mg_p_day	warble_cycle	access	culi_trial	bristol_min	bristol_max	bristol_mean	note_type	note_detail
hdz-004-s3	hdz1	2023-10-28	hdz-004	warble	barcode03	SQK-16S114-24	6796	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	estrus	together	baseline	NA	NA	NA	none	none
hdz-004-s3	hdz1	2023-10-28	hdz-004	warble	barcode03	SQK-16S114-24	6796	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	together	baseline	NA	NA	NA	none	none
hdz-011-s10	hdz1	2023-10-29	hdz-011	culi	barcode10	SQK-16S114-24	7880	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	estrus	together	baseline	3	3	3	none	none
hdz-011-s10	hdz1	2023-10-29	hdz-011	culi	barcode10	SQK-16S114-24	7880	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	together	baseline	3	3	3	none	none
hdz-019-s13	hdz1	2023-10-29	hdz-019	warble	barcode13	SQK-16S114-24	19320	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	estrus	together	baseline	NA	NA	NA	none	none
hdz-019-s13	hdz1	2023-10-29	hdz-019	warble	barcode13	SQK-16S114-24	19320	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	together	baseline	NA	NA	NA	none	none
hdz-018-s30	hdz2	2023-10-30	hdz-018	culi	barcode07	SQK-16S114-24	676	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	baseline	3	3	3	none	none
hdz-015-s28	hdz2	2023-10-30	hdz-015	warble	barcode05	SQK-16S114-24	599	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	baseline	NA	NA	NA	none	none
hdz-010-s23	hdz1	2023-10-31	hdz-010	culi	barcode23	SQK-16S114-24	16068	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	baseline	3	3	3	none	none
hdz-025-s17	hdz1	2023-10-31	hdz-025	warble	barcode17	SQK-16S114-24	20610	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	baseline	NA	NA	NA	none	none
hdz-016-s21	hdz1	2023-11-01	hdz-016	culi	barcode21	SQK-16S114-24	16345	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	baseline	3	3	3	none	none
hdz-002-s93	hdz5	2023-11-01	hdz-002	warble	barcode01	SQK-16S114-24	10444	AVI712	HDZ-PL-005	PL005	2024-07-17	2024-07-17 17:41:40.26544	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	baseline	NA	NA	NA	none	none
hdz-024-s19	hdz1	2023-11-02	hdz-024	culi	barcode19	SQK-16S114-24	9525	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	6	4.5	none	none
hdz-026-s15	hdz1	2023-11-02	hdz-026	culi	barcode15	SQK-16S114-24	15448	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	6	4.5	none	none
hdz-022-s31	hdz2	2023-11-03	hdz-022	culi	barcode08	SQK-16S114-24	1158	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-023-s20	hdz1	2023-11-03	hdz-023	warble	barcode20	SQK-16S114-24	8841	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-020-s12	hdz1	2023-11-04	hdz-020	culi	barcode12	SQK-16S114-24	23963	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
