"Taxa"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"Acetate -- Production"	0.0492076730608841	0.0495531703626649	0.0718954248366013	0.0568327942952889	0.0513805844810212	0.048584600927938	0.0524460620368549
"D-Glucose (Glucose) -- Consumption"	0.0450613606576909	0.0498368717197031	0.0705688215880411	0.0549818805283872	0.0513940208263352	0.0491278557585012	0.0457734933438258
"Cellobiose -- Consumption"	0.044322649827237	0.0497423046006903	0.0704232187924675	0.0542804816272454	0.0511521666106819	0.0490103952545956	0.045560364614073
"Lactose -- Consumption"	0.0443941379721196	0.0484183649345123	0.0689348346599366	0.054222031718817	0.0503056768558952	0.0478651553415164	0.0445602990360024
"Raffinose -- Consumption"	0.0435362802335279	0.0484420067142654	0.0695657801074225	0.0539882320851031	0.0501713134027545	0.047909203030481	0.0444619319299626
"Maltose -- Consumption"	0.043798403431431	0.0484065440446357	0.0689024784831424	0.054222031718817	0.0503056768558952	0.0478651553415164	0.0445602990360024
"Sucrose -- Consumption"	0.0438460621946861	0.0485365738332782	0.0688701223063483	0.0538518489654366	0.0501444407121263	0.0482322194162213	0.0445766935536756
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0431550101274872	0.0483237978154996	0.0691451498090986	0.0539492654794841	0.0501713134027545	0.047909203030481	0.0443635648239229
"D-Xylose (Xylose) -- Consumption"	0.0428928869295842	0.0483237978154996	0.0691451498090986	0.0539492654794841	0.0501444407121263	0.0478945204674928	0.0443635648239229
"Succinate -- Production"	0.0336947456213511	0.0440091730105442	0.0682553549472594	0.0404473366325059	0.0316963385959019	0.0388060139778	0.0439700963997639
"D-Mannose (Mannose) -- Consumption"	0.0442749910639819	0.0496595583715542	0.0180223904743416	0.0426294665471691	0.0511118575747397	0.0488782521877019	0.0454619975080333
"D-Fructose (Fructose) -- Consumption"	0.047158346240915	0.0501323939666178	0.0149647317672944	0.0418696177375989	0.0509237487403426	0.0485405532389734	0.0459866220735786
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.043059692600977	0.0494467823537756	0.0112599495243642	0.0422008338853603	0.0506147127981189	0.0463381687907441	0.0501508295625943
"Trehalose -- Consumption"	0.0409150482544978	0.0480992009078443	0.0169061023749434	0.0422982503994077	0.0501713134027545	0.047982615845422	0.0439373073644173
"Propanoate (Propionate) -- Production"	0.0429882044560944	0.0485365738332782	0.0104348670161134	0.0401745703931731	0.0496338595901915	0.0454131673224878	0.0444455374122893
"Indole -- Production"	0.0388895508161563	0.0470826043784576	0.0166796091373843	0.0405642364493629	0.0476318441383944	0.0468080108063664	0.0437733621876844
"Nitrate (NO3-) -- Consumption"	0.0371500059573454	0.047590902643151	0.00943182553549473	0.0394926547948408	0.0493785690292241	0.044899277617901	0.0427732966096137
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0311688311688312	0.0443874414865951	0.0134925257231606	0.0291275377001909	0.0338864628820961	0.0394373641862924	0.0478392025706604
"D-Mannitol (Mannitol) -- Consumption"	0.0315501012748719	0.0443874414865951	0.0134601695463664	0.02762732338386	0.0338461538461538	0.0394226816233042	0.0374778674011411
