"Taxa"	"hera11"	"hera14"	"hera17"	"hera24"	"hera44"	"hera45"	"hera58"	"hera67"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0691725025010719	0.110920526014866	0.220807097882084	0.226142857142857	0.402173913043478	0.311901700242892	0.35711222301644	0.018574082011716
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.437473202801201	0.454545454545455	0.0233257012020607	0.163857142857143	0.0537757437070938	0.102586083726247	0.0201572551822731	0.436205172167452
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.0724596255538088	0.151086335048599	0.0299084144247281	0.241142857142857	0.0356121281464531	0.139591370195742	0.0307362401715511	0.137305329332762
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia"	0.00400171502072317	0.0115780445969125	0.300944476244991	0.0312857142857143	0.159610983981693	0.0434347763966281	0.251036454610436	0.00442920417202458
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.0354437616121195	0.0390222984562607	0.024327418431597	0.118571428571429	0.00872425629290618	0.065580797256751	0.00943531093638313	0.228461208744106
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.00814634843504359	0.00929102344196684	0.0642530051516886	0.0191428571428571	0.0779462242562929	0.0625803686240892	0.0451751250893495	0.00457208172596085
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0460197227383164	0.0425957690108634	0.0068689181453921	0.0644285714285714	0.0153032036613272	0.0501500214316331	0.0124374553252323	0.0350050007143878
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0	0.142530051516886	0	0.051058352402746	0	0.0674767691208006	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus"	0.00171502072316707	0.00443110348770726	0.0794218660560962	0.00114285714285714	0.0655034324942792	0.00585797971138734	0.0328806290207291	0.00128589798542649
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella"	0.00557381735029298	0.002715837621498	0.0180309101316543	0.0221428571428571	0.0235983981693364	0.0648664094870696	0.0142959256611866	0.0214316330904415
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.0824639131056167	0.0370211549456832	0	0.002	0.0117276887871854	0.0154307758251179	0.00357398141529664	0.000714387769681383
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.00428755180791768	0.0164379645511721	0.0197481396680023	0.0108571428571429	0.0278890160183066	0.00928704100585798	0.0433166547533953	0.00257179597085298
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00314420465913963	0.00371640937678674	0.0224670864338867	0.0135714285714286	0.0223112128146453	0.0194313473353336	0.0418870621872766	0.00357193884840692
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.0420180077175933	0.0351629502572899	0.00286204922724671	0.000714285714285714	0.00085812356979405	0.00100014287755394	0.0188706218727663	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia"	0.0238673717307417	0.0115780445969125	0.0048654836863194	0.016	0.00529176201372998	0.00514359194170596	0.00214438884917798	0.0137162451778826
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter"	0.0328712305273689	0.00957690108633505	0.00343445907269605	0.011	0.00157322654462243	0.00357193884840692	0.00157255182273052	0.0110015716530933
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.0428755180791768	0.00142938822184105	0.000143102461362335	0	0.0011441647597254	0.00342906129447064	0.0194424588992137	0.000285755107872553
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium"	0.0155781049021009	0.00700400228702115	0.00186033199771036	0.00614285714285714	0.0040045766590389	0.0101443063294756	0.00228734810578985	0.0138591227318188
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora"	0.0125768186365585	0.00614636935391652	0.000572409845449342	0.00657142857142857	0.0011441647597254	0.00828689812830404	0.000428877769835597	0.00771538791255894
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster"	0.0115763898813777	0.00514579759862779	0.000572409845449342	0.00371428571428571	0.00100114416475973	0.00785826546649521	0.000714796283059328	0.00971567366766681
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas"	0.00771759325425182	0.00943396226415094	0.00128792215226102	0.00728571428571429	0.00314645308924485	0.00500071438776968	0.00214438884917798	0.00328618374053436
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.0012862655423753	0.00400228702115495	0.00529479107040641	0.00528571428571429	0.0022883295194508	0.015002143163309	0.00428877769835597	0.00142877553936277
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.00800343004144633	0.00443110348770726	0.000286204922724671	0.00814285714285714	0.00128718535469108	0.00585797971138734	0.00114367405289492	0.00528646949564223
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella"	0.00343004144633414	0.002715837621498	0.000715512306811677	0.00171428571428571	0.0005720823798627	0.00371481640234319	0.000428877769835597	0.01343049007001
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor"	0.00500214377590396	0.002715837621498	0	0.00185714285714286	0.00185926773455378	0.0105729389912845	0.000714796283059328	0.00314330618659809
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor"	0.00157210232956982	0.00185820468839337	0.000429307384087006	0.005	0.0005720823798627	0.00528646949564223	0.000428877769835597	0.00300042863266181
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus"	0.00385879662712591	0.002715837621498	0	0.000428571428571429	0.0005720823798627	0.00200028575510787	0.000285918513223731	0.00442920417202458
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella"	0.000142918393597256	0.000142938822184105	0.00329135661133372	0.00285714285714286	0.00185926773455378	0.00114302043149021	0.000285918513223731	0.000142877553936277
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter"	0.000428755180791768	0.000571755288736421	0.00128792215226102	0.00128571428571429	0.0022883295194508	0.000714387769681383	0.00257326661901358	0.000285755107872553
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella"	0	0	0.0044361763022324	0.000285714285714286	0.00200228832951945	0.000285755107872553	0.00228734810578985	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena"	0.00328712305273689	0.00157232704402516	0.000429307384087006	0.000857142857142857	0.000429061784897025	0.000285755107872553	0	0.00157165309329904
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium"	0.00157210232956982	0.00142938822184105	0	0.000571428571428571	0.000143020594965675	0.00214316330904415	0.000142959256611866	0.00100014287755394
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum"	0	0	0.0024327418431597	0.000571428571428571	0.00128718535469108	0.00085726532361766	0.00100071479628306	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio"	0.00100042875518079	0.00128644939965695	0	0	0.00028604118993135	0.00114302043149021	0.000428877769835597	0.0018574082011716
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Mediterranea"	0	0	0.00343445907269605	0	0.000715102974828375	0	0.00128663330950679	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus"	0.00214377590395884	0.000571755288736421	0.000143102461362335	0.000285714285714286	0.000143020594965675	0.00085726532361766	0.000142959256611866	0.000714387769681383
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella"	0	0.000142938822184105	0.00143102461362335	0	0.0017162471395881	0.00042863266180883	0.000857755539671194	0.000285755107872553
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella"	0	0	0.00157412707498569	0.00114285714285714	0.000715102974828375	0.000285755107872553	0.00114367405289492	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter"	0.000285836787194512	0.000428816466552316	0	0	0.00128718535469108	0.00285755107872553	0	0
