"","franc19","franc22","franc44","franc45","franc47","franc48","franc49","franc56","franc68"
"franc19",0,0.277738678647151,0.399299855984389,0.286704284827152,0.160198362268162,0.397559168247933,0.424693925857006,0.423640537968857,0.31662831935291
"franc22",0.277738678647151,0,0.416228270238582,0.19574132616609,0.279988066757326,0.297256751892097,0.27523736849597,0.378183456821657,0.270350136046422
"franc44",0.399299855984389,0.416228270238582,0,0.425113661135333,0.396523810489867,0.470104680192978,0.458202242987206,0.22169530059045,0.377194788132527
"franc45",0.286704284827152,0.19574132616609,0.425113661135333,0,0.241998697278608,0.311181001096379,0.285321204670252,0.411241127300154,0.252971718633535
"franc47",0.160198362268162,0.279988066757326,0.396523810489867,0.241998697278608,0,0.315278615134635,0.346965317087862,0.382242242493562,0.266939327929979
"franc48",0.397559168247933,0.297256751892097,0.470104680192978,0.311181001096379,0.315278615134635,0,0.252373439619287,0.399939940931806,0.290941617691269
"franc49",0.424693925857006,0.27523736849597,0.458202242987206,0.285321204670252,0.346965317087862,0.252373439619287,0,0.375337436631569,0.262848026540905
"franc56",0.423640537968857,0.378183456821657,0.22169530059045,0.411241127300154,0.382242242493562,0.399939940931806,0.375337436631569,0,0.344697993464619
"franc68",0.31662831935291,0.270350136046422,0.377194788132527,0.252971718633535,0.266939327929979,0.290941617691269,0.262848026540905,0.344697993464619,0
