"","hamlet11","hamlet17","hamlet22","hamlet25","hamlet31","hamlet41","hamlet59","hamlet67"
"hamlet11",0,0.380271000136285,0.234372558506185,0.213172351390236,0.339683299048604,0.312158609864633,0.202228246342318,0.407271670527534
"hamlet17",0.380271000136285,0,0.355418600204888,0.285828199242436,0.321157172543858,0.327771133266441,0.285153736188847,0.183333390493165
"hamlet22",0.234372558506185,0.355418600204888,0,0.269764787444929,0.279085661883226,0.246970967359801,0.191066100195129,0.381000422756587
"hamlet25",0.213172351390236,0.285828199242436,0.269764787444929,0,0.299287430415676,0.263627418650574,0.183736074633435,0.346116973171469
"hamlet31",0.339683299048604,0.321157172543858,0.279085661883226,0.299287430415676,0,0.215130440847804,0.247377788438204,0.341508193652978
"hamlet41",0.312158609864633,0.327771133266441,0.246970967359801,0.263627418650574,0.215130440847804,0,0.251967119959019,0.336091635493639
"hamlet59",0.202228246342318,0.285153736188847,0.191066100195129,0.183736074633435,0.247377788438204,0.251967119959019,0,0.332562233405791
"hamlet67",0.407271670527534,0.183333390493165,0.381000422756587,0.346116973171469,0.341508193652978,0.336091635493639,0.332562233405791,0
