"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium sinus"	0.00186219739292365	0.0108617979133915	0.00171944404642499	0.00814867762687634	0.0188841201716738	0.0125732247463923	0.00658082975679542
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Duodenibacillus|s__Duodenibacillus massiliensis"	0.000716229766509096	0.00242961269115335	0	0.000428877769835597	0.00243204577968526	0.00128589798542649	0.0505007153075823
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0	0.0104330427325997	0.000286574007737498	0.0230164403145104	0.0124463519313305	0.0101443063294756	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sartorii"	0.000143245953301819	0.00428755180791768	0	0	0	0.00800114302043149	0.0427753934191702
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0	0.00400171502072317	0	0.01915654038599	0.0127324749642346	0.0130018574082012	0.00214592274678112
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella intestinihominis"	0.0120326600773528	0	0	0.000142959256611866	0.000286123032904149	0.00300042863266181	0.0224606580829757
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium mortiferum"	0.0310843718664948	0	0.000286574007737498	0.000142959256611866	0.00157367668097282	0.00314330618659809	0.0011444921316166
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.000716229766509096	0.00314420465913963	0.00229259206189999	0.00643316654753395	0.0100143061516452	0.010858694099157	0.00271816881258941
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00128921357971637	0.0035729598399314	0.00200601805416249	0.00471765546819157	0.0103004291845494	0.00900128589798543	0.00486409155937053
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola massiliensis"	0.0339492909325312	0.000142918393597256	0.000286574007737498	0.000142959256611866	0.000429184549356223	0.000285755107872553	0.000429184549356223
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum"	0	0	0	0	0	0	0.0340486409155937
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera vaginalis Bordigoni et al. 2020"	0	0.00242961269115335	0.000429861011606247	0.0195854181558256	0.00801144492131617	0.00200028575510787	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides xylanisolvens"	0.0257842715943275	0.000142918393597256	0.00100300902708124	0.000571837026447462	0.0011444921316166	0.00085726532361766	0.00243204577968526
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella baroniae"	0.000143245953301819	0.00242961269115335	0.00186273105029374	0.00843459614010007	0.0131616595135908	0.00385769395627947	0.00171673819742489
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides merdae"	0.00587308408537459	0.00528798056309847	0.00100300902708124	0.00128663330950679	0.00228898426323319	0.00600085726532362	0.00915593705293276
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.019051711789142	0.000142918393597256	0.000859722023212495	0.000857755539671194	0.00214592274678112	0.00385769395627947	0.00300429184549356
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides thetaiotaomicron"	0.0236355822948002	0	0.00114629603094999	0.000571837026447462	0.000572246065808298	0	0.000143061516452074
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0	0.0101472059454052	0.000143287003868749	0.00371694067190851	0.00257510729613734	0.00714387769681383	0.00214592274678112
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor plautii"	0.0037243947858473	0.00142918393597256	0.00243587906576873	0.00142959256611866	0.0101573676680973	0.00114302043149021	0.000572246065808298
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.00229193525282911	0.00371587823352866	0.00200601805416249	0.00185847033595425	0.00357653791130186	0.00228604086298043	0.00200286123032904
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0	0.000857510361583536	0.00128958303481874	0.00142959256611866	0.00586552217453505	0.006715245035005	0.000572246065808298
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella vaginalis"	0.000143245953301819	0.000285836787194512	0	0.000285918513223731	0.00314735336194564	0.0107158165452207	0.000572246065808298
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus|s__Butyricicoccus pullicaecorum"	0.00272167311273457	0.000142918393597256	0.00186273105029374	0.00528949249463903	0.00386266094420601	0.00085726532361766	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter fastidiosus"	0.0111731843575419	0	0.000859722023212495	0.000428877769835597	0.000286123032904149	0.000571510215745106	0.00128755364806867
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella dubosii"	0	0.000857510361583536	0	0	0.000286123032904149	0.00257179597085298	0.0107296137339056
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella buccae"	0	0.000571673574389024	0.00143287003868749	0.00371694067190851	0.00443490701001431	0.00128589798542649	0.000572246065808298
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.000143245953301819	0.00257253108475061	0.000143287003868749	0.000428877769835597	0.00143061516452074	0.00314330618659809	0.00343347639484979
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella freteri"	0	0.000428755180791768	0	0	0	0	0.0107296137339056
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides eggerthii"	0.00916774101131643	0	0.000716435019343746	0.000714796283059328	0.000286123032904149	0.000142877553936277	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium fessum"	0.00128921357971637	0.000571673574389024	0.000859722023212495	0.00100071479628306	0.00286123032904149	0.00200028575510787	0.00243204577968526
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0	0.00214377590395884	0.000429861011606247	0.00142959256611866	0.00529327610872675	0.00100014287755394	0.000572246065808298
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.000859475719810915	0.000285836787194512	0.000429861011606247	0.000714796283059328	0.00200286123032904	0.00600085726532362	0.000572246065808298
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella rara"	0	0.00900385879662713	0	0	0	0	0.000429184549356223
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides ovatus"	0.00773528147829824	0	0.000429861011606247	0	0.000143061516452074	0.000285755107872553	0.000429184549356223
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium perfoetens"	0.00687580575848732	0	0.000573148015474996	0	0.00100143061516452	0.000285755107872553	0.000286123032904149
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella histaminiformans"	0	0.0022866942975561	0	0	0	0.00471495927989713	0.000286123032904149
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium massiliamazoniense"	0.000859475719810915	0	0	0.00343102215868477	0.00200286123032904	0.000142877553936277	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__|s__Clostridium leptum"	0.000716229766509096	0.000285836787194512	0.00114629603094999	0.000571837026447462	0.00257510729613734	0.000714387769681383	0.000286123032904149
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides koreensis"	0.00472711645896003	0	0	0	0.000286123032904149	0.00085726532361766	0.000286123032904149
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora indolis"	0.000143245953301819	0.000428755180791768	0.000716435019343746	0.000857755539671194	0.00228898426323319	0.00142877553936277	0.000143061516452074
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium callitrichos"	0	0	0	0	0	0	0.00515021459227468
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus senegalensis"	0.000286491906603638	0	0.00157615704255624	0.000285918513223731	0.00257510729613734	0.000285755107872553	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio hungatei"	0	0.000571673574389024	0.000143287003868749	0.000285918513223731	0.000715307582260372	0.00328618374053436	0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum intestinale"	0	0	0	0	0	0.000285755107872553	0.00457796852646638
