"ID"	"Function"
"fpt1"	"chitinolysis"
"fpt2"	"nitrite_ammonification"
"fpt3"	"nitrite_respiration"
"fpt4"	"cellulolysis"
"fpt5"	"xylanolysis"
"fpt6"	"fermentation"
"fpt7"	"aerobic_chemoheterotrophy"
"fpt8"	"human_pathogens_septicemia"
"fpt9"	"human_pathogens_pneumonia"
"fpt10"	"human_pathogens_gastroenteritis"
"fpt11"	"human_pathogens_diarrhea"
"fpt12"	"human_pathogens_all"
"fpt13"	"human_gut"
"fpt14"	"human_associated"
"fpt15"	"mammal_gut"
"fpt16"	"animal_parasites_or_symbionts"
"fpt17"	"nitrate_respiration"
"fpt18"	"nitrate_reduction"
"fpt19"	"nitrogen_respiration"
"fpt20"	"fumarate_respiration"
"fpt21"	"ureolysis"
"fpt22"	"reductive_acetogenesis"
"fpt23"	"chemoheterotrophy"
"fpt24"	"anaerobic_chemoheterotrophy"
