"","buddy11","buddy16","buddy44","buddy46","buddy48","buddy50","buddy56","buddy57"
"buddy11",0,0.363475832745648,0.188379423794764,0.252869107264813,0.365708961798964,0.268399696977684,0.312567776390481,0.20476735150008
"buddy16",0.363475832745648,0,0.387405468946329,0.287651255665744,0.480738947729077,0.431418360749359,0.463805551901172,0.432813997554682
"buddy44",0.188379423794764,0.387405468946329,0,0.164350501383376,0.229037135491771,0.191375026349869,0.262299469843013,0.0660643657529655
"buddy46",0.252869107264813,0.287651255665744,0.164350501383376,0,0.28588025015263,0.292553373883307,0.326571107287438,0.207730648911343
"buddy48",0.365708961798964,0.480738947729077,0.229037135491771,0.28588025015263,0,0.183964951045622,0.159291907711072,0.191243673848413
"buddy50",0.268399696977684,0.431418360749359,0.191375026349869,0.292553373883307,0.183964951045622,0,0.112299421189494,0.16929987235762
"buddy56",0.312567776390481,0.463805551901172,0.262299469843013,0.326571107287438,0.159291907711072,0.112299421189494,0,0.227850568435536
"buddy57",0.20476735150008,0.432813997554682,0.0660643657529655,0.207730648911343,0.191243673848413,0.16929987235762,0.227850568435536,0
