"ID"	"buddy11"	"hamlet11"	"hera11"	"padme11"	"ginger14"	"hera14"	"jarjarbinks14"	"joans14"	"kubo14"	"wolverine14"	"jarjarbinks15"	"kubo15"	"buddy16"	"iris16"	"hamlet17"	"hera17"	"iris17"	"lambchop17"	"wolverine17"	"lambchop18"	"franc19"	"ophelia19"	"goose20"	"jarjarbinks21"	"joans21"	"korra21"	"kubo21"	"franc22"	"goose22"	"grogu22"	"hamlet22"	"iris22"	"hera24"	"ivy24"	"marshmallow24"	"hamlet25"	"lambchop25"	"ginger27"	"henry29"	"ivy29"	"jarjarbinks29"	"joans29"	"korra29"	"kubo30"	"hamlet31"	"jarjarbinks32"	"grogu36"	"henry36"	"iris36"	"ivy36"	"goose37"	"grogu37"	"lambchop37"	"marshmallow37"	"ophelia37"	"wolverine37"	"charles41"	"grogu41"	"hamlet41"	"joans41"	"marshmallow41"	"goose42"	"henry42"	"ginger43"	"ophelia43"	"buddy44"	"franc44"	"goose44"	"hera44"	"iris44"	"ivy44"	"jarjarbinks44"	"joans44"	"korra44"	"lambchop44"	"marshmallow44"	"wolverine44"	"franc45"	"grogu45"	"hera45"	"ophelia45"	"buddy46"	"charles46"	"ginger46"	"iris46"	"ivy46"	"lambchop46"	"franc47"	"ivy47"	"buddy48"	"franc48"	"henry48"	"korra48"	"kubo48"	"lambchop48"	"ophelia48"	"charles49"	"franc49"	"ginger49"	"jarjarbinks49"	"joans49"	"marshmallow49"	"ophelia49"	"wolverine49"	"buddy50"	"charles50"	"ginger50"	"grogu50"	"lambchop50"	"charles51"	"joans51"	"ginger52"	"marshmallow53"	"charles55"	"ginger55"	"lambchop55"	"ophelia55"	"buddy56"	"franc56"	"grogu56"	"joans56"	"buddy57"	"charles57"	"joans57"	"ophelia57"	"wolverine57"	"hera58"	"korra58"	"kubo58"	"wolverine58"	"hamlet59"	"henry59"	"iris59"	"ophelia59"	"iris60"	"marshmallow60"	"wolverine60"	"ginger66"	"henry66"	"hamlet67"	"hera67"	"franc68"	"jarjarbinks68"	"grogu70"	"ivy70"	"lambchop70"	"marshmallow70"	"wolverine70"
"fpt118"	0.01	0	0.07	0.01	0.09	0.09	0.01	0	0.03	0.1	0	0.01	0	0.1	0.04	0	0.06	0	0.03	0	0	0	0.01	0	0.06	0.01	0	0.06	0.04	0	0.01	0.04	0	0.3	0.06	0	0	0.01	0.03	0.04	0	0	0	0.04	0.09	0.07	0	0.09	0.03	0	0.1	0.03	0.04	0	0.04	0.01	0	0	0.14	0.23	0.01	0.07	0.09	0.03	0.01	0.01	0.09	0.11	0	0.11	0.19	0.01	0.03	0.01	0.06	0.03	0.03	0.13	0.09	0.09	0.06	0.06	0.04	0	0.09	0.03	0.04	0.03	0	0.04	0.13	0.03	0	0.13	0	0.1	0	0.11	0.07	0.26	0.01	0	0.01	0.07	0.07	0.01	0	0	0.03	0.04	0.01	0.03	0	0.03	0.19	0.03	0.04	0.01	0.1	0	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0	0.04	0	0.01	0.06	0.03	0.04	0.09	0.07	0.13	0.01	0.03	0.03	0.04	0.07	0.13	0	0.04	0.01	0	0.06
"fpt119"	0	0	0.01	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.01	0	0.66	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01
"fpt120"	0.09	0.03	0	0.57	0.03	0.01	0.19	0.09	0.09	0.46	0.21	0.24	1.29	0.8	0	0	0.34	0.95	0.06	1.6	0.27	0.19	0.01	0	0.21	0	0.36	0.06	0	0.01	0.01	0.24	0.01	0.14	0.01	0	0.01	0	0.07	0.34	0	0	0	0.21	0.07	0	0	0.06	0.2	0.24	0	0	0	0	0.07	0.2	2.44	0.01	0.04	0.07	0.01	0	0	0	0.17	0.11	0.43	0	0	0.7	0.01	0.06	0	0	0.04	0.03	0.09	0.01	0.03	0.04	0.2	0	0.03	0	0.51	0.26	0.04	0.14	0.31	0.21	0.09	0.01	0	0.37	0	0.14	0.23	0.07	0	0	0	0.01	0.09	0.16	0.1	0.11	0	0.01	0.07	0.41	0	0	0.01	0.07	0	0.06	0.06	0.03	0.23	0.06	0	0.06	0.04	0	0.01	0.11	0.01	0.03	0.19	0.09	0.03	0	0.07	0.24	1.07	0	0.53	0	0	0.01	0.01	0.03	0	0.16	0.63	0.01	0	0.17
"fpt121"	36.29	26.49	44.53	40.54	63.17	46.17	19.8	5.64	11.87	37.45	29.05	39.57	17.44	36.23	16.03	5.08	27.87	22.68	55.18	27.35	35.27	22.3	23.45	21.53	47.93	25.63	28.28	37.63	28.49	2.36	9.09	46.26	18.21	18.39	3.82	17.97	53.96	45.34	36.59	40.95	31.57	29.68	30.1	15.24	38.01	19.57	2.01	23.67	17.39	42.59	26.31	1.01	19.31	11.43	7.97	40.91	20.57	2.84	25.97	16.85	19.05	23.29	41.32	38.55	27.13	17.15	11.32	22.7	9.37	36.73	27.83	8.81	29.6	37.81	48.26	19.54	34.13	29.57	36.64	14.02	33.75	26.13	42.49	33.84	30.56	37.44	63.47	27.25	32.58	14.29	28.34	23.56	30.04	34.39	28.5	15.68	32.7	22.42	45.44	19.99	32.42	18.89	13.54	30.65	11.65	26.22	44.46	7.01	54.74	25.52	36.46	39.65	2.14	16.4	44.43	70.37	20.8	16.11	20.72	3.6	45.3	20.07	26.34	14.57	25.46	26.41	7.51	37.33	34.94	46.74	23.32	32.86	15.46	11.05	21.33	16.61	40.62	57.03	30.02	9.35	44.22	33.11	26.53	1.69	27.16	73.25	3.22	34.6
"fpt122"	0.27	1.03	0.57	1.84	1.19	0.5	3.85	0.01	0.96	3.43	2.33	1.14	6.49	7.62	1.57	2.22	3.53	0	3.73	0	1.77	2.64	0.99	2.56	0	2.06	3.3	1.13	1.31	0.23	0.59	3.43	1.43	1.69	0.3	1.06	0.01	2.2	3.84	0.46	2.16	0.36	0.74	0.86	2.36	2.5	0.56	2.34	8.97	4.53	1.16	0.34	1.46	1.56	1.74	2.33	19.32	0.77	1.24	0.04	2.8	1	6.02	12.25	1.49	1.6	1.2	0.33	4.92	8.8	1.14	4.53	0.76	4.23	0.57	1.84	3.22	3.03	3.29	4.21	2.36	3.44	1.07	5.65	11.57	0.41	1.27	2.7	1.96	0.49	6.02	2.54	4.16	3	0.66	4.52	1.02	4.09	0.97	3.49	1.54	0.91	5.46	3.36	1.16	0.66	1.71	0.59	0.29	1.04	1.77	2.3	0.27	1.53	3	1.17	2.2	0.69	2.23	0.67	0.59	1.36	4.28	0.59	9.05	0.93	4.75	0.31	4.35	1.1	2.74	0.8	5	5.58	14.66	1.09	1.59	5.18	8.24	5.93	0.41	0.94	2.75	0.33	0.84	0.87	1.39	6.81
"fpt123"	1.69	1.94	6.38	1.59	25.35	6.33	4.02	0.99	4.9	7.19	3.67	8.6	2.71	4.86	4.27	2	1.41	4.64	4.77	10.89	3.03	4.89	3.36	5.91	2.27	5.53	7.86	6.95	3.57	0.4	2.9	4.06	3.14	4.19	1.46	4.47	8.35	8.44	4.96	3.04	7.5	4.73	6.87	5.63	17.01	7.31	0.46	6.92	4.51	3.98	5.83	0.26	3.59	1.77	2.33	2.3	3.18	0.64	10.09	4.52	2.69	6.13	12.81	5.61	3.13	3.07	1.6	8.73	2.9	7.59	7.6	2.12	6.22	4	9.15	6.87	4.55	4.76	15.49	5.26	10.44	4.93	7.37	8.07	8.15	12.17	12.04	4.9	5.92	4.14	5.25	5.17	7.13	5.83	8.87	4.1	16.25	5.3	17.59	7.88	4.06	4.76	3.59	7.02	3.32	0.27	10.89	1.76	12.99	0.49	4.2	6.37	0.33	1	15.9	3.23	6.1	6.09	7.57	0.79	6.72	3.39	1.42	2.69	6.51	1.29	2.09	1.37	4.78	1.4	4.81	10.53	2.2	3.94	4.42	3.69	7.11	2.89	4.9	1.23	17.89	10.53	9.47	0.49	4.1	1.17	0.5	4.67
"fpt124"	0.13	0.03	0.07	0.51	0	0.11	0.1	0.1	0.11	0.87	0.03	0.07	2.46	1.36	0.16	0.1	0.5	1.37	0.01	0.89	0.27	0.11	0.07	0.03	0	0.1	0.06	0.04	0.07	0	0.17	0.39	0.06	0.09	0.01	0.04	1.5	0	0.13	0.03	0.06	0.03	0.03	0.1	0.3	0.31	0.03	0.27	0.13	0.24	0.16	0.03	0.14	0.03	0.16	0.06	3.14	0.01	0.31	0.06	0.07	0.2	0.03	0	0.1	0.1	1.04	0.09	0.11	0.9	0.06	0.13	0.19	0.2	0.07	0.09	0.11	0.03	0.04	0.47	0.16	0.49	0.06	0	0.86	0.01	0.17	0.13	0.14	0.06	0.1	0.1	0.14	0.29	0.17	0.43	0.3	0.06	0.01	0.09	0.1	0.09	0.37	0.06	0.04	0.43	0	0.03	0.16	0.52	0.29	0	0	0.16	0	0.5	0.21	0.13	0.04	0.01	0.11	0.06	0.11	0.03	0.46	0.06	0.1	0.1	0.14	0.01	0.16	0.63	0.17	0.96	1.53	0.07	0.03	0.04	0.24	0.37	0.04	0.03	0.33	0.01	0.04	0.03	0.03	0.23
"fpt125"	0.04	0	0.01	0.41	0	0	0	0.09	0.03	0.31	0	0	1.15	0.77	0	0	0.31	1.37	0.01	0.89	0.26	0	0.01	0	0	0	0.03	0.04	0.03	0	0	0.24	0	0.03	0	0	1.5	0	0	0.03	0	0	0	0.01	0	0.03	0	0	0.09	0.23	0.01	0	0.01	0	0.07	0.04	2.36	0	0	0.01	0.01	0.01	0	0	0	0.01	0.36	0.01	0	0.7	0.03	0.03	0	0	0.03	0	0.06	0.03	0	0	0	0	0	0	0.51	0	0.11	0.13	0.09	0	0.09	0	0.03	0.26	0.01	0.03	0.11	0.06	0	0	0	0	0.01	0.01	0.01	0.06	0	0	0.16	0.06	0	0	0	0	0	0.5	0.01	0.01	0	0	0	0	0.01	0	0	0.06	0	0.09	0.14	0.01	0	0	0.07	0.01	1.07	0.03	0.01	0	0	0	0	0.03	0.01	0.01	0.04	0.01	0	0.09
"fpt126"	0.04	0	0	0.87	0.03	0	0	0.09	0	0	0	0	0.19	0	0	0	0	0.95	0	1.6	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0.04	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0.14	0	0	0	0
"fpt127"	1.77	3.32	3.89	9.13	1.23	1.6	7.95	0.16	1.5	10.87	5.03	2.16	16.31	17.46	2.93	3.06	7.92	0.95	4.01	1.63	2.2	3.03	1	2.56	0.37	2.07	3.49	1.32	1.36	0.4	1.33	3.76	2.94	3.08	0.51	1.76	0.03	2.26	4	0.84	2.16	0.86	0.74	1.04	4.97	2.53	1.24	2.82	9.92	4.78	1.21	0.39	1.46	1.57	3.02	3.04	32.3	0.96	1.84	0.23	2.89	1	6.35	12.22	4.01	2.44	2.1	0.41	4.48	10.34	1.22	6.56	0.77	4.32	0.73	1.83	4.15	3.09	3.36	4.09	3.97	3.54	1.17	5.63	13.3	0.89	1.66	2.73	2.14	0.77	6.05	2.61	4.17	3.09	0.66	8.12	5.8	4.07	0.97	3.49	1.56	0.94	8.49	3.83	1.3	1.79	1.71	0.6	0.5	2.17	1.74	2.3	0.33	2.59	2.97	1.56	2.99	0.69	2.96	0.86	0.61	1.49	4.78	0.61	10.8	1.36	5.82	0.44	4.88	1.53	4.81	0.87	5.8	6	20.26	1.1	2.32	5.33	8.67	7.8	1.56	1.03	2.79	0.57	1.24	0.99	2.3	10.01
"fpt128"	0.06	0.06	0.07	0.69	0.06	0.01	0.2	0.01	0.07	0.96	0.19	0.04	2.69	1.67	0.17	0.01	0.74	0	0.07	0	0.27	0.1	0	0.06	0	0.1	0.07	0.1	0.06	0.01	0.01	0.46	0.09	0.24	0.13	0.07	0	0.04	0.04	0.06	0.06	0.06	0	0.03	0.17	0.21	0.04	0.14	0.14	0.26	0.06	0.06	0.11	0.04	0.04	0.11	5.76	0.07	0.36	0.19	0.06	0.07	0.07	0.04	0.14	0.1	1.05	0.09	0.21	1.04	0.2	0.26	0.03	0.14	0.09	0.06	0.27	0.07	0	0.2	0.13	0.07	0.06	0.04	1.03	0.1	0.07	0.16	0.16	0.04	0.17	0.04	0.03	0.39	0.04	0.19	0.29	0.14	0.03	0.26	0.03	0.09	0.27	0.1	0.06	0.2	0.04	0.03	0	0.29	0.06	0	0.03	0.14	0.04	0.03	0.17	0.04	0.17	0	0.03	0.01	0.3	0.03	0.49	0.1	0.11	0.07	0.24	0.06	0.17	0.04	0.29	0.13	1.85	0.1	0.09	0.1	0.31	0.13	0.03	0.06	0.24	0.01	0.07	0.01	0.06	0.37
"fpt129"	0	0	0	0	0	0	0	0	0	0.72	0	0	1.45	0.92	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.03	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.14	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0.5	0	0	0	0	0	0	0.2	0	0	0	0	0	0.01	0	0.53	0	0	0	0	0	0	0	0	0.14	0	0	0	0.01	0	0	0	0	0	0.17	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.07	0	0	0.01	0.04	0	0	0.21	0	0.63	0	0.01	0	0	0.01	0	0	0	0	0	0	0	1.06
"fpt130"	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.01	0	0	0	0.03	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fpt131"	0.04	0	0	0.4	0	0	0.01	0.01	0	0.87	0	0	2.42	1.36	0.01	0	0.5	0	0.01	0	0.26	0	0	0	0	0	0.03	0.04	0	0	0.01	0.39	0	0.09	0.01	0	0	0	0.01	0.03	0	0.01	0	0	0.01	0.06	0	0.01	0.13	0.24	0.01	0	0	0	0.01	0.06	3.14	0	0.04	0	0	0	0	0	0.01	0.04	0.37	0	0.06	0.9	0.01	0.04	0.01	0	0.04	0	0.11	0.01	0	0.06	0.01	0.01	0	0	0.86	0	0.06	0.13	0.14	0	0.1	0.01	0	0.29	0	0.06	0.16	0.06	0	0.01	0.01	0	0	0.06	0.01	0.06	0	0	0	0.07	0.03	0	0	0.03	0	0	0.01	0	0.04	0	0.03	0	0.06	0	0.06	0.06	0.01	0.03	0.14	0.01	0.03	0.01	0.17	0.01	1.53	0	0.03	0.04	0.09	0.03	0	0.01	0.14	0	0.03	0.01	0	0.22
