"ID"	"Function"
"fpt1"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"fpt2"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Consumption"
"fpt3"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"fpt4"	"4-Aminobutyrate (GABA) -- Production"
"fpt5"	"7-Oxodeoxycholic acid -- Production"
"fpt6"	"7-Oxolithocholic acid -- Production"
"fpt7"	"Acetate -- Consumption"
"fpt8"	"Acetate -- Production"
"fpt9"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"fpt10"	"Acetone -- Production"
"fpt11"	"Adenine -- Consumption"
"fpt12"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt13"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"fpt14"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt15"	"Arabinan -- Macromolecule"
"fpt16"	"Arabinogalactan -- Macromolecule"
"fpt17"	"beta-Muricholic acid -- Production"
"fpt18"	"Biotin (Vitamin B7) -- Consumption"
"fpt19"	"Biotin (Vitamin B7) -- Production"
"fpt20"	"Butylamine -- Production"
"fpt21"	"Butyrate -- Production"
"fpt22"	"Cadaverine -- Production"
"fpt23"	"Cellobiose -- Consumption"
"fpt24"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt25"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt26"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Production"
"fpt27"	"Cholic acid (Cholate) -- Consumption"
"fpt28"	"Cholic acid (Cholate) -- Production"
"fpt29"	"Choline -- Consumption"
"fpt30"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt31"	"CO2 -- Consumption"
"fpt32"	"CO2 -- Production"
"fpt33"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt34"	"D-Fructose (Fructose) -- Consumption"
"fpt35"	"D-Fructuronate -- Consumption"
"fpt36"	"D-Galactose -- Consumption"
