"ID"	"Location"	"Start"	"End"
1000	"VIE"	1985-11-01	1986-01-01
1000	"SKA"	1986-01-01	1987-02-01
1001	"VIE"	1984-11-01	1985-01-01
1001	"SKA"	1985-01-01	1986-03-01
1002	"VIE"	1968-02-10	1968-04-10
1002	"USD"	1968-04-10	1968-06-10
1002	"HON"	1968-06-10	1968-08-10
1003	"VIE"	1969-11-05	1970-01-05
1003	"HON"	1970-01-05	1970-03-05
1004	"VIE"	1972-08-18	1972-10-18
1004	"HON"	1972-10-18	1972-12-18
1005	"VIE"	1972-08-18	1972-10-18
1005	"HON"	1972-10-18	1972-12-18
1006	"UND"	1989-01-01	1989-01-01
1006	"PUB"	1989-01-01	1991-06-02
1006	"FIT"	1991-06-02	1991-08-02
1007	"VIE"	1983-03-01	1986-03-01
1007	"SKA"	1986-03-01	1987-04-05
1007	"DUK"	1987-04-05	1987-06-05
1008	"VIE"	1983-03-01	1984-06-01
1008	"BAN"	1984-06-01	1986-12-19
1008	"SKA"	1986-12-19	1987-04-05
1008	"DUK"	1987-04-05	1994-05-15
1009	"VIE"	1984-01-01	1986-04-01
1009	"SKA"	1986-04-01	1987-04-05
1009	"DUK"	1987-04-05	1987-06-05
1010	"VIE"	1984-01-01	1986-04-01
1010	"SKA"	1986-04-01	1987-04-05
1010	"DUK"	1987-04-05	1991-05-09
1011	"VIE"	1984-01-01	1985-10-24
1011	"SKA"	1985-10-24	1987-04-05
1011	"DUK"	1987-04-05	1987-06-05
1012	"VIE"	1984-01-01	1986-04-01
1012	"SKA"	1986-04-01	1987-04-05
1012	"DUK"	1987-04-05	1996-06-25
1013	"VIE"	1984-11-01	1985-01-01
1013	"SKA"	1985-01-01	1986-03-01
1014	"VIE"	1987-01-01	1987-03-01
1014	"SKA"	1987-03-01	1987-05-01
1014	"CRY"	1987-05-01	1993-01-14
1015	"VIE"	1987-01-01	1987-03-01
1015	"SKA"	1987-03-01	1987-05-01
1015	"CRY"	1987-05-01	1993-01-14
1016	"UND"	1985-01-01	1986-03-01
1016	"SKA"	1986-03-01	1987-04-05
1016	"SAN"	1987-04-05	1990-05-24
1017	"UND"	1985-03-01	1986-03-01
1017	"SKA"	1986-03-01	1987-04-05
1017	"SAN"	1987-04-05	1997-04-20
1018	"UND"	1985-03-01	1986-03-01
1018	"SKA"	1986-03-01	1987-04-05
1018	"SAN"	1987-04-05	1989-04-27
1019	"UND"	1986-01-01	1986-03-01
1019	"SKA"	1986-03-01	1987-04-05
1019	"SAN"	1987-04-05	1995-04-26
1020	"UND"	1986-01-01	1986-03-01
1020	"SKA"	1986-03-01	1987-04-05
1020	"SAN"	1987-04-05	1989-04-25
1021	"UND"	1986-01-01	1986-03-01
1021	"SKA"	1986-03-01	1987-04-05
1021	"SAN"	1987-04-05	1993-05-24
1022	"VIE"	1985-01-01	1986-04-01
1022	"SKA"	1986-04-01	1987-04-05
1022	"DUK"	1987-04-05	1998-06-23
1022	"MIN"	1998-06-23	1998-08-23
1023	"VIE"	1985-03-01	1986-12-19
1023	"SKA"	1986-12-19	1987-04-05
1023	"DUK"	1987-04-05	1994-05-15
1024	"VIE"	1986-01-01	1986-03-01
1024	"SKA"	1986-03-01	1987-07-20
1024	"CIN"	1987-07-20	1988-10-12
1024	"CBR"	1988-10-12	1988-12-24
1025	"VIE"	1985-01-01	1986-09-25
1025	"SKA"	1986-09-25	1987-07-20
1025	"CIN"	1987-07-20	1987-09-20
1026	"VIE"	1986-01-01	1986-03-01
1026	"SKA"	1986-03-01	1987-07-20
1026	"CIN"	1987-07-20	1988-04-29
1029	"VIE"	1983-01-01	1985-01-01
1029	"SKA"	1985-01-01	1987-02-01
1030	"VIE"	1986-01-01	1986-09-25
1030	"SKA"	1986-09-25	1987-07-20
1030	"CIN"	1987-07-20	1988-10-12
1030	"CBR"	1988-10-12	1988-12-24
1031	"VIE"	1986-01-01	1986-09-25
1031	"SKA"	1986-09-25	1987-07-20
1031	"CIN"	1987-07-20	1992-07-16
1031	"SEA"	1992-07-16	1992-09-16
1032	"VIE"	1985-01-01	1986-03-01
1032	"SKA"	1986-03-01	1987-07-20
1032	"CIN"	1987-07-20	1989-10-15
1033	"VIE"	1986-01-01	1986-03-01
1033	"SKA"	1986-03-01	1987-07-20
1033	"CIN"	1987-07-20	1987-09-20
1034	"LAO"	1985-01-01	1985-12-31
1034	"FOR"	1985-12-31	1986-12-29
1034	"POZ"	1986-12-29	1987-03-14
1034	"SKA"	1987-03-14	1987-04-14
1034	"SKA"	1987-04-14	1987-07-20
1034	"CIN"	1987-07-20	1988-04-29
1035	"VIE"	1985-01-01	1985-12-31
1035	"FOR"	1985-12-31	1986-12-29
1035	"POZ"	1986-12-29	1987-03-14
1035	"SKA"	1987-03-14	1987-07-20
1035	"CIN"	1987-07-20	1987-09-20
1036	"VIE"	1986-01-01	1986-07-01
1036	"FOR"	1986-07-01	1986-12-29
1036	"POZ"	1986-12-29	1987-04-14
1036	"SKA"	1987-04-14	1987-07-20
1036	"CIN"	1987-07-20	1989-10-15
1037	"VIE"	1986-01-01	1986-03-01
1037	"SKA"	1986-03-01	1987-07-20
1037	"CIN"	1987-07-20	1987-09-20
1038	"VIE"	1986-03-11	1986-05-11
1038	"SKA"	1986-05-11	1987-07-20
1038	"CIN"	1987-07-20	1987-09-20
1039	"UND"	1987-06-15	1987-08-15
1039	"WOR"	1987-08-15	1987-10-15
1039	"CIN"	1987-10-15	1990-11-28
1039	"PHI"	1990-11-28	1991-01-28
1040	"SKA"	1986-01-01	1988-10-11
1040	"PHI"	1988-10-11	1997-03-16
1041	"SKA"	1986-12-01	1988-10-11
1041	"PHI"	1988-10-11	1997-03-16
1042	"UND"	1989-03-07	1989-05-07
1042	"SAN"	1989-05-07	1989-08-15
1042	"HOU"	1989-08-15	1992-04-14
1043	"UND"	1989-04-20	1989-06-20
1043	"CAF"	1989-06-20	1989-08-20
1043	"SEA"	1989-08-20	1992-05-30
1044	"THA"	1984-01-01	1986-10-26
1044	"CAF"	1986-10-26	1989-08-20
1044	"SEA"	1989-08-20	1992-06-18
1044	"DUK"	1992-06-18	1997-04-24
1044	"HOU"	1997-04-24	1996-06-25
1045	"POZ"	1987-02-14	1987-03-14
1045	"SKA"	1987-03-14	1987-04-14
1045	"SKA"	1987-04-14	1988-08-10
1045	"SAN"	1988-08-10	1988-10-13
1045	"SAN"	1988-10-13	1989-08-15
1045	"HOU"	1989-08-15	1992-04-22
1045	"PUE"	1992-04-22	2004-11-09
1045	"HOU"	2004-11-09	2005-01-09
1046	"POZ"	1987-02-14	1987-03-14
1046	"SKA"	1987-03-14	1987-04-14
1046	"SKA"	1987-04-14	1988-08-10
1046	"SAN"	1988-08-10	1988-10-13
1046	"SAN"	1988-10-13	1989-08-15
1046	"HOU"	1989-08-15	1992-04-22
1046	"PUE"	1992-04-22	2004-11-09
1046	"HOU"	2004-11-09	2005-01-09
1047	"SKA"	1987-02-17	1987-04-05
1047	"DUK"	1987-04-05	1987-06-05
1051	"CIN"	1988-02-29	1989-09-20
1051	"CBR"	1989-09-20	1997-03-10
1054	"CBR"	1988-10-24	2000-12-10
1055	"DUK"	1988-11-17	1991-07-29
1055	"OMA"	1991-07-29	1991-09-29
1056	"DUK"	1988-11-17	1991-07-29
1056	"OMA"	1991-07-29	2000-10-03
1057	"SAN"	1989-02-25	1998-10-28
1057	"CIN"	1998-10-28	1996-04-20
1058	"SAN"	1989-02-25	1997-04-05
1059	"SAN"	1989-02-26	1999-06-19
1060	"SAN"	1989-02-27	2002-02-01
1060	"SDW"	2002-02-01	1997-04-20
1061	"SAN"	1989-02-27	1997-04-11
1063	"PHI"	1990-01-17	1997-02-20
1063	"CIN"	1997-02-20	1997-04-20
1064	"PHI"	1990-01-17	1991-06-13
1064	"SEA"	1991-06-13	1996-03-05
1065	"SAN"	1990-03-24	2002-07-19
1065	"CLE"	2002-07-19	2002-09-19
1066	"HOU"	1990-04-06	1997-05-23
1066	"CBR"	1997-05-23	1997-07-23
1067	"HOU"	1990-04-06	1992-04-14
1068	"CBR"	1990-06-15	1993-11-10
1068	"PAI"	1993-11-10	1994-05-26
1068	"SHA"	1994-05-26	1995-03-29
1068	"PAI"	1995-03-29	1995-05-29
1072	"DUK"	1991-03-09	1993-11-03
1072	"PAI"	1993-11-03	1994-01-03
1074	"PHI"	1991-04-13	1993-04-28
1074	"CLE"	1993-04-28	1993-06-28
1075	"PHI"	1991-04-13	1993-04-28
1075	"CLE"	1993-04-28	1993-06-28
1078	"UND"	1990-10-21	1990-12-21
1078	"USD"	1990-12-21	1991-02-21
1078	"NYB"	1991-02-21	1995-04-12
1078	"CLE"	1995-04-12	1998-07-16
1079	"HOU"	1992-02-14	1994-08-30
1079	"DUK"	1994-08-30	1998-10-08
1079	"OMA"	1998-10-08	2000-10-03
1082	"CBR"	1992-04-03	1993-11-10
1082	"PAI"	1993-11-10	1994-01-10
1083	"PHI"	1992-08-08	2000-07-13
1083	"WHE"	2000-07-13	2000-09-13
1087	"UND"	1986-09-17	1986-11-17
1087	"FER"	1986-11-17	1987-01-17
1087	"TAI"	1987-01-17	1987-03-17
1088	"VIE"	1993-05-22	1993-07-22
1088	"USD"	1993-07-22	1993-09-22
1088	"SEA"	1993-09-22	1997-06-27
1088	"CLE"	1997-06-27	1996-03-05
1089	"VIE"	1992-12-03	1993-02-03
1089	"USD"	1993-02-03	1993-04-03
1089	"LOS"	1993-04-03	1994-07-08
1089	"SAN"	1994-07-08	2002-05-25
1090	"CRY"	1992-11-14	2005-03-22
1090	"OAS"	2005-03-22	2005-05-22
1091	"CRY"	1992-11-14	2004-10-15
1091	"IND"	2004-10-15	2004-12-15
1093	"CBR"	1993-05-30	1997-09-16
1093	"HOU"	1997-09-16	1997-11-16
1094	"CBR"	1993-05-30	1994-03-24
1094	"CIN"	1994-03-24	1994-05-24
1097	"DUK"	1994-03-15	2004-12-02
1098	"CBR"	1994-03-18	1999-12-04
1098	"SAN"	1999-12-04	2000-02-04
1099	"CBR"	1994-03-18	1997-12-08
1099	"MEM"	1997-12-08	1998-02-08
1102	"SEA"	1995-02-11	2003-01-05
1103	"DUK"	1995-02-15	2004-12-02
1104	"DUK"	1995-02-15	1998-04-23
1104	"OMA"	1998-04-23	2006-11-07
1104	"SEA"	2006-11-07	2007-01-07
1106	"PHI"	1995-02-23	1997-03-04
1106	"MEM"	1997-03-04	1997-05-04
1107	"PHI"	1995-02-23	1997-02-20
1107	"CIN"	1997-02-20	1997-04-03
1107	"CBR"	1997-04-03	1997-06-03
1108	"SAN"	1995-02-26	2005-11-17
1113	"UND"	1994-11-27	1995-01-27
1113	"PUB"	1995-01-27	1995-03-27
1113	"HOG"	1995-03-27	1995-11-02
1113	"SAN"	1995-11-02	2002-05-25
1114	"VIE"	1995-02-06	1995-04-06
1114	"TOR"	1995-04-06	1995-06-06
