"ID"	"Location"	"Start"	"End"
1114	"CRY"	1995-06-06	1995-08-06
1115	"SEA"	1996-01-05	1998-04-23
1115	"OMA"	1998-04-23	2008-10-17
1115	"WIL"	2008-10-17	2011-10-07
1115	"CLE"	2011-10-07	2011-12-07
1116	"SEA"	1996-01-05	1998-10-01
1116	"CBR"	1998-10-01	2003-10-03
1120	"SAN"	1996-02-07	2002-06-28
1120	"CBR"	2002-06-28	2003-10-03
1121	"SAN"	1996-02-20	2003-10-16
1121	"WHE"	2003-10-16	2004-10-07
1121	"MOO"	2004-10-07	2008-09-17
1121	"HOU"	2008-09-17	2009-01-20
1121	"MOO"	2009-01-20	2011-08-14
1122	"SAN"	1996-02-20	2002-10-15
1122	"LIT"	2002-10-15	2002-12-15
1123	"DUK"	1996-04-25	1998-06-23
1123	"MIN"	1998-06-23	1998-08-23
1124	"VIE"	1996-11-28	1997-01-28
1124	"USD"	1997-01-28	1997-03-28
1124	"PUE"	1997-03-28	2008-04-12
1125	"VIE"	1996-11-28	1997-01-28
1125	"USD"	1997-01-28	1997-03-28
1125	"PUE"	1997-03-28	2008-04-12
1126	"VIE"	1997-03-19	1997-05-19
1126	"USD"	1997-05-19	1997-07-19
1126	"SBA"	1997-07-19	2000-09-20
1126	"MIN"	2000-09-20	2004-10-10
1127	"VIE"	1997-03-19	1997-05-19
1127	"USD"	1997-05-19	1997-07-19
1127	"SBA"	1997-07-19	1999-10-14
1127	"SEA"	1999-10-14	2003-01-05
1128	"CBR"	1997-01-10	1998-12-15
1128	"LIT"	1998-12-15	1999-02-15
1130	"PHI"	1997-01-16	2013-03-26
1131	"SAN"	1997-02-05	2004-07-16
1131	"ABQ"	2004-07-16	2010-10-12
1132	"SAN"	1997-02-05	2006-08-31
1132	"ELP"	2006-08-31	2012-06-12
1132	"COL"	2012-06-12	2012-08-12
1135	"SAN"	1997-02-20	2002-02-21
1135	"SDW"	2002-02-21	2003-07-23
1135	"SAN"	2003-07-23	2009-06-30
1135	"SEA"	2009-06-30	2011-10-12
1135	"SAN"	2011-10-12	2006-08-20
1138	"CLE"	1998-05-16	2009-10-14
1141	"SAN"	1999-04-19	2009-06-30
1141	"SEA"	2009-06-30	2011-10-12
1141	"SAN"	2011-10-12	2011-12-12
1142	"SAN"	1999-04-19	2006-04-11
1142	"CHI"	2006-04-11	2009-06-25
1143	"OMA"	1999-06-20	2009-01-22
1145	"SAN"	2000-04-27	2002-07-03
1145	"WHE"	2002-07-03	2004-10-07
1145	"MOO"	2004-10-07	2008-09-17
1145	"HOU"	2008-09-17	2009-01-20
1145	"MOO"	2009-01-20	2011-08-14
1146	"SAN"	2000-04-27	2005-11-17
1151	"PUE"	2000-03-08	2004-06-24
1151	"CLE"	2004-06-24	2004-08-24
2006	"ASI"	1986-06-23	1986-08-23
2006	"HER"	1986-08-23	1986-10-23
2006	"MOS"	1986-10-23	1990-05-20
2006	"WAR"	1990-05-20	1990-07-20
2097	"VIE"	1989-12-19	1990-02-19
2097	"IRC"	1990-02-19	1990-04-19
2097	"FRA"	1990-04-19	1989-06-10
2098	"VIE"	1986-01-01	1988-02-24
2098	"SWI"	1988-02-24	1990-04-19
2098	"FRA"	1990-04-19	1990-06-19
2108	"IRC"	1989-04-10	1990-04-19
2108	"FRA"	1990-04-19	2002-11-26
2108	"KOL"	2002-11-26	1996-09-30
2129	"VIE"	1991-06-12	1991-08-12
2129	"PUB"	1991-08-12	1991-10-12
2129	"MOS"	1991-10-12	1992-04-30
2129	"FRA"	1992-04-30	2002-11-26
2129	"KOL"	2002-11-26	1996-09-30
2208	"FRA"	1994-04-27	1998-06-24
2208	"COL"	1998-06-24	1998-10-13
2208	"MIN"	1998-10-13	2010-11-25
2233	"FRA"	1996-07-30	1998-06-24
2233	"COL"	1998-06-24	1998-08-24
2336	"ASI"	2001-06-02	2001-08-02
2336	"CAL"	2001-08-02	2001-11-22
2336	"CRY"	2001-11-22	2004-10-15
2336	"IND"	2004-10-15	2009-06-02
2336	"GRA"	2009-06-02	2012-08-20
2336	"NYB"	2012-08-20	2012-10-20
2337	"ASI"	2001-06-02	2001-08-02
2337	"CAL"	2001-08-02	2001-11-21
2337	"QUE"	2001-11-21	2008-06-03
2337	"LAN"	2008-06-03	2010-11-02
2338	"ASI"	1999-01-01	2001-08-02
2338	"CAL"	2001-08-02	2005-06-09
2339	"ASI"	2001-06-02	2001-08-02
2339	"CAL"	2001-08-02	2001-10-02
2340	"ASI"	2001-06-02	2001-08-02
2340	"CAL"	2001-08-02	2005-06-09
2341	"ASI"	2001-06-02	2001-08-02
2341	"CAL"	2001-08-02	2001-11-21
2341	"QUE"	2001-11-21	2008-06-03
2341	"LAN"	2008-06-03	2010-11-02
2341	"BOW"	2010-11-02	2005-04-15
2342	"MIN"	2001-08-15	2008-10-15
2342	"EVA"	2008-10-15	2008-12-15
2400	"MIN"	2003-01-04	2005-05-12
2400	"AKR"	2005-05-12	2009-01-20
2402	"SEA"	2001-11-30	2007-04-26
2402	"OMA"	2007-04-26	2008-09-02
2402	"GAR"	2008-09-02	2011-12-27
2403	"SEA"	2001-11-30	2003-11-12
2403	"ABQ"	2003-11-12	2013-11-07
2403	"CLE"	2013-11-07	2015-10-26
2403	"OMA"	2015-10-26	2009-09-18
2405	"CAL"	2002-02-08	2003-10-09
2405	"CRY"	2003-10-09	2005-03-22
2405	"OAS"	2005-03-22	2008-07-13
2405	"LAN"	2008-07-13	2010-11-02
2405	"BOW"	2010-11-02	2011-01-02
2406	"DUK"	2002-03-04	2011-04-04
2408	"SAN"	2002-03-25	2006-06-07
2408	"AKR"	2006-06-07	2013-10-21
2409	"SAN"	2002-03-25	2009-07-05
2409	"ATT"	2009-07-05	2006-08-20
2411	"PUE"	2002-04-05	2003-11-19
2411	"CHI"	2003-11-19	2015-04-22
2411	"BUS"	2015-04-22	2015-06-22
2412	"MIN"	2002-06-03	2003-09-01
2412	"CHI"	2003-09-01	2003-11-01
2413	"MIN"	2002-06-03	2003-10-23
2413	"CLE"	2003-10-23	2007-03-07
2414	"SEA"	2002-11-05	2003-11-12
2414	"ABQ"	2003-11-12	2013-11-07
2414	"CLE"	2013-11-07	2012-02-07
2415	"SEA"	2002-11-05	2009-11-12
2415	"MEM"	2009-11-12	2010-11-27
2416	"CAL"	2002-12-20	2007-01-01
2416	"STL"	2007-01-01	2007-10-26
2416	"MEM"	2007-10-26	2010-11-27
2417	"CAL"	2002-12-20	2007-09-07
2417	"STL"	2007-09-07	2007-10-16
2417	"NYB"	2007-10-16	2015-06-10
2418	"PUE"	2003-02-09	2006-11-08
2418	"MIN"	2006-11-08	2011-05-04
2418	"AKR"	2011-05-04	2013-10-21
2420	"UND"	2002-01-03	2002-06-01
2420	"USF"	2002-06-01	2002-07-24
2420	"LOS"	2002-07-24	2004-07-27
2420	"DUK"	2004-07-27	2012-06-09
2421	"UND"	2002-04-01	2002-06-01
2421	"USF"	2002-06-01	2002-07-24
2421	"LOS"	2002-07-24	2002-09-24
2422	"UND"	1997-01-01	2001-01-01
2422	"PUB"	2001-01-01	2002-07-16
2422	"MYA"	2002-07-16	2003-06-11
2422	"AUD"	2003-06-11	2003-12-09
2422	"DUK"	2003-12-09	2002-03-01
2423	"PUB"	2001-01-01	2002-07-16
2423	"MYA"	2002-07-16	2003-06-11
2423	"AUD"	2003-06-11	2004-12-15
2423	"CAL"	2004-12-15	2007-09-07
2423	"STL"	2007-09-07	2007-10-16
2423	"NYB"	2007-10-16	2015-06-10
2424	"PUB"	2002-01-01	2003-06-11
2424	"AUD"	2003-06-11	2003-12-09
2424	"DUK"	2003-12-09	2006-08-01
2427	"CAL"	2003-09-05	2007-09-05
2427	"STL"	2007-09-05	2007-10-25
2427	"MEM"	2007-10-25	2008-10-10
2427	"EVA"	2008-10-10	2008-12-10
2428	"CAL"	2003-09-05	2005-09-29
2428	"GRA"	2005-09-29	2012-08-20
2428	"NYB"	2012-08-20	2013-10-24
2428	"OMA"	2013-10-24	2013-12-24
2429	"QUE"	2003-10-27	2006-04-11
2429	"GRA"	2006-04-11	2012-08-20
2429	"NYB"	2012-08-20	2014-05-14
2429	"EVA"	2014-05-14	2014-07-14
2430	"PUE"	2003-12-22	2004-11-09
2430	"HOU"	2004-11-09	2005-06-15
2430	"ATT"	2005-06-15	2005-08-15
2435	"MIN"	2004-08-10	2006-09-20
2435	"ABQ"	2006-09-20	2013-10-28
2435	"PUE"	2013-10-28	2016-05-05
2435	"EVA"	2016-05-05	2018-04-19
2435	"SAN"	2018-04-19	2018-06-19
2436	"MIN"	2004-08-10	2006-09-20
2436	"PHI"	2006-09-20	2015-08-25
2436	"SAN"	2015-08-25	2017-08-09
2436	"PUE"	2017-08-09	2013-03-26
2444	"QUE"	2005-02-15	2008-06-03
2444	"LAN"	2008-06-03	2010-11-02
2444	"BOW"	2010-11-02	2016-07-24
2449	"SAN"	2005-09-17	2006-08-31
2449	"ELP"	2006-08-31	2016-11-28
2450	"SAN"	2005-09-17	2008-11-25
2450	"WIL"	2008-11-25	2011-10-07
2450	"CLE"	2011-10-07	2020-10-15
2450	"ELP"	2020-10-15	2020-12-15
2451	"DUK"	2004-10-02	2008-10-02
2451	"GAR"	2008-10-02	2013-11-15
2451	"PUE"	2013-11-15	2011-12-27
2493	"QUE"	2005-02-15	2008-06-03
2493	"LAN"	2008-06-03	2010-11-02
2493	"BOW"	2010-11-02	2016-07-24
2496	"MOO"	2006-03-24	2008-09-17
2496	"HOU"	2008-09-17	2008-12-17
2496	"CLE"	2008-12-17	2016-04-19
2496	"DUK"	2016-04-19	2015-03-22
2498	"DUK"	2006-06-01	2012-08-20
2499	"DUK"	2006-06-01	2008-10-02
2499	"OMA"	2008-10-02	2008-12-02
2500	"SAN"	2006-06-18	2008-09-17
2500	"OMA"	2008-09-17	2008-11-17
2501	"CLE"	2007-01-07	2010-01-06
2502	"CLE"	2007-01-07	2009-05-05
2502	"DUK"	2009-05-05	2019-09-10
2502	"EVA"	2019-09-10	2025-03-13
2504	"ABQ"	2007-01-18	2009-06-25
2504	"PRO"	2009-06-25	2022-10-26
2504	"ELP"	2022-10-26	2025-03-13
2506	"PUE"	2006-04-06	2008-10-29
2506	"CLE"	2008-10-29	2009-10-14
2507	"PUE"	2006-04-06	2008-07-09
2507	"OMA"	2008-07-09	2008-09-09
2600	"AKR"	2008-11-20	2010-03-13
2600	"CIN"	2010-03-13	2010-05-13
2605	"PHI"	2008-03-16	2009-07-09
2605	"PRO"	2009-07-09	2015-10-08
2605	"AKR"	2015-10-08	2025-03-13
2607	"ABQ"	2008-09-18	2018-12-18
2607	"SAN"	2018-12-18	2019-03-31
2608	"ABQ"	2008-09-18	2009-08-27
2608	"DUK"	2009-08-27	2017-06-20
2608	"AKR"	2017-06-20	2012-06-09
2609	"CLE"	2009-08-14	2012-06-13
2609	"MEM"	2012-06-13	2016-04-23
2609	"OMA"	2016-04-23	2016-06-23
2614	"ABQ"	2009-07-18	2018-12-18
2614	"SAN"	2018-12-18	2019-11-05
2614	"PUE"	2019-11-05	2025-03-13
2622	"DUK"	2010-09-17	2016-02-08
2622	"MEM"	2016-02-08	2019-05-16
2622	"CIN"	2019-05-16	2025-03-13
2623	"DUK"	2010-09-17	2011-12-01
2623	"SAN"	2011-12-01	2014-05-14
2623	"NYB"	2014-05-14	2025-03-13
2624	"GAR"	2010-03-14	2017-10-25
2624	"DUK"	2017-10-25	2017-12-25
2625	"GAR"	2010-12-06	2011-10-13
2625	"CIN"	2011-10-13	2011-12-13
2626	"GAR"	2010-12-06	2014-04-22
2626	"CBR"	2014-04-22	2022-11-02
2626	"MIL"	2022-11-02	2025-03-13
2630	"MOO"	2010-03-22	2021-06-15
2630	"CIN"	2021-06-15	2025-03-13
2631	"MOO"	2010-03-22	2014-02-20
2631	"CBR"	2014-02-20	2022-11-02
2631	"MIL"	2022-11-02	2025-03-13
2632	"PHI"	2010-08-09	2012-02-01
2632	"ELP"	2012-02-01	2025-03-13
2634	"ABQ"	2010-08-12	2014-04-24
2634	"LIT"	2014-04-24	2025-03-13
2635	"ABQ"	2010-08-12	2013-12-12
2635	"BUS"	2013-12-12	2017-01-03
2635	"BLO"	2017-01-03	2017-03-03
2637	"DUK"	2011-02-04	2011-10-26
2637	"CBR"	2011-10-26	2015-07-08
2637	"CHI"	2015-07-08	2025-03-13
2638	"MOO"	2011-06-14	2023-02-24
2639	"MOO"	2011-06-14	2013-12-04
2639	"COL"	2013-12-04	2025-03-13
2640	"DUK"	2012-04-09	2014-05-14
2640	"NYB"	2014-05-14	2025-03-13
2641	"DUK"	2012-04-09	2014-06-11
2641	"SAN"	2014-06-11	2018-05-23
2641	"EVA"	2018-05-23	2025-03-13
2642	"GAR"	2011-10-27	2013-11-23
2642	"COL"	2013-11-23	2025-03-13
2646	"ELP"	2013-04-26	2015-07-07
2646	"CHI"	2015-07-07	2025-03-13
2647	"ELP"	2013-04-26	2015-05-27
2647	"GAR"	2015-05-27	2015-07-27
2649	"DUK"	2012-06-20	2015-09-10
2649	"MOO"	2015-09-10	2025-03-13
2652	"AKR"	2013-08-21	2017-06-08
2652	"OMA"	2017-06-08	2025-03-13
2653	"ELP"	2014-08-22	2015-09-21
2653	"ABQ"	2015-09-21	2018-12-18
2653	"SAN"	2018-12-18	2019-11-05
2653	"PUE"	2019-11-05	2025-03-13
2654	"ELP"	2014-08-22	2015-09-23
2654	"LIT"	2015-09-23	2025-03-13
2659	"CLE"	2015-05-18	2016-06-03
2659	"COL"	2016-06-03	2023-11-16
2659	"MOO"	2023-11-16	2025-03-13
2661	"COL"	2015-06-09	2016-06-29
2661	"BUS"	2016-06-29	2017-01-03
2661	"BLO"	2017-01-03	2025-03-13
2666	"COL"	2016-03-25	2017-08-30
2666	"GAR"	2017-08-30	2025-03-13
2667	"COL"	2016-03-25	2017-08-28
2667	"AKR"	2017-08-28	2022-02-25
2667	"CLE"	2022-02-25	2025-03-13
2671	"ELP"	2016-09-28	2017-10-25
2671	"GAR"	2017-10-25	2025-03-13
2673	"MOO"	2016-12-16	2018-01-30
2673	"PUE"	2018-01-30	2019-11-04
2673	"MEM"	2019-11-04	2025-03-13
2674	"MOO"	2016-12-16	2018-04-26
2674	"PRO"	2018-04-26	2018-06-26
2676	"CBR"	2016-11-03	2017-10-26
2676	"PHI"	2017-10-26	2025-03-13
2677	"DUK"	2017-01-18	2017-09-14
2677	"OMA"	2017-09-14	2025-03-13
2679	"COL"	2017-02-05	2019-07-11
2679	"DUL"	2019-07-11	2025-03-13
2682	"LIT"	2017-08-08	2019-02-14
2682	"BLO"	2019-02-14	2025-03-13
2683	"LIT"	2017-08-08	2019-05-14
2683	"MEM"	2019-05-14	2024-02-13
2685	"CHI"	2017-11-28	2019-07-11
2685	"DUL"	2019-07-11	2025-03-13
2689	"COL"	2019-05-28	2020-06-25
2689	"CLE"	2020-06-25	2022-06-23
2689	"AKR"	2022-06-23	2024-04-30
2689	"COL"	2024-04-30	2025-03-13
2690	"COL"	2019-05-28	2020-06-25
2690	"CLE"	2020-06-25	2022-06-23
2690	"AKR"	2022-06-23	2025-03-13
2707	"CBR"	2020-08-26	2022-10-04
2707	"CHI"	2022-10-04	2025-03-13
2708	"CBR"	2020-08-26	2022-08-25
2708	"NZP"	2022-08-25	2025-03-13
2711	"COL"	2021-02-25	2024-04-30
2711	"CLE"	2024-04-30	2025-03-13
2713	"NYB"	2021-03-11	2024-03-28
2713	"WOR"	2024-03-28	2025-03-13
2714	"LIT"	2021-06-18	2022-08-02
2714	"CLE"	2022-08-02	2025-03-13
2715	"LIT"	2021-06-18	2022-08-23
2715	"NZP"	2022-08-23	2025-03-13
2717	"GRE"	2021-04-12	2021-06-12
2717	"VAS"	2021-06-12	2022-01-13
2717	"WOR"	2022-01-13	2025-03-13
2718	"DUL"	2022-02-28	2024-03-15
2718	"MEM"	2024-03-15	2025-03-13
12108	"IRC"	1989-02-10	1989-06-10
12717	"GRE"	2019-04-12	2021-04-12
22717	"GRE"	2019-04-12	2021-04-12
