"ID"	"OrderLoc"	"Location"	"StartLoc"	"TypeEvent"	"Date"	"EndLoc"	"NameLoc"	"Sire"	"Dam"	"DateBirth"	"Status"	"Sex"	"CurrentLoc"	"Disposition"	"DispIcon"	"LocAssignment"	"Breeding"	"BreedIcon"	"MateID"	"Plan"	"Assignment"	"Note"	"colorCurrent"	"NameLocCurrent"	"Country"	"AgeBTP"	"AgeReal"
2640	2	"NYB"	2014-05-14	"Transfer"	2014-05-14	2025-03-20	"Bronx Zoo/Wildlife Conservation Society"	2420	2608	2012-04-09	"A"	"F"	"NYB"	"HOLD"	"'spinner'"	"NYB"	"BREED WITH"	"'heart-circle-check'"	2623	"Include"	NA	NA	"#6C5044"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	12	12
2641	1	"DUK"	2012-04-09	"Birth"	2012-04-09	2014-06-11	"Duke Lemur Center"	2420	2608	2012-04-09	"A"	"M"	"WGE"	"HOLD"	"'spinner'"	"WGE"	"BREED WITH"	"'heart-circle-check'"	2717	"Include"	NA	NA	"#40542C"	"Turtle Back Zoo"	"United States"	12	12
2641	2	"SOZ"	2014-06-11	"Transfer"	2014-06-11	2018-05-23	"San Diego Zoo"	2420	2608	2012-04-09	"A"	"M"	"WGE"	"HOLD"	"'spinner'"	"WGE"	"BREED WITH"	"'heart-circle-check'"	2717	"Include"	NA	NA	"#40542C"	"Turtle Back Zoo"	"United States"	12	12
2641	3	"EVA"	2018-05-23	"Transfer"	2018-05-23	2025-03-20	"Mesker Park Zoo"	2420	2608	2012-04-09	"A"	"M"	"WGE"	"HOLD"	"'spinner'"	"WGE"	"BREED WITH"	"'heart-circle-check'"	2717	"Include"	NA	NA	"#40542C"	"Turtle Back Zoo"	"United States"	12	12
2642	1	"GAR"	2011-10-27	"Birth"	2011-10-27	2013-11-23	"Lee Richardson Zoo"	2402	2451	2011-10-27	"A"	"F"	"COL"	"HOLD"	"'spinner'"	"COL"	"BREED WITH"	"'heart-circle-check'"	2689	"Include"	NA	NA	"#2C0808"	"Columbus Zoo and Aquarium"	"United States"	13	13
2642	2	"COL"	2013-11-23	"Transfer"	2013-11-23	2025-03-20	"Columbus Zoo and Aquarium"	2402	2451	2011-10-27	"A"	"F"	"COL"	"HOLD"	"'spinner'"	"COL"	"BREED WITH"	"'heart-circle-check'"	2689	"Include"	NA	NA	"#2C0808"	"Columbus Zoo and Aquarium"	"United States"	13	13
2646	1	"ELP"	2013-04-26	"Birth"	2013-04-26	2015-07-07	"El Paso Zoo"	2449	2632	2013-04-26	"A"	"M"	"CHI"	"HOLD"	"'spinner'"	"CHI"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	"The SSP Coordinator is aware of the health monitoring of 2707, please reach out if you are interested in breeding in the future."	"#2C1418"	"Lincoln Park Zoological Gardens"	"United States"	11	11
2646	2	"CHI"	2015-07-07	"Transfer"	2015-07-07	2025-03-20	"Lincoln Park Zoological Gardens"	2449	2632	2013-04-26	"A"	"M"	"CHI"	"HOLD"	"'spinner'"	"CHI"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	"The SSP Coordinator is aware of the health monitoring of 2707, please reach out if you are interested in breeding in the future."	"#2C1418"	"Lincoln Park Zoological Gardens"	"United States"	11	11
2649	1	"DUK"	2012-06-20	"Birth"	2012-06-20	2015-09-10	"Duke Lemur Center"	2498	2502	2012-06-20	"A"	"M"	"MOO"	"HOLD"	"'spinner'"	"MOO"	"BREED WITH"	"'heart-circle-check'"	2659	"Include"	NA	NA	"#C0A480"	"Aquarium & Rainforest at Moody Gardens"	"United States"	12	12
2649	2	"MOO"	2015-09-10	"Transfer"	2015-09-10	2025-03-20	"Aquarium & Rainforest at Moody Gardens"	2498	2502	2012-06-20	"A"	"M"	"MOO"	"HOLD"	"'spinner'"	"MOO"	"BREED WITH"	"'heart-circle-check'"	2659	"Include"	NA	NA	"#C0A480"	"Aquarium & Rainforest at Moody Gardens"	"United States"	12	12
2652	1	"AKR"	2013-08-21	"Birth"	2013-08-21	2017-06-08	"Akron Zoological Park"	2408	2418	2013-08-21	"A"	"M"	"OMA"	"HOLD"	"'spinner'"	"OMA"	"BREED WITH"	"'heart-circle-check'"	2677	"Include"	NA	NA	"#CCB08C"	"Omaha's Henry Doorly Zoo"	"United States"	11	11
2652	2	"OMA"	2017-06-08	"Transfer"	2017-06-08	2025-03-20	"Omaha's Henry Doorly Zoo"	2408	2418	2013-08-21	"A"	"M"	"OMA"	"HOLD"	"'spinner'"	"OMA"	"BREED WITH"	"'heart-circle-check'"	2677	"Include"	NA	NA	"#CCB08C"	"Omaha's Henry Doorly Zoo"	"United States"	11	11
2653	1	"ELP"	2014-08-22	"Birth"	2014-08-22	2015-09-21	"El Paso Zoo"	2449	2632	2014-08-22	"A"	"M"	"PUE"	"HOLD"	"'spinner'"	"PUE"	"BREED WITH"	"'heart-circle-check'"	2614	"Include"	NA	"The SSP Coordinator acknowledges the lower likelihood of this pair breeding due to the female’s age, however, please do not prevent breeding."	"#988C6C"	"Pueblo Zoo"	"United States"	10	10
2653	2	"ABQ"	2015-09-21	"Transfer"	2015-09-21	2018-12-18	"Albuquerque Biological Park"	2449	2632	2014-08-22	"A"	"M"	"PUE"	"HOLD"	"'spinner'"	"PUE"	"BREED WITH"	"'heart-circle-check'"	2614	"Include"	NA	"The SSP Coordinator acknowledges the lower likelihood of this pair breeding due to the female’s age, however, please do not prevent breeding."	"#988C6C"	"Pueblo Zoo"	"United States"	10	10
2653	3	"SOZ"	2018-12-18	"Transfer"	2018-12-18	2019-11-05	"San Diego Zoo"	2449	2632	2014-08-22	"A"	"M"	"PUE"	"HOLD"	"'spinner'"	"PUE"	"BREED WITH"	"'heart-circle-check'"	2614	"Include"	NA	"The SSP Coordinator acknowledges the lower likelihood of this pair breeding due to the female’s age, however, please do not prevent breeding."	"#988C6C"	"Pueblo Zoo"	"United States"	10	10
2653	4	"PUE"	2019-11-05	"Transfer"	2019-11-05	2025-03-20	"Pueblo Zoo"	2449	2632	2014-08-22	"A"	"M"	"PUE"	"HOLD"	"'spinner'"	"PUE"	"BREED WITH"	"'heart-circle-check'"	2614	"Include"	NA	"The SSP Coordinator acknowledges the lower likelihood of this pair breeding due to the female’s age, however, please do not prevent breeding."	"#988C6C"	"Pueblo Zoo"	"United States"	10	10
2654	1	"ELP"	2014-08-22	"Birth"	2014-08-22	2015-09-23	"El Paso Zoo"	2449	2632	2014-08-22	"A"	"F"	"LIT"	"HOLD"	"'spinner'"	"LIT"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	"The SSP Coordinator is aware of your request to place the offspring and will work to fulfill this request as more space becomes available."	"#686854"	"Little Rock Zoological Gardens"	"United States"	10	10
2654	2	"LIT"	2015-09-23	"Transfer"	2015-09-23	2025-03-20	"Little Rock Zoological Gardens"	2449	2632	2014-08-22	"A"	"F"	"LIT"	"HOLD"	"'spinner'"	"LIT"	"DO NOT BREED"	"'ban'"	NA	"Include"	NA	"The SSP Coordinator is aware of your request to place the offspring and will work to fulfill this request as more space becomes available."	"#686854"	"Little Rock Zoological Gardens"	"United States"	10	10
2659	1	"CLE"	2015-05-18	"Birth"	2015-05-18	2016-06-03	"Cleveland Metroparks Zoo"	2450	2414	2015-05-18	"A"	"F"	"MOO"	"HOLD"	"'spinner'"	"MOO"	"BREED WITH"	"'heart-circle-check'"	2649	"Include"	NA	NA	"#C0A480"	"Aquarium & Rainforest at Moody Gardens"	"United States"	9	9
2659	2	"COL"	2016-06-03	"Transfer"	2016-06-03	2023-11-16	"Columbus Zoo and Aquarium"	2450	2414	2015-05-18	"A"	"F"	"MOO"	"HOLD"	"'spinner'"	"MOO"	"BREED WITH"	"'heart-circle-check'"	2649	"Include"	NA	NA	"#C0A480"	"Aquarium & Rainforest at Moody Gardens"	"United States"	9	9
2659	3	"MOO"	2023-11-16	"Transfer"	2023-11-16	2025-03-20	"Aquarium & Rainforest at Moody Gardens"	2450	2414	2015-05-18	"A"	"F"	"MOO"	"HOLD"	"'spinner'"	"MOO"	"BREED WITH"	"'heart-circle-check'"	2649	"Include"	NA	NA	"#C0A480"	"Aquarium & Rainforest at Moody Gardens"	"United States"	9	9
2661	1	"COL"	2015-06-09	"Birth"	2015-06-09	2016-06-29	"Columbus Zoo and Aquarium"	2639	2642	2015-06-09	"A"	"F"	"BLO"	"HOLD"	"'spinner'"	"BLO"	"BREED WITH"	"'heart-circle-check'"	2622	"Include"	NA	NA	"#A88464"	"Miller Park Zoo"	"United States"	9	9
2661	2	"BUS"	2016-06-29	"Transfer"	2016-06-29	2017-01-03	"Busch Gardens Tampa Bay"	2639	2642	2015-06-09	"A"	"F"	"BLO"	"HOLD"	"'spinner'"	"BLO"	"BREED WITH"	"'heart-circle-check'"	2622	"Include"	NA	NA	"#A88464"	"Miller Park Zoo"	"United States"	9	9
2661	3	"BLO"	2017-01-03	"Transfer"	2017-01-03	2025-03-20	"Miller Park Zoo"	2639	2642	2015-06-09	"A"	"F"	"BLO"	"HOLD"	"'spinner'"	"BLO"	"BREED WITH"	"'heart-circle-check'"	2622	"Include"	NA	NA	"#A88464"	"Miller Park Zoo"	"United States"	9	9
2666	1	"COL"	2016-03-25	"Birth"	2016-03-25	2017-08-30	"Columbus Zoo and Aquarium"	2639	2642	2016-03-25	"A"	"F"	"GAR"	"HOLD"	"'spinner'"	"GAR"	"BREED WITH"	"'heart-circle-check'"	2671	"Include"	NA	NA	"#443838"	"Lee Richardson Zoo"	"United States"	8	9
2666	2	"GAR"	2017-08-30	"Transfer"	2017-08-30	2025-03-20	"Lee Richardson Zoo"	2639	2642	2016-03-25	"A"	"F"	"GAR"	"HOLD"	"'spinner'"	"GAR"	"BREED WITH"	"'heart-circle-check'"	2671	"Include"	NA	NA	"#443838"	"Lee Richardson Zoo"	"United States"	8	9
