"ID"	"OrderLoc"	"Location"	"StartLoc"	"TypeEvent"	"Date"	"EndLoc"	"Status"	"NameLoc"	"Country"	"Sex"	"Sire"	"Dam"	"DateBirth"
2606	1	"PUE"	2008-02-12	"Birth"	2008-02-12	2008-02-12	"D"	"Pueblo Zoo"	"United States"	"U"	1125	1124	2008-02-12
2606	1	"PUE"	2008-02-12	"End"	2008-02-12	2008-02-12	"D"	"Pueblo Zoo"	"United States"	"U"	1125	1124	2008-02-12
2607	1	"ABQ"	2008-09-18	"Birth"	2008-09-18	2018-12-18	"D"	"Albuquerque Biological Park"	"United States"	"F"	1131	2403	2008-09-18
2607	2	"SOZ"	2018-12-18	"Transfer"	2018-12-18	2019-02-01	"D"	"San Diego Zoo"	"United States"	"F"	1131	2403	2008-09-18
2607	2	"SOZ"	2018-12-18	"End"	2019-02-01	2019-02-01	"D"	"San Diego Zoo"	"United States"	"F"	1131	2403	2008-09-18
2608	1	"ABQ"	2008-09-18	"Birth"	2008-09-18	2009-08-27	"D"	"Albuquerque Biological Park"	"United States"	"F"	1131	2403	2008-09-18
2608	2	"DUK"	2009-08-27	"Transfer"	2009-08-27	2017-06-20	"D"	"Duke Lemur Center"	"United States"	"F"	1131	2403	2008-09-18
2608	3	"AKR"	2017-06-20	"Transfer"	2017-06-20	2021-01-19	"D"	"Akron Zoological Park"	"United States"	"F"	1131	2403	2008-09-18
2608	3	"AKR"	2017-06-20	"End"	2021-01-19	2021-01-19	"D"	"Akron Zoological Park"	"United States"	"F"	1131	2403	2008-09-18
2609	1	"CLE"	2009-08-14	"Birth"	2009-08-14	2012-06-13	"D"	"Cleveland Metroparks Zoo"	"United States"	"M"	1138	2506	2009-08-14
2609	2	"MEM"	2012-06-13	"Transfer"	2012-06-13	2016-04-23	"D"	"Memphis Zoological Garden & Aquarium"	"United States"	"M"	1138	2506	2009-08-14
2609	3	"OMA"	2016-04-23	"Transfer"	2016-04-23	2016-05-28	"D"	"Omaha's Henry Doorly Zoo"	"United States"	"M"	1138	2506	2009-08-14
2609	3	"OMA"	2016-04-23	"End"	2016-05-28	2016-05-28	"D"	"Omaha's Henry Doorly Zoo"	"United States"	"M"	1138	2506	2009-08-14
2610	1	"CLE"	2009-11-06	"Birth"	2009-11-06	2009-11-06	"D"	"Cleveland Metroparks Zoo"	"United States"	"U"	2496	2501	2009-11-06
2610	1	"CLE"	2009-11-06	"End"	2009-11-06	2009-11-06	"D"	"Cleveland Metroparks Zoo"	"United States"	"U"	2496	2501	2009-11-06
2611	1	"MOO"	2009-05-13	"Birth"	2009-05-13	2009-05-22	"D"	"Aquarium & Rainforest at Moody Gardens"	"United States"	"M"	1121	1145	2009-05-13
2611	1	"MOO"	2009-05-13	"End"	2009-05-22	2009-05-22	"D"	"Aquarium & Rainforest at Moody Gardens"	"United States"	"M"	1121	1145	2009-05-13
2612	1	"PHI"	2009-03-27	"Birth"	2009-03-27	2009-03-30	"D"	"Philadelphia Zoo"	"United States"	"M"	1130	2436	2009-03-27
2612	1	"PHI"	2009-03-27	"End"	2009-03-30	2009-03-30	"D"	"Philadelphia Zoo"	"United States"	"M"	1130	2436	2009-03-27
2613	1	"ABQ"	2009-07-18	"Birth"	2009-07-18	2009-07-23	"D"	"Albuquerque Biological Park"	"United States"	"M"	1131	2403	2009-07-18
2613	1	"ABQ"	2009-07-18	"End"	2009-07-23	2009-07-23	"D"	"Albuquerque Biological Park"	"United States"	"M"	1131	2403	2009-07-18
2614	1	"ABQ"	2009-07-18	"Birth"	2009-07-18	2018-12-18	"A"	"Albuquerque Biological Park"	"United States"	"F"	1131	2403	2009-07-18
2614	2	"SOZ"	2018-12-18	"Transfer"	2018-12-18	2019-11-05	"A"	"San Diego Zoo"	"United States"	"F"	1131	2403	2009-07-18
2614	3	"PUE"	2019-11-05	"Transfer"	2019-11-05	2025-03-20	"A"	"Pueblo Zoo"	"United States"	"F"	1131	2403	2009-07-18
2614	3	"PUE"	2019-11-05	"End"	2025-03-20	2025-03-20	"A"	"Pueblo Zoo"	"United States"	"F"	1131	2403	2009-07-18
2615	1	"CHI"	2009-04-25	"Birth"	2009-04-25	2009-04-25	"D"	"Lincoln Park Zoological Gardens"	"United States"	"M"	1142	2411	2009-04-25
2615	1	"CHI"	2009-04-25	"End"	2009-04-25	2009-04-25	"D"	"Lincoln Park Zoological Gardens"	"United States"	"M"	1142	2411	2009-04-25
2616	1	"CHI"	2009-04-25	"Birth"	2009-04-25	2009-04-25	"D"	"Lincoln Park Zoological Gardens"	"United States"	"F"	1142	2411	2009-04-25
2616	1	"CHI"	2009-04-25	"End"	2009-04-25	2009-04-25	"D"	"Lincoln Park Zoological Gardens"	"United States"	"F"	1142	2411	2009-04-25
2617	1	"PHI"	2010-02-05	"Birth"	2010-02-05	2025-03-20	"A"	"Philadelphia Zoo"	"United States"	"F"	1130	2436	2010-02-05
2617	1	"PHI"	2010-02-05	"End"	2025-03-20	2025-03-20	"A"	"Philadelphia Zoo"	"United States"	"F"	1130	2436	2010-02-05
2618	1	"PHI"	2010-02-05	"Birth"	2010-02-05	2010-02-07	"D"	"Philadelphia Zoo"	"United States"	"M"	1130	2436	2010-02-05
2618	1	"PHI"	2010-02-05	"End"	2010-02-07	2010-02-07	"D"	"Philadelphia Zoo"	"United States"	"M"	1130	2436	2010-02-05
2622	1	"DUK"	2010-09-17	"Birth"	2010-09-17	2016-02-08	"A"	"Duke Lemur Center"	"United States"	"M"	2498	2502	2010-09-17
2622	2	"MEM"	2016-02-08	"Transfer"	2016-02-08	2019-05-16	"A"	"Memphis Zoological Garden & Aquarium"	"United States"	"M"	2498	2502	2010-09-17
2622	3	"CIN"	2019-05-16	"Transfer"	2019-05-16	2025-03-20	"A"	"Cincinnati Zoo & Botanical Garden"	"United States"	"M"	2498	2502	2010-09-17
2622	3	"CIN"	2019-05-16	"End"	2025-03-20	2025-03-20	"A"	"Cincinnati Zoo & Botanical Garden"	"United States"	"M"	2498	2502	2010-09-17
2623	1	"DUK"	2010-09-17	"Birth"	2010-09-17	2011-12-01	"A"	"Duke Lemur Center"	"United States"	"M"	2498	2502	2010-09-17
2623	2	"SOZ"	2011-12-01	"Transfer"	2011-12-01	2014-05-14	"A"	"San Diego Zoo"	"United States"	"M"	2498	2502	2010-09-17
2623	3	"NYB"	2014-05-14	"Transfer"	2014-05-14	2025-03-20	"A"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	"M"	2498	2502	2010-09-17
2623	3	"NYB"	2014-05-14	"End"	2025-03-20	2025-03-20	"A"	"Bronx Zoo/Wildlife Conservation Society"	"United States"	"M"	2498	2502	2010-09-17
2624	1	"GAR"	2010-03-14	"Birth"	2010-03-14	2017-10-25	"D"	"Lee Richardson Zoo"	"United States"	"M"	2402	2451	2010-03-14
2624	2	"DUK"	2017-10-25	"Transfer"	2017-10-25	2017-11-22	"D"	"Duke Lemur Center"	"United States"	"M"	2402	2451	2010-03-14
2624	2	"DUK"	2017-10-25	"End"	2017-11-22	2017-11-22	"D"	"Duke Lemur Center"	"United States"	"M"	2402	2451	2010-03-14
2625	1	"GAR"	2010-12-06	"Birth"	2010-12-06	2011-10-13	"D"	"Lee Richardson Zoo"	"United States"	"F"	2402	2451	2010-12-06
2625	2	"CIN"	2011-10-13	"Transfer"	2011-10-13	2020-03-03	"D"	"Cincinnati Zoo & Botanical Garden"	"United States"	"F"	2402	2451	2010-12-06
2625	2	"CIN"	2011-10-13	"End"	2020-03-03	2020-03-03	"D"	"Cincinnati Zoo & Botanical Garden"	"United States"	"F"	2402	2451	2010-12-06
2626	1	"GAR"	2010-12-06	"Birth"	2010-12-06	2014-04-22	"A"	"Lee Richardson Zoo"	"United States"	"F"	2402	2451	2010-12-06
2626	2	"CBR"	2014-04-22	"Transfer"	2014-04-22	2022-11-02	"A"	"Chicago Zoological Park / Brookfield Zoo"	"United States"	"F"	2402	2451	2010-12-06
2626	3	"MIL"	2022-11-02	"Transfer"	2022-11-02	2025-03-20	"A"	"Milwaukee County Zoological Gardens"	"United States"	"F"	2402	2451	2010-12-06
2626	3	"MIL"	2022-11-02	"End"	2025-03-20	2025-03-20	"A"	"Milwaukee County Zoological Gardens"	"United States"	"F"	2402	2451	2010-12-06
2627	1	"MIN"	2010-09-25	"Birth"	2010-09-25	2010-09-25	"D"	"Minnesota Zoological Garden"	"United States"	"U"	2208	2418	2010-09-25
2627	1	"MIN"	2010-09-25	"End"	2010-09-25	2010-09-25	"D"	"Minnesota Zoological Garden"	"United States"	"U"	2208	2418	2010-09-25
2628	1	"MIN"	2010-09-25	"Birth"	2010-09-25	2010-09-25	"D"	"Minnesota Zoological Garden"	"United States"	"U"	2208	2418	2010-09-25
2628	1	"MIN"	2010-09-25	"End"	2010-09-25	2010-09-25	"D"	"Minnesota Zoological Garden"	"United States"	"U"	2208	2418	2010-09-25
2629	1	"MIN"	2010-09-25	"Birth"	2010-09-25	2010-09-25	"D"	"Minnesota Zoological Garden"	"United States"	"U"	2208	2418	2010-09-25
2629	1	"MIN"	2010-09-25	"End"	2010-09-25	2010-09-25	"D"	"Minnesota Zoological Garden"	"United States"	"U"	2208	2418	2010-09-25
2630	1	"MOO"	2010-03-22	"Birth"	2010-03-22	2021-06-15	"A"	"Aquarium & Rainforest at Moody Gardens"	"United States"	"F"	1121	1145	2010-03-22
2630	2	"CIN"	2021-06-15	"Transfer"	2021-06-15	2025-03-20	"A"	"Cincinnati Zoo & Botanical Garden"	"United States"	"F"	1121	1145	2010-03-22
2630	2	"CIN"	2021-06-15	"End"	2025-03-20	2025-03-20	"A"	"Cincinnati Zoo & Botanical Garden"	"United States"	"F"	1121	1145	2010-03-22
2631	1	"MOO"	2010-03-22	"Birth"	2010-03-22	2014-02-20	"A"	"Aquarium & Rainforest at Moody Gardens"	"United States"	"M"	1121	1145	2010-03-22
2631	2	"CBR"	2014-02-20	"Transfer"	2014-02-20	2022-11-02	"A"	"Chicago Zoological Park / Brookfield Zoo"	"United States"	"M"	1121	1145	2010-03-22
2631	3	"MIL"	2022-11-02	"Transfer"	2022-11-02	2025-03-20	"A"	"Milwaukee County Zoological Gardens"	"United States"	"M"	1121	1145	2010-03-22
2631	3	"MIL"	2022-11-02	"End"	2025-03-20	2025-03-20	"A"	"Milwaukee County Zoological Gardens"	"United States"	"M"	1121	1145	2010-03-22
2632	1	"PHI"	2010-08-09	"Birth"	2010-08-09	2012-02-01	"D"	"Philadelphia Zoo"	"United States"	"F"	1130	2436	2010-08-09
