Institution Name,Mnemonic,Country,Association,"Current
Holdings","Historic
Holdings"
Albuquerque Biological Park,ABQBIOPK,United States,"AZA, WAZA",0 (0.0.0),14 (8.5.1)
Akron Zoological Park,AKRON,"United
States","WAZA, AZA",2 (1.1.0),14 (5.5.4)
Capron Park Zoo,ATTLEBORO,United States,AZA,0 (0.0.0),2 (1.1.0)
Audubon Zoo,AUDUBON,United States,"AZA, WAZA",0 (0.0.0),3 (0.3.0)
Dusit (Bangkok) Zoological Park,BANGKOK,Thailand,"ZPO, SEAZA",0 (0.0.0),1 (0.1.0)
Miller Park Zoo,BLOOMINGT,"United
States",AZA,2 (1.1.0),3 (2.1.0)
Bowmanville Zoological Park,BOWMANVIL,Canada,"AAZK, CAZA",0 (0.0.0),4 (2.2.0)
Busch Gardens Tampa Bay,BUSCH TAM,United States,"WAZA, FAZA, AZA",0 (0.0.0),3 (1.2.0)
Calif. Fish & Game (San Diego),CA FG SD,United States,,0 (0.0.0),2 (0.2.0)
"Calgary Zoo, Garden & Prehistoric Park",CALGARY,Canada,"AZA, WAZA, CAZA",0 (0.0.0),16 (7.7.2)
Chicago Zoological Park / Brookfield Zoo,CHICAGOBR,United States,"WAZA, AZA, AMMPA",4 (1.3.0),"34
(16.16.2)"
Lincoln Park Zoological Gardens,CHICAGOLP,United States,"WAZA, AZA",2 (1.1.0),12 (7.3.2)
Cincinnati Zoo & Botanical Garden,CINCINNAT,United States,"WAZA, AZA",1 (1.0.0),"24
(12.10.2)"
Cleveland Metroparks Zoo,CLEVELAND,United States,AZA,2 (2.0.0),"29
(12.10.7)"
Columbus Zoo and Aquarium,COLUMBUS,United States,"WAZA, AZA",4 (1.2.1),17 (7.7.3)
Crystal Garden Conservation Center (extinct 2004),CRYSTAL G,Canada,,0 (0.0.0),10 (4.5.1)
Duke Lemur Center,DUKE PRIM,"United
States",AZA,0 (0.0.0),"51
(25.23.3)"
Lake Superior Zoological Gardens,DULUTH,United States,AZA,2 (1.1.0),2 (1.1.0)
El Paso Zoo,EL PASO,United States,AZA,2 (1.1.0),11 (5.5.1)
Mesker Park Zoo,EVANSVLLE,United States,AZA,2 (1.1.0),7 (3.3.1)
"International Animal Exchange, Inc.",FERNDALE,United States,,0 (0.0.0),1 (0.1.0)
Helena Fitch-Snyder (extinct),FITCH H,United States,,0 (0.0.0),1 (1.0.0)
"Zoo-Forss (Ingvar Forss) (extinct
1985)",FORSS,Denmark,,0 (0.0.0),3 (0.3.0)
Zoologischer Garten Frankfurt,FRANKFURT,Germany,"VDZ, EAZA, WAZA",0 (0.0.0),6 (3.3.0)
Lee Richardson Zoo,GARDENCT Y,United States,AZA,2 (1.1.0),9 (3.6.0)
Zoo de Granby,GRANBY,Canada,"AZA, WPC, WAZA, CAZA",0 (0.0.0),3 (1.2.0)
"ZooAmerica (No. American
Wildlife Pk.)",HERSHEY,"United
States",AZA,0 (0.0.0),1 (1.0.0)
Utah's Hogle Zoo,HOGLE,United States,"AZA, WAZA",0 (0.0.0),1 (1.0.0)
Honolulu Zoo,HONOLULU,"United
States",AZA,0 (0.0.0),4 (1.2.1)
"Houston Zoo, Inc.",HOUSTON,United States,"WAZA, AZA",0 (0.0.0),13 (6.7.0)
Indian River Reptile Zoo,IND RIV R,Canada,CAZA,0 (0.0.0),2 (1.1.0)
Universität Zürich-Irchel Anthropologisches Institut und Museum,IRCHEL,Switzerland,,0 (0.0.0),2 (1.1.0)
Cologne Zoo,KOLN,Germany,"VDZ, WAZA, EAZA",0 (0.0.0),2 (1.1.0)
Mountain View Conservation & Breeding,LANGLEY,Canada,,0 (0.0.0),5 (3.2.0)
Little Rock Zoological Gardens,LITTLEROC,"United
States",AZA,2 (1.1.0),6 (3.3.0)
Los Angeles Zoo & Botanical Gardens,LOSANGELE,United States,"WAZA, AZA",0 (0.0.0),3 (1.2.0)
Memphis Zoological Garden & Aquarium,MEMPHIS,United States,"AZA, WAZA",2 (1.1.0),11 (6.3.2)
Minnesota Zoological Garden,MINNESOTA,United States,"AMMPA, WAZA, AZA",0 (0.0.0),15 (4.7.4)
Aquarium & Rainforest at Moody Gardens,MOODY,United States,"AAZK, AZA",3 (1.2.0),16 (9.6.1)
Moscow Zoological Park,MOSCOW,Russian Federation,"RUZA, WAZA, EARAZA, EAZA",0 (0.0.0),2 (1.1.0)
Lemur Conservation Foundation,MYAKKACLR,United States,"FAZA, AZA",0 (0.0.0),2 (0.2.0)
Bronx Zoo/Wildlife Conservation Society,NY BRONX,United States,"AZA, WAZA",3 (2.1.0),18 (7.8.3)
OASES (John Creviston),OASES,Canada,,0 (0.0.0),2 (1.1.0)
Omaha's Henry Doorly Zoo,OMAHA,"United
States","C2S2, WAZA, AZA",2 (1.1.0),18 (8.8.2)
Paignton Zoo Environmental Park,PAIGNTON,United Kingdom,"WAZA, EAZA, BIAZA",0 (0.0.0),3 (3.0.0)
Philadelphia Zoo,PHILADELP,United States,AZA,2 (1.1.0),"27
(13.10.4)"
Ogrod Zoologiczny w Poznaniu,POZNAN,Poland,"PZDA, EAZA",0 (0.0.0),5 (1.4.0)
Prospect Park Zoo,PROSPECTP,United States,AZA,2 (1.1.0),3 (1.2.0)
General Public,PUBLIC,,,0 (0.0.0),6 (2.4.0)
Pueblo Zoo,PUEBLO,"United
States",AZA,2 (1.1.0),"31
(11.9.11)"
Jardin Zoologique du Quebec (extinct),QUEBEC,Canada,,0 (0.0.0),5 (3.2.0)
Santa Barbara Zoological Gardens,S BARBARA,"United
States","AZA, WAZA",0 (0.0.0),2 (0.2.0)
San Francisco Zoological Gardens,SAN FRAN,"United
States","WAZA, AZA",0 (0.0.0),3 (2.1.0)
San Diego Zoo,SANDIEGOZ,United States,"AZA, WAZA",0 (0.0.0),"49
(28.19.2)"
San Diego Zoo Safari Park,SD-WAP,"United
States","WAZA, AZA",0 (0.0.0),2 (0.2.0)
