"Taxa"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.518985528012609	0.740105729389913	0.123409123409123	0.612963227929604	0.763789654186911	0.531504500642949	0.612437455325232
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.146439317953862	0.0810115730818688	0.531531531531532	0.127629131492345	0.0595884538439554	0.265466495213602	0.0650464617583989
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.196303195300186	0.0717245320760109	0.0193050193050193	0.175990842752897	0.116461846241783	0.0520074296328047	0.14481772694782
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0160481444332999	0.0274324903557651	0.167596167596168	0.0257547574760338	0.0158616747642183	0.0910130018574082	0.0224446032880629
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0203467545493624	0.0181454493499071	0.00743600743600744	0.0529403348118472	0.00628751071734781	0.00471495927989713	0.119656897784132
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.0726465109614558	0.0411487355336477	0.00328900328900329	0.000143081985977965	0.0051443269505573	0.0425775110730104	0.0194424588992137
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0.000142877553936277	0.127556127556128	0.000143081985977965	0	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.0104599512824187	0.0165737962566081	0.0167310167310167	0.00314780369151524	0.0324378393826808	0.0120017145306472	0.0101501072194425
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.0169078664565124	0.00085726532361766	0	0.00114465588782372	0.000428693912546442	0.000571510215745106	0.00200142959256612
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.00157615704255624	0.00271467352478926	0.00314600314600315	0.000143081985977965	0	0.000142877553936277	0.00400285918513224
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000286574007737498	0.000142877553936277	0	0	0	0	0
