"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage","PD"
"culi_1",52,58,5.38606519417116,57.4251021622694,3.64337980028693,2.35681355041724,0.84959104,6.64854008697354,9.28718844140158,0.596473849318357,0.9964,21.0560029563
"culi_10",43,65,17.4513242462776,56.1252093023256,3.90329421415532,2.29011779395323,0.83688608,6.13068461600334,7.37747558118144,0.608879539378332,0.9952,18.1963619904
"culi_100",49,55.4285714285714,5.464360927948,57.5416671379163,3.88617703502787,2.09523159635916,0.77465664,4.43767235919443,8.64038910096723,0.538368022124849,0.996,19.8891116722
"culi_103",72,105.333333333333,18.1132226401016,108.066493985152,5.74107168293347,2.40465384875481,0.82773888,5.80514047511127,13.8410263691872,0.562272990650965,0.99,25.135929021
"culi_105",41,44.75,4.20319330669715,44.4399493468408,3.24559795055088,2.17414823644341,0.8113952,5.30209199341692,6.96593302055398,0.585460090013253,0.9976,18.3335840182
"culi_106",50,59.1666666666667,7.37724204740821,59.9666330909329,3.86738354206796,2.36312000388489,0.82390208,5.67865878256824,8.85487692443004,0.604065978294588,0.9956,20.9828736696
"culi_107",57,62,4.31175123651717,64.5429017480731,3.96598842765089,2.41411603713731,0.8384096,6.18848644473929,10.3869944754785,0.597102504324736,0.996,20.5166250265
"culi_108",60,69.75,7.19906857875779,70.7269646009019,4.19451851317872,2.41069525995466,0.83182944,5.94634399742738,11.0595880463134,0.588786611219237,0.9948,22.1278843229
"culi_109",59,67.6666666666667,6.41250655293053,69.584958062875,4.18490664519306,2.44426210610169,0.83659264,6.1196753928342,10.8343492786363,0.59944565555244,0.9948,22.5545035599
"culi_11",43,54,8.46996023234162,60.1944867499239,3.99482805598732,2.25754772377333,0.82055424,5.57271456288519,7.37747558118144,0.600220050603991,0.9952,18.6030324179
"culi_111",57,68.1428571428571,8.22844950589606,70.4658377129203,4.3646760200134,2.18122780487179,0.78140128,4.5745922025527,10.3869944754785,0.539500407087355,0.9948,21.982187111
"culi_113",52,56.5,4.10519178084558,59.1106235671014,3.82665131698134,2.45409371407929,0.8631776,7.30874476693874,9.28718844140158,0.621093986822041,0.9964,19.166549101
"culi_114",74,85.3333333333333,7.29751155663508,90.7369604030889,4.90118945778828,3.09175034718462,0.92980192,14.2454038628977,14.3182869306039,0.718332618172128,0.9932,23.483602715
"culi_115",54,57.9285714285714,3.33645077656458,65.5548630360317,4.23519154963267,2.13925340064593,0.77868192,4.51838367656181,9.72388448071156,0.536290287369907,0.9956,21.5411399449
"culi_116",60,69.75,7.19906857875779,70.1432900283458,4.12405348610395,2.31397533083965,0.81671552,5.4559993295668,11.0595880463134,0.56516379988884,0.9948,21.7022427857
"culi_117",57,68.6666666666667,7.99867965168684,73.0919788808018,4.39450772905081,2.27107969627999,0.82313216,5.65393912200206,10.3869944754785,0.56172418943784,0.994,23.0536885433
"culi_118",60,79.4285714285714,12.6452750863078,83.864682101276,4.63528084162706,2.750503594539,0.90006272,10.0062759362672,11.0595880463134,0.671781173455082,0.9932,21.4562522654
"culi_119",58,71,9.63052780109686,68.7532394366197,4.15121717275962,2.42771744696868,0.8329984,5.9879665823561,10.6101489396024,0.597894722487924,0.9948,22.5971092299
"culi_12",42,43.875,2.25543686293993,45.9645429928984,3.31498415568175,2.21875040955361,0.81996288,5.55441011275897,7.17110024452811,0.593618654441865,0.9976,18.5034928565
"culi_120",60,73.125,9.00849604826925,76.7556513979774,4.52279671709239,2.66852812731156,0.88166368,8.45049093972164,11.0595880463134,0.65175953971575,0.994,22.2838160081
"culi_121",64,92.5,17.9307225401212,82.9107401425707,4.61560360234347,2.25285874888347,0.79994816,4.99870433583615,11.9707863201756,0.541698024139582,0.9924,24.6385264127
"culi_122",61,66.5,4.5090802289689,69.3573256231281,4.1011793345904,2.32758461309989,0.80012768,5.00319403907455,11.2858580264489,0.566201904997628,0.9956,23.2645703485
