"ID"	"culi.1"	"culi.2"	"culi.3"	"culi.4"	"culi.6"	"culi.7"	"culi.8"	"culi.10"	"culi.11"	"culi.12"	"culi.15"	"culi.21"	"culi.25"	"culi.27"	"culi.28"	"culi.29"	"culi.30"	"culi.32"	"culi.36"	"culi.38"	"culi.39"	"culi.42"	"culi.43"	"culi.46"	"culi.48"	"culi.50"	"culi.51"	"culi.52"	"culi.54"	"culi.55"	"culi.58"	"culi.59"	"culi.61"	"culi.62"	"culi.64"	"culi.65"	"culi.68"	"culi.74"	"culi.75"	"culi.77"	"culi.81"	"culi.82"	"culi.83"	"culi.84"	"culi.85"	"culi.86"	"culi.87"	"culi.88"	"culi.89"	"culi.90"	"culi.91"	"culi.92"	"culi.93"	"culi.95"	"culi.96"	"culi.99"	"culi.100"	"culi.103"	"culi.105"	"culi.106"	"culi.107"	"culi.108"	"culi.109"	"culi.111"	"culi.113"	"culi.114"	"culi.115"	"culi.116"	"culi.117"	"culi.118"	"culi.119"	"culi.120"	"culi.121"	"culi.122"	"culi.123"	"culi.125"	"culi.126"	"culi.127"	"culi.128"	"culi.129"	"culi.133"	"culi.134"	"culi.135"	"culi.136"	"culi.137"	"culi.138"	"culi.139"	"culi.140"	"culi.141"	"culi.142"	"culi.143"	"culi.144"	"culi.145"	"culi.146"	"culi.147"	"culi.148"	"culi.150"	"culi.151"	"culi.152"	"culi.153"	"culi.154"	"culi.156"	"culi.157"	"culi.159"	"culi.161"	"culi.172"	"culi.174"	"culi.177"	"culi.178"	"culi.183"	"culi.187"	"culi.192"	"culi.196"	"culi.199"	"culi.200"	"culi.201"	"culi.202"	"culi.416"
"njc97"	0.11	0.04	0	0	0.07	0.11	0.21	0.02	0.09	0.09	0.11	0.04	0	0.07	0.04	0	0.04	0.02	0	0.11	0.04	0.07	0.05	0.02	0.02	0.02	0.02	0.02	0.09	0.04	0.04	0.02	0	0.07	0.09	0.02	0.02	0.07	0	0.05	0.02	0.04	0	0.09	0	0.02	0	0.02	0.05	0.04	0.09	0.02	0.04	0.02	0.04	0.07	0	0.07	0.07	0.11	0.02	0.04	0.11	0.04	0.04	0.02	0.07	0.09	0.07	0.02	0.07	0.04	0	0	0.09	0.04	0.07	0.09	0	0.07	0.02	0.07	0.02	0.18	0.02	0.08	0.02	0.13	0	0.02	0.05	0.04	0.11	0.09	0.02	0.02	0.07	0.07	0.05	0.05	0	0.02	0.04	0.05	0.02	0.31	0.09	0.07	0.04	0.04	0	0	0.05	0	0	0	0	0.07
"njc98"	0.02	0.02	0	0	0.02	0.04	0.01	0	0.04	0	0.02	0.09	0	0.02	0	0	0.07	0.02	0	0.04	0	0	0	0	0.02	0	0.02	0	0	0.02	0.02	0	0	0.04	0	0.04	0	0.04	0	0	0.05	0.04	0	0	0.02	0.02	0	0.02	0.02	0.04	0.02	0	0	0.04	0	0.02	0	0	0.02	0	0.04	0	0	0	0	0.09	0.04	0.02	0.02	0	0	0.04	0	0.04	0.02	0	0	0.09	0.02	0.02	0	0	0	0	0	0.01	0.16	0	0	0.07	0.05	0	0.05	0.02	0.02	0.05	0	0	0.02	0.07	0	0.07	0.04	0	0	0.02	0	0.02	0	0	0.25	0	0	0.14	0	0	0.07	0
"njc99"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.2	0.53	0.02	0.58	0.07	0
"njc100"	9.64	14.24	12.1	14.88	24.4	20.54	13.7	14.55	9.51	10.23	27.53	11.33	25.4	14.51	26.54	18.44	34.62	34.24	16.72	24.89	23.27	16.5	18.45	25.6	17.26	22.01	24.84	22.46	23.33	22.88	21.5	18.54	29.4	22.18	24.85	21.37	24.11	12.41	37.42	14.33	18.23	22.93	27.51	15.29	23.6	38.34	13.35	32.64	30.94	32.67	32.56	24.29	23.57	24.05	24.88	16.77	17.49	25.78	14.05	10.53	16.85	20.78	16.88	23.69	15.04	16.83	21.01	20.09	12.49	15.57	16.55	22.67	24.16	17.1	12.76	8.74	10.94	14.02	17.02	14.29	18.46	14.82	28.41	21.4	27.77	19.03	25.21	18.38	25.81	8.55	14.11	18.83	24.95	9.29	43.4	31.93	19.4	24.58	17.47	27.61	28.3	26.03	17.13	23.15	22.14	22.01	23.49	22.93	9.32	15.94	0.39	8.99	20.06	9.04	18.82	12.16	4.69	14.2
"njc101"	1.32	0.85	0.79	0.34	0.31	2.76	1.5	3.61	1.29	2.19	1.61	2.54	1.61	2.06	1.95	2.77	1.85	1.77	2.25	1.84	1.94	1.5	1.55	1.05	1.56	1.68	3.24	1.23	1.7	2.74	1.34	3.22	0.54	1.62	1.25	1.41	0.98	0.8	0.85	0.88	1.65	1.48	0.2	0.99	3.43	5.95	0.2	3.35	2.75	1.84	1.1	3.57	0.85	1.9	0.94	0.94	1.19	0.45	0.43	1.71	0.72	1.91	1.46	1.1	1.08	4.87	0.69	0.85	0.83	1.71	1.08	1.95	1.1	1.32	0.47	0.42	0.81	1.41	1.61	1.41	2.94	1.17	0.45	1.04	0.09	0.4	2.11	1.21	1.33	3.43	10.38	1.85	0.93	0.16	0.45	0.9	2.28	2.26	2.9	0.59	1.12	0.58	0.49	2.86	1.53	0	0	0	0.02	1.47	0.02	2.93	3.43	0.6	0.02	0.67	0.16	1.2
"njc102"	1.81	1.83	1.35	1.23	1.94	3.72	2.4	3.97	1.85	2.61	3.64	2.83	3.3	2.4	3.79	3.26	3.79	3.45	2.54	3.12	2.63	2.08	2.18	3.11	1.83	2.78	3.85	2.46	2.97	4.33	2.53	3.71	3.72	3.01	3	3.93	3.68	2.2	2.67	2.21	2.87	3.49	3.19	2.18	4.17	7.4	1.53	5.87	5.02	4.74	4.38	5.01	3.45	3.22	2.89	1.99	2.66	3.29	1.37	2.41	1.9	3.14	2.61	2.95	1.93	4.28	2.61	2.48	1.45	2.56	2.18	2.97	3.23	2.81	1.32	1.21	1.43	1.97	2.43	1.82	3.72	2.09	2.74	2.44	2.62	2	2.59	2.33	4.35	2.9	8.13	2.56	2.46	1.22	4.51	3.84	3.33	4.19	2.63	2.42	3.03	2.72	1.69	3.99	2.81	2.06	2.01	1.23	0.83	2.1	0.02	2.15	3.5	4.83	1.05	0.85	0.65	1.91
"njc103"	1.05	0.69	0.56	0.56	0.49	1.49	1.31	3.32	1.69	2.93	2.32	2.63	3.92	4.08	3.01	2.25	2.03	1.77	1.27	2.18	2.12	3.54	3.83	1.93	3.61	3	5.25	2.73	2.41	3.61	3.4	3.13	1.52	3.35	2.46	3.39	2.03	2.92	1.6	2.71	1.99	1.95	2.24	2.47	1.39	3.22	3.04	6.67	4.39	3.91	2.58	6.22	2.87	3.42	1.16	1.34	2.17	2	2.02	4.09	1.68	3.43	2.16	3.02	2.07	3.42	1.5	1.72	2.03	2.45	3.15	2.88	2.49	3.19	1.97	2.17	1.92	2.85	2.21	2.13	5.74	3.45	1.07	2.39	1	2.07	1.54	1.97	1.76	2.09	5.86	2.09	1.04	0.2	1.45	1.13	2.86	2.12	0.88	1.18	2.03	0.96	2.61	4.44	4.18	0.09	0.6	0.43	0.42	2.9	0.32	1.68	3.73	1.04	0.54	1.43	2.11	1.13
"njc104"	0.11	0.02	0.09	0.02	0	0.02	0.01	0	0	0	0	0	0.02	0	0	0	0.07	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.09	0	0.09	0	0	0.11	0.02	0.12	0.05	0.11	0	0.09	0.02	0.07	0	0	0.13	0.05	0.02	0.02	0.07	0.02	0.02	0.07	0	0.09	0	0.34	0.04	0.13	0.11	0.07	0.02	0	0.02	0	0.02	0	0.02	0.45	0	0.02	0	0	0	0.01	9.17	0.02	0.34	0	0	0	0.29	0	0	0.07	0.02	0.77	0.14	0	0	0	0.04	0	0	0	0	0	0	0	0.02	0	0.09	0.07	0	0	0	0.23
"njc105"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.02	0	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.2	0.53	0.02	0.58	0.07	0
"njc106"	0.11	0.02	0.09	0.02	0	0.02	0.01	0	0	0	0	0	0.02	0	0	0	0.07	0	0	0	0	0.02	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.09	0	0.09	0	0	0.11	0.02	0.12	0.05	0.11	0	0.09	0.02	0.07	0	0	0.13	0.05	0.02	0.02	0.07	0.02	0.02	0.07	0	0.09	0	0.34	0.04	0.13	0.11	0.07	0.02	0	0.02	0	0.02	0	0.02	0.45	0	0.02	0	0	0	0.01	9.17	0.02	0.34	0	0	0	0.29	0	0	0.07	0.02	0.77	0.14	0	0	0	0.04	0	0	0	0	0	0	0	0.02	0	0.09	0.07	0	0	0	0.23
