"Taxa"	"culi_1"	"warble_1"	"culi_2"	"warble_2"	"culi_3"	"warble_3"	"culi_4"	"warble_4"	"culi_6"	"warble_6"	"culi_7"	"warble_7"	"culi_8"	"warble_9"	"culi_10"	"warble_10"	"culi_11"	"culi_12"	"warble_12"	"warble_13"	"warble_14"	"culi_15"	"warble_15"	"culi_16"	"warble_18"	"culi_19"	"warble_19"	"culi_20"	"warble_20"	"culi_21"	"culi_24"	"culi_25"	"warble_25"	"culi_27"	"culi_28"	"culi_29"	"culi_30"	"culi_32"	"warble_32"	"warble_33"	"culi_36"	"culi_38"	"culi_39"	"culi_42"	"warble_42"	"culi_43"	"warble_43"	"culi_44"	"warble_45"	"culi_46"	"culi_47"	"culi_48"	"warble_49"	"culi_50"	"warble_50"	"culi_51"	"culi_52"	"warble_52"	"warble_53"	"culi_54"	"warble_54"	"culi_55"	"warble_57"	"culi_58"	"warble_58"	"culi_59"	"culi_60"	"warble_60"	"culi_61"	"warble_61"	"culi_62"	"culi_63"	"warble_63"	"culi_64"	"warble_64"	"culi_65"	"warble_67"	"culi_68"	"warble_68"	"warble_69"	"culi_73"	"warble_73"	"culi_74"	"culi_75"	"warble_75"	"culi_76"	"culi_77"	"warble_80"	"culi_81"	"culi_82"	"culi_83"	"warble_83"	"culi_84"	"warble_84"	"culi_85"	"warble_85"	"culi_86"	"culi_87"	"warble_87"	"culi_88"	"warble_88"	"culi_89"	"warble_89"	"culi_90"	"warble_90"	"culi_91"	"culi_92"	"culi_93"	"warble_93"	"warble_94"	"culi_95"	"warble_95"	"culi_96"	"warble_96"	"warble_97"	"culi_99"	"culi_100"	"warble_100"	"warble_101"	"culi_102"	"culi_103"	"warble_103"	"warble_104"	"culi_105"	"warble_105"	"culi_106"	"warble_106"	"culi_107"	"warble_107"	"culi_108"	"warble_108"	"culi_109"	"warble_109"	"warble_110"	"culi_111"	"warble_111"	"warble_112"	"culi_113"	"culi_114"	"warble_114"	"culi_115"	"culi_116"	"culi_117"	"warble_117"	"culi_118"	"warble_118"	"culi_119"	"warble_119"	"culi_120"	"warble_120"	"culi_121"	"warble_121"	"culi_122"	"warble_122"	"culi_123"	"warble_123"	"culi_124"	"culi_125"	"warble_125"	"culi_126"	"warble_126"	"culi_127"	"warble_127"	"culi_128"	"culi_129"	"culi_130"	"culi_131"	"culi_133"	"warble_133"	"culi_134"	"culi_135"	"warble_135"	"culi_136"	"warble_136"	"culi_137"	"warble_137"	"culi_138"	"culi_139"	"warble_139"	"culi_140"	"warble_140"	"culi_141"	"warble_141"	"culi_142"	"warble_142"	"culi_143"	"culi_144"	"warble_144"	"culi_145"	"warble_145"	"culi_146"	"culi_147"	"warble_147"	"culi_148"	"warble_148"	"culi_149"	"warble_149"	"culi_150"	"warble_150"	"culi_151"	"warble_151"	"culi_152"	"warble_152"	"culi_153"	"warble_153"	"culi_154"	"warble_154"	"culi_156"	"culi_157"	"warble_157"	"warble_158"	"culi_159"	"warble_159"	"culi_160"	"culi_161"	"warble_161"	"culi_162"	"warble_162"	"culi_163"	"culi_164"	"warble_164"	"culi_165"	"culi_168"	"culi_170"	"warble_170"	"warble_171"	"culi_172"	"warble_173"	"culi_174"	"warble_174"	"culi_177"	"warble_177"	"culi_178"	"warble_178"	"warble_180"	"warble_181"	"culi_182"	"culi_183"	"warble_184"	"culi_185"	"warble_185"	"culi_187"	"warble_187"	"warble_188"	"warble_189"	"culi_191"	"warble_191"	"culi_192"	"warble_192"	"culi_196"	"warble_196"	"warble_197"	"culi_198"	"culi_199"	"culi_200"	"warble_200"	"culi_201"	"culi_202"	"warble_202"	"warble_221"	"warble_222"	"warble_224"	"warble_225"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_232"	"warble_234"	"warble_236"	"warble_238"	"warble_239"	"warble_240"	"warble_243"	"warble_245"	"warble_247"	"warble_248"	"warble_250"	"warble_251"	"warble_257"	"warble_258"	"warble_262"	"warble_263"	"warble_265"	"warble_269"	"warble_272"	"warble_280"	"warble_282"	"warble_283"	"warble_286"	"warble_289"	"warble_291"	"warble_292"	"warble_293"	"warble_294"	"warble_296"	"warble_302"	"warble_304"	"warble_305"	"warble_306"	"warble_307"	"warble_308"	"warble_309"	"warble_310"	"warble_311"	"warble_312"	"warble_315"	"warble_317"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"	"culi_416"
"k__Bacteria|p__Firmicutes"	0.518839613204401	0.712045378712045	0.629333333333333	0.666666666666667	0.394798266088696	0.716049382716049	0.604333333333333	0.639333333333333	0.707	0.866666666666667	0.646	0.76450967311541	0.574574574574575	0.746662216288384	0.567189063021007	0.68324432576769	0.584	0.446333333333333	0.810603534511504	0.400468384074941	0.727151434289526	0.652884294764922	0.656	0.640093395597065	0.796531020680454	0.542962219993313	0.638795986622074	0.434126085315213	0.574666666666667	0.554518172724241	0.739304812834225	0.683333333333333	0.46312979646313	0.622622622622623	0.707	0.714333333333333	0.800333333333333	0.756675567423231	0.79432387312187	0.704333333333333	0.684561520506836	0.574191397132377	0.657666666666667	0.471157052350784	0.521173724574858	0.502500833611204	0.762174783188793	0.622162883845127	0.777703604806409	0.608274941608275	0.605605605605606	0.506675567423231	0.606737825216811	0.638333333333333	0.7368245496998	0.558666666666667	0.675225075025008	0.710666666666667	0.751169004676019	0.691127418278853	0.791263754584862	0.628209403134378	0.802	0.553404539385848	0.726150767178119	0.674224741580527	0.110506630397824	0.584723148765844	0.803	0.763763763763764	0.628590514362057	0.71581054036024	0.785333333333333	0.648296593186373	0.732977303070761	0.625	0.705076820307281	0.715	0.586390927284857	0.605403602401601	0.464345497154335	0.714333333333333	0.502666666666667	0.725575191730577	0.625834445927904	0.616872290763588	0.44418449197861	0.610758436351487	0.598798397863818	0.663333333333333	0.640306973640307	0.56	0.540540540540541	0.759666666666667	0.756089422756089	0.495663775850567	0.692333333333333	0.508508508508508	0.647313980647314	0.511	0.791124457791125	0.647196261682243	0.664221407135712	0.629666666666667	0.62328995662329	0.648432288192128	0.512504168056019	0.653102068045364	0.477143810477144	0.679333333333333	0.59606404269513	0.832777036048064	0.845409015025042	0.677666666666667	0.648314981648315	0.668779186124083	0.653551183727909	0.714238079359787	0.636666666666667	0.668001334668001	0.678797996661102	0.620781824256599	0.822666666666667	0.596865621873958	0.614023372287145	0.433333333333333	0.652318985652319	0.654666666666667	0.649333333333333	0.59353117705902	0.715333333333333	0.539359573048699	0.634878292764255	0.718	0.679666666666667	0.602666666666667	0.615871957319106	0.52105614973262	0.432576769025367	0.507835945315105	0.683032732130929	0.622333333333333	0.492830943647883	0.672114743162108	0.474649766511007	0.683455637091394	0.487658438959306	0.527054108216433	0.545	0.667890520694259	0.690666666666667	0.457190635451505	0.52368245496998	0.736333333333333	0.327775925308436	0.571857285761921	0.730217028380634	0.505	0.682	0.628418945963976	0.509164969450102	0.460100166944908	0.428619756427605	0.684666666666667	0.671223741247082	0.0113065326633166	0.694584594685503	0.594125500667557	0.720455306327419	0.467445742904841	0.79026342114038	0.628474576271186	0.527018012008005	0.72958500669344	0.773	0.719785738198862	0.626333333333333	0.461152042866711	0.737	0.525683789192795	0.602936269602936	0.672897196261682	0.616154873164219	0.71763131482101	0.00976138828633406	0.538025350233489	0.673333333333333	0.747498332221481	0.575493806494811	0.703616878767582	0.70170739872782	0.737158105403602	0.559157754010695	0.798532354903269	0.686895631877292	0.5137861466039	0.682136894824708	0.627627627627628	0.729396062729396	0.499332888592395	0.693897965988663	0.40374958151992	0.724022719679252	0.51252923488139	0.733622994652406	0.680453635757171	0.627875958652884	0.855333333333333	0.572666666666667	0.554996646545942	0.654424040066778	0.556928213689482	0.701801200800534	0.622207402467489	0.563648513197461	0.686562187395799	0.351478494623656	0.474638898219684	0.475376884422111	0.714428857715431	0.569328433010358	0.336339345357381	0.760586862287429	0.727181544633902	0.529765886287625	0.768768768768769	0.708514190317195	0.592988313856427	0.599333333333333	0.533892617449664	0.682560853617873	0.688021354688021	0.555333333333333	0.824673147837747	0.782419786096257	0.731373204143	0.644096064042695	0.56971314209473	0.489986648865154	0.36293306424487	0.665110073382255	0.071571906354515	0.733733733733734	0.472776462631045	0.799866577718479	0.169811320754717	0.736524941412789	0.808168731168396	0.223002340354397	0.544451871657754	0.547770700636943	0.741569282136895	0.528308207705193	0.449314151890264	0.596128170894526	0.720735785953177	0.374833110814419	0.753351206434316	0.549432197728791	0.777184789859907	0.806947227788911	0.774774774774775	0.487550471063257	0.654102735156771	0.700600801068091	0.579333333333333	0.677570093457944	0.507851653859004	0.659189822564446	0.642499164717675	0.871571906354515	0.817846360281785	0.0737982396750169	0.61850486087831	0.775660314276162	0.154753877275792	0.715143428952635	0.662775183455637	0.0677966101694915	0.544756179024716	0.70822192513369	0.764843228819213	0.796457219251337	0.748328877005348	0.866333333333333	0.665547347212895	0.803136469803136	0.658096828046745	0.67256932843301	0.597716588314305	0.573150318044861	0.787170063481457	0.785595198399466	0.734134936539746	0.590984974958264	0.892117568470274	0.770130304042767	0.704187604690117	0.777369826435247	0.880093520374082	0.749748068525361	0.727727727727728	0.924181696726787	0.757616790792146	0.769953051643192	0.906417112299465	0.659666666666667	0.67434869739479	0.664218958611482	0.795925183700735	0.73891297099033	0.731527917084587	0.788911155644623	0.440106773440107
"k__Bacteria|p__Bacteroidota"	0.253084361453818	0.186186186186186	0.183	0.256333333333333	0.220073357785929	0.17650984317651	0.225666666666667	0.277666666666667	0.157	0.0863333333333333	0.242666666666667	0.176117411607738	0.221888555221889	0.195260347129506	0.352784261420473	0.22630173564753	0.301333333333333	0.316	0.140046682227409	0.170291067246571	0.222815210140093	0.230410136712237	0.247333333333333	0.267845230153436	0.153435623749166	0.295887662988967	0.20066889632107	0.234805587013968	0.368666666666667	0.318106035345115	0.188836898395722	0.259	0.324657991324658	0.251918585251919	0.2	0.225666666666667	0.123666666666667	0.148865153538051	0.156594323873122	0.181	0.222407469156385	0.297099033011004	0.229333333333333	0.430143381127042	0.320440146715572	0.369456485495165	0.141427618412275	0.165220293724967	0.153871829105474	0.300633967300634	0.30296963630297	0.384512683578104	0.197464976651101	0.255666666666667	0.208138759172782	0.374	0.252750916972324	0.196333333333333	0.20374081496326	0.244162775183456	0.137379126375458	0.294431477159053	0.125333333333333	0.352803738317757	0.231154102735157	0.205735245081694	0.0652839170350221	0.265176784523015	0.135666666666667	0.174841508174842	0.284903139612558	0.207805203468979	0.123333333333333	0.283233132932532	0.180907877169559	0.301	0.212090848363393	0.208	0.219479653102068	0.246164109406271	0.446936725811851	0.184	0.383666666666667	0.228742914304768	0.272696929238985	0.283094364788263	0.256016042780749	0.320748412963582	0.227970627503338	0.219	0.241908575241909	0.313333333333333	0.298298298298298	0.147333333333333	0.193193193193193	0.423949299533022	0.273666666666667	0.399733066399733	0.292292292292292	0.383333333333333	0.17017017017017	0.288384512683578	0.262420806935645	0.293	0.305972639305973	0.259506337558372	0.388796265421807	0.26584389593062	0.335335335335335	0.247	0.262174783188793	0.13785046728972	0.103839732888147	0.263	0.265265265265265	0.204469646430954	0.269089696565522	0.225075025008336	0.277	0.179846513179847	0.19432387312187	0.244570664884731	0.101666666666667	0.26108702900967	0.323539232053422	0.358333333333333	0.292292292292292	0.237	0.179333333333333	0.303434478159386	0.219666666666667	0.310873915943963	0.266088696232077	0.227	0.255	0.274333333333333	0.263754584861621	0.260695187165775	0.242656875834446	0.334444814938313	0.249832999331997	0.260666666666667	0.279093031010337	0.229819879919947	0.262841894596398	0.196130753835891	0.331220813875917	0.194054776219105	0.281	0.226635514018692	0.207	0.273913043478261	0.364242828552368	0.190666666666667	0.360120040013338	0.217072357452484	0.179298831385643	0.355	0.235666666666667	0.247498332221481	0.156822810590631	0.321202003338898	0.0740866035182679	0.225666666666667	0.223741247082361	0.0690954773869347	0.145644130507904	0.306742323097463	0.124874455975896	0.31652754590985	0.130376792264088	0.176610169491525	0.283855903935957	0.165327978580991	0.124	0.138600602611316	0.236666666666667	0.192230408573342	0.214	0.251167444963309	0.319652986319653	0.135514018691589	0.305073431241656	0.225828036132486	0.00325379609544469	0.306204136090727	0.263333333333333	0.19346230820547	0.230666220287914	0.182183523107837	0.0408436558419819	0.191794529686458	0.377339572192513	0.0913942628418946	0.170723574524842	0.224277067921991	0.27245409015025	0.28661995328662	0.158158158158158	0.235823882588392	0.164054684894965	0.177435554067626	0.170063481456732	0.197460741730705	0.213235294117647	0.172781854569713	0.259753251083695	0.0913333333333333	0.36	0.348759221998659	0.298163606010017	0.34991652754591	0.249166110740494	0.241413804601534	0.36986301369863	0.239413137712571	0.422043010752688	0.22707423580786	0.239195979899497	0.223446893787575	0.311727363848981	0.397461589846359	0.18106035345115	0.153794717485791	0.393979933110368	0.190523857190524	0.054424040066778	0.2330550918197	0.254333333333333	0.345302013422819	0.173724574858286	0.217550884217551	0.196666666666667	0.120348642306403	0.152072192513369	0.190444370197127	0.246497665110073	0.344896597731821	0.364819759679573	0.0914900773629331	0.216144096064043	0.0020066889632107	0.232232232232232	0.289144403111261	0.153435623749166	0.00101078167115903	0.13525276196853	0.144291931704051	0.0127047810096958	0.396390374331551	0.358028830036876	0.159599332220367	0.0797319932998325	0.168952827032452	0.267356475300401	0.177591973244147	0.430574098798398	0.0630026809651475	0.375083500334001	0.158105403602402	0.137942551770207	0.168835502168835	0.0770524899057873	0.285190126751167	0.218958611481976	0.347333333333333	0.237316421895861	0.426662211827598	0.228322731837965	0.273304376879385	0.0501672240802676	0.103991949010399	0.003385240352065	0.209855849815622	0.130391173520562	0.0313553607552259	0.205136757838559	0.217478318879253	0.00983050847457627	0.108216432865731	0.211229946524064	0.150767178118746	0.152406417112299	0.11096256684492	0.073	0.206178643384822	0.144477811144478	0.280133555926544	0.238556632141664	0.321356615177972	0.370605959156344	0.0711660541262947	0.180393464488163	0.214094856379426	0.358597662771285	0.0651302605210421	0.17641162712997	0.172529313232831	0.156542056074766	0.072812291249165	0.0843130668458179	0.22022022022022	0.0517702070808283	0.112728503723764	0.152246814218645	0.0334224598930481	0.250333333333333	0.236472945891784	0.233644859813084	0.110888443553774	0.190396798932978	0.122367101303912	0.117234468937876	0.208541875208542
"k__Bacteria|p__Proteobacteria"	0.223741247082361	0.0977644310977644	0.184333333333333	0.0753333333333333	0.384461487162387	0.0967634300967634	0.169333333333333	0.08	0.134	0.044	0.0996666666666667	0.0466977985323549	0.201201201201201	0.0550734312416555	0.0673557852617539	0.0771028037383178	0.112333333333333	0.231666666666667	0.0470156718906302	0.420541987286718	0.0483655770513676	0.111703901300433	0.0886666666666667	0.0880587058038692	0.0476984656437625	0.147442326980943	0.157190635451505	0.169875424688562	0.0493333333333333	0.123707902634211	0.0608288770053476	0.0456666666666667	0.208875542208876	0.121454788121455	0.0906666666666667	0.058	0.0696666666666667	0.0837783711615487	0.0397328881469115	0.111	0.0920306768922974	0.123374458152718	0.105	0.0963654551517172	0.146048682894298	0.126375458486162	0.0907271514342895	0.203604806408545	0.0667556742323097	0.0887554220887554	0.0800800800800801	0.100467289719626	0.189126084056037	0.101	0.0500333555703803	0.0623333333333333	0.0680226742247416	0.09	0.0434201736806947	0.0607071380920614	0.0696898966322107	0.0723574524841614	0.0653333333333333	0.0894526034712951	0.0393595730486991	0.115038346115372	0.823529411764706	0.145763842561708	0.054	0.0600600600600601	0.0708082832331329	0.0733822548365577	0.081	0.0671342685370741	0.0814419225634179	0.0703333333333333	0.0791583166332665	0.0756666666666667	0.193795863909273	0.145096731154103	0.0820220957482424	0.09	0.110666666666667	0.0426808936312104	0.0874499332443258	0.0976992330776926	0.295454545454545	0.0628132308720347	0.169559412550067	0.113333333333333	0.112112112112112	0.122	0.157490824157491	0.0903333333333333	0.048048048048048	0.0763842561707805	0.0313333333333333	0.0854187520854188	0.0560560560560561	0.101	0.032032032032032	0.0514018691588785	0.0706902300766922	0.0743333333333333	0.0590590590590591	0.0820547031354236	0.0763587862620874	0.0790527018012008	0.150817484150817	0.067	0.138759172781855	0.0233644859813084	0.0410684474123539	0.0526666666666667	0.0807474140807474	0.120747164776518	0.0743581193731244	0.0540180060020007	0.0763333333333333	0.147480814147481	0.119198664440735	0.131306381556966	0.0733333333333333	0.140380126708903	0.0597662771285476	0.206333333333333	0.053053053053053	0.103666666666667	0.167666666666667	0.0960320106702234	0.0603333333333333	0.145763842561708	0.0950316772257419	0.0526666666666667	0.055	0.118	0.116705568522841	0.216911764705882	0.319425901201602	0.15405135045015	0.06312625250501	0.115666666666667	0.220406802267422	0.0963975983989326	0.25917278185457	0.115076717811875	0.176784523015344	0.276553106212425	0.170333333333333	0.101802403204272	0.088	0.261872909698997	0.111074049366244	0.065	0.309436478826275	0.207735911970657	0.0871452420701169	0.137333333333333	0.0786666666666667	0.115076717811875	0.325865580448065	0.21669449081803	0.492895805142084	0.083	0.0990330110036679	0.434673366834171	0.150016818028927	0.0944592790387183	0.113826581854704	0.209348914858097	0.0743581193731244	0.17728813559322	0.18679119412942	0.0960508701472557	0.101666666666667	0.124874455975896	0.132	0.342598794373744	0.0453333333333333	0.219146097398266	0.0663997330663997	0.188584779706275	0.0670894526034713	0.0508531281365005	0.490238611713666	0.114076050700467	0.0613333333333333	0.0543695797198132	0.192500836960161	0.0934360348292029	0.24774020756612	0.0597064709806538	0.0357620320855615	0.104736490993996	0.136378792930977	0.223604572965703	0.0420701168614357	0.0790790790790791	0.0937604270937604	0.25783855903936	0.124374791597199	0.418145296283897	0.10123621784163	0.278316070831941	0.0427807486631016	0.143095396931288	0.107369123041014	0.0413333333333333	0.0626666666666667	0.0503018108651912	0.0397328881469115	0.0751252086811352	0.042361574382922	0.131710570190063	0.0441029067824925	0.0720240080026676	0.225470430107527	0.278804165267047	0.283752093802345	0.0584502338009352	0.114934847978617	0.264863059452238	0.0536845615205068	0.0839184219324641	0.0648829431438127	0.0293626960293627	0.231719532554257	0.155926544240401	0.14	0.101006711409396	0.140380126708903	0.0914247580914248	0.242	0.0402279584311096	0.0508021390374332	0.0614767791513532	0.104736490993996	0.0813875917278186	0.132843791722296	0.531786074672048	0.0803869246164109	0.925418060200669	0.0283616950283617	0.233344606019614	0.0410273515677118	0.823787061994609	0.0860395045195849	0.0321392701707399	0.759277833500501	0.0501336898395722	0.0881662755615153	0.0964941569282137	0.379899497487437	0.378387420541987	0.134512683578104	0.0946488294314381	0.186582109479306	0.125670241286863	0.0564462257849031	0.0587058038692462	0.0494321977287909	0.053053053053053	0.431022880215343	0.0587058038692462	0.0794392523364486	0.0586666666666667	0.0744325767690254	0.0601403274306716	0.110813525276197	0.0805212161710658	0.0722408026755853	0.0717879906071788	0.921462423832092	0.120348642306403	0.0638582413908392	0.813216453135536	0.0780520346897932	0.118745830553702	0.919661016949153	0.344689378757515	0.0782085561497326	0.0797198132088059	0.0467914438502674	0.134692513368984	0.0583333333333333	0.127266621893889	0.0493827160493827	0.0537562604340568	0.0741730704978283	0.0695097380792478	0.0535654502845665	0.0698296024056131	0.0320106702234078	0.0440881763527054	0.0343906510851419	0.0357381429525718	0.0484463748747077	0.116247906197655	0.0634178905206943	0.0464261857047428	0.160900235136043	0.0463797130463797	0.021376085504342	0.123899796885579	0.074111334674715	0.0197192513368984	0.0796666666666667	0.0841683366733467	0.078437917222964	0.0915163660654643	0.0670223407802601	0.138415245737212	0.0878423513694055	0.348682015348682
"k__Bacteria|p__Actinobacteria"	0.00400133377792598	0.00266933600266934	0.00266666666666667	0.001	0	0.01001001001001	0	0.00266666666666667	0.00166666666666667	0.00233333333333333	0.011	0.00700466977985324	0.002002002002002	0.00233644859813084	0.0126708902967656	0.00834445927903872	0.002	0.005	0.00133377792597533	0.00702576112412178	0.00133422281521014	0.00366788929643214	0.00433333333333333	0.00366911274182789	0.00166777851901268	0.0123704446673353	0.00267558528428094	0.00264250660626652	0.00666666666666667	0.00266755585195065	0.00701871657754011	0.009	0.001001001001001	0.002002002002002	0.002	0.001	0.00633333333333333	0.0106809078771696	0.00233722871452421	0.002	0.000666888962987663	0.00333444481493831	0.00766666666666667	0.00133377792597533	0.0116705568522841	0.00166722240746916	0.00433622414943296	0.00500667556742323	0.00133511348464619	0.00133466800133467	0.00800800800800801	0.00400534045393859	0.00300200133422282	0.00366666666666667	0.00200133422281521	0.00333333333333333	0.00166722240746916	0.00166666666666667	0.00100200400801603	0.00400266844563042	0.00133377792597533	0.00466822274091364	0.005	0.00433911882510013	0.00133422281521014	0.00100033344448149	0.000680040802448147	0.00233488992661775	0.007	0.000667334000667334	0.0153640614562458	0.00233488992661775	0.00566666666666667	0.00133600534402138	0.00100133511348465	0.00333333333333333	0.00367401469605878	0.001	0	0.00133422281521014	0.00435219283562102	0.005	0.00166666666666667	0.00100033344448149	0.0126835781041389	0.00200066688896299	0.00401069518716578	0.000334112930170398	0.00333778371161549	0.00433333333333333	0.00533867200533867	0.00433333333333333	0.00266933600266934	0.002	0.00233566900233567	0.00300200133422282	0.00166666666666667	0.005005005005005	0.002002002002002	0.00433333333333333	0.004004004004004	0.0130173564753004	0.00133377792597533	0.003	0.0106773440106773	0.00933955970647098	0.0220073357785929	0.00200133422281521	0.0103436770103437	0.002	0.00266844563042028	0.00367156208277704	0.00901502504173623	0.004	0.002002002002002	0.00600400266844563	0.00300100033344448	0.00500166722240747	0.00433333333333333	0.00467133800467134	0.00601001669449082	0.00233879051119278	0.00133333333333333	0.00100033344448149	0.00200333889816361	0.00166666666666667	0.002002002002002	0.004	0.00233333333333333	0.00666888962987663	0.00466666666666667	0.00333555703802535	0.00200066688896299	0.00133333333333333	0.004	0.003	0.00100033344448149	0.00100267379679144	0.00534045393858478	0.00233411137045682	0.0030060120240481	0.001	0.00666888962987663	0.000333555703802535	0.00300200133422282	0.00233488992661775	0.00266844563042028	0.00100200400801603	0.00166666666666667	0.00300400534045394	0.0133333333333333	0.00668896321070234	0.00066711140760507	0.00766666666666667	0.00166722240746916	0.00166722240746916	0.00333889816360601	0.00166666666666667	0.00333333333333333	0.00867244829886591	0.00441276306856755	0.001669449081803	0.0030446549391069	0.00666666666666667	0.00266755585195065	0	0.00941809619912546	0.00367156208277704	0.0271175092065618	0.00467445742904841	0.00400133377792598	0.00711864406779661	0.00166777851901268	0.00435073627844712	0.001	0.00736524941412789	0.00433333333333333	0.00334896182183523	0.00333333333333333	0.00333555703802535	0.005005005005005	0.00166889185580774	0.00467289719626168	0.00301104048176648	0.00108459869848156	0.0346897931954636	0.00133333333333333	0.00300200133422282	0.00133913625711416	0.0174146014735432	0.00970873786407767	0.0103402268178786	0.0197192513368984	0.00500333555703803	0.00500166722240747	0.0376597175521184	0.001669449081803	0.00600600600600601	0.0176843510176844	0.0066711140760507	0.0150050016672224	0.000669568128557081	0.00367524223187437	0.0116939525559639	0.00568181818181818	0.00100066711140761	0.00400133377792598	0.0113333333333333	0.002	0.0429242119382964	0.00367278797996661	0.0180300500834725	0.00533689126084056	0.00266755585195065	0.0223855663214166	0.00133377792597533	0.000672043010752688	0.0191467920725563	0.00100502512562814	0.00267201068804275	0.00367524223187437	0.00100200400801603	0.00466822274091364	0.0300902708124373	0.00434782608695652	0.00533867200533867	0.00300500834724541	0.0113522537562604	0.00333333333333333	0.0174496644295302	0.00166722240746916	0.002002002002002	0.00166666666666667	0.0124036205162588	0.00868983957219251	0.0130304042766455	0.00366911274182789	0.00233488992661775	0.0113484646194927	0.0067272115708039	0.0343562374916611	0.000334448160535117	0.002002002002002	0.0013527223537369	0.00333555703802535	0.00134770889487871	0.0364914630063609	0.00970873786407767	0.00334336342360415	0.00334224598930481	0.000670465973851827	0.001669449081803	0.0100502512562814	0.00234192037470726	0.00133511348464619	0.00501672240802676	0.000667556742323097	0.0573056300268096	0.0150300601202405	0.00233488992661775	0.00400801603206413	0.00233566900233567	0.00269179004037685	0.000333555703802535	0.000333778371161549	0.0103333333333333	0.00200267022696929	0.00200467758102239	0.00033478406427854	0.00133645172068159	0.00167224080267559	0.00335457900033546	0.001354096140826	0.00201139792155548	0.0023403543965229	0.000337154416722859	0.00166777851901268	0.000333555703802535	0.000338983050847458	0.00167000668002672	0.00167112299465241	0.00100066711140761	0.00233957219251337	0.00467914438502674	0.001	0.000335795836131632	0.002002002002002	0.0013355592654424	0.0106916137654527	0.00973807924781733	0.00133913625711416	0.0678249248245907	0.00133377792597533	0.00567802271209085	0.0120200333889816	0.00668002672010688	0.00300701637153358	0.0067001675041876	0.000667556742323097	0.000334001336005344	0.00302317769566678	0.002002002002002	0.000668002672010688	0.0003385240352065	0.0016767270288397	0.0397727272727273	0.00266666666666667	0.00434201736806947	0.00300400534045394	0.00133600534402138	0.000666888962987663	0.00568371782012705	0.00467601870407482	0.00233566900233567
"k__Bacteria|p__Gemmatimonadetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126884422110553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.209327548806941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
