"Taxa"	"charles41"	"charles46"	"charles49"	"charles50"	"charles51"	"charles55"	"charles57"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.642887838418565	0.298556524224668	0.046281702249606	0.117369549678342	0.245207439198856	0.250607229604229	0.726466380543634
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.000429737859905458	0.0508789481206231	0.00644791517409371	0.382701929949964	0.207868383404864	0.350192884697814	0.0103004291845494
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.0322303394929093	0.235243675861083	0.0419830921335435	0.098927805575411	0.18412017167382	0.153450492927561	0.0693848354792561
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.0226328606216874	0.164499071030442	0.154893251182118	0.219299499642602	0.143776824034335	0.0392913273324761	0.00572246065808298
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.00902449505801461	0.000571673574389024	0.511821177819172	0.0993566833452466	0.0443490701001431	0.0024289184169167	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0584443489471422	0.0601686437044448	0.0692076228686058	0.0588992137240886	0.113304721030043	0.0785826546649521	0.0301859799713877
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0584443489471422	0.0100042875518079	0.00229259206189999	0.0150107219442459	0.0316165951359084	0.00957279611373053	0.0964234620886981
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00143245953301819	0.176932971273403	0.00200601805416249	0.00471765546819157	0.0103004291845494	0.00928704100585798	0.00586552217453505
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.169459962756052	0.00100042875518079	0.00358217509671873	0.00114367405289492	0.00586552217453505	0.00700100014287755	0.00257510729613734
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000286491906603638	0.000142918393597256	0.16033815732913	0.00114367405289492	0.00400572246065808	0.00357193884840692	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00200544334622547	0.00200085751036158	0.000573148015474996	0.00142959256611866	0.00901287553648069	0.095585083583369	0.00429184549356223
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0.00272167311273457	0	0.000143287003868749	0	0	0	0.0453505007153076
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0	0	0	0	0	0	0.00343347639484979
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0	0	0	0.000286123032904149	0.00042863266180883	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0.000286574007737498	0	0.000143061516452074	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0.000143287003868749	0	0.000143061516452074	0	0
