"ID"	"Function"
"fpt1"	"4-Aminobutyrate (GABA) -- Production"
"fpt2"	"7-Oxodeoxycholic acid -- Production"
"fpt3"	"7-Oxolithocholic acid -- Production"
"fpt4"	"Acetate -- Consumption"
"fpt5"	"Acetate -- Production"
"fpt6"	"Acetone -- Production"
"fpt7"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt8"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"fpt9"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt10"	"Arabinogalactan -- Macromolecule"
"fpt11"	"beta-Muricholic acid -- Production"
"fpt12"	"Biotin (Vitamin B7) -- Production"
"fpt13"	"Butylamine -- Production"
"fpt14"	"Butyrate -- Production"
"fpt15"	"Cadaverine -- Production"
"fpt16"	"Cellobiose -- Consumption"
"fpt17"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt18"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt19"	"Cholic acid (Cholate) -- Consumption"
"fpt20"	"Cholic acid (Cholate) -- Production"
"fpt21"	"Choline -- Consumption"
"fpt22"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt23"	"CO2 -- Consumption"
"fpt24"	"CO2 -- Production"
"fpt25"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt26"	"D-Fructose (Fructose) -- Consumption"
"fpt27"	"D-Fructuronate -- Consumption"
"fpt28"	"D-Galactose -- Consumption"
"fpt29"	"D-Galacturonate -- Consumption"
"fpt30"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"fpt31"	"D-Glucosamine (Glucosamine) -- Consumption"
"fpt32"	"D-Glucose (Glucose) -- Consumption"
"fpt33"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"fpt34"	"D-Mannitol (Mannitol) -- Consumption"
"fpt35"	"D-Mannose (Mannose) -- Consumption"
"fpt36"	"D-Psicose -- Consumption"
"fpt37"	"D-Ribose (Ribose) -- Consumption"
"fpt38"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"fpt39"	"D-Tagaturonate -- Consumption"
"fpt40"	"D-Xylose (Xylose) -- Consumption"
"fpt41"	"Deoxycholic acid -- Production"
"fpt42"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"fpt43"	"Dimethylamine -- Production"
"fpt44"	"Ethanol -- Production"
"fpt45"	"Folic acid (Folate, Vitamin B9) -- Production"
"fpt46"	"Formaldehyde -- Production"
"fpt47"	"Formate -- Consumption"
"fpt48"	"Formate -- Production"
"fpt49"	"FOS (Fructooligosaccharide) -- Consumption"
"fpt50"	"Fructan (Inulin, Levan) -- Macromolecule"
"fpt51"	"Fumarate -- Consumption"
"fpt52"	"Fumarate -- Production"
"fpt53"	"Galactan -- Macromolecule"
"fpt54"	"Glycerol -- Consumption"
"fpt55"	"H2 (Hydrogen) -- Consumption"
"fpt56"	"H2 (Hydrogen) -- Production"
"fpt57"	"H2O2 -- Production"
"fpt58"	"H2S (HS-) -- Production"
"fpt59"	"Hemicellulose, not specified -- Macromolecule"
"fpt60"	"Hippurate -- Consumption"
"fpt61"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"fpt62"	"Indole-3-acetate (Indoleacetate) -- Production"
"fpt63"	"Indole -- Production"
"fpt64"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"fpt65"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"fpt66"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"fpt67"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"fpt68"	"L-Arabitol (L-Arabinitol, D-Arabitol) -- Consumption"
"fpt69"	"L-Arginine (Arginine) -- Consumption"
"fpt70"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"fpt71"	"L-Fucose -- Consumption"
"fpt72"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"fpt73"	"L-Idonate -- Consumption"
"fpt74"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
"fpt75"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"
"fpt76"	"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate) -- Consumption"
"fpt77"	"L-Methionine (D-Methionine) -- Consumption"
"fpt78"	"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"
"fpt79"	"L-Serine (Serine, D-Serine) -- Consumption"
"fpt80"	"L-Threonine (Threonine) -- Production"
"fpt81"	"Lactose -- Consumption"
"fpt82"	"Linoleic acid (Omega-6 fatty acid) -- Consumption"
"fpt83"	"Lithocholic acid -- Production"
"fpt84"	"Maltose -- Consumption"
"fpt85"	"Mannan -- Macromolecule"
"fpt86"	"Melibiose -- Consumption"
"fpt87"	"Menaquinone (Vitamin K2) -- Production"
"fpt88"	"Methanol -- Production"
"fpt89"	"Mucin (Mucus Glycoprotein) -- Macromolecule"
"fpt90"	"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Consumption"
"fpt91"	"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Production"
"fpt92"	"N-Acetylgalactosamine (N-Acetyl-D-galactosamine) -- Consumption"
"fpt93"	"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid) -- Consumption"
"fpt94"	"NH3 (Ammonia, NH4+, Ammonium) -- Consumption"
