"ID"	"Function"
"fpt1"	"[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol) -- Production"
"fpt2"	"4-Aminobutyrate (GABA) -- Production"
"fpt3"	"7-Oxodeoxycholic acid -- Production"
"fpt4"	"7-Oxolithocholic acid -- Production"
"fpt5"	"Acetate -- Consumption"
"fpt6"	"Acetate -- Production"
"fpt7"	"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin) -- Production"
"fpt8"	"Acetone -- Production"
"fpt9"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt10"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"fpt11"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt12"	"Arabinogalactan -- Macromolecule"
"fpt13"	"beta-Muricholic acid -- Production"
"fpt14"	"Biotin (Vitamin B7) -- Consumption"
"fpt15"	"Biotin (Vitamin B7) -- Production"
"fpt16"	"Butylamine -- Production"
"fpt17"	"Butyrate -- Production"
"fpt18"	"Cadaverine -- Production"
"fpt19"	"Cellobiose -- Consumption"
"fpt20"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt21"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt22"	"Cholic acid (Cholate) -- Consumption"
"fpt23"	"Cholic acid (Cholate) -- Production"
"fpt24"	"Choline -- Consumption"
"fpt25"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt26"	"Citrate -- Consumption"
"fpt27"	"CO2 -- Consumption"
"fpt28"	"CO2 -- Production"
"fpt29"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt30"	"D-Fructose (Fructose) -- Consumption"
"fpt31"	"D-Fructuronate -- Consumption"
"fpt32"	"D-Galactosamine (Galactosamine) -- Consumption"
"fpt33"	"D-Galactose -- Consumption"
"fpt34"	"D-Galacturonate -- Consumption"
"fpt35"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"fpt36"	"D-Glucosamine (Glucosamine) -- Consumption"
"fpt37"	"D-Glucose (Glucose) -- Consumption"
"fpt38"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
"fpt39"	"D-Mannitol (Mannitol) -- Consumption"
"fpt40"	"D-Mannose (Mannose) -- Consumption"
"fpt41"	"D-Psicose -- Consumption"
"fpt42"	"D-Ribose (Ribose) -- Consumption"
"fpt43"	"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"
"fpt44"	"D-Tagatose -- Consumption"
"fpt45"	"D-Tagaturonate -- Consumption"
"fpt46"	"D-Xylose (Xylose) -- Consumption"
"fpt47"	"Deoxycholic acid -- Production"
"fpt48"	"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"
"fpt49"	"Dimethylamine -- Production"
"fpt50"	"Ethanol -- Production"
"fpt51"	"Folic acid (Folate, Vitamin B9) -- Consumption"
"fpt52"	"Folic acid (Folate, Vitamin B9) -- Production"
"fpt53"	"Formaldehyde -- Production"
"fpt54"	"Formate -- Consumption"
"fpt55"	"Formate -- Production"
"fpt56"	"FOS (Fructooligosaccharide) -- Consumption"
"fpt57"	"Fructan (Inulin, Levan) -- Macromolecule"
"fpt58"	"Fumarate -- Consumption"
"fpt59"	"Fumarate -- Production"
"fpt60"	"Galactan -- Macromolecule"
"fpt61"	"Glycerol -- Consumption"
"fpt62"	"H2 (Hydrogen) -- Consumption"
"fpt63"	"H2 (Hydrogen) -- Production"
"fpt64"	"H2O2 -- Production"
"fpt65"	"H2S (HS-) -- Production"
"fpt66"	"Hemicellulose, not specified -- Macromolecule"
"fpt67"	"Hippurate -- Consumption"
"fpt68"	"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"
"fpt69"	"Indole-3-acetate (Indoleacetate) -- Production"
"fpt70"	"Indole -- Production"
"fpt71"	"Isobutyrate (2-Methylpropanoic acid) -- Consumption"
"fpt72"	"Isobutyrate (2-Methylpropanoic acid) -- Production"
"fpt73"	"Isovalerate (3-Methylbutanoic acid) -- Consumption"
"fpt74"	"Isovalerate (3-Methylbutanoic acid) -- Production"
"fpt75"	"L-Arginine (Arginine) -- Consumption"
"fpt76"	"L-Aspartate (Aspartate, D-Aspartate) -- Consumption"
"fpt77"	"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"
"fpt78"	"L-Fucose -- Consumption"
"fpt79"	"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate) -- Consumption"
"fpt80"	"L-Idonate -- Consumption"
"fpt81"	"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"
