"ID"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"fpt1"	0	0	0	0	0.01	0	0	0
"fpt2"	0	0	0.01	0	0	0	0	0
"fpt3"	0	0	0.01	0	0	0	0	0
"fpt4"	0	0	0.01	0	0	0	0	0
"fpt5"	0	0.06	0.06	0	0.11	0.26	0.01	0.04
"fpt6"	29.66	17.7	14.12	18.4	41.18	30.2	27.95	12.59
"fpt7"	0	0	0	0	0.01	0	0	0
"fpt8"	0.03	0	0.01	0	0.07	0.04	0.03	0.01
"fpt9"	0.47	1.16	12.52	0.6	1.59	1.19	3.71	4.15
"fpt10"	0	0	0.01	0	0	0	0	0
"fpt11"	0	0.01	0	0	0.04	0.07	0.01	0.01
"fpt12"	0.56	0.86	0.36	0.86	1.36	0.44	1.69	3.94
"fpt13"	0	0	0.01	0	0.01	0.03	0	0
"fpt14"	0	0	0	0	0.01	0	0	0
"fpt15"	0	0	0.01	0	0	0	0	0
"fpt16"	0	0.01	0.01	0	0.01	0.04	0.03	0.03
"fpt17"	33.21	0.2	0.14	0.36	0.34	1.26	1.89	0.19
"fpt18"	0	0	0.01	0	0.01	0	0	0
"fpt19"	26.57	16.11	9.84	18.05	38.09	26.01	24.09	10.58
"fpt20"	0.03	0.16	0	0.04	0.1	0.37	0.07	0.06
"fpt21"	0.03	0	0.03	0	0.07	0.04	0.03	0.01
"fpt22"	0.03	0	0.03	0	0.07	0.04	0.03	0.01
"fpt23"	0	0	0.01	0	0.01	0.03	0	0
"fpt24"	0	0	0.01	0	0.01	0	0	0
"fpt25"	0	0.01	0.01	0	0.01	0.04	0.03	0.03
"fpt26"	0	0	0	0	0.01	0	0	0
"fpt27"	1.27	0.77	0.09	0.73	0.6	1.12	2.53	5.18
"fpt28"	1.49	0.84	4.29	0.74	0.97	3.8	3.97	5.37
"fpt29"	26.53	16.03	9.21	17.96	37.98	26.04	23.43	9.33
"fpt30"	27.17	15.96	9.56	17.79	37.16	26.29	24.73	12.19
"fpt31"	0	0	0.01	0	0	0	0	0
"fpt32"	0	0.03	0	0	0	0	0	0.16
"fpt33"	0.43	1.4	1.06	0.74	1.5	1.1	1.99	5.42
"fpt34"	0	0.04	0.04	0	0.06	0.11	0.06	0.1
"fpt35"	0	0	0.01	0	0.01	0	0	0
"fpt36"	0	0.04	0.01	0	0.01	0.04	0.06	0.24
"fpt37"	26.6	16.2	10.03	18.09	38.21	26.21	24.2	10.63
"fpt38"	0	0.04	0.04	0	0.06	0.13	0.06	0.1
"fpt39"	24.31	11.66	6.58	13.34	21.73	15.6	18.15	5.83
"fpt40"	26.6	16.14	10	18.05	38.12	26.18	24.22	10.58
"fpt41"	2.14	1.11	0.69	0.19	2.33	0.8	1.7	0.64
"fpt42"	0.1	0.13	0.79	0.1	0.26	0.2	0.86	1.36
"fpt43"	24.52	11.7	72.44	13.34	22.48	16.5	20.73	5.95
"fpt44"	0	0	0	0	0.01	0	0	0
"fpt45"	0	0	0.01	0	0	0	0	0
"fpt46"	26.53	16.03	9.21	17.96	37.98	26.04	23.43	9.33
"fpt47"	0.03	0	0.01	0	0.07	0.04	0.03	0.01
"fpt48"	0.56	1.1	0.33	0.63	1.33	0.83	1.3	3.71
"fpt49"	0	0.01	0.03	0	0.01	0.04	0.03	0.03
"fpt50"	0.29	0.23	4.96	0.09	0.4	2.62	2.17	1.99
"fpt51"	0	0.13	0	0	0.01	0	0	0.56
"fpt52"	0	0.03	0.01	0	0.01	0	0	0.16
"fpt53"	0	0	0.01	0	0.01	0	0	0
"fpt54"	0.03	0.14	0	0.04	0.06	0.3	0.06	0.06
"fpt55"	2.87	1.37	71.71	0.33	3.57	4.68	6.76	2.48
"fpt56"	0.39	0.41	0.09	0.47	0.37	0.36	1.07	3.09
"fpt57"	3.23	2.94	1.36	1.67	4.96	2.06	4.66	7.7
"fpt58"	0	0	0.01	0	0.01	0	0	0
