"","warble:1","warble:2","warble:3","warble:4","warble:6","warble:7","warble:9","warble:10","warble:12","warble:14","warble:15","warble:20","warble:33","warble:42","warble:43","warble:45","warble:49","warble:50","warble:52","warble:53","warble:54","warble:57","warble:58","warble:60","warble:63","warble:68","warble:69","warble:73","warble:80","warble:83","warble:84","warble:85","warble:87","warble:88","warble:89","warble:90","warble:93","warble:94","warble:95","warble:96","warble:97","warble:100","warble:101","warble:103","warble:104","warble:106","warble:107","warble:108","warble:109","warble:110","warble:111","warble:112","warble:114","warble:117","warble:118","warble:119","warble:120","warble:121","warble:122","warble:123","warble:125","warble:126","warble:127","warble:135","warble:136","warble:137","warble:139","warble:140","warble:141","warble:144","warble:145","warble:147","warble:148","warble:149","warble:150","warble:151","warble:152","warble:153","warble:154","warble:157","warble:158","warble:159","warble:161","warble:162","warble:164","warble:170","warble:173","warble:178","warble:180","warble:181","warble:185","warble:187","warble:188","warble:189","warble:191","warble:192","warble:197","warble:200","warble:202","warble:221","warble:222","warble:224","warble:225","warble:227","warble:228","warble:229","warble:230","warble:232","warble:234","warble:236","warble:240","warble:243","warble:245","warble:247","warble:250","warble:251","warble:257","warble:262","warble:263","warble:265","warble:269","warble:272","warble:280","warble:282","warble:283","warble:286","warble:292","warble:293","warble:296","warble:307","warble:308","warble:310","warble:315","warble:318","warble:319","warble:324","warble:325","warble:326"
"warble:1",0,0.00999312371753623,0.00325046895185626,0.00856706239077647,0.0149657412209877,0.00444440770774933,0.00324204369524576,0.0107726989309485,0.00547160198825689,0.0139845688979317,0.0150406207380211,0.00954074113737467,0.0104021708952558,0.0108206089836974,0.00908352294091306,0.00731777309577317,0.0128457011647769,0.00575577427595904,0.0142814856416125,0.00709366165184882,0.00817401293355932,0.0157353289304813,0.00537752533990744,0.00435625661029211,0.00830994002840592,0.0118710932795036,0.0114543958507609,0.0124054242177551,0.00527659992162413,0.00795669027386393,0.0098492364200179,0.00764047487023749,0.0130168626515353,0.011433947965082,0.00537912024400484,0.00695406183875043,0.0192638886341643,0.0101641937012232,0.0178409929741273,0.00694587262948203,0.00660613664651662,0.0115645215120964,0.00961813213049871,0.0204500305150222,0.00336505085334454,0.00803872240812657,0.0172031529745174,0.0143930203639248,0.00912073702324992,0.00705710454135273,0.00877264822159288,0.0107318654744563,0.00827655634059781,0.0147393390393369,0.0127749681996177,0.0168363276367577,0.0165946147620387,0.0150033039314869,0.00682064279646759,0.0137129026342006,0.00786646811246293,0.0251193645048669,0.0213175320860759,0.0182435558069807,0.0314248640282681,0.0168406657635525,0.00869273349349844,0.0120507012043357,0.0185638733348991,0.00724110953398527,0.0112917770798111,0.0280864477252652,0.0152198316191372,0.0203213306661382,0.00427654120448727,0.00525944603863215,0.0167702786404675,0.0289323823558294,0.00994379786436126,0.0157329959918119,0.0084294964978049,0.0115712463408978,0.00765629732188088,0.026450908940665,0.0049297185596247,0.0446359068320844,0.0117510299152827,0.0289982719094416,0.0129876295415786,0.0146762957345466,0.00892026689278202,0.0227809601054436,0.0153437060638438,0.0117228481010117,0.0116378581975894,0.0291358095609507,0.00447999135366939,0.0134099371750164,0.0121204858364762,0.012508276624546,0.0198505492304277,0.00802671805836816,0.0255442780565754,0.00651529616200393,0.0082589483405573,0.00754842519912276,0.0162849307406305,0.0137137689655239,0.00910557540083398,0.00438210738124673,0.0282895408590169,0.0234080632182722,0.021110819863935,0.0310919078643393,0.00287743338195428,0.030432741448895,0.0245466070214251,0.00637275545352632,0.00863088256309941,0.0211412875020078,0.00930085533502395,0.00572785886007237,0.00720999989653938,0.0166527499225131,0.0142755477918851,0.0157584444779457,0.0120547355835187,0.0103813271794706,0.0113853472561284,0.0258971293680276,0.00759097516674701,0.00863259209311717,0.00424869798284317,0.0140209866389862,0.0112861045635655,0.0112748002174706,0.0180516121231703,0.00402049962491071
"warble:2",0.00999312371753623,0,0.0124053951196309,0.0141587713855985,0.015623581011807,0.00831757903558026,0.00792440177626527,0.0113554358672119,0.00879764193867858,0.015261485686203,0.0201772437284939,0.0136146157915425,0.0158136879863841,0.0170945364145937,0.0108324875987391,0.00995641515317227,0.0183905844275668,0.00674630697010099,0.0177274625003751,0.00910112244147865,0.0114026436126868,0.0160768204971793,0.0085264102042139,0.0115643242370967,0.012799567710667,0.0190530920955673,0.0168371573225355,0.0160241240176774,0.00966822925779183,0.0140662902631466,0.015781616220695,0.00598767106589717,0.00874216439375283,0.0110211296867364,0.0110197413777584,0.00908328620185503,0.0159509265659408,0.00387672465614575,0.0155659954480145,0.00950239144709747,0.00936922773285144,0.0103930994056195,0.0131375565004023,0.0202715765778578,0.00877844650091085,0.0100436545523733,0.0226595246078728,0.0176930820662487,0.0161794114459537,0.00745136979253668,0.0127333735004828,0.0169963404962234,0.0156446913803017,0.0190210728181119,0.0179693797819466,0.023086815684968,0.0211500118706398,0.0103778256054264,0.0122728739333715,0.02039433876107,0.0127977305588176,0.0255161796471066,0.014379864759365,0.0220243493496393,0.0314489658755115,0.0203468856026013,0.00822479476913384,0.0124758499350883,0.0175253232827137,0.00936681067923338,0.00974403605142871,0.0286792790133408,0.0202244967146216,0.0198716179261814,0.00860001365278406,0.0126344871909749,0.0169425072175068,0.028695882702344,0.0121002878286727,0.0134191129686633,0.00736264763235106,0.00710397031036322,0.0122987875529334,0.0192802840039109,0.0104582606450533,0.0452234670952525,0.0166085550539357,0.0285222295574156,0.0118018422148527,0.0160835976524872,0.0120783384449522,0.0221969649868089,0.0163478204246463,0.00722177595063671,0.0119736959757254,0.0216865954552564,0.00755755310755535,0.0138514772379997,0.00975109595223178,0.0164786798105979,0.0125857128927403,0.00800954343421175,0.0236216739391682,0.00577413838222414,0.00931247469603745,0.0103965360374696,0.0178975337142673,0.0144393491081805,0.00934804225328178,0.0121498173309726,0.0244457394825543,0.0164431480402121,0.0203796101744362,0.0237454430393375,0.0108736668661372,0.0235686570328381,0.0180449681413222,0.0116264642137642,0.00857979843651351,0.0150238701131937,0.0104584464216639,0.0133702620611664,0.00820835799194966,0.0156302637525768,0.0118133864834411,0.0169821932354388,0.0128551475398285,0.00510855738896923,0.00990353244881485,0.018586012165114,0.00599213038179506,0.00748329633719942,0.00759644157024113,0.00598660894470274,0.0159708178915896,0.0135731457890455,0.0106432100587268,0.00831844895671484
"warble:3",0.00325046895185626,0.0124053951196309,0,0.00977401665517163,0.0172047643208166,0.00699389233052741,0.00523321315642922,0.0104854877413835,0.00603118083899768,0.0162238779054846,0.0161023237241418,0.0114264419671283,0.011597545805371,0.01172841407397,0.0118134914471403,0.00779472665989679,0.0137272460593517,0.00854353820186837,0.016129952166529,0.00979159222113972,0.0105984605600864,0.0182786323701062,0.00804199797869865,0.00582629986174516,0.010496306260073,0.0123124155053585,0.012596614657961,0.0143356275802865,0.0070771165095265,0.00887221746215117,0.0111835944631526,0.00959487374425181,0.0158169089350862,0.0139824763756346,0.0072207290130302,0.00870431371240298,0.0195781150596897,0.0128817986612137,0.0205353946004329,0.00970115667357868,0.00897285612572007,0.014501523231757,0.0115883392675061,0.0228031510793941,0.0060602752079493,0.0102041212686897,0.0178912678862826,0.0162016350757516,0.00988340128242988,0.00997357873726293,0.0106687052142136,0.0115950442189833,0.00838299548019905,0.0161478342398469,0.0138310274871187,0.0172096798559468,0.0178130839894808,0.0161480110704568,0.00865353028688776,0.0140051043613814,0.00981951481392118,0.0270251231317743,0.0232458065946276,0.0167521989441797,0.030370623043123,0.0152280063363177,0.00990521788144391,0.0120686245512784,0.0182368289682563,0.00768877450043212,0.011587578480733,0.0276261729252073,0.0164173664717942,0.0197307062247346,0.00584229756563062,0.00572287835493585,0.015856805580172,0.0280278950594479,0.0123296821721278,0.0159849184551444,0.00989810583667954,0.0132238505495537,0.00952695528457436,0.0276749090686894,0.00700543264059219,0.0439434557729379,0.0111765019809562,0.0279209473899432,0.01330014043871,0.014251635600416,0.00828640220688773,0.0221705625976364,0.0163622650724454,0.0134242406225984,0.0112990737972305,0.0306929698409921,0.00597839258832191,0.0129509261565918,0.0130865836123783,0.0142077427772953,0.0213525242717855,0.0108705388271243,0.0274175797763967,0.0088527457444635,0.00881892803132872,0.00838843060254628,0.0157025660644857,0.0138234796765832,0.00980253483387208,0.00491044778379199,0.0305813805454004,0.0244955161189377,0.0204795074678204,0.0326881786934024,0.00246640251678087,0.0316301733530188,0.0258041146778632,0.00548754223902369,0.00946476253270215,0.0222963596636366,0.0114239207749862,0.005998823999752,0.00846400470946843,0.0163733199083112,0.0145050853063431,0.0149488219421373,0.0119411726771,0.0129454641650716,0.0139254335265663,0.0273451310905671,0.0092403737779236,0.00988595704131174,0.00623369131767916,0.0158624963631031,0.0129144126344778,0.0131006777919519,0.0199068149355954,0.00698792901922855
"warble:4",0.00856706239077647,0.0141587713855985,0.00977401665517163,0,0.0120720498020902,0.00706043057702505,0.00990358641848606,0.017857042728849,0.013265984512862,0.0104747987768108,0.0103363396733412,0.0066223864216153,0.00678411939804107,0.00656176072489853,0.00795069232196799,0.0150943192104514,0.00715377270790642,0.00915756557923577,0.00940999514890964,0.00912494294990715,0.00734702868545276,0.0126769341630487,0.00741736716032667,0.00539313751093564,0.00625628058448288,0.00735277708713249,0.00673428978665628,0.00807968590550958,0.00685111712397299,0.00746768368635287,0.00688814286653117,0.0135343506786334,0.013844978034878,0.0116798364343626,0.00704880698000693,0.0117977912001236,0.0249225648121775,0.0137999158419305,0.0159901731425546,0.00750374808377213,0.00820099467215632,0.0108146771835416,0.00698956349825312,0.0180849046731792,0.00983153674030697,0.00943177567382058,0.0121118519956338,0.00962539560922632,0.00605935008492293,0.00989272923087941,0.00714203834132029,0.00647059282993382,0.00837808568312426,0.00978545377307497,0.00848084101817778,0.0118663950623679,0.0111297357095561,0.0210929805152138,0.00646351717943065,0.009820282654382,0.00659588464371811,0.0234301766083979,0.0257258574953388,0.0220267518716848,0.036010948895421,0.0234038874941754,0.0155731457970656,0.0193398379978,0.0251656547683067,0.0151669429027642,0.0186567066741137,0.028418342141549,0.0100598055602349,0.0254090286763578,0.01058853841791,0.00692802599732563,0.0235449683784831,0.0330809258367102,0.00802550874791342,0.0210023379466761,0.013726970698156,0.017542711752678,0.00662868124802979,0.0319389110287937,0.00598773726208574,0.0444771981807541,0.0123131018774408,0.0360950886796333,0.0206455890393381,0.0183998899466226,0.0143200834770589,0.0287742782781091,0.0152759517603932,0.0180533527185269,0.0193496939951503,0.0338706538316888,0.0120310061694433,0.0210551308059411,0.016401849976469,0.00826160447124221,0.0258566885323359,0.0101181944872482,0.0265776000713863,0.0126669542856491,0.0161675759200483,0.0095180681649178,0.021499092143199,0.0157550837646005,0.0161387561241249,0.00673680166661847,0.0285022292049688,0.0296474505437848,0.028080818519794,0.0356165299919548,0.0102359783667926,0.0359987966074903,0.0301807201180456,0.0143735169218795,0.0150986544455649,0.02778396546483,0.0103822327082207,0.00753996185208594,0.0145222627514534,0.0242914273834179,0.0215615109805723,0.0223145684714527,0.0178641095227631,0.0139788158791472,0.0131314654412252,0.0318727665208477,0.0136934418165886,0.0156634011615448,0.0097161124640833,0.0192698672971983,0.0080810219049469,0.00944906136132162,0.023386553396321,0.00747633143903448
"warble:6",0.0149657412209877,0.015623581011807,0.0172047643208166,0.0120720498020902,0,0.0117865202638374,0.0151178995204085,0.0234530509891943,0.0175993855823491,0.00232758736412312,0.00998652743733687,0.0064934772636668,0.00899148893486229,0.0108244350990638,0.00811961009386503,0.01999759173134,0.0119477672981691,0.0125699455041322,0.00646404613937114,0.00971578657795978,0.00716673244117747,0.00528839547649693,0.0112871966533027,0.0136597839223589,0.00839389289218509,0.0133783732633308,0.0100007596716253,0.0063515255554041,0.0114411712233423,0.0104891946863941,0.00902980982473355,0.0145591776958257,0.00858814165746098,0.00623522369575511,0.0102893312002269,0.0121791883270181,0.0305980311342763,0.0129243505048026,0.0066089680839037,0.00907858136671964,0.0138933324689148,0.00748145592507321,0.00703387419507261,0.0190004758532112,0.0138810764175644,0.0081933197727548,0.0125440611214081,0.00581541045841728,0.0113626337190145,0.010343681697676,0.00888473570740315,0.0107067290842221,0.0131048180806901,0.0082198190963878,0.00909028043494711,0.0142220207511412,0.00990610419077282,0.0247004669333024,0.00889379685129993,0.0135392130741058,0.00792380888370639,0.0258786572128995,0.0274890583571881,0.0316861107131401,0.0440133013446747,0.0310479546689599,0.017466831650279,0.0249362691345779,0.0310790850514499,0.0196517041707134,0.0226209360507218,0.0376898307087272,0.00993429740726275,0.0325505316583761,0.0138513930772353,0.0135091724563084,0.0288612683698012,0.041094072740445,0.0082121021064796,0.0266200421676091,0.0184606532507623,0.0203738854806916,0.008077075054516,0.0332465584540025,0.0117039891783312,0.0539191253725912,0.0230460280705355,0.0416334019603837,0.0243308510661647,0.0267697205469408,0.0221911635393935,0.0353454763518696,0.0236303558143977,0.0194142568473914,0.0234566851549961,0.0349720923822232,0.0171011742159852,0.0262701507729187,0.0221948986567348,0.0065746426060877,0.0257811232971442,0.00923980357577422,0.0297795467322618,0.0153389541965225,0.0206084827744478,0.0177673049625143,0.0295706873918031,0.0241463572328669,0.0212253734847962,0.0160797903337026,0.0300831117419096,0.0309324338732388,0.033860086324722,0.0373861027878438,0.0163366744233085,0.0377754709357052,0.0323228643880152,0.0202955961243665,0.0202466002525241,0.0295551729095245,0.00820874210702363,0.0128138903400585,0.0174964263879463,0.0286603198678995,0.0248265400168618,0.0291832896235747,0.0240707431500793,0.0159402039094647,0.00849799386991471,0.0326989468770006,0.0171738539105056,0.0200940923639702,0.0155016669224346,0.0203986460897994,0.00838141482139341,0.00546710960525997,0.0244018788984429,0.0117866013334625
"warble:7",0.00444440770774933,0.00831757903558026,0.00699389233052741,0.00706043057702505,0.0117865202638374,0,0.00411869148070065,0.0126438540223802,0.00725411623089298,0.0107555430150541,0.0137482383411201,0.00712946770410767,0.00916681418039752,0.0101351609432844,0.00638939750900073,0.00949246844444784,0.0118515558630382,0.00331933621885121,0.0119501652130312,0.00419902651534271,0.00555739037149925,0.012609763920052,0.00169156412952966,0.00516476122945362,0.00639608784815396,0.0118428102419858,0.0102668901045452,0.0099931247654243,0.00338227686971033,0.00751688648926103,0.00880020524909114,0.00730833779853956,0.00972484321538651,0.0080932525047654,0.00424542359960074,0.00617611920660854,0.0204204525408268,0.0080079666311895,0.0142575764295543,0.00405271586728616,0.00598734256972945,0.00807595889947488,0.0073526706445863,0.0187429125175298,0.00425961215839056,0.00544738477210117,0.0161983548775126,0.0119145036416367,0.00890743433385992,0.00446561941025321,0.00727810997437183,0.010014119690465,0.00902561284199158,0.012908377418823,0.0114394781013285,0.0163323447752888,0.0149670454985287,0.0159900665132011,0.005138289806903,0.0136124878822392,0.00602173486261477,0.0242283942026169,0.0211502878170008,0.0206866433936487,0.0331805302368399,0.0199594402115367,0.00916674375570213,0.0142255352782795,0.0204052579804991,0.00927236532480205,0.012712216001944,0.0284438927057763,0.0138150720092592,0.0217690354893341,0.00482972975874862,0.00594015198905721,0.0187619169001786,0.0304017064583224,0.00784950006362997,0.0163077364582227,0.00829067803056552,0.0115093528340834,0.00567676915041632,0.0266584658426883,0.00429808785369049,0.045188604646673,0.0131076699456879,0.0312154819500589,0.0145622662925441,0.0159215046754793,0.0108291230265514,0.0245919130599633,0.0153400748754916,0.0115383420540678,0.0135459190482033,0.0290754313446923,0.0063789810672165,0.0157712685870617,0.012166856008348,0.0102404400253564,0.0194630250695577,0.00494305519116091,0.0252228498110964,0.00623902031816327,0.0103690776662128,0.00725431731075588,0.0184732296887028,0.0139063480892572,0.0111071963463829,0.00621317477562864,0.0272043146936735,0.0235539786591222,0.0232417895773462,0.0310215103274292,0.00626232730323868,0.030834335725479,0.0250205952217212,0.00961601584054329,0.00959675488016425,0.021715221046619,0.00678052957342016,0.00659337741292525,0.00810974132866768,0.018594732567839,0.0155395943458443,0.0181058502503542,0.0133676471372246,0.00848027816090754,0.00844768373920633,0.0259835173574074,0.00735333904142577,0.0100484973532582,0.00468236996015344,0.0132690440919379,0.00967714383655004,0.00875885905154115,0.0178286567456989,0.00229820088744851
"warble:9",0.00324204369524576,0.00792440177626527,0.00523321315642922,0.00990358641848606,0.0151178995204085,0.00411869148070065,0,0.00898949813396139,0.00414040408848845,0.0142706646961913,0.0166477655610735,0.0104830586336438,0.0118280204228449,0.0125759264092671,0.00975094672026313,0.00661468152131332,0.0143714078098678,0.00481236002214411,0.0153968203477225,0.00711447012488947,0.00885020214913531,0.0161941789611964,0.00508513598094313,0.00637607768923687,0.00959926144510413,0.0139023141776723,0.0130497310484254,0.013608773956238,0.00509832122546304,0.00936470702606017,0.0114933983272314,0.00608286782120873,0.0117964258618938,0.0109318261021324,0.00653116994129077,0.00585387926368388,0.0176662838900633,0.00851251587425284,0.0171315922172037,0.00738417864118747,0.00763469797888188,0.0112903935401839,0.0105068542779022,0.0214045828251597,0.00372625622017321,0.00762328841121354,0.0188382766811205,0.0154897848039274,0.0110684643724929,0.00667106902500752,0.00992663209702026,0.0125065497882359,0.0100365305653434,0.0159969846643255,0.0141689481894939,0.0187315992220009,0.0180623059217351,0.0137369218522763,0.00792138554695437,0.0156405157451206,0.00911656506747827,0.0263338785330775,0.0202134804591523,0.0181162281583173,0.0301987830023113,0.0166485021969356,0.00674674558666173,0.0109608016685589,0.0171265737210857,0.00595579685410886,0.00924424820969763,0.0272636898750997,0.0168391434883487,0.0188809121946515,0.00354043200486286,0.00639488614200194,0.0150522015129788,0.0275842330058203,0.0109808713938763,0.0137641355378461,0.00670980929209348,0.009746590346374,0.00844012876881059,0.0245840515174263,0.00631476178698677,0.0439053106705638,0.0121846855498882,0.0276176459727401,0.0113555508755915,0.0135860518312197,0.0079326364708917,0.0214068576440566,0.0155562463761408,0.00947467142521388,0.009992919993937,0.0275526799422843,0.00347361504994964,0.0120140722522431,0.0103964412526774,0.0138242534674267,0.0174233053615225,0.00752347177376012,0.0260301499137013,0.00517463888722069,0.00710873814119542,0.00674472551665832,0.015853142582398,0.0126005684175432,0.00823046140072598,0.00598700127613645,0.0284142412908859,0.0211140996068073,0.0197579774696058,0.029574064718326,0.00390167693460545,0.0288944204981841,0.0229584269510117,0.00632706125037758,0.00712205400472563,0.0194092599607334,0.00938138576979543,0.00771186099449179,0.0058990490057636,0.0151533186786288,0.0121038633558292,0.0149199529004397,0.010611773131497,0.00854211450592436,0.0105543703412962,0.0241320588624252,0.00516530699975764,0.00749879764903907,0.00387648782230944,0.011751747233675,0.0129515106183279,0.0117692245639753,0.0164764666689494,0.00453636393903207
"warble:10",0.0107726989309485,0.0113554358672119,0.0104854877413835,0.017857042728849,0.0234530509891943,0.0126438540223802,0.00898949813396139,0,0.00691624549395365,0.0228651304580016,0.0253409453833263,0.0191672165346765,0.0204733055742226,0.0210559155820302,0.0181105063981348,0.00617905686114053,0.0227134322546741,0.0120192523331126,0.0243123247745784,0.0150291225289127,0.0176332844182753,0.0245609002873111,0.0133358520016807,0.014178265631919,0.0184219940275838,0.0219967708296265,0.021630013183193,0.0223981351940916,0.0132562875435622,0.0176143405523206,0.0202230627755278,0.0107294320589261,0.0184641733414443,0.0185417206795014,0.0150910309605881,0.0124372206474069,0.0108942287995905,0.013685815906951,0.0244203262101403,0.0157709561561879,0.0142333142517882,0.0190003108934288,0.01929127500016,0.0273117072730877,0.0110382986149676,0.0158260977124805,0.027299803281931,0.0243433647797888,0.0194279603096093,0.0142098195985441,0.0185195079582473,0.0209733212242119,0.0176813685402925,0.0248363307232279,0.0228077071478788,0.0269501276434688,0.0268391038252639,0.0108134980459044,0.0166920572919896,0.0236806996272754,0.0178916312129392,0.0310150122173515,0.0188720521938656,0.0135773952438567,0.0225612688116149,0.0100088945192878,0.00793099965296805,0.00467211311909829,0.00883388612599622,0.00527443920249032,0.00374885746828614,0.0241968470686724,0.0255989393749058,0.0114952108286936,0.0106800457343739,0.0141150971382865,0.00724319896088845,0.0203805594990466,0.019308108419962,0.00776102600503453,0.00766002396204593,0.00847228934513491,0.0171949175088407,0.0205610578990237,0.0143889749303818,0.0402204952144395,0.0135261466793185,0.0187982081694304,0.0054214258779347,0.00956552819319568,0.00547809968683374,0.0132514872228327,0.0172657215770956,0.00868385839615048,0.0042427410908445,0.0245911384072622,0.00752700608860944,0.00400516542892968,0.00819752765380464,0.0225745909528037,0.0143109810600584,0.0153581751548241,0.0277583047343808,0.00976902866186835,0.00519496983280825,0.0104707847714699,0.0103486198553403,0.0112369312650054,0.00659536150633026,0.0122192752634364,0.030703357886309,0.0160048637998344,0.0111498374784006,0.0259720499467248,0.00979816592112704,0.024363556194299,0.018987234323612,0.00622364954078803,0.0056178955580435,0.0146711853848593,0.0171870381528404,0.0153311715323183,0.00805045721160428,0.0071890706173595,0.00580029734550966,0.00770666922528275,0.00557545917179598,0.0118556901649128,0.01726202884003,0.0199920136614386,0.0072713340605642,0.00673142082986268,0.00978449410945771,0.0110803019425873,0.0215666724781597,0.0201792764370029,0.0149071090453951,0.0129583651259155
"warble:12",0.00547160198825689,0.00879764193867858,0.00603118083899768,0.013265984512862,0.0175993855823491,0.00725411623089298,0.00414040408848845,0.00691624549395365,0,0.0170133419673143,0.0193251932393054,0.0132690419224048,0.0146500271470181,0.0155017684880853,0.0124830889820541,0.00405304284580831,0.0175872268991603,0.00732219786416765,0.018349144736879,0.00906259397117809,0.0115775981747303,0.0186931884917148,0.0079604225571405,0.00939419266577613,0.0124851661997505,0.0168236179840624,0.0159811930058072,0.0163498256591043,0.0081879186032759,0.0117146781690727,0.0141955249605246,0.00609840927782715,0.0137167368060759,0.0128091510951628,0.00886517174205602,0.00683962287461166,0.0163562279472576,0.00968158328162582,0.019496827302559,0.0100507418577688,0.00968423650821145,0.0137390024368032,0.013376510849673,0.0232422665424873,0.00544378972248509,0.00988211654706026,0.0215476659696291,0.0182488495110776,0.0138269634146719,0.00864689086584167,0.0126909361726039,0.0153474871549601,0.012155370995855,0.0189200124122752,0.0169420206643747,0.0213772525924265,0.0209377676421158,0.0125401878374266,0.0105597346909711,0.0182028203797237,0.011707517564414,0.0276772082238464,0.0196172625580402,0.0177496202780377,0.0289510643116848,0.0144683685400123,0.00495536815043358,0.0086668564661539,0.0150195422124982,0.00285900294191937,0.00676432177024975,0.0281586901920354,0.019653890190138,0.0175933160675225,0.00450462594789831,0.00906824575688325,0.0127863357369731,0.0266614027338162,0.0135475133218921,0.0125998220558481,0.00658380757974205,0.00855299822510058,0.0112909760506166,0.0232442292213372,0.00905948864099359,0.0447492490213964,0.0139738517018007,0.0247915748192835,0.00842934248212229,0.0137152399022514,0.00773275362640324,0.0195718886436125,0.0171481246526408,0.0082021551964556,0.00684262499681642,0.026756125312319,0.00303075217303493,0.00930944893205802,0.0104613396289615,0.0163645152369954,0.0159954729422631,0.00954938369123274,0.0264164444020326,0.00513743506142246,0.0044617299325554,0.00912774834687937,0.0147830333202274,0.0136072643774804,0.00660918721243109,0.0087869679642734,0.0292493105806276,0.01939045892321,0.0173178586452947,0.0287310439697193,0.00481467843984483,0.0273128696114423,0.0217359237112528,0.00377343526337336,0.00575320668886639,0.0172964369057283,0.010901891878759,0.00943003110929095,0.00332181886302367,0.012087558639617,0.00963483995520356,0.012672205046446,0.00926805637885891,0.00959235652515368,0.011775951061391,0.0223767148867402,0.00479699324254014,0.00592635946948354,0.00534581537042438,0.0111306374309782,0.015241676505174,0.0140455496384977,0.0154366432369312,0.00739379027627437
"warble:14",0.0139845688979317,0.015261485686203,0.0162238779054846,0.0104747987768108,0.00232758736412312,0.0107555430150541,0.0142706646961913,0.0228651304580016,0.0170133419673143,0,0.00876970293351544,0.00533484785407021,0.00768987022681088,0.00937932410618103,0.00684597938121522,0.0194009067077289,0.0103045592126515,0.0117495099028553,0.00478858023268249,0.00901913602983427,0.00598847149340759,0.00455984557975983,0.010271372815853,0.0123616088714439,0.0068196383478209,0.0118499986749598,0.00848882579678497,0.00462237837889338,0.0106955745308046,0.00955231377227491,0.00764596842990963,0.014459392476353,0.00879473904502976,0.00637173222889475,0.00935430603573697,0.0121177274347172,0.0300510390225699,0.0127938052748482,0.00760787501637333,0.00798896465212362,0.0128571814157229,0.00678821745687624,0.0055775986509185,0.0181633852375959,0.0131084616571038,0.00783406452390035,0.0114191832545353,0.0042787106283668,0.00995739285855399,0.00973140890597821,0.00773184065544251,0.00926000120677111,0.0120806344615921,0.00686047146298999,0.00786389609406785,0.0129932733008857,0.00869330060289705,0.0243869915333817,0.0078095870246764,0.0122467621181509,0.00681801773173593,0.024968356782298,0.02728087796234,0.0306702636840292,0.0433002574586711,0.0303143885457986,0.0174100244633081,0.0243685348075065,0.0305678208177301,0.0190932578797389,0.0222198491156105,0.0366151084714372,0.00859658003443732,0.0318862729376564,0.0132308059030814,0.0123511049099201,0.0284119728373008,0.0403540479495153,0.00718914078244538,0.0260909028057192,0.0178543529272977,0.0200703895689957,0.00704597579619868,0.0333598117856449,0.0107982138843667,0.0528601288401319,0.0217568592061878,0.0412986529274025,0.0240391733402795,0.0258526136884914,0.0213007642005171,0.0347908639086067,0.0225109976952469,0.0193099317541132,0.0231113007617122,0.0350044494238779,0.0163861640335616,0.0257972283735471,0.0215728249313728,0.00509480625820818,0.0258439869237873,0.00857615105865807,0.0290729122713164,0.0148035585809163,0.0200528671003566,0.0166952031914077,0.028697928702867,0.0231722905149081,0.0206994705506788,0.0148649926958317,0.0295556985889363,0.0309288980752747,0.0333786481085936,0.0372825079810987,0.0154769212544994,0.0377597022864226,0.0322465389595602,0.0196000897618203,0.0196118446977719,0.0295284159997051,0.00768005849734075,0.0118242912038194,0.0171206541436902,0.0283586450077203,0.0245638766356908,0.0285697657942041,0.0234716107283379,0.0154840699799851,0.00895607621093085,0.0327939590031719,0.0166675293163976,0.0195608681894534,0.0146824190504871,0.0202342101335749,0.00698900134058895,0.00490407574575619,0.0243784327632607,0.0107980788822764
