"","hdz-095","hdz-005","hdz-004","hdz-019","hdz-025","hdz-002","hdz-023","hdz-001","hdz-050","hdz-036","hdz-067","hdz-186","hdz-183","hdz-195","hdz-161","hdz-162","hdz-170","hdz-099","hdz-101","hdz-096","hdz-106","hdz-193","hdz-259","hdz-251","hdz-323","hdz-246","hdz-247","hdz-209","hdz-207","hdz-260","hdz-205","hdz-208","hdz-194","hdz-200","hdz-239","hdz-199","hdz-307","hdz-315","hdz-306","hdz-331","hdz-303","hdz-312","hdz-313","hdz-333","hdz-332","hdz-325","hdz-242","hdz-334","hdz-302","hdz-232","hdz-309","hdz-344","hdz-409","hdz-346","hdz-210","hdz-393","hdz-340","hdz-349","hdz-406","hdz-391","hdz-316","hdz-223","hdz-217","hdz-228","hdz-403","hdz-402","hdz-387","hdz-378","hdz-379","hdz-359","hdz-355","hdz-360","hdz-380","hdz-451","hdz-453","hdz-449","hdz-448","hdz-439","hdz-432","hdz-440","hdz-443","hdz-165","hdz-214","hdz-446","hdz-447","hdz-475","hdz-441","hdz-464","hdz-164","hdz-474","hdz-415","hdz-171","hdz-159","hdz-463","hdz-158","hdz-461","hdz-466","hdz-488","hdz-483","hdz-479","hdz-487"
"hdz-095",0,0.147690392494361,0.106991531760831,0.123115940767516,0.168534307386958,0.116346090742979,0.116783766260856,0.143242732528831,0.142417289795062,0.195856062542872,0.149328097077111,0.141251768840853,0.122669913271046,0.113581679859152,0.154926375597438,0.123065186185786,0.0863326977785711,0.180136099216071,0.120545537093222,0.115178208019448,0.192745661103239,0.125146397403011,0.111270264201034,0.133130434682674,0.144385629451708,0.154611387059219,0.163376050569021,0.22734045345855,0.157439698039965,0.193072807886647,0.123461700148018,0.161758247405728,0.150855609039616,0.125352180476086,0.227158544835491,0.119854727008576,0.223405227977771,0.151963888548225,0.143779661331812,0.112367673919072,0.124246814529192,0.16227731387788,0.150575929407601,0.179510403081212,0.268452072734477,0.210088942315794,0.197560068511966,0.110140376585308,0.225745437452142,0.292658118202567,0.307317314455443,0.248201668044648,0.153890626200741,0.163844296771744,0.210220606080109,0.123233192044634,0.143309188403182,0.257638967343952,0.212629163323825,0.109298204507883,0.139282852950862,0.163237509607584,0.254755894637965,0.186416789923062,0.242112794878741,0.150759855153421,0.186369742799116,0.113264334980461,0.30153493417481,0.139750248469335,0.234395160542023,0.151379771264772,0.183883113085367,0.158308682993002,0.21094120930756,0.221164030531582,0.160078233151932,0.1534030964561,0.367411950649026,0.104793865074069,0.136607594803892,0.224414802844172,0.146785951293424,0.194902847661731,0.106771537042477,0.124450197173911,0.105532454781168,0.192894412135423,0.18993094194057,0.141158047665308,0.221717129749958,0.371862621459506,0.344155564311236,0.100405823681974,0.227984630525682,0.153664307661671,0.106313614474711,0.123642634563077,0.159062730556776,0.141758594336615,0.181667559202889
"hdz-005",0.147690392494361,0,0.181476108531079,0.163204845779445,0.217335728211462,0.145239202240654,0.159710623400877,0.152001862724451,0.180991550210131,0.254776389961715,0.208374403419604,0.219171309221246,0.162432790682319,0.132792935279266,0.213515419792032,0.148733778448579,0.170028644698545,0.208836458152249,0.164836913699226,0.189139749762822,0.254258981415621,0.188783595213387,0.157548564199178,0.198075868365698,0.21983448812394,0.117545176792182,0.150024377514607,0.169502574145634,0.0998861400290418,0.202828870845302,0.155016996942367,0.160240456053743,0.138917558609455,0.195287743772461,0.226159397920105,0.168705571063609,0.28304248402513,0.210888924419702,0.224068149433201,0.151631222588725,0.188967066506552,0.225654233614363,0.228231493406632,0.234894658290589,0.327283282532822,0.268618343383639,0.168473501538173,0.192067773181969,0.277341290307222,0.28622681096251,0.258822748262242,0.241566021135067,0.161410386448633,0.140443010301755,0.177215789677844,0.163087480249247,0.14691486545599,0.252774069256857,0.191648888372337,0.173726703813505,0.209847055375846,0.170540023744014,0.239856238235739,0.190527231607037,0.199137658730575,0.127914232829011,0.146803238889722,0.163543109169125,0.30041516346575,0.168967205708188,0.221340800263615,0.133981163985435,0.183018051372062,0.16853755820532,0.198317731315536,0.207766381223599,0.159408462246789,0.165574985905988,0.334787846078757,0.109447923693089,0.135849535825947,0.163269656080072,0.198097109257441,0.189622129680804,0.154844288460429,0.126986087950076,0.144307601291017,0.180101939049452,0.174568584258083,0.1481053399732,0.163189720694067,0.34053869843264,0.30188909118853,0.157470537620397,0.191540860352091,0.203318822955555,0.192955661037701,0.13421406781803,0.13853396710604,0.147518713165075,0.133569199933274
"hdz-004",0.106991531760831,0.181476108531079,0,0.144810561713062,0.194878499142068,0.1340729384225,0.10468709504769,0.145298394646983,0.125613773347419,0.185396886777808,0.150194904156439,0.143953860390063,0.142685497181897,0.132044811274888,0.151611328840592,0.14378456822992,0.127471610764811,0.175809649282427,0.128666817660595,0.101564360728028,0.170523161161821,0.131062197323343,0.140473965311046,0.157301889792642,0.144020237954123,0.144180901379345,0.162124957294312,0.22285402966754,0.156971230470775,0.178849888700513,0.127861038169896,0.166647285772416,0.155686211617193,0.104572433348684,0.266225673420196,0.141459816494341,0.206984320793756,0.142473644670137,0.129665816054817,0.128185151440429,0.156235006524393,0.155264231803325,0.148293986347566,0.157083621549164,0.238306015404234,0.202172712310945,0.24308800883677,0.11375660988682,0.211932433314886,0.315433678967133,0.341798692523829,0.24508078021214,0.168437294675081,0.168834398511471,0.203395938534887,0.113215764847236,0.167498633112305,0.22435426710204,0.225454669501953,0.115523401249957,0.0984770430909198,0.169778151195324,0.245518754271716,0.197181115636143,0.262919200732435,0.16661980263323,0.185217052997171,0.139508985270486,0.301022377732516,0.134742817507509,0.22218408510579,0.1851542779313,0.157245196072067,0.131059722914364,0.234110327002265,0.262469713215136,0.177306137563389,0.16251272823469,0.39384901270201,0.155907722533559,0.175153017165664,0.221753105528821,0.136936779332531,0.214707482202007,0.135573378780577,0.179268257958113,0.153091690990838,0.213841622634763,0.201244755151175,0.191823099723937,0.231409028378733,0.401114138370468,0.382382325061782,0.118705462231882,0.273685565258709,0.137484826745921,0.115040787611717,0.162543176161191,0.201537589512097,0.157113161713848,0.181075535846197
"hdz-019",0.123115940767516,0.163204845779445,0.144810561713062,0,0.209186097354473,0.12649100509916,0.13996840577364,0.154415013499277,0.17556581525296,0.202910590884045,0.164435228205746,0.174617979320765,0.181131361498437,0.176275185509977,0.18915422795875,0.167810539278795,0.149355217822743,0.222200511499942,0.137794661754264,0.174195121033859,0.180690692004113,0.153171402020425,0.123733086168886,0.142652528653467,0.162435377934951,0.178480315102007,0.206947515443041,0.228297224530008,0.16894692471334,0.227889075273863,0.153296783135781,0.163284723294764,0.177138451470741,0.165619610519604,0.247686035418685,0.150450431560669,0.228467512354606,0.170127799917616,0.1478176756782,0.177365587695588,0.156276320370146,0.156549904179485,0.17894066600552,0.19372155660655,0.266877621669874,0.21386487905957,0.228771845140903,0.143970289616106,0.221927818097928,0.300357718723665,0.301583182943055,0.24831195773339,0.186149455016488,0.193750733930963,0.222410527230292,0.180441741121325,0.159921789432731,0.25649235329613,0.221442600758501,0.143072545274946,0.143279768458196,0.149815150817126,0.231639134609815,0.187715319967076,0.241616932709674,0.167363736130851,0.212689996683422,0.128428561487574,0.289224733337164,0.138051222700214,0.244432424692204,0.175680472689948,0.193636978703525,0.154928462656781,0.22674073203569,0.215022410092582,0.206707823952862,0.178276860566998,0.380338530386257,0.13354764134401,0.173916756884468,0.21381340912176,0.160623033506488,0.263354649869234,0.158328277591125,0.141252541656645,0.18034650846723,0.209889661623825,0.189381421915157,0.159981002430334,0.25849213737225,0.365104027049802,0.379994074228844,0.135304278069456,0.268772111324707,0.193155662311749,0.136407086285186,0.174989815440761,0.172266092429313,0.180277653117912,0.22741523098485
"hdz-025",0.168534307386958,0.217335728211462,0.194878499142068,0.209186097354473,0,0.191487630870167,0.195055205692276,0.215544550393018,0.129102761782305,0.175741915085615,0.170805736148735,0.190096137213915,0.136163976270474,0.185461914247281,0.161145626731386,0.167628449054328,0.111600112208672,0.130778722827255,0.191521614721932,0.156501549418829,0.238813645302055,0.147735102326517,0.183854869493582,0.178591811863232,0.174129416968714,0.19676950198376,0.17896229603916,0.286434350001085,0.214205758507554,0.159258095768828,0.186892476178162,0.216983885183099,0.190334353689015,0.163169427895134,0.266448962688381,0.186026524602056,0.231170339028176,0.143064989254327,0.198052652746011,0.158163317209453,0.149288661737964,0.197809703625229,0.21178889100018,0.182572803929546,0.25180022526118,0.180067449501784,0.249632131909886,0.150081130756553,0.245245491163758,0.309730639405776,0.320511444098225,0.307035763279861,0.159553460061239,0.225658819387946,0.268861231984475,0.185029826690943,0.230359558375616,0.313858707980112,0.272271517316072,0.189579672757942,0.216203303721903,0.225887031863854,0.30460865730509,0.190504384420014,0.306291651793802,0.21108242208137,0.244693107657012,0.181710794244305,0.357572226330798,0.228980345334734,0.284147783317132,0.230662124865627,0.245584576943246,0.224732771616903,0.281546547613616,0.282477860331769,0.220375913022357,0.232703863901779,0.388121339329216,0.205561475125745,0.217948695263686,0.276741168605163,0.167409519458658,0.247501931899339,0.146917608119825,0.205991944794815,0.193881973600952,0.255499928603291,0.255504429990537,0.220872527504826,0.280383280418115,0.398286144953744,0.358057067906937,0.1991479070619,0.28009807978412,0.159270424131999,0.184165403257903,0.195512271207128,0.241862026540713,0.187586905515072,0.222352475338856
"hdz-002",0.116346090742979,0.145239202240654,0.1340729384225,0.12649100509916,0.191487630870167,0,0.0815158640944193,0.0996946796250149,0.14679167079032,0.235558130648485,0.168723687533451,0.196497506273292,0.15367019408487,0.15655669532992,0.19546336976612,0.139582821416928,0.134412321244165,0.176594224355278,0.173174280601177,0.157827869769844,0.226500703926977,0.140061165538394,0.129632689540372,0.175457123455674,0.184903554515224,0.147192838114229,0.15504704288544,0.202571916362804,0.14018972567154,0.176161098297118,0.11995186705113,0.17292170066937,0.142102026500534,0.146427847718925,0.257473894039741,0.161802485272437,0.247022719246178,0.156559737942714,0.183221379874631,0.117507349828153,0.176128611060299,0.210352424606498,0.202521977804629,0.210061785664121,0.29170302766997,0.245500650843529,0.244251615827238,0.121610405195054,0.272693628930411,0.306888826319995,0.314386989856263,0.227229941867371,0.180444964202333,0.147838762965621,0.173180838698447,0.125102568083172,0.13561408321254,0.215492683138951,0.220113904120282,0.109933627167363,0.128213890275339,0.159367054802211,0.225041414194581,0.222820391363371,0.197209356561034,0.116948323649362,0.163361378060524,0.137610653040916,0.293403611770586,0.155120970347166,0.205744846263922,0.1555960161214,0.138657433941687,0.108128534031972,0.198380154216152,0.241041198940879,0.153981734959134,0.128333813989763,0.383501329684385,0.137211674922513,0.147763376730709,0.183693222715518,0.170195089920804,0.206097694754478,0.102566014176121,0.127595051407819,0.141776086134351,0.198492935587528,0.179686823282405,0.161657573721497,0.219414257149041,0.373935577238862,0.361002950471356,0.148576616576482,0.255871205005189,0.147831433754677,0.149206740322336,0.143281218478349,0.166381057415855,0.120286644423113,0.173751875651835
"hdz-023",0.116783766260856,0.159710623400877,0.10468709504769,0.13996840577364,0.195055205692276,0.0815158640944193,0,0.100387342265712,0.119989676832354,0.228996646663888,0.165117190388648,0.175215414157323,0.144765259330852,0.123436896019059,0.17559991288332,0.127174140915396,0.133456754245842,0.158681190137186,0.146314229852315,0.126536047645005,0.207929918673485,0.143425886176099,0.129272129425678,0.184372214812562,0.157523893567716,0.131796170753105,0.135196491236716,0.197013885130155,0.126415196744703,0.159035149203518,0.103628221043987,0.157994090181049,0.131306983051528,0.131282066122238,0.270297350226855,0.130878770446708,0.233003019134379,0.148348655793692,0.154905104185085,0.111355238583384,0.177996007233714,0.189453261542552,0.184196052477872,0.190167028255754,0.275348483988171,0.225689834289475,0.237101616042649,0.0938012046626575,0.256396515162728,0.314039487759951,0.322214752104968,0.199778504568741,0.167406309052517,0.112068765134191,0.155803800904561,0.0864431870479262,0.126348759155678,0.204214211056217,0.201009013149461,0.0905448570499706,0.0926566167968595,0.140473424229758,0.199941219081682,0.210211994402055,0.209691905867487,0.121184206716379,0.146595539045717,0.131917439622763,0.292557015479102,0.137708772738626,0.189495114633799,0.129645093291407,0.123862611261754,0.0961108607022251,0.175674940937305,0.25802323902323,0.146438082752004,0.113898978268816,0.385722517322772,0.116724563203292,0.131896879015185,0.176238121137339,0.160265743752655,0.198902931560559,0.107248515611744,0.144138964439583,0.130152867676892,0.197828370274022,0.163557591764338,0.174294882752963,0.20648030363638,0.383216613656577,0.370492646798442,0.118022901742378,0.260575693988097,0.13540291056751,0.145672743224801,0.144284694678913,0.165141773823064,0.123649858085217,0.160150630544539
"hdz-001",0.143242732528831,0.152001862724451,0.145298394646983,0.154415013499277,0.215544550393018,0.0996946796250149,0.100387342265712,0,0.184290213047727,0.265109945143008,0.199153956715106,0.220222374594044,0.170639483521181,0.135032808182054,0.226422712382877,0.159593056339609,0.169256209210483,0.192023426783742,0.181727830755657,0.175799129973983,0.256991170788768,0.187689316887873,0.165444566941874,0.215287831313249,0.210714419165941,0.151885491731315,0.162817952466534,0.174838154618785,0.146656399662798,0.174978149584675,0.133562530348788,0.18859324156048,0.151881390329205,0.175831884256318,0.253844817003511,0.165318539235536,0.285782529293008,0.198090995465563,0.205969131840413,0.13133302676541,0.205711919633163,0.236297293419136,0.226129605954336,0.246134599433686,0.318924353084807,0.270156448354922,0.235545965525918,0.158974248145427,0.30167186374494,0.306122563086702,0.31236510536243,0.173549722739696,0.166474870107243,0.11252128608978,0.124456494603666,0.0971403242691253,0.106103039254587,0.195218852067433,0.179624331657309,0.113982732142168,0.147692310874134,0.115663223688662,0.174886805413103,0.248604350803227,0.170915169887674,0.0899037038936698,0.139756595714959,0.175715513333855,0.266903747678213,0.142219406272859,0.141745838691901,0.136962086443321,0.108980624599071,0.0676293355515956,0.153776680026704,0.250058276717466,0.129270681719042,0.087029049721372,0.376289191287046,0.135473758432684,0.0959384258397008,0.1620424297537,0.210203584910306,0.184157314251028,0.141954586767197,0.128307618278859,0.137556227328732,0.166164173879338,0.15358953762492,0.176994067553708,0.210421934013977,0.366070723727991,0.364986554644537,0.141113300889065,0.25697412409937,0.168920897801873,0.179420729355317,0.148079393735969,0.131842125554454,0.10582558469474,0.163760302776692
"hdz-050",0.142417289795062,0.180991550210131,0.125613773347419,0.17556581525296,0.129102761782305,0.14679167079032,0.119989676832354,0.184290213047727,0,0.170475393060416,0.146930444948726,0.142739645810741,0.127435364484791,0.131388171070122,0.101688821144571,0.114581686295245,0.102481284272628,0.135313702453093,0.168473860211583,0.107815643711352,0.185896909171742,0.0997222409947013,0.152950810515608,0.156403122802116,0.135274030073943,0.160925615506232,0.131102225817123,0.258664670924225,0.163807495861797,0.128177409852525,0.138384382821077,0.159911809920212,0.150913192110706,0.112800608831991,0.254126924981953,0.138853978830204,0.194153924030214,0.0853030511053126,0.143058272655111,0.119313730366108,0.148650780231054,0.163428181928634,0.160844814454694,0.112534694066104,0.240685189805833,0.183044515255037,0.248250829807202,0.096318808307353,0.222359916844349,0.317562751630936,0.336872342932111,0.265779405933171,0.165494897147707,0.184959241602351,0.234850103465187,0.133714922797965,0.208098216502213,0.267660251277407,0.241826132232654,0.145296489527724,0.143889253920156,0.1935923216907,0.274089387892241,0.18094273301677,0.278409353870854,0.184746123360377,0.204912457282861,0.138707127030945,0.324554257717688,0.183063258695382,0.251419118847791,0.189135091499238,0.195628533596866,0.176706027017758,0.24205281840082,0.281326982838817,0.193462203083913,0.194333898894385,0.392861071517334,0.165220195871329,0.194881039325673,0.240060216207183,0.0952652130956579,0.234187536638839,0.11244835381621,0.184025487717736,0.16109437506711,0.242317699888162,0.212501129548784,0.19417977319036,0.246880996179488,0.403758147002128,0.372649693171188,0.148904890318517,0.264906945155155,0.122193099154555,0.132124572399631,0.156306114303578,0.213815519485279,0.179860471318004,0.185573536757873
"hdz-036",0.195856062542872,0.254776389961715,0.185396886777808,0.202910590884045,0.175741915085615,0.235558130648485,0.228996646663888,0.265109945143008,0.170475393060416,0,0.130588783905865,0.117720205878025,0.176492461572396,0.231545569610915,0.111026218224532,0.200258143215126,0.173943487399775,0.183462787289521,0.176470472769187,0.1699426990222,0.168980067635448,0.174623915761938,0.200655530047839,0.133052488086411,0.122570796954277,0.248932758062168,0.246073245236769,0.34638413038927,0.270504437537808,0.237179491848811,0.242304917724112,0.242549662306932,0.261578339111082,0.174447802019313,0.287681487912739,0.208000179888803,0.124098682048535,0.144662361097138,0.126669157298937,0.235830507692226,0.154091192624358,0.131631707463366,0.128322617123373,0.0997688374363106,0.157371420551554,0.0822791690231072,0.276655200859458,0.190975026340649,0.145443694140077,0.318679812147092,0.344008666489684,0.340084258229847,0.231128102085098,0.291741729017425,0.32631707645484,0.240895106307627,0.282489926292906,0.342043551382986,0.324125414282143,0.218511806270911,0.195100205553425,0.259231991491145,0.345301563230955,0.17144373879987,0.35023509000396,0.279866942286145,0.318064861181358,0.201033732347949,0.352695367746719,0.224971747328559,0.335623195381895,0.285425523267308,0.284442778340739,0.261823771674734,0.311235123460968,0.304923158945524,0.281482315029023,0.273759817831578,0.406550471843861,0.242242539573811,0.25370440281805,0.337571282557363,0.140849368775483,0.315802325710713,0.216267103842801,0.256504013464627,0.24760129452469,0.298983184611284,0.279017111756628,0.263935568305136,0.330005844483409,0.420020157394731,0.390213379318893,0.209627836440998,0.33252203652009,0.186466320148171,0.165487142297436,0.24615754932117,0.29779875785051,0.262340001464173,0.278822342501375
