"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.0197171024432062	0.00171944404642499	0.33804829261323	0.314473496213745	0.626946706672382	0.199228240674575	0.216092611119051	0.366285714285714
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.177739677096728	0.329703395901992	0.171738819831404	0.34076296613802	0.0690098585512216	0.0693154208946691	0.0550235815349435	0.123
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.148735533647664	0.0267946697234561	0.215459351335905	0.1343049007001	0.10130018574082	0.211947977704731	0.0650278690867515	0.208428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.20260037148164	0.232698094282849	0.00042863266180883	0	0	0.287694726311276	0.380877518936687	0.000571428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.224317759679954	0.00859722023212495	0.103157593941992	0.0862980425775111	0.09401343049007	0.0724596255538088	0.145205087894812	0.136428571428571
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.124160594370624	0.0113196733056312	0.068724103443349	0.0442920417202457	0.041863123303329	0.0497356009718451	0.059739888523653	0.0707142857142857
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.0711530218602658	0.0378277690213498	0.0702957565366481	0.0478639805686527	0.0408629804257751	0.0598828069172503	0.0610261540660283	0.0607142857142857
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.00771538791255894	0.308783493337154	0.0138591227318188	0.00342906129447064	0.00728675525075011	0.00914677719022438	0.00214377590395884	0.00871428571428571
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0182883269038434	0.0322395758704686	0.00757251035862266	0.0188598371195885	0.0180025717959709	0.0108617979133915	0.011147634700586	0.0175714285714286
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00400057151021575	0.000573148015474996	0.0105729389912845	0.00957279611373053	0.000285755107872553	0.0244390453051308	0.0022866942975561	0.00685714285714286
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.00085726532361766	0.00157615704255624	0.000142877553936277	0	0.00042863266180883	0.00428755180791768	0.00071459196798628	0.000428571428571429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0.0075942112050437	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000142877553936277	0	0	0	0	0.00100042875518079	0.000142918393597256	0.000285714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.000142877553936277	0	0	0.000142877553936277	0	0	0.000428755180791768	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0	0.000573148015474996	0	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000142877553936277	0	0	0	0	0	0.000142918393597256	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0.000285755107872553	0	0	0	0	0	0	0
