"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"k__Bacteria|p__Firmicutes"	0.673720331712897	0.78710323134115	0.701857142857143	0.666714285714286	0.570979270907791	0.105398825719605	0.728299728299728	0.603031603031603
"k__Bacteria|p__Bacteroidota"	0.280383185587647	0.154418072633686	0.184285714285714	0.118285714285714	0.158398856325947	0.43720463983961	0.16959816959817	0.182754182754183
"k__Bacteria|p__Proteobacteria"	0.0291678581641407	0.0388904775521876	0.113571428571429	0.212285714285714	0.264045746962116	0.34125733925247	0.0999570999571	0.183469183469183
"k__Bacteria|p__Actinobacteria"	0.0128681727194738	0.00943665999428081	0.000285714285714286	0.00271428571428571	0.00657612580414582	0.104826006014607	0.00185900185900186	0.0171600171600172
"k__Bacteria|p__Fusobacteria"	0.00328853302830998	0.006720045753503	0	0	0	0.00229127881999141	0.000286000286000286	0.0135850135850136
"k__Bacteria|p__Tenericutes"	0.00057191878753217	0.00343151272519302	0	0	0	0.00902191035371617	0	0
