"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.387760937946812	0.445524735487561	0.614285714285714	0.533714285714286	0.424160114367405	0.0704568237147358	0.435149435149435	0.465608465608466
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.280383185587647	0.154418072633686	0.184285714285714	0.118285714285714	0.158398856325947	0.43720463983961	0.16959816959817	0.182754182754183
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.284815556191021	0.339862739490992	0.0875714285714286	0.132857142857143	0.146533238027162	0.034942002004869	0.293150293150293	0.136994136994137
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.0203031169573921	0.0314555333142694	0.100571428571429	0.195857142857143	0.240028591851322	0.271802950021481	0.0769340769340769	0.154869154869155
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00886474120674864	0.00743494423791822	0.013	0.0164285714285714	0.0240171551107934	0.0694543892309896	0.023023023023023	0.0286000286000286
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0	0	0	0.0837748818559358	0.000143000143000143	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.0128681727194738	0.00943665999428081	0.000285714285714286	0.00271428571428571	0.00657612580414582	0.0210511241586711	0.00171600171600172	0.0171600171600172
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.00328853302830998	0.006720045753503	0	0	0	0.00229127881999141	0.000286000286000286	0.0135850135850136
"k__Bacteria|p__Tenericutes|c__Mollicutes"	0.00057191878753217	0.00343151272519302	0	0	0	0.00902191035371617	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00114383757506434	0.00171575636259651	0	0.000142857142857143	0.000285918513223731	0	0	0.000429000429000429
